keyphrase,mean_abs_shap
abandoned,0.0014768785470825696
alien,0.00045627007653387006
alien planet,0.0006505361448149402
android cyborg,0.0011175696926226306
anime,0.007631303083027967
anime colors,0.0
anime epic,0.0010213607289343563
armor daedric,0.0002774190219394042
art,0.0048838907501333115
art artgerm,0.0022313640838552426
art city,0.0007114788413689603
art hyperrealistic,0.0009696845979743826
art josan,0.0
art lifelike,5.2074105231658094e-05
art punk,0.0012228702816124233
art realistic,0.0022653397783337272
art sharp,0.0025808366265949226
art smooth,0.0026267456730284027
art style,0.005214476503513679
art thorough,0.0020869422724114186
art trending,0.0016510521682405943
artistic,0.0016366354243064541
artistic painting,0.0015258434895627831
artstation,0.02573224075271381
artstation cinematic,0.00035352609994071125
artstation galaxy,0.00025762324723831127
artstation hyperrealism,0.0003769732706435855
artwork,0.0024443356963918614
atmospheric lighting,0.00014740470230454033
avant garde,0.0007858723857003789
azores,0.0007977168771745192
azores islands,0.0
beautiful landscape,0.0011939296960581578
beneath cherry,0.00015200016184657107
bjork,0.0008990821897154406
black,0.004491610883992819
body manga,0.0014356770471050677
body portrait,0.0011110390107671275
body shot,0.001268719363255304
bonsai,0.0007409968309664611
bonsai tree,0.0012140440435202708
bull looking,0.0011672256315673583
bull modeled,0.0010783268070913559
butterfly volumetric,0.0002399665663761764
camera,0.0018822773015086788
candle butterfly,0.00011719555600606328
candle volumetric,0.0001996953034184391
canvas,0.0016532931422713435
castle,0.0009733018010392089
castle enclosed,0.00010191942920204475
cat,0.001789527784498886
century,0.0007350535464651662
century modern,0.0008887848704566289
character portrait,0.0016804358328147175
chris,0.00038962256061363776
chris foss,0.0007898629031034375
churches domes,3.219483717139454e-05
cinematic,0.004662787237651901
cinematic composition,0.0019203257104486071
cinematic deviantart,0.0010238021166505623
city,0.0021189092079134174
cloud fashion,0.0010843326293279289
clouds,0.004837498085520163
clouds covered,0.0014112666297933485
clouds girl,0.0009903751188577834
clouds madeira,0.0006185517953288967
collage canvas,0.0008859057704466808
colors,0.003034966238986607
colossal,0.0014172824253702995
colossal goddess,0.00139590645699762
comprehensive art,0.002092949140931373
concept art,0.00931492076720709
contemporary art,0.0008661206810387735
cute fluffy,0.002324060833179266
cyberpunk,0.0035362069143279502
cyborg,0.0010886391046232
cyborg body,0.001176615956553355
cyborg bull,0.001298704181115544
daedric armor,0.0003560532108343708
dark,0.0008863233400031872
dark uncanny,0.0005908490426768095
detailed painting,0.002927136198921073
detailed portrait,0.002414741574408464
detailed ultra,0.0015101335485367949
details intricate,0.00039766315619231405
detective pikachu,0.000532804092890867
deviantart,0.008579754168171095
deviantart hyperrealistic,0.0021043216020657073
deviantart realistic,0.0008174815398733212
digital art,0.004293494111990365
digital painting,0.0023829309607725354
digital render,0.0005940637119594848
divine,0.0008846241587783906
divine pink,0.0
dog,0.0005242420992863084
donald,0.0015834014419883375
dragon,0.004228721779691699
dramatic lighting,0.0016130954440930674
drawing,0.004605820412787576
dunmer nerevarine,0.001741947661195978
einstein,0.00046851841949174496
elf,0.0028097759112992496
elson,0.001532053984313667
emo,0.00015874430976569397
emo punk,0.0011338211053241473
engine,0.0016811042843842547
entries sony,0.0009995342867478026
fantasy art,0.006884425087204296
fantasy painting,0.00026002659449508576
fantasy style,0.000930458017726388
faroe azores,0.0019321122411072253
fashion clouds,0.0006911659404144376
fiction,0.0012110229214552534
fiction film,0.0012946349686861409
fifth element,0.003045763139638415
film,0.00180387494225269
film neuromancer,0.0001248916114052613
flamingos,6.870332638378903e-06
flowers,0.0007684694821096927
fluffy,0.0014890872009984167
footage,0.0007286588370427075
forest,0.001516613075832558
frazetta,0.003259448121043036
frazetta fantasy,0.0004601225056333967
frazetta giger,0.0028168235894144435
futuristic,0.001016560894675947
garden,0.0013649713581412154
garden intricate,0.0015358669207501743
giant digital,0.0005822554761232219
girl clouds,0.0008605314817545518
glamorous sophisticated,0.0003458512025072846
glimpse universe,4.023896269454513e-05
goddess,0.0029366707452442445
goddess creative,0.0007464062542842736
goddess wearing,0.0007569356403475306
gordon,0.0018398323158097347
goth,0.0026750088991123206
goth emo,0.0012446304322689657
goths,0.0009075688267528198
goths loitering,0.00011593254840482982
gundam,0.00046604641926587334
gundam unreal,6.196213933942574e-05
gustav klimt,0.0017075557574768047
hd,0.0003363934567162121
hd goth,0.002562791040354284
hd painting,0.00013318612498878626
hd unreal,0.0021901663397440032
heavy detailed,0.0012306425521562657
high quality,0.0041203570820661835
hills slavic,0.00011634561041197015
himalayan,0.0015276415959509968
himalayan rocksalt,0.0006062402863303777
houses,0.0006954239433853314
houses built,0.0001116622400819673
hyper detailed,0.0018115681658543489
illustrated,0.003728570427279533
illustration,0.0006952380872584444
illustration art,0.0039402049036181405
imposing cyborg,0.0014077878971346664
intricate details,0.0008799222323948067
intricate hyper,0.0011592067019207419
intricate royo,0.0011967848774581747
intricate volumetric,0.0024505014981581748
josan,0.0021661884954474538
josan gonzalez,0.003344042889936964
knight,0.0007584548645757251
kylie,0.0004457093698938672
kylie minogue,0.00031024646509722
