keyphrase,adjusted_mean_shap
clouds girl,7604851105830.593
artstation,5703638329372.965
goth,13405806724.17775
art sharp,13405806724.17551
punk art,5326195628.944123
photography awards,5326195628.944051
painting,0.05899547619037425
matte painting,0.02021607448673935
unreal engine,0.015905423158737525
mila kunis,0.01435004974764
painting sargent,0.01351197663517835
concept art,0.00972656053492965
portrait,0.008538681027116874
anime,0.008186241795499077
deviantart,0.00802865442188055
fantasy art,0.0067274275418166
surrealism,0.005711232019806825
saitama anime,0.0054068623562062495
art,0.005269197934800725
oil painting,0.005249257415390475
photo,0.005161307170169875
elf,0.0050308576602477
digital painting,0.0049495661098498
art realistic,0.004525410683712875
screenshot,0.004511703552308975
digital art,0.004121111603898825
art style,0.0041048977443889495
intricate volumetric,0.004034612876813475
phyics entries,0.0040117338545522
high quality,0.0039359059683801
black,0.003744662415761775
cinematic,0.0037036329622122752
frazetta,0.0036728166147433246
josan gonzalez,0.003614810574884975
beksinski,0.0034951328447997
art smooth,0.0033920599185901673
photorealistic,0.00332515964490005
clouds,0.003283444808415575
lighting,0.0032318853601738503
science fiction,0.0032026627628832
drawing,0.00319347188534885
scene,0.0031902213070820504
zdzislaw beksinski,0.0031855194048755
dragon,0.0031633619133363752
edwardian photograph,0.0031282389754372
cyberpunk,0.0031067735270518
illustration art,0.0031053755803529
photograph divine,0.0031023986590237
bernard simunovic,0.0030041619762346
painting stalenhag,0.0029939944737808494
peter elson,0.0029836387097486
jacket black,0.0029631983209473
ruins,0.0029601097861511
frazetta giger,0.002896819177833975
photography,0.0028301852194068996
beautiful,0.0027525784979918
portrait scifi,0.0027490345847498653
blinders photography,0.0026241981253154
minogue barbarella,0.0025994199113268
space,0.0025906970527021437
beautiful landscape,0.0025874858583155246
portrait extremely,0.0025869623950012
uncanny,0.0025729877187314
goddess,0.0025718504707690003
painting lurid,0.002445645433224375
camera,0.002394179508415625
landscape,0.002314076618956475
elson,0.002304983889965475
comprehensive art,0.0022905299299927
cute fluffy,0.00224712300853145
film,0.0022456909555853876
character portrait,0.002242073280202125
engine,0.002234980439860675
picasso hair,0.002202367134488125
matte,0.002190710224062575
trending artstation,0.0021798861691124855
detailed painting,0.002161518639108
cosmic,0.0021482349786066
steampunk,0.0021428751246388
rpg portrait,0.00210869808684405
colors,0.00210825253532455
runway,0.002103213266595725
detailed portrait,0.0020609718514937123
picasso,0.00198078577144485
surrealism surreal,0.0019658551268935
cinematic deviantart,0.001964576133974025
marble hourglass,0.0019535229937981497
glamorous sophisticated,0.0019495498261738
woman,0.00194800362092705
bonsai tree,0.0019082040715614002
painting beautiful,0.0018984692286165249
portrait photograph,0.0018864583422964626
fifth element,0.0018599361772721752
detailed ultra,0.001854236194784375
illustrated,0.001836065122888133
surreal concept,0.00183457924477295
wallpaper illustration,0.0017900355245452867
scariest looking,0.0017848761759345
garden intricate,0.001781342520733475
vallejo frazetta,0.001748085262298871
portrait sabouts,0.0017366861495819752
scene science,0.0017175428919285248
painting artstation,0.0016993655169899682
giant digital,0.0016968894126775003
heavy detailed,0.0016817620382025
headshot edwardian,0.0016782118897746
city,0.0016690930900764571
lightning intricate,0.001664528589708925
world photography,0.0016585979678479
sony,0.0016492610517078999
portrait intricate,0.0016422128353548752
hd goth,0.0016397920358013872
oblivion skyrim,0.001630602729239025
natural scene,0.001630504065304725
lifelike photorealistic,0.001606037950771675
pixar,0.001597275346142225
art artgerm,0.0015948486237167
painting character,0.0015876431168995323
artstation hyperrealism,0.0015865452690140749
josan,0.0015774328489183138
cat,0.001573951852286975
artistic,0.001560379847605625
hd unreal,0.0015558057465316693
art punk,0.0015498964446712
robot,0.0015494438488724
hyper detailed,0.0015492475196367237
canvas,0.0015399342673389
art trending,0.0015392384973046
artwork,0.001534767454507925
art thorough,0.0015177242366210646
mid century,0.0014960601894809
volumetric lighting,0.0014889019313198
starmaker matte,0.0014883867182063498
goth emo,0.001486594101396412
forest,0.0014830425692415753
ufo,0.0014620748133508
surreal,0.001455141691387859
dark,0.0014392006692357092
cinematic composition,0.0014343901440626
starmaker,0.0014142076791422002
body manga,0.001389355474514025
peter,0.00138085803328955
hd,0.0013722695347881501
sky,0.0013683141615085
faroe azores,0.001359122116227925
modern art,0.001355043703129575
ultra realistic,0.00135106299084025
minogue,0.0013409573297215498
room,0.0013385192023082
century modern,0.001327723373589625
barbarella,0.0013267634244331
sony world,0.0013237328688278749
portrait painting,0.0013170926290490656
movie poster,0.001313594968415475
modern,0.0012887952751567749
painting deviantart,0.00128129905387545
manga,0.00127622321620065
hd painting,0.0012759446180716314
azores,0.0012738146950762
painting aesthetic,0.0012709843321112
madeira faroe,0.0012611177623440251
photograph,0.001237108538603975
photo realistic,0.001234371978413475
kylie minogue,0.0012297985370303248
statue,0.001215101657037425
gordon,0.001211074048091725
entries sony,0.001205031961619875
gustav klimt,0.0012032554041736
stars,0.0012013849036437
artstation cinematic,0.0011911123287687499
divine,0.0011844795303048356
donald,0.0011710141656278501
clouds madeira,0.001165912596547275
skyrim elegant,0.00116499984934555
contemporary art,0.001162696825887125
fluffy,0.0011360939906876
style portrait,0.0011282559208171097
saitama,0.001111456891836025
deviantart realistic,0.00110573392068785
candle volumetric,0.0010941526464413002
