keyphrase,mean_abs_shap
abandoned,6.407923452272979e-06
alien,0.0
alien planet,0.0005493762861733805
android cyborg,0.0004361350120830887
anime,0.0006813700231592141
anime colors,0.000658858100109365
anime epic,0.0005824110605166655
armor daedric,0.0
art,0.008243928901990855
art artgerm,0.002110753440628293
art city,0.0005306182507436312
art hyperrealistic,0.0005745466410659029
art josan,0.0
art lifelike,0.0004231225226618674
art punk,0.0005493332342723104
art realistic,0.0005217361253439355
art sharp,0.0
art smooth,1219710248900.0132
art style,0.0005136878405805658
art thorough,0.0005592506330328856
art trending,0.0006775893541279521
artistic,0.00046717197600687596
artistic painting,0.0006404818093725759
artstation,0.009402647864715013
artstation cinematic,0.000585038811046458
artstation galaxy,6.5058628879789545e-06
artstation hyperrealism,0.0
artwork,0.0020372926225275543
atmospheric lighting,0.001045754156589794
avant garde,0.0005214313979238661
azores,0.0005425747484857821
azores islands,0.000568917537705814
beautiful landscape,0.0005738465935046096
beneath cherry,0.0004596161500737516
bjork,2.8306845664336083e-05
black,0.0
body manga,0.0005206291210323821
body portrait,0.0
body shot,0.0005913756885402516
bonsai,0.0005279318074276727
bonsai tree,0.0004973693428695781
bull looking,0.00037283700174094733
bull modeled,0.0004753483345536452
butterfly volumetric,1219710248900.0132
camera,0.0005527844217585159
candle butterfly,0.00042115326359278737
candle volumetric,0.0004898769808185146
canvas,0.000720445957240913
castle,0.004866086587102475
castle enclosed,0.0004893818195490059
cat,3.0668119209439658e-06
century,2.8055797141051746e-06
century modern,0.0005882658181461007
character portrait,0.00011393905156174936
chris,0.0004083343103985083
chris foss,0.0
churches domes,0.0006467238637428459
cinematic,0.0016852911794075507
cinematic composition,0.000598437521735519
cinematic deviantart,0.0005425471417865525
city,0.000510559812734331
cloud fashion,0.00040744949332948945
clouds,0.006259508482833147
clouds covered,0.000555380803908984
clouds girl,0.0
clouds madeira,0.0005683291534110037
collage canvas,0.0005814770003240473
colors,0.0
colossal,0.0004194635106501915
colossal goddess,0.0003977039117454434
comprehensive art,0.0005422347277669055
