keyphrase,mean_abs_shap
abandoned,0.0015900458271061173
alchemical creatures,0.00176696903768996
alien,0.00293440849179069
alien planet,0.003234479658277285
android cyborg,1.2557569506911726e-05
anime,0.0034038580805641396
anime colors,0.0019052291039791352
anime epic,0.001828522794841692
armor daedric,0.00153984175825002
art,0.008318338009483619
art artgerm,0.00710539203628891
art hyperrealistic,0.0001279487803377096
art lifelike,0.001537857415286161
art punk,0.000612430469437621
art realistic,0.002406809332650183
art sharp,0.0025930868659003923
art smooth,0.0034157631835969996
art style,0.0036012013619362653
art thorough,0.0023335988042817056
art trending,0.003587998681040661
artistic,0.0022074942593674402
artistic painting,0.0035925833879647804
artstation,0.01404906976782115
artstation cinematic,0.0005844888331613551
artstation concept,0.0024051883637343625
artstation galaxy,0.001469287977361018
artstation hyperrealism,0.0010034538827812583
artwork,0.004607702544203843
atmospheric lighting,0.000439254438813281
azores,0.0017147755052435937
barbarella,0.000183067184327844
beautiful,0.00043387775955822886
beautiful landscape,0.0002962275296776933
beksinski,0.0025205438628947948
beneath cherry,0.0009966531488277744
bernard simunovic,0.0001848833133829886
bjork,0.00020310555947192083
black,0.0005900158995504405
blinders photography,0.00011393687592154142
body manga,0.001986702231590507
body portrait,0.002702320275857274
body shot,8.35494592308688e-05
bonsai,0.001590277717174479
bonsai tree,0.001995402764985221
bull looking,0.0
bull modeled,0.0
butterfly volumetric,0.0019274489045648406
camera,0.0015495110857348011
candle butterfly,0.002714906309186667
candle volumetric,0.00243835550568617
canvas,0.0027501024203281524
castle,0.0025648874317755524
cat,0.0025399024813591064
century,0.0008040295042152822
century modern,0.0034129094603899284
character portrait,0.0030071743136150376
cinematic,0.009932210758321878
cinematic composition,0.0039531301428491926
cinematic deviantart,0.005519938895664229
city,0.0010549477404946067
clouds,0.009071695181289079
clouds madeira,0.0038850923206769756
collage canvas,0.00026395398232340473
colors,0.0009001537442600868
colossal,0.001623655284055289
colossal goddess,0.001495848650656981
comprehensive art,0.010308374041995286
concept art,0.02635204136067667
contemporary art,4.930137702144687e-05
cosmic,0.0010189514775407896
creatures surreal,0.0012693871584072687
cute fluffy,0.0028957290848542374
cyberpunk,0.003083697459149426
cyborg,0.0013964537924833292
cyborg body,0.000266257708983721
cyborg bull,0.00019288031753730473
daedric armor,0.0023108022003392914
dark,0.0018128540479237613
dark uncanny,0.0020403439142492154
detailed painting,0.003377997588418471
detailed portrait,0.0018907614217699598
detailed ultra,0.004063911705455543
detective pikachu,0.0008626873854767115
deviantart,0.009565474728626941
deviantart cinematic,0.0028123427438798074
deviantart hyperrealistic,0.001902153457896408
deviantart realistic,0.011519466358526473
digital art,0.012571830523847655
digital painting,0.00904199353385152
digital render,0.003200964173811223
divine,0.0003077293256075705
divine pink,0.00027688396017074474
dog,0.0004141657927898267
donald,0.004300271065267531
dragon,0.0013720365616913123
dramatic lighting,0.002269612536235599
drawing,0.001602471690594493
dunmer nerevarine,0.001510710725896076
edwardian photograph,7.238173292594121e-05
einstein,0.0018791696844816246
elf,0.001960122282391383
elson,0.006405089141057884
emo,0.0007662365444030805
emo punk,0.0019880439245969278
engine,0.0005825189434835633
entries sony,0.000231598906258894
fantasy art,0.00757814315338881
fantasy painting,0.0038039768208923313
fantasy style,0.00010208555745734741
faroe azores,0.0021350735459686274
fiction,0.0023831321317056
fiction film,0.0021897115956234473
fiery alchemical,0.0014014906316431681
fifth element,0.0020001372694103416
film,0.007151728612939799
film neuromancer,0.0017188098731810478
flamingos,0.00010467450268107292
flowers,0.0039360923975881095
fluffy,0.004215813460171513
food photography,0.0005932278329236868
footage,0.006317330378253231
forest,0.005047200042237011
frazetta,0.0023581932222254045
frazetta giger,0.0008467378427785068
futuristic,0.000361762190122274
garden,0.00048091324821714147
garden intricate,0.002581007055722503
giant digital,0.0025323486864496513
glamorous sophisticated,0.0014264263184394672
goddess,0.004496420521923226
goddess creative,0.0011180446436955835
gordon,0.002601606075185833
goth,0.004501646891299606
goth emo,0.001926191039451679
goths,0.0006734174016579284
goths loitering,0.0014930696862397019
gundam,0.0022236513259603972
gundam unreal,0.0009675711676432894
hd,0.0016038393936881018
hd goth,0.002238165761481551
hd painting,0.0014251831910465798
hd unreal,0.0027175916354148445
headshot edwardian,3.081444436947622e-05
heavy detailed,0.002797474507355185
high quality,0.0019928340413548685
himalayan,0.0015869889383617745
himalayan rocksalt,0.002007516300080646
houses,0.0
houses built,0.001198310735412755
hyper detailed,0.008006616681048856
illustration art,0.0037482826353117163
imposing cyborg,7.007195577383217e-06
intricate details,0.005155151939530192
intricate hyper,0.0019096769690611695
intricate royo,0.0004897659880256857
intricate volumetric,0.005149275635616202
jacket black,0.0015356499101802752
josan,0.0022625460932800315
josan gonzalez,0.0019020906210521571
kylie,0.00014697754011654915
kylie minogue,0.0004953897972836045
lamp,0.0011567565214995292
landscape,0.004285501731844206
landscape colourful,0.003366622173386555
lantern candle,0.0017008799744151742
length portrait,0.00017487000049622308
lifelike photorealistic,0.0010573615411650038
lighting,0.0036245953549668953
lightning intricate,0.0018655432531818727
log houses,0.0005183990803832377
looking camera,0.00018172246509224786
low clouds,0.0017221363707246662
madeira faroe,0.0005739862776012753
male dunmer,0.003079310795807692
manga,0.004816090093258136
manga illustration,0.0013685373345218186
marble hourglass,0.0020267762293863876
matte,0.005765397962869113
matte painting,0.014384896946731745
media collage,0.0005044886978407937
mid century,0.002467754093472444
mila kunis,0.008038330321726588
minogue,1.6429231508822612e-05
minogue barbarella,0.00040680090895231524
mixed media,0.0012664709316058465
modern,0.0006788571269224597
modern art,0.0074446503969463115
movie,0.0026062789728258005
movie poster,0.002568114536980171
natural scene,0.0024801734100157115
nerevarine,0.002967013695414244
neuromancer,0.0007732475154912745
oblivion skyrim,0.0013377798427376575
octane render,0.0011059846367536548
oil painting,0.004102966520672948
overcast thunder,0.0019230370905761653
pablo picasso,0.0017381910202626377
painted,0.0043811540474844295
painted pablo,0.0029112009504258245
painting,0.027554283970774564
painting aesthetic,0.004639711748385354
painting artstation,0.006801595125556246
painting beautiful,0.004148148318628648
painting character,4.53821452701047e-05
painting deviantart,0.0017558616977528523
painting lurid,0.0009988787307157185
painting lush,0.00010339030808548869
painting peter,0.004511649391140674
painting ronny,0.005025138310257624
painting sargent,0.003281217783002396
painting stalenhag,0.0
painting unreal,0.0012291650347967247
peter,0.004016368812215503
peter elson,0.0023113516134918933
photo,0.0021870715936560016
photo realistic,93207527738.97
photograph,0.0013330091997682098
photograph divine,0.0027201098709804107
photography,0.0032957559672582644
photography awards,2.298587941195753e-05
photorealistic,0.020312956129314864
photorealistic digital,0.001734390892823494
phyics entries,0.002852233518629456
picasso,0.007406208570847217
picasso hair,0.0029179618203862066
pikachu hannah,0.00042523830791116026
pink bonsai,0.0016730500760435512
pink flamingos,2.00330144987958e-05
pixar,0.0003606356727270787
pixie cut,0.0015955927738979581
portrait,0.016744008357325316
portrait extremely,0.0005893711095364152
portrait intricate,0.0008614781226902995
portrait male,0.002657256923114786
portrait painted,0.0022299284309601924
portrait painting,0.003220589161501133
portrait photograph,0.0008277959032742894
portrait sabouts,0.003327378755301114
portrait scifi,0.004822585317457009
punk art,5.614590010482125e-05
punk portrait,0.002186503690740595
puppy,0.0029733458099619817
puppy sitting,0.004652613339725135
realistic cinematic,0.00023832568908510257
render hyperrealist,0.0013752520264151314
robot,0.0015108003459761417
rocksalt lamp,0.002209103078269469
room,0.002334899218537601
rpg portrait,0.0007660940853274723
ruins,0.001712254777281158
runway,0.0007261768988653577
saitama,0.0016831545660452715
saitama anime,0.0016164013217122007
scariest looking,0.0006638911521674408
scene,0.003340377323067986
scene science,0.0014942881703841075
science,0.0013119939190302044
science fiction,0.004978574920920126
screenshot,0.003934414894394701
shade talking,0.00032689342028637285
sitting snowy,0.001994985022814963
sky,0.0017231574885379424
skyrim elegant,0.0016258824173703986
snowy,0.004209384938743641
sony,0.00393906721233681
sony world,0.000163805536294514
space,0.0033219057305172725
spaceship,0.0007106650697126736
starmaker,0.0008550783566613542
starmaker matte,4.427842151463241e-05
stars,0.0021332020705767756
statue,0.0018185728047876006
steampunk,0.004932690991208837
steampunk himalayan,0.002636756662993219
studio ghibli,0.002443001821726356
style contemporary,0.004605012445907192
style portrait,0.0014199774283656602
surreal,0.005507400106381242
surreal concept,0.0014477642270063242
surreal dark,0.0021747027553884264
surrealism,0.007477185799243994
surrealism surreal,0.007206664267423211
tracing artstation,0.0021507032153056495
traits painting,0.0022445433696248462
trending artstation,0.0026574097379983316
ufo,0.003132914082393108
