keyphrase,mean_abs_shap
abandoned,0.0005878081376094177
alien,0.001034995241455774
alien planet,0.0012576218574974587
android cyborg,1.6525160745111715e-05
anime,0.0021155926809996997
anime colors,0.00010183572126853741
anime epic,0.0009066575779937185
armor daedric,0.0009850521651048679
art,0.01048371218385142
art artgerm,0.004483139004795473
art city,8.047585600505901e-05
art hyperrealistic,0.0011116170997748866
art josan,1.5852440008045702e-05
art lifelike,0.0009459661751549643
art punk,0.0009835193082155887
art realistic,0.0015989005818168006
art sharp,0.0012537431722018507
art smooth,0.0012378841596633833
art style,0.0012585278334593115
art thorough,0.0011560765956976768
art trending,0.0011070845154901696
artistic,0.0006555747615459606
artistic painting,0.0010281307804521026
artstation,0.01045301243657192
artstation cinematic,0.001181865968151137
artstation galaxy,7.006012514986468e-05
artstation hyperrealism,3.5779449400761976e-05
artwork,0.0035587403612637953
atmospheric lighting,0.0029862702272737155
avant garde,1.6790043390197868e-05
azores,0.0014720872373820998
azores islands,0.0013612210142375256
beautiful landscape,0.0011053443671292331
beneath cherry,0.0014112962360007344
bjork,2.7924110791013004e-05
black,0.0013033066868186492
body manga,1.67131940362502e-05
body portrait,0.0011548792968859942
body shot,0.0
bonsai,0.0010427254756222777
bonsai tree,0.0011622886055321397
bull looking,0.0
bull modeled,2.849626586391005e-05
butterfly volumetric,1.8162907488425738e-05
camera,0.0023624635134349096
candle butterfly,0.0008222803125304255
candle volumetric,0.0014900072419371457
canvas,0.00039549820316948047
castle,0.007398104256949524
castle enclosed,5.619342988462531e-06
cat,0.00035624658487555565
century,0.0002722825726746372
century modern,0.0004957339703728401
character portrait,816884682029.0748
chris,0.002323162483509693
chris foss,0.0
churches domes,0.0
cinematic,0.0063192208096584076
cinematic composition,0.004002699202235056
cinematic deviantart,0.001119454413652645
city,0.00014542167093517495
cloud fashion,0.0012979844919173342
clouds,0.007463434118551974
clouds covered,0.001100096841694421
clouds girl,0.00012382972992473732
clouds madeira,0.0016040417581381916
collage canvas,0.0009912868034289586
colors,0.00036574177589032166
colossal,0.001120325807008118
colossal goddess,0.0010537911033042932
comprehensive art,0.0024300129475273236
concept art,0.041461879655577745
contemporary art,0.0009051486496213277
cute fluffy,0.004716296985715419
cyberpunk,0.0021480836837283845
cyborg,0.0005907598544595812
cyborg body,0.0
cyborg bull,0.0
daedric armor,0.000905709170656759
dark,0.0007401441935179377
dark uncanny,0.0013714183441593795
detailed painting,0.006746438049883585
detailed portrait,0.0007766771035667951
detailed ultra,0.0017857479837305559
details intricate,0.0014067939076622123
detective pikachu,0.0005427752015687355
deviantart,0.00732914157223868
deviantart hyperrealistic,0.0008611532331468017
deviantart realistic,0.009594414780591287
digital art,0.014261421369968072
digital painting,0.06213859206408733
digital render,0.0008066880836387007
divine,1.8030566164657713e-05
divine pink,1.828823654253995e-05
dog,0.0004730522692733618
