keyphrase,mean_abs_shap
abandoned,0.00015544978233890234
alien,0.0005561688123941317
alien planet,0.0019094954108978767
android cyborg,5.359566650114637e-05
anime,0.00199712973478956
anime colors,0.0001286563787641822
anime epic,0.001336416105949601
armor daedric,6.317483675756692e-05
art,0.011816052549215326
art artgerm,0.005921424753771975
art city,0.0013733597826443382
art hyperrealistic,1.9364915683849633e-05
art josan,0.0010003263648809874
art lifelike,9.829411599160595e-05
art punk,0.0003641545826743159
art realistic,0.0010583794158661678
art sharp,0.00400139032165887
art smooth,0.003906508597745516
art style,0.002240029035951921
art thorough,0.00012209619501175434
art trending,0.0033312983408025805
artistic,0.00136399905380914
artistic painting,0.0019467906482749189
artstation,0.011490034542286521
artstation cinematic,3.7916500865520254e-06
artstation galaxy,5.048591745112737e-05
artstation hyperrealism,0.0015474875714365341
artwork,0.007308723946585744
atmospheric lighting,0.004704965146190984
avant garde,0.0001420733159467804
azores,0.0016436732096404489
azores islands,0.0014518158857679485
beautiful landscape,0.002644754153342851
beneath cherry,0.0009576012268388467
bjork,0.001344928041276407
black,0.004366825516018388
body manga,0.0014861966879662386
body portrait,0.0003785496722784438
body shot,2.6655341675729005e-05
bonsai,8.82242391119951e-05
bonsai tree,0.00011706795790411703
bull looking,1.0226095491650152e-05
bull modeled,2.3930561750582347e-05
butterfly volumetric,0.0002171329782068729
camera,0.0005962108401371677
candle butterfly,0.00035983014938254735
candle volumetric,0.0013431918376743436
canvas,0.0012595922154708104
castle,0.0023993297848136793
castle enclosed,0.00020549853316572858
cat,0.001650619030837236
century,0.0018308540928928894
century modern,0.0020413376799275442
character portrait,0.0015925273374950886
chris,0.0006744224599481047
chris foss,0.0018444348244892027
churches domes,0.0002542730728442538
cinematic,0.004994073608913587
cinematic composition,0.0026933770031992263
cinematic deviantart,4.639757976158088e-05
city,0.0018312821003240568
cloud fashion,0.0011817152766968777
clouds,0.00561328218607806
clouds covered,0.00018951112348343152
clouds girl,0.0007236793178511536
clouds madeira,0.003314895066468191
collage canvas,0.00030314295178939497
colors,0.0013918063033541922
colossal,0.000753457368966179
colossal goddess,0.0009095867692197509
comprehensive art,0.002122829841350716
concept art,0.008574564553002336
contemporary art,0.0003936842464646039
cute fluffy,0.0040316606919788564
cyberpunk,0.004068779217298433
cyborg,0.009588200854615961
cyborg body,5.579243866374722e-06
cyborg bull,7.032492795356562e-05
daedric armor,0.0005492669027946711
dark,0.001013668937083224
dark uncanny,0.0010052941063517801
detailed painting,0.005452558964618053
detailed portrait,0.002055865339686019
detailed ultra,0.001996968735485603
details intricate,0.0010157929961608057
detective pikachu,0.0007260216451481149
deviantart,0.007689778868363502
deviantart hyperrealistic,0.0012208415055564117
deviantart realistic,0.006442687930481138
digital art,0.00781245848685515
digital painting,0.017667118373408557
digital render,0.0020832286582953426
divine,4.2238226512155886e-05
divine pink,5.679859051355686e-05
dog,0.00021423163486980907
donald,0.002853167056932336
dragon,0.0007811888138626446
dramatic lighting,0.0011037227310707572
drawing,0.001296992759233273
dunmer nerevarine,0.0001811838973209227
einstein,0.002128507484383522
elf,0.0026032066149095623
elson,0.006280915407271224
emo,0.0007311440367054697
emo punk,7.212329593605016e-05
engine,0.00021902320836938394
entries sony,0.002539485069980412
fantasy art,0.011620300807613117
fantasy painting,0.0037369810973526506
fantasy style,0.0012822216598895738
faroe azores,0.0020495533069928434
fashion clouds,0.00016902166549743127
fiction,0.0012197387810308114
fiction film,0.0013635142726731574
fifth element,0.001800453399812163
film,0.0051382668262282
film neuromancer,0.002096716040226731
flamingos,2.718258628085124e-05
flowers,0.0025774702215596262
fluffy,0.0038144457708785703
footage,0.0035844799334260615
forest,0.0031552228380428184
frazetta,0.0009583608804401526
frazetta fantasy,0.00030544494563432463
frazetta giger,0.0003569594604154579
futuristic,0.000632734526380617
garden,0.0023115807995568705
garden intricate,0.0003873516600494726
giant digital,0.0005469585180761213
girl clouds,0.0007650292211464514
glamorous sophisticated,0.0005056419167534651
glimpse universe,0.0015865504036820953
goddess,0.00415346410519877
goddess creative,0.0002885608463032926
goddess wearing,0.0006276395297840397
gordon,0.0008913895887249028
goth,0.0006643080591481527
goth emo,7.615068353099298e-05
goths,0.00019929163693930605
goths loitering,0.000996096451771947
gundam,0.0002845145024953727
gundam unreal,0.00037088899689349293
gustav klimt,0.0007785690947424275
hd,0.0006853980716039593
hd goth,0.00013799015262351192
hd painting,0.001327588394731549
hd unreal,0.0021126218917023073
heavy detailed,0.0005340567807839406
high quality,0.003118890271497625
hills slavic,0.0003081661823763504
himalayan,0.0011195965412474848
himalayan rocksalt,0.0012403729693862564
houses,0.00028634386836633066
houses built,0.00016078899477085454
hyper detailed,0.0072371766733337764
illustrated,0.001973113477401683
illustration,0.0023293547412644947
illustration art,0.003579539741792868
imposing cyborg,2.7952189170290285e-05
intricate details,0.0033186382268308645
intricate hyper,0.0013595567478970002
intricate royo,0.0003017571714640468
intricate volumetric,0.0016822130405620044
josan,0.0011335003396555571
josan gonzalez,0.0012880610771655921
knight,0.001034423841272082
kylie,0.0003647983529545006
kylie minogue,0.0002948951638130216
lamp,0.0012482757272644998
landscape,0.004285885630584844
landscape colourful,0.0
lantern candle,0.0007437303900530474
length portrait,0.00023722838421127575
lifelike photorealistic,0.0018030766723092953
lighting,0.004307650320999282
lighting hd,0.0030256919601054258
lightning intricate,0.0012970553665279363
log houses,0.00032053354860393996
looking camera,1.0555641702575676e-05
low clouds,0.0014328151145164471
madeira faroe,0.0021830895732204477
male dunmer,0.00020804636350350698
manga,0.0033384057556277305
manga illustration,0.0013109359749392294
marble hourglass,0.0014329492693076653
matte,0.006623128549359564
matte painting,0.024471815518766177
media collage,0.0011519495977210445
mid century,0.0012378749653904277
minogue,0.0003348589476141326
mixed media,0.0006769056064168145
modern,0.0013905634928559293
modern art,0.0033216858036892723
movie,0.0022654098182432166
movie poster,0.0006417543249760461
natural scene,0.0031724211434943582
nerevarine,0.0012004511463826327
neuromancer,0.001785610203746359
oblivion skyrim,4.439489366269451e-06
octane render,0.0006260916583919645
oil painting,0.0033274894942191525
overcast thunder,0.0009416441342636086
pablo picasso,0.0008044260377713432
painted,0.0016259698658503325
painted pablo,0.000715823896851959
painting,0.008727227596851765
painting aesthetic,0.0008163006432344277
painting artstation,0.0012681198966534792
painting beautiful,0.0021375124355685576
painting character,0.00011628690292840632
painting chris,0.0016848098999517566
painting deviantart,0.003301977071310784
painting lurid,0.001258640440990382
painting lush,0.001120863574254992
painting peter,0.0012998557638951164
painting ronny,0.002434308925800021
painting sargent,0.0020004724352236554
painting stalenhag,0.00021431936397230754
painting unreal,0.001954078614166115
peter,0.0014044602571492086
peter elson,0.0038909409051522265
photo,0.0017332281706584052
photo realistic,0.004118792243470951
photograph,0.0008513705760528977
photograph divine,0.0012989303286376837
photography,0.003208862144817846
photography awards,0.0017804728685861043
photorealistic,0.012494232600725446
photorealistic digital,0.002327677307105773
phyics entries,0.0015164128599771053
picasso,0.006159632281921581
picasso hair,0.0006638340517695
pikachu hannah,0.0007632366483142127
pink bonsai,5.169705770862111e-05
pink flamingos,0.0
pixar,0.0007912693035683442
pixie cut,5.526193153258149e-05
portrait,0.01018483587175554
portrait extremely,0.00105344540044658
portrait intricate,0.0007302665277490714
portrait male,0.001395081914156644
portrait painted,0.00033958596571399217
portrait painting,0.00484959425642907
portrait photograph,0.000458508731553203
portrait sabouts,0.001359737967260051
portrait scifi,0.0002948912105332532
punk art,0.00035309560312397236
punk portrait,0.0002743384378071746
puppy,0.00048513817093228767
render hyperrealist,0.0002199629161715214
robot,0.0012432437447661758
rocksalt lamp,0.001575343805550678
rpg portrait,0.0022902153466866043
runway,0.00038676650385003627
saitama,0.00011093884747011181
saitama anime,0.0014960932186353344
scene,0.004512896566667039
scene science,0.0018213252638844529
science,0.0013231084833983317
science fiction,0.0037652153591182748
screenshot,0.0029320653740533393
shade talking,1.1661455229966157e-05
skyrim elegant,0.00017616477800113013
sony,0.0012026849686643242
sony world,0.00235423379854702
space,0.002226912914954605
starmaker,0.002015463637324561
starmaker matte,0.0012205282926726095
stars,0.0009616049615652507
statue,0.0010947162513296371
steampunk,0.0022121628171046
steampunk butterfly,9.105679910281845e-05
steampunk himalayan,0.002000080088818313
studio ghibli,0.0017598120124594646
style contemporary,0.0018463923629397307
style portrait,0.0013890613663702206
surreal,0.005495928390962964
surreal concept,0.0044818055768945375
surreal glimpse,0.001829062813157213
surrealism,0.010110970189044846
surrealism surreal,0.004903319211380374
tall castle,0.0002489228577000639
tracing artstation,0.001996744781535653
traits painting,0.0002386530734154475
trending artstation,0.0038295123724311057
ufo,0.0007959665802727147
ufo ignoring,0.0021286709698327337
ultra realistic,0.0018570860617035602
uncanny painting,0.0009556505935175201
unreal engine,0.022216705591759194
vallejo frazetta,0.0008335947430344334
vivec portrait,0.00024728365287692965
volumetric lighting,0.0011039851308731097
wallpaper,0.001465312898540311
wallpaper illustration,0.004295278017932184
wearing cloud,0.0012939197289782269
wizard,0.0004553409238619731
woman,0.0028216443135150944
wooden churches,0.0004756024038539714
world photography,0.0011619554067148505
