keyphrase,adjusted_mean_shap
art smooth,304927562225.00543
butterfly volumetric,304927562225.00385
fantasy painting,204221170507.2712
character portrait,204221170507.2699
uncanny,93207527738.96872
matte painting,49362079966.79312
unreal engine,49362079966.79003
photo realistic,23301881934.74379
digital painting,0.0298599139987136
painting,0.025593736548139626
concept art,0.024726547905498403
photorealistic,0.024559701192410372
portrait,0.012563261594752927
artstation,0.011348691152848624
digital art,0.010443130717641625
art,0.009715507911135275
deviantart realistic,0.009172754657008349
picasso,0.009117370442223
surrealism,0.008740833506174274
film,0.008117769489092501
mila kunis,0.0080383303217265
deviantart,0.007866324673129924
hyper detailed,0.00743252454633045
clouds,0.007101979992188001
fantasy art,0.006487088070221325
cinematic,0.0057326990890753
footage,0.005298228568934625
modern art,0.005049111383086825
elson,0.004950652493423775
art artgerm,0.0049051773088711
goddess,0.004813110375145
style contemporary,0.0048075262763555004
painting ronny,0.004739925642932075
puppy sitting,0.0046526133397251
artwork,0.0043781148686451755
castle,0.00430710201516025
snowy,0.0042093849387436
detailed painting,0.0040968215800006496
scene,0.004077140960662625
comprehensive art,0.003850862889660025
surreal,0.0038342377897629247
zdzislaw beksinski,0.0037923405025892
matte,0.0037505311688107255
science fiction,0.00363005943631945
portrait painting,0.003365613602607525
surrealism surreal,0.0033653757904321
donald,0.003356855267572175
wallpaper illustration,0.0033536778405363
manga,0.00312204116251585
cute fluffy,0.0031185627846568
cyborg,0.0030110535283147002
landscape,0.002902566011878525
screenshot,0.002820520119818825
deviantart cinematic,0.0028123427438798
cinematic composition,0.0028119109675047
painting artstation,0.002718475064124925
woman,0.00269126771022295
intricate details,0.0026415681511795107
forest,0.002628831378322525
lighting,0.0026073878762477498
phyics entries,0.0025900749717478
photography,0.00256276329462975
beksinski,0.0025205438628947
artstation concept,0.0024051883637343
illustration art,0.002354693254227046
clouds madeira,0.002343089574673525
trending artstation,0.0023364799327496998
room,0.0023348992185376
surreal concept,0.0023307765732893497
cyberpunk,0.002325140090044025
atmospheric lighting,0.002294060992216875
oil painting,0.0022781783340265326
detailed ultra,0.002273573622518875
hd unreal,0.0022188509778974753
art trending,0.002175992722865275
surreal dark,0.0021747027553884
peter elson,0.00216959558875905
painted,0.00216790300770695
intricate volumetric,0.002167716091952775
painting beautiful,0.0021062927014513996
fluffy,0.002104447708195475
flowers,0.0020858408270071024
entries sony,0.0020656071642782
anime,0.0020494876298781
steampunk himalayan,0.0020172590431903
rpg portrait,0.00201365198541965
high quality,0.002006501611508275
sitting snowy,0.0019949850228149
gordon,0.001990150121799275
art sharp,0.001962055089940225
sony,0.0019198709550630247
art style,0.0019033615179819751
peter,0.0019009822810008
painting aesthetic,0.0018853793908979498
steampunk,0.0018758518610743858
painting peter,0.0018672932247617501
painting sargent,0.0018494235640868749
cinematic deviantart,0.0018070845077162202
artistic painting,0.00180199665651605
sony world,0.001768159351213125
alchemical creatures,0.0017669690376899
natural scene,0.0017435857848253
alien planet,0.0017377433032114249
sky,0.0017231574885379
ruins,0.0017122547772811
nerevarine,0.0017027201113407353
movie,0.001695288252154925
faroe azores,0.0016809381589444
space,0.0016791891906346
digital render,0.001669697768501875
goth,0.0016624038420592
ultra realistic,0.001651914635292889
elf,0.0016479188521106
photograph divine,0.00164291103798535
century modern,0.0016345617322090751
robot,0.0015838735449340087
black,0.001565037025596825
painting deviantart,0.0015638103198924794
dramatic lighting,0.001552251065866775
jacket black,0.0015356499101802
portrait sabouts,0.0015325548004356355
hd painting,0.0015318282546756502
volumetric lighting,0.0015294499898953248
film neuromancer,0.0015276249689377252
lifelike photorealistic,0.0015012399727623
portrait scifi,0.001472589198348525
photo,0.0014421963203692751
