keyphrase,mean_abs_shap
abandoned,1.5184212990760994e-06
alien,0.0003181148819693913
alien planet,0.0
android cyborg,0.0002907356931346366
anime,0.0002663867063338802
anime colors,5.2594020233640575e-06
anime epic,0.0004309609278856244
armor daedric,0.0
art,0.008939922775018842
art artgerm,0.002269640652169704
art city,0.0
art hyperrealistic,8.209917245889345e-06
art josan,3.537036355088566e-06
art lifelike,5.514536493433646e-06
art punk,2.7910170265243966e-06
art realistic,0.00024045838440304594
art sharp,0.00037956249158254643
art smooth,0.00031290859893480375
art style,0.00034350210275332763
art thorough,0.00036594631454139317
art trending,0.0022681738308768778
artistic,0.00036860817072854483
artistic painting,0.0003268130636262322
artstation,0.004076578475080841
artstation cinematic,0.0
artstation galaxy,0.0003167721987384831
artstation hyperrealism,0.0003540656353084373
artwork,0.0009897738901483582
atmospheric lighting,0.0015780092301536665
avant garde,0.0002842920652544705
azores,0.0004025494952282945
azores islands,0.0003235099690828832
beautiful landscape,0.0
beneath cherry,0.000592774732280529
bjork,0.000246651474575733
black,0.0003199872878611938
body manga,8.921475183805077e-07
body portrait,0.0
body shot,0.0003661037024979503
bonsai,0.0003213282452625596
bonsai tree,0.00034781654970388824
bull looking,0.0003240859329560746
bull modeled,0.00021363767170570573
butterfly volumetric,0.00032017144970344604
camera,0.000336564792650241
candle butterfly,0.00032164514668779875
candle volumetric,0.0
canvas,3.200762689056902e-05
castle,0.007972141382277293
castle enclosed,0.0
cat,0.00030219232335472636
century,0.000289510021440743
century modern,0.0003509388005776219
character portrait,2.073542476594923e-05
chris,0.0003318923068962662
chris foss,0.0003043318273384984
churches domes,1.3063479135838938e-06
cinematic,0.00032427211826870273
cinematic composition,0.000270511921121463
cinematic deviantart,0.0001826345475492527
city,0.0003527542132914727
cloud fashion,4.542598588455111e-05
clouds,0.0044634224364037646
clouds covered,0.0
clouds girl,0.0
clouds madeira,0.0002805420861480388
collage canvas,0.0
colors,0.000249251928593559
colossal,0.0
colossal goddess,1.122808423541741e-05
comprehensive art,0.0005753989258478597
concept art,0.013542102866730002
contemporary art,7.680924822555818e-06
cute fluffy,0.0017834902622911259
cyberpunk,0.00033218958291783264
cyborg,0.00031656425200487717
cyborg body,0.00033934875227574154
cyborg bull,0.0003515268916156381
daedric armor,0.0
dark,0.0002936365135698633
dark uncanny,4.370958905598362e-06
detailed painting,0.0007368229632884275
detailed portrait,0.0005753016530553507
detailed ultra,0.0008098881246596599
details intricate,0.0
detective pikachu,0.0008946432713812135
deviantart,0.00374849418939829
deviantart hyperrealistic,0.000305293095702176
deviantart realistic,0.005682457974963888
digital art,0.008185489616880589
digital painting,0.04311540152778898
digital render,6.846296324882141e-06
divine,0.0004117354316152189
divine pink,0.00037524626528267943
dog,0.0
donald,0.0023364592815576183
dragon,0.0
dramatic lighting,0.0002651304303538997
drawing,0.00032836566664778196
dunmer nerevarine,3.995121190269829e-06
einstein,0.0
elf,0.0002748962200268353
elson,0.0028475216910986943
emo,0.0004321931998458121
emo punk,0.0003495410690444483
engine,0.0
entries sony,0.001774598385113604
fantasy art,0.0008376571459101796
fantasy painting,0.0018609210913611317
fantasy style,0.0003784647075863971
faroe azores,0.0003188360882405285
fashion clouds,0.0
fiction,1.0324431071944772e-05
fiction film,0.0003548587796605755
fifth element,0.00035365410037388196
film,0.01118510094093106
film neuromancer,0.002230307824176107
flamingos,0.0002719380023965711
flowers,5.15961377920991e-06
fluffy,0.0008564088012394396
footage,0.003917573219658118
forest,6.3749157063829e-06
frazetta,0.0008551427365800942
frazetta fantasy,3.073476034835628e-06
frazetta giger,8.023411408066519e-08
futuristic,0.00018064529469626972
garden intricate,0.00031057301223017057
giant digital,5.067312475377842e-06
girl clouds,0.0
glamorous sophisticated,2.2039029446182314e-06
glimpse universe,0.00015945818723812782
goddess,0.006055954365828042
goddess creative,7.519914774488209e-06
goddess wearing,0.0
gordon,0.0010565217175064552
goth,0.005926740582794194
goth emo,0.0003364650426532393
goths,0.00033989158648999523
goths loitering,0.0005633491763844112
gundam,0.00032370884848600777
gundam unreal,0.0002731660961954376
gustav klimt,0.001678059039874486
hd,2.858863269530016e-05
hd goth,0.0003145086233472329
hd painting,0.0027658905420309523
hd unreal,0.001169169971230008
heavy detailed,0.0002954468431992574
high quality,0.0
hills slavic,0.0
himalayan,0.0008875318094841333
himalayan rocksalt,0.0
houses,1.025996667005811e-06
houses built,0.0
hyper detailed,0.002082965054724196
illustrated,0.00041993440810561745
illustration,0.0
illustration art,0.00031924731371964714
imposing cyborg,0.00026131999320720044
intricate details,2.212193316626772e-05
intricate hyper,0.00029495443758268146
intricate royo,0.0
intricate volumetric,9.050422842978435e-06
josan,1.7060161312881532e-06
josan gonzalez,0.0
knight,0.0003091867124724674
kylie,1.8872426213672204e-06
kylie minogue,0.0
lamp,0.0
landscape,4.382711022032933e-05
landscape colourful,0.0
lantern candle,0.0002834583287972833
length portrait,0.0007995522713200976
lifelike photorealistic,0.0005245070292210615
lighting,6.119808323708451e-05
lighting hd,1.3552719368508605e-06
lightning intricate,0.0
log houses,0.0
looking camera,0.00027024742941524006
low clouds,0.00027970376698021454
madeira faroe,0.0002766185154767652
male dunmer,0.0
manga,0.0003751648945348627
manga illustration,0.0
marble hourglass,0.0
matte,0.0009386525300714742
matte painting,0.012695638444802933
media collage,0.0
mid century,0.0040955109137418505
minogue,0.0
mixed media,0.00018880638789969391
modern,0.0003708584266097117
modern art,0.0053191012375525225
movie,3.5578578377020557e-06
movie poster,3.912643322097607e-06
natural scene,0.0017993690383017993
nerevarine,0.0005551339275409498
neuromancer,0.0002308855164535412
oblivion skyrim,0.0
octane render,0.0
oil painting,0.00034036420210069773
overcast thunder,0.0003266434165943785
pablo picasso,0.0003819858057557524
painted,0.0007703638384067586
painted pablo,0.0
painting,0.004898418185453518
painting aesthetic,0.0020525576141945676
painting artstation,0.0003934978938264465
painting beautiful,0.0038327990585820104
painting character,0.0006629480381152477
painting chris,0.00039687754455789223
painting deviantart,0.0005567323696321094
painting lurid,0.00030832200539361576
painting lush,0.0
painting peter,0.0
painting ronny,1.9621060755683743e-06
painting sargent,0.00038403434498050673
painting stalenhag,0.00032721069998719037
painting unreal,0.0002600608130503663
peter,0.0004266480412684324
peter elson,0.0003159961496630237
photo,0.0002774240261439797
photo realistic,0.00026053763418314987
photograph,0.00032348096102033917
photograph divine,0.0016335370246512142
photography,0.00026193751549482685
photography awards,0.0
photorealistic,0.016429737398730805
