keyphrase,mean_abs_shap
abandoned,1.3203559092270914e-05
alchemical creatures,2.189882097736121e-05
alien,0.001241094202779576
alien planet,0.0022010875693771405
android cyborg,0.0003818689099983683
anime,0.0009566524733217141
anime colors,0.0008386433353243842
anime epic,0.0005658187110852926
art,0.014068976901319133
art artgerm,0.007100254851495965
art hyperrealistic,0.0025703509916092924
art josan,0.0019176503973096723
art lifelike,0.0018818548831533262
art punk,0.0015948360228528597
art realistic,0.0029154226090831025
art sharp,0.0026652451159103383
art smooth,0.0026527240704787938
art style,0.002828165933541886
art thorough,0.004025697897994062
art trending,0.006169655298425999
artistic,0.00018515576160175654
artistic painting,0.003057637529254153
artstation,0.007608455688967521
artstation cinematic,0.0017226318515388085
artstation galaxy,0.00017266470828488498
artstation hyperrealism,0.0006600692572193162
artwork,0.002827257788481428
atmospheric lighting,0.0022297507977020125
azores,0.0006002152378475316
barbarella,0.0017586123918247663
beautiful,0.0029953832250683085
beautiful landscape,0.001481538345204522
beneath cherry,0.0028179037816642404
bernard simunovic,0.00013690769139008044
bjork,0.003672153513941251
black,0.005445899538458525
body manga,0.0006287789115280849
body portrait,0.0005211462148034084
body shot,0.00015516410989496412
bonsai,0.0032781755242979036
bonsai tree,0.0004533678768739231
bull looking,7.31692141259043e-06
bull modeled,0.00013083137158534323
butterfly volumetric,0.00022870582308852345
camera,0.0013147251968272631
candle butterfly,0.0010643217775267312
candle volumetric,0.0002314149022143272
canvas,0.0014355522056896976
castle,0.004320365322780159
castle enclosed,0.0024312379472197477
cat,0.001765738772563495
century modern,0.0042540504203126064
character portrait,0.005051821355973038
cinematic,0.011036663159807076
cinematic composition,0.0048562019107899375
cinematic deviantart,0.004060966033708145
city,0.0034833148320111904
clouds,0.0037897851148216894
clouds madeira,0.0016066615656416526
collage canvas,0.0016213925252920247
colors,0.001635683639538434
colossal,0.0016017875125058565
colossal goddess,0.001889502626299328
comic book,0.003266729642015163
comprehensive art,0.0029826005769278416
concept art,0.011283510581107273
contemporary art,0.0015436448364928171
creatures surreal,0.0004030545026082223
cute fluffy,0.0020752685102317253
cyberpunk,0.0037321147492737996
cyberpunk art,0.0017379504662907732
cyborg,0.005996264358148748
cyborg body,0.0
cyborg bull,0.0
daedric armor,0.0002572031459899193
dark,0.0017773527159117058
dark uncanny,0.0008252684268791178
design,0.0010649204998792493
detailed painting,0.0025736476559199218
detailed portrait,0.0023557368226511206
detailed ultra,0.0022152429917802526
details intricate,0.0010984615748962415
detective pikachu,0.0008370395596383643
deviantart,0.0029399396776467455
deviantart cinematic,0.003217428587146607
deviantart hyperrealistic,0.00024238695442995768
deviantart realistic,0.015062704921759849
digital art,0.014221808666091157
digital painting,0.01592640634290833
digital render,0.0023669329827371113
divine,0.0015450739503266482
divine pink,0.0012349015300420192
dog,0.0012078024086473538
donald,0.0047645788000193895
dragon,0.003991544361015684
dramatic lighting,0.0017490395215840806
drawing,0.0017630755176551718
dunmer nerevarine,9.58383143563874e-05
einstein,0.0013785681066169064
elf,0.004046524205813217
elson,0.011945682408083538
emo,0.001503806511721555
emo punk,0.0035301548054411398
engine,0.002580279716712597
entries sony,0.002816192497808409
fantasy art,0.0063526989835487055
fantasy painting,0.0067915088199768546
fantasy style,0.0003075216133000352
faroe azores,0.002946411790508225
fashion clouds,0.0005278869964405325
fiction,0.0032115577010224778
fiction film,0.00487350955763296
fiery alchemical,4.8805022933746175e-05
fifth element,0.0021789736477138464
film,0.008051595561231164
film neuromancer,0.0017093091319210268
fine artistic,6.43487535378734e-05
flamingos,0.0014247118229975798
flowers,0.0023089703059342094
fluffy,0.0011853782546643724
footage,0.005510881717330318
forest,0.0025166980475759587
frazetta,0.002551774380540636
frazetta giger,0.0009523246383023057
futuristic,0.0009625302373976526
garden,0.0021940395036164
garden intricate,0.0018606896680840501
giant digital,0.003922340514916938
glamorous sophisticated,0.0036094942353753837
goddess,0.008003214394932835
goddess creative,0.00011937756984338047
goddess wearing,0.0020699478521754738
gonzalez,0.0012814328683551327
gordon,0.00483013493390032
goth,0.00481590498073311
goth emo,0.0016411018056120908
goths,0.002995681521951651
goths loitering,0.0010121573185256796
greek man,0.0006892357899583657
gundam,0.0014900577337683915
gundam unreal,0.0013594420018884382
hd,0.0012274622354539616
hd goth,0.0014886568330365684
hd painting,0.0029377145016894336
hd unreal,0.004534692497648393
heavy detailed,0.0021251123038281395
high quality,0.0025280202801373232
himalayan,0.0013081075029329266
himalayan rocksalt,0.00010999834588859027
houses,0.0020409408623839336
houses built,0.0030013725604607915
hyper detailed,0.004958542707325732
illustration art,0.004211796252803785
imposing cyborg,0.00012365038433599946
intricate details,0.007744497608536816
intricate hyper,0.002727300940713229
intricate royo,0.001696175713318012
intricate volumetric,0.0006501618568383688
jacket black,0.0014041617327536966
josan,0.0023089986644990947
josan gonzalez,0.003128600218985493
kylie,0.001465388454140015
kylie minogue,0.0013851135428157209
lamp,0.000214233763320875
landscape,0.007630786511633273
landscape colourful,0.0011666308602426396
lantern candle,0.00223418213860753
length portrait,0.005134071168786001
lifelike photorealistic,0.00123415742849157
lighting,0.002322993383926935
lightning intricate,0.0021011956870277625
log houses,0.0037414110762526522
looking camera,0.0
low clouds,0.0014404335992089501
madeira faroe,0.0018254913733341468
male dunmer,0.00021139965332295772
manga,0.004311830947193707
manga illustration,0.0011133260726040452
marble hourglass,0.001164893283088795
matte,0.0037244114887510747
matte painting,0.013994543000934017
media collage,0.0014263772459509056
mid century,0.0027473608565195856
minogue,0.0013475636188579386
minogue barbarella,0.0015809339075210363
mixed media,0.0034754339562592797
modern,0.0009358901236469536
modern art,0.00701137113003123
movie,0.0030031321536762704
movie poster,0.0021327430272304
natural scene,0.004050829604980523
nerevarine,0.004879555574099255
neuromancer,0.002926428370024877
octane render,0.0031228256813258773
oil painting,0.003699947093679871
overcast thunder,0.00041738632627636503
pablo picasso,0.0014544930970455925
painted,0.002922365959189084
painted pablo,0.0037241240304381894
painting,0.01542383314836085
painting aesthetic,0.0038612155640522007
painting artstation,0.0024782236792308806
painting beautiful,0.012871550275368099
painting character,0.0018104126573170332
painting deviantart,0.006050989813147351
painting lurid,0.000987244479883241
painting lush,0.002635112971760814
painting peter,0.005567378571895883
painting ronny,0.0013167836099564365
painting sargent,0.005957134204357752
painting stalenhag,0.0007611063624762077
painting unreal,0.0012415060010163078
peter,0.0021915937322194313
peter elson,0.0011564910672391734
photo,0.002928411585787093
photo realistic,0.003753903001392207
photograph,0.002572371289643261
photograph divine,0.004026114265864699
photography,0.005913135848784053
photography awards,0.0013572416768982615
photorealistic,0.015061112151381777
photorealistic digital,0.004823637085171608
phyics entries,0.0025564511348826475
picasso,0.006300648912858478
picasso hair,0.0031511867879725868
pikachu hannah,0.0020147610986096967
pink bonsai,0.0027024123290168233
pink flamingos,0.0014807792630367263
pixar,0.0020751574331715882
pixie cut,0.0013377055648404715
portrait,0.01891362030764591
portrait ancient,3.608845164966017e-05
portrait extremely,0.0020388290860632284
portrait intricate,0.0004243913708614677
portrait male,0.0033794476894535197
portrait painted,0.0014858613541287914
portrait painting,0.005907525768489814
portrait photograph,0.001977999802865218
portrait sabouts,6.469584051769402e-05
portrait scifi,0.0069637901138229685
punk,0.0016493434160635549
punk art,0.0011865220051518906
punk portrait,0.0010865101933559109
puppy,0.0005141301008037305
puppy sitting,0.00038258055580261616
render hyperrealist,0.000387197838332704
resolution wallpaper,0.0022985501362877254
robot,0.0011832089271955409
rocksalt lamp,0.00031154573312594205
room,0.0019766621817404275
rpg portrait,0.0027801613082994196
ruins,0.0028138626158769574
runway,0.002247216397005828
saitama,0.0002962649846399939
saitama anime,0.003318518345467792
scene,0.0034344459114776073
scene science,0.000534534483914234
science,0.00017317306000133289
science fiction,5.3527427436253856e-05
screenshot,0.0017498398826959619
shade talking,0.0011834908444424575
sitting snowy,0.0007594128824932164
sky,0.0008887251741014119
skyrim elegant,0.0029452076777372626
snowy,0.0010855886276327853
sony,0.004209312613092608
sony world,0.0021730787971897597
space,0.002478516866973346
starmaker,0.0024539094390033074
starmaker matte,0.001136097880427364
stars,0.0005179337025299082
statue,0.001752340616523653
steampunk,0.00456310186320018
steampunk himalayan,0.0020896942135077506
studio ghibli,0.0014864848475850325
style contemporary,0.002657445700982965
style portrait,0.0013433360584614383
surreal,0.004278698797045164
surreal concept,0.0039848917980909405
surreal dark,0.0
surrealism,0.010940848680585927
surrealism surreal,0.0052496114495546135
tracing artstation,0.0017259585847010065
traits painting,0.001685933970737791
trending artstation,0.003003094494655756
ufo,0.001454707848252614
ufo ignoring,0.0045623967415525405
ultra realistic,0.0021850086098510616
uncanny painting,0.004127715746042944
unreal engine,0.012911467487429397
vallejo frazetta,0.0005973103853433914
vegetation,0.0011258106536818616
vivec portrait,0.0012479210547134702
volumetric lighting,0.0021427641863117075
wallpaper,0.0008150696572934498
wallpaper illustration,0.0036549500248722654
wizard,0.0028215875752719403
woman,0.0025290919123809965
world photography,0.0022750184732786226
zdzislaw beksinski,0.004583575475632809
