keyphrase,mean_abs_shap
abandoned,0.0001811320728628753
alien,0.0005147301821846811
alien planet,0.0
android cyborg,0.0
anime,0.0024441033607695306
anime colors,0.0010807444754361772
anime epic,0.0007026524748200013
armor daedric,0.0001365020302699519
art,0.0069272231086944325
art artgerm,0.0032743864773643904
art city,4.323711368128642e-06
art hyperrealistic,0.0010433303625717843
art josan,3.8819563416960116e-05
art lifelike,0.00021563077515371532
art punk,1.1219869815907078e-05
art realistic,0.0011914261845506326
art sharp,0.0010318333425482352
art smooth,0.0013121332967449004
art style,0.0012512773690162228
art thorough,0.0012998837730318518
art trending,0.003384804895838475
artistic,0.00014218189000863112
artistic painting,0.0010387185740371558
artstation,0.007287669581512945
artstation cinematic,0.0003285294620492181
artstation galaxy,0.00013636295139643825
artstation hyperrealism,6.632233138988958e-05
artwork,0.0017222476865613853
atmospheric lighting,0.0036144210797877862
avant garde,0.00011853822082393289
azores,0.0007764902009688099
azores islands,0.0010740606704450156
beautiful landscape,0.0
beneath cherry,0.0003936255030066957
bjork,0.0008446883820504236
black,0.0017280819779368823
body manga,6.388058240689961e-05
body portrait,0.0009053279751092986
body shot,3.348764788217839e-05
bonsai,0.00017109856841195873
bonsai tree,0.0008092136441638427
bull looking,0.0
bull modeled,4.872036479064822e-06
butterfly volumetric,0.00022731272031732523
camera,0.00028109616038276273
candle butterfly,3.741048793376036e-05
candle volumetric,0.0012402235051319794
canvas,0.0002711457061326579
castle,0.008476277822982525
castle enclosed,0.0
cat,0.0001835200085401863
century,0.0002896813799827631
century modern,0.0020109929227420777
character portrait,0.0015170107296400366
chris,4.7675899827731905e-05
chris foss,9.760462984514799e-06
churches domes,0.0
cinematic,0.007166204618210287
cinematic composition,0.0015089332690575033
cinematic deviantart,0.0007763715782000361
city,0.00020626885897867607
cloud fashion,0.0009660428606550118
clouds,0.006734945803168282
clouds covered,0.00016365423687040881
clouds girl,0.001057299812121246
clouds madeira,0.0010188413057409887
collage canvas,0.0
colors,0.0010664403114820542
colossal,5.389218303080229e-06
colossal goddess,1.3249580147993332e-05
comprehensive art,0.0041817896345386135
concept art,0.01639039097809059
contemporary art,2.4172255851711045e-05
cute fluffy,0.002608715789285531
cyberpunk,0.0024287805752604727
cyborg,0.0008386170187484317
cyborg body,1.926678110051299e-05
cyborg bull,0.0
daedric armor,0.00019060915744434023
dark,0.0018560848237524977
dark uncanny,0.0003930616937409959
detailed painting,0.003510934269611041
detailed portrait,0.0013798887828393959
detailed ultra,0.0017284587776985356
details intricate,0.0005151923978061951
detective pikachu,0.001076304277928211
deviantart,0.0036543542800714563
deviantart hyperrealistic,0.0010826155408771034
deviantart realistic,0.009509710405588465
digital art,0.01578852979351367
digital painting,0.07544234550665323
digital render,0.0
divine,0.0015487699747376447
divine pink,0.0008600670231073675
dog,0.001940293063937545
donald,0.004148737437541749
dragon,0.0011863355093332713
dramatic lighting,0.0021070993673023846
drawing,7.430289874456385e-05
dunmer nerevarine,0.0007762695987484965
einstein,0.001150785512383931
elf,0.002758206721453222
elson,0.003955769143387961
emo,0.0017507642796762383
emo punk,6.147975571224663e-05
engine,1.8146304054101333e-05
entries sony,0.005713636111343072
fantasy art,0.0034516469396366463
fantasy painting,0.00477149552733097
fantasy style,0.00012710444428502387
faroe azores,0.0018050625964449798
fashion clouds,0.0009684079656186808
fiction,0.0011631763098049318
fiction film,0.0014632353839952078
fifth element,0.0008133530711009856
film,0.022072162372060652
film neuromancer,0.0017108757092322753
flamingos,0.0007061775120119723
flowers,0.00023531314278940296
fluffy,0.0012754616283135636
footage,0.005051950100847323
forest,0.0012607576568755229
frazetta,0.002676300852168119
frazetta fantasy,0.0011958432204588693
frazetta giger,0.0007941016824787254
futuristic,0.0006784701269022585
garden intricate,7.881872752261077e-06
giant digital,1.6347988267388536e-05
girl clouds,0.0008948340866977282
glamorous sophisticated,0.0022461635969513467
glimpse universe,0.00028791943205718504
goddess,0.009573678304337443
goddess creative,0.0
goddess wearing,0.000968262618091682
gordon,0.0026667075509548698
goth,0.0016457742815368926
goth emo,0.00013873414747844745
goths,8.891300675490327e-05
goths loitering,0.0002554475126633462
gundam,0.0008390257771353026
gundam unreal,3.7363699200995836e-05
gustav klimt,0.0029475454662784097
hd,0.0008316642878874921
hd goth,0.00010485695978039771
hd painting,0.003311679309770476
hd unreal,0.0018444685140604094
heavy detailed,0.0001125685977421088
high quality,0.0014996042034033778
hills slavic,7.303209131372874e-06
himalayan,0.005087937414155413
himalayan rocksalt,0.0009983542559755907
houses,3.174850893748083e-05
houses built,0.0
hyper detailed,0.005254609872527075
illustrated,0.0013750956315086169
illustration,0.0007291444710024386
illustration art,0.001492604921501461
imposing cyborg,4.192095210723563e-05
intricate details,0.0013274881821292355
intricate hyper,0.0011971203633818837
intricate royo,2.3523705783455654e-05
intricate volumetric,0.0013270872573666883
josan,4.1574488168226896e-05
josan gonzalez,8.387755761573643e-05
knight,0.0026254451211395417
kylie,0.0007703412036052468
kylie minogue,0.0009507296741376093
lamp,0.0009326730181856647
landscape,0.0010682054040737356
landscape colourful,2.8790856754557676e-06
lantern candle,0.00040587525414455397
length portrait,0.0016404230715710228
lifelike photorealistic,0.0008762945248507942
