keyphrase,mean_abs_shap
abandoned,0.001163352295091662
alien,0.0010799765389156659
alien planet,0.0007290687494657914
android cyborg,0.0
anime,0.003172798846860703
anime colors,0.00017930070937010372
anime epic,0.00016336440873448627
armor daedric,0.00114249550896719
art,0.007542700567059685
art artgerm,0.004889495662387448
art city,0.0018056091872846298
art hyperrealistic,0.0006392788755852086
art josan,0.0012252692022572194
art lifelike,0.0001069495556508127
art punk,2.570484501237242e-05
art realistic,0.0002516446887976718
art sharp,0.0008364769383035525
art smooth,0.004384232063729663
art style,0.002290459073888612
art thorough,0.0005203336174707205
art trending,0.009936033279866995
artistic,0.00019264249919488294
artistic painting,0.001251846848929529
artstation,0.013763308123607928
artstation cinematic,0.0006279566970033675
artstation galaxy,0.00015940500325113167
artstation hyperrealism,0.0013599715764450947
artwork,0.0017411905766220785
atmospheric lighting,0.0014060257409141597
avant garde,0.00011064184999520603
azores,0.0015574779453671568
azores islands,0.0014485165870275422
beautiful landscape,0.0023441292353952436
beneath cherry,0.0006410728048830963
bjork,0.001427176666522783
black,0.001364367916288296
body manga,0.001356555536860533
body portrait,0.001044132663941855
body shot,0.0
bonsai,0.002028525191801754
bonsai tree,0.0015889391043560968
bull looking,0.0
bull modeled,0.0
butterfly volumetric,0.00047323417934302367
camera,0.0022069444578735743
candle butterfly,0.0012632166622525442
candle volumetric,0.00010278309611367482
canvas,0.0015659502248015953
castle,0.007433368181869426
castle enclosed,0.0010809684351584384
cat,0.001170313799415341
century,0.00038678686795447584
century modern,0.002921754855993999
character portrait,0.0022711677736692217
chris,0.0005493165070200071
chris foss,0.0007107362614848035
churches domes,0.0014117352152017253
cinematic,0.00570398061993909
cinematic composition,0.0019570667592877307
cinematic deviantart,0.0002130413651629291
city,0.0021550065456557694
cloud fashion,0.00040041106344786733
clouds,0.005620624019309317
clouds covered,0.0002530928223560799
clouds girl,0.00033435246524283823
clouds madeira,0.0021922130590672504
collage canvas,2.9914137495897455e-05
colors,0.0003727071843386598
colossal,0.0022616458847718067
colossal goddess,0.0016874034293254336
comprehensive art,0.0016416515853330627
concept art,0.007663118913257255
contemporary art,8.687109643668896e-05
cute fluffy,0.001684749003280722
cyberpunk,0.002162488873161709
cyborg,0.0008430006691005463
cyborg body,0.0
cyborg bull,0.0
daedric armor,0.001536754922699882
dark,0.0011138076104012663
dark uncanny,0.0015709005619389163
detailed painting,0.002048918410719805
detailed portrait,0.0018536503397804343
detailed ultra,0.0009638086922784336
details intricate,0.0008385044696870233
detective pikachu,0.0026532409152281106
deviantart,0.005861813899033816
deviantart hyperrealistic,0.00020033787261295396
deviantart realistic,0.004766732041943387
digital art,0.016191408087645374
digital painting,0.029801182826906893
digital render,0.0006247099755421539
divine,0.0014846673150595052
divine pink,0.0
dog,0.0027520364638702706
donald,0.002430900423624582
dragon,0.000839984247856504
dramatic lighting,0.00046942310644505655
drawing,9.719624407440281e-05
dunmer nerevarine,0.000948782783916121
einstein,0.0016673512259644777
elf,0.002276396517549745
elson,0.004586766961398971
emo,0.0010366240188918825
emo punk,0.00015026111201949633
engine,0.0016185047752385292
entries sony,0.002097201787309886
fantasy art,0.004023076806923028
fantasy painting,0.01365022221613811
fantasy style,0.0001644532071212618
faroe azores,0.0018261082205997784
fashion clouds,0.00034959836628109124
fiction,0.0009484808057360794
fiction film,0.0020752982392680634
fifth element,0.0008201955731867062
film,0.004215515795874836
film neuromancer,0.001724578172665823
flamingos,3.445937061577705e-05
flowers,0.0003763463174596624
fluffy,0.0005703298128977705
footage,0.0037693997114997568
forest,0.00461269330075108
frazetta,0.0037863195101130362
frazetta fantasy,0.00023326995466288434
frazetta giger,0.00150532442836839
futuristic,0.0006139631348330345
garden intricate,0.0016194911737703402
giant digital,0.0023441184025476862
girl clouds,0.00037753804384498343
glamorous sophisticated,0.0005944100560755594
glimpse universe,0.001812705083279611
goddess,0.005460732043611469
goddess creative,0.000789624640388529
goddess wearing,0.000756537989750659
gordon,0.0011071046127625213
goth,0.003829937379530182
goth emo,0.0001270068860383603
goths,0.000623791350233995
goths loitering,0.0005505749794638571
gundam,0.000980194376807047
gundam unreal,0.00033738894829242434
gustav klimt,0.0025492431215879538
