keyphrase,adjusted_mean_shap
digital painting,0.0410713340510643
photorealistic,0.021978274824098126
matte painting,0.01946081786322795
digital art,0.013596809041032627
concept art,0.012219780834796225
film,0.011381093667524374
painting,0.010484880207855376
portrait,0.009816776365867651
art,0.009369705838022976
deviantart realistic,0.008755401336063826
unreal engine,0.008650877097278225
picasso,0.008335793498473675
artstation,0.008184002967292275
surrealism,0.0079754926547379
goddess,0.0072733947771773996
castle,0.0070505381774773
painting beautiful,0.007036481224157025
fantasy painting,0.006768536913701726
cinematic,0.006057780129056225
modern art,0.005973636850514524
elson,0.005833935050992225
art trending,0.005439666826252
clouds,0.0051521943434257
footage,0.004562451187333849
art artgerm,0.004383444410854325
portrait painting,0.0043718517428704
painting deviantart,0.004076898240107325
goth,0.004054589306148525
deviantart,0.004051150511537525
mid century,0.0038846879453586
hyper detailed,0.0038315472489305748
fantasy art,0.0036662699690046003
sony world,0.003493009161177875
donald,0.003420168985685775
comic book,0.0032667296420151
deviantart cinematic,0.0032174285871466
photography,0.0031616331241612746
entries sony,0.0031004071953937003
lighting,0.0030448728352778214
hd unreal,0.0030054086247304
beautiful,0.0029953832250683
uncanny painting,0.0028808437297773997
ruins,0.0028138626158769
trending artstation,0.00278514592833115
painting aesthetic,0.002771255332565275
painting sargent,0.00275027371856025
intricate details,0.0027438784439068917
photograph divine,0.002734235049551925
nerevarine,0.002679769010610775
landscape,0.0025696062936549826
scene,0.00256741613863015
manga,0.002561690334235575
hd painting,0.0025613515162880253
frazetta,0.002467384369850425
surreal,0.0024644797097225
ultra realistic,0.0024562758199743497
length portrait,0.00244580379980475
surrealism surreal,0.00243197108158325
gordon,0.002415117203781
portrait scifi,0.002408740614887299
gustav klimt,0.0023916158759135667
century modern,0.002384434249906525
woman,0.00235677524162925
comprehensive art,0.0023453601806618
elf,0.0023390059162107252
wallpaper illustration,0.002323965090879025
resolution wallpaper,0.0022985501362877
himalayan,0.0022301966664187997
detailed painting,0.0022175808248847753
character portrait,0.002215183821012037
black,0.00221458418013615
atmospheric lighting,0.00220705171213935
garden,0.0021940395036164
fiction film,0.00219172549013915
oil painting,0.0021892656006945
art smooth,0.0021654995074719997
cyberpunk,0.0021638934451534
cinematic composition,0.002148178465064125
forest,0.0020991309802271957
painting artstation,0.0020870746978875
cute fluffy,0.00203805589127225
steampunk,0.002026833647334825
cyborg,0.0019986115745006003
high quality,0.001995317156625525
room,0.0019766621817404
illustration art,0.001965797419116575
matte,0.00194694178704795
ufo ignoring,0.001873666022861
film neuromancer,0.0018437677094987751
artwork,0.00182011748545325
wallpaper,0.001817030149935275
photorealistic digital,0.001789481233998975
painting peter,0.00176544163922795
barbarella,0.0017586123918247
science fiction,0.0017563602208937386
cyberpunk art,0.0017379504662907
faroe azores,0.0017241046739483248
pikachu hannah,0.0017104951668566
anime,0.0017099853468214251
sony,0.0017016650556909
neuromancer,0.0016911910341101748
portrait extremely,0.00168169515159115
natural scene,0.0016803537773425177
art style,0.001678351119799975
movie,0.0016671326042736255
rpg portrait,0.0016642423759254
zdzislaw beksinski,0.0016572521632593502
peter,0.0016523462903557
punk,0.0016493434160635
photograph,0.00161816312625735
glamorous sophisticated,0.0016130679478366795
steampunk himalayan,0.00159659514896055
minogue barbarella,0.001580933907521
surreal concept,0.0015798544343287998
giant digital,0.0015719685545518168
art thorough,0.00155296540075945
city,0.0015493361124842
bjork,0.0015476675092725
detailed portrait,0.001541144399581525
saitama anime,0.0015405333910793752
photo,0.0015186839430226498
painted,0.00151016635160995
dragon,0.001504466029551325
dog,0.00147503298411375
painted pablo,0.001474568242425325
space,0.00145318715956955
bonsai,0.0014497818824435
detailed ultra,0.001429349646604175
log houses,0.0014263656386439391
artistic painting,0.001418754003961725
jacket black,0.0014041617327536
portrait photograph,0.0014006121701884248
knight,0.0013935626905701333
portrait male,0.001386617697224775
mixed media,0.001384193796588375
pixar,0.0013725415825465
detective pikachu,0.0013653070060439501
photo realistic,0.0013650565586999749
wizard,0.00134796360091735
fiction,0.0013333848119088112
robot,0.001332968983040075
painting character,0.00133110187674605
cinematic deviantart,0.0013082533811550497
lifelike photorealistic,0.001302532397925925
gonzalez,0.0012814328683551
picasso hair,0.0012791883297336435
skyrim elegant,0.001276378153507375
clouds madeira,0.001274564504149425
studio ghibli,0.0012733013934714999
traits painting,0.00126796052186205
dark,0.001260220415908775
houses built,0.0012487955251737248
divine,0.0012475616679347252
intricate hyper,0.0012384540875965998
octane render,0.00123371320110835
art sharp,0.001228279472086125
phyics entries,0.0012190905469656248
emo,0.001180847002533825
madeira faroe,0.0011601686265903
josan gonzalez,0.0011514940999108592
art realistic,0.001149737966708575
dramatic lighting,0.001147673106421275
painting ronny,0.0011459575157243673
screenshot,0.0011343315593326
vegetation,0.0011258106536818
beneath cherry,0.001111344205458575
volumetric lighting,0.001101293098338925
pink bonsai,0.0011008456671923648
snowy,0.0010855886276327
pablo picasso,0.001084757677709975
art hyperrealistic,0.0010652925367529973
design,0.0010649204998792
engine,0.0010542326990012753
einstein,0.0010491762112413
lantern candle,0.0010430681621053251
fifth element,0.0010415440980938002
lightning intricate,0.00104114552532745
camera,0.0010348326519334
emo punk,0.0010228591855542867
style portrait,0.001022229465175
goths,0.001012069366357576
hd goth,0.00099972572306985
fluffy,0.0009718946242787249
statue,0.0009699624596450499
colossal,0.0009672056538951701
houses,0.0009593358569066218
beautiful landscape,0.0009564168951499251
stars,0.0009517634407431249
starmaker,0.000951010482384775
garden intricate,0.0009496589317091653
azores islands,0.0009486957421851
goddess wearing,0.0009486871150044
painting stalenhag,0.000928561792182225
portrait painted,0.000928196590386175
world photography,0.0009275199925153648
illustration,0.0009094082711989
gundam,0.0009082466840491499
illustrated,0.0009071616283695666
colossal goddess,0.0009003459300020276
sky,0.0008887251741014
castle enclosed,0.000878051595594525
peter elson,0.0008769176076007751
josan,0.0008698762732439538
low clouds,0.0008574514282532262
cat,0.0008554412259683751
intricate royo,0.0008492652159384639
painting lush,0.000838146286380325
azores,0.0008341832198529
colors,0.000831020765988125
canvas,0.0008261639408785673
manga illustration,0.0008166781787391001
style contemporary,0.0008131506404102015
modern,0.0008130531197734401
frazetta giger,0.0008129577458158451
bonsai tree,0.000799834293774375
art josan,0.0007963190498347123
pixie cut,0.0007895077780859501
alien,0.00078847895146225
runway,0.0007675093871179
sitting snowy,0.0007594128824932
surreal glimpse,0.0007590708612495021
ufo,0.0007535141290457751
glimpse universe,0.0007533609008582667
digital render,0.0007496223136510205
starmaker matte,0.0007386223826696239
alien planet,0.0007325390797107
flowers,0.0007314473449906025
hd,0.0007262248057903751
photography awards,0.0007250377936851
puppy,0.00071599546622135
saitama,0.0007098934748999914
kylie minogue,0.0007034566099318751
dark uncanny,0.0006984004103661246
movie poster,0.0006906381243341243
greek man,0.0006892357899583
minogue,0.0006755776148839
heavy detailed,0.0006748487316221001
candle butterfly,0.000671648518600165
artstation cinematic,0.000669779502647825
kylie,0.0006635996695112668
render hyperrealist,0.0006565226931299051
lighting hd,0.0006480469629524169
pink flamingos,0.000638311825106705
tracing artstation,0.0006365827248919
