keyphrase,mean_abs_shap
abandoned,0.0002851723061163719
alien,2.6404988496911805e-06
alien planet,0.0003048762897134569
android cyborg,0.00039371478269242837
anime,0.0012804365238710989
anime colors,0.00034545162935028823
anime epic,0.0
armor daedric,0.0
art,0.0004646187106327737
art artgerm,0.00115011860600644
art city,8.80850848387922e-06
art hyperrealistic,0.0
art josan,0.00034907418426495084
art lifelike,6.486940970591633e-06
art punk,3.009899085086226e-06
art realistic,0.002140852724627712
art sharp,0.0002978045440283875
art smooth,0.0003371840273724034
art style,0.0003986101330903221
art thorough,0.000363002095373591
art trending,0.0002985819735360751
artistic,0.00040347893801671153
artistic painting,0.00030503263095137725
artstation,0.005636255445111714
artstation cinematic,0.001280935472382642
artstation galaxy,0.001369871079319407
artstation hyperrealism,0.0056737453110972955
artwork,0.0005199175987976005
atmospheric lighting,0.0
avant garde,0.0
azores,0.00033128753511319365
azores islands,0.00041742611974126425
beautiful landscape,0.00042865014002339656
beneath cherry,0.0
bjork,0.0
black,0.0014292196014378314
body manga,0.0004000580428526692
body portrait,0.0002958703783101815
body shot,0.0003055961246001131
bonsai,0.0024331779844372777
bonsai tree,9.723066992736108e-06
bull looking,0.0003618832186192559
bull modeled,0.00033482356462285307
butterfly volumetric,0.0
camera,0.0002945919124882627
candle butterfly,1.6014071826229744e-05
candle volumetric,0.00033943686342686053
canvas,0.0009201380479778719
castle,0.0033971150557020875
castle enclosed,0.0
cat,0.0024037339417725704
century,5.9337130903054844e-06
century modern,0.00037020871469860126
character portrait,0.0005145932657865169
chris,0.0
chris foss,2.8692592915060412e-06
churches domes,0.0
cinematic,0.0006854969265479144
cinematic composition,0.0047380226157980885
cinematic deviantart,0.0007341893549620464
city,0.003671105074230801
cloud fashion,0.0
clouds,0.001439160376248141
clouds covered,0.0
clouds girl,5.2328196331055865e-06
clouds madeira,0.0032342122179808753
collage canvas,0.0
colors,2.493094820041721e-06
colossal,0.0
colossal goddess,1.3114082008999231e-06
comprehensive art,0.002689554735882648
concept art,0.006776129365177101
contemporary art,1.1622814999093347e-05
cute fluffy,0.0009601591921647475
cyberpunk,0.002984212925433949
cyborg,0.000329944614121753
cyborg body,0.0003321323414663212
cyborg bull,0.0003795129604544751
daedric armor,0.0
dark,0.008369850029845046
dark uncanny,0.0
detailed painting,0.0017994040038703505
detailed portrait,0.0
detailed ultra,0.00041969172897414936
details intricate,8.0714378876306e-05
detective pikachu,0.0
deviantart,0.025518102068739185
deviantart hyperrealistic,0.0
deviantart realistic,0.010756881066141708
digital art,6.075720316419457e-06
digital painting,0.0003802673851901155
digital render,0.0004165194720040806
divine,0.0
divine pink,0.0
dog,0.0
donald,0.0013775363833138307
dragon,0.0003723488841607002
dramatic lighting,0.0
drawing,0.0
dunmer nerevarine,0.00036749290485088424
einstein,0.0014361919484194518
elf,0.000539918330698831
elson,0.00033885508329202214
emo,0.0
emo punk,0.00031320475768679756
engine,2.0284253784281416e-06
entries sony,0.00027673267517989655
fantasy art,0.0004403016103312383
fantasy painting,0.00145382559015436
fantasy style,2.6710910234321065e-06
faroe azores,0.000370760664011461
fashion clouds,0.0002544057281429356
fiction,2.184975590013729e-06
fiction film,2.7651787841616955e-06
fifth element,0.0009134311245380598
film,0.027294236271601813
film neuromancer,0.0006079182740482871
flamingos,0.0
flowers,0.005070159083297947
fluffy,0.0004238335241590901
footage,0.0
forest,0.0016291630500415992
frazetta,1.3918223977858244e-06
frazetta fantasy,0.000591779263554554
frazetta giger,3.0636359381190703e-06
futuristic,0.0
garden intricate,1.3582757672821318e-05
giant digital,0.0
girl clouds,0.0
glamorous sophisticated,0.0
glimpse universe,0.00043876345918064186
goddess,1.2601808925138385e-06
goddess creative,0.0
goddess wearing,0.0001598870075330255
gordon,0.0003562894273016194
goth,0.0003374681957824661
goth emo,0.00033227919278453274
goths,0.0
goths loitering,0.0
gundam,0.001251064891263155
gundam unreal,0.0002687044961351548
gustav klimt,0.0
hd,6.652964808095131e-06
hd goth,0.0003742892900534199
hd painting,0.0
hd unreal,6.225629734307983e-06
heavy detailed,2.8157172585795545e-06
high quality,0.00033662290673990665
hills slavic,0.0
himalayan,0.0007205320543283034
himalayan rocksalt,4.720313774329554e-06
houses,1.4645019475464552e-05
houses built,1.1016738120842352e-06
hyper detailed,0.0003994440163364321
illustrated,0.0003562702243964707
illustration,0.0
illustration art,0.00437716094343313
imposing cyborg,0.0003098078059472746
intricate details,0.0011112079327929437
intricate hyper,0.0
intricate royo,0.0
intricate volumetric,0.0002789554863787857
josan,0.0003922051419048472
josan gonzalez,0.00040242246096641786
knight,0.00042956223943086487
kylie,0.0
kylie minogue,0.0
lamp,0.0
landscape,0.0008759788231594181
landscape colourful,0.0003229146699443571
lantern candle,0.0
length portrait,0.0
lifelike photorealistic,5.961170411956374e-06
lighting,0.000366696742564461
lighting hd,0.0
lightning intricate,0.0004183147993516312
log houses,7.49084371457563e-09
looking camera,0.00032444016619862274
low clouds,1.7924232585914368e-05
madeira faroe,0.001584505963453666
male dunmer,0.00031961310380166546
manga,0.002271031627348305
manga illustration,0.0003834303172462943
marble hourglass,0.0
matte,0.00038067191483203544
matte painting,0.018446827335624888
media collage,0.0
mid century,0.0005717317047753634
minogue,0.0
mixed media,0.0
modern,0.0003724924148830513
modern art,0.0003317506613114753
movie,0.00035286670131375476
movie poster,3.42408075753511e-06
natural scene,0.006213656205933892
nerevarine,0.0003035682409666895
neuromancer,0.0012356331537415983
oblivion skyrim,0.0
octane render,0.0003335981706399189
oil painting,0.0004612466411816848
overcast thunder,0.001599538441556807
pablo picasso,0.00044269782268988446
painted,0.00035899143858278746
painted pablo,0.00047162212038108996
painting,0.006914760861861997
painting aesthetic,5.896622536533796e-06
painting artstation,0.0017518511814103562
painting beautiful,0.00040779508023498936
painting character,0.000336528065831535
painting chris,3.246371596088194e-06
painting deviantart,0.0030558875180086305
painting lurid,0.0003301239445581682
painting lush,0.00034195727809628796
painting peter,0.0003529086839467751
painting ronny,0.0
painting sargent,0.010759915590982591
painting stalenhag,0.00026912082873735963
painting unreal,6.764034661210439e-07
peter,0.00046106926768303984
peter elson,0.0003748318509293643
photo,0.0003839237234366833
photo realistic,0.0012942205760951
photograph,0.0020560857695267
photograph divine,6.558785966845811e-06
photography,0.0010184414036922694
photography awards,2.3485429131061605e-06
photorealistic,0.0012990648132611092
photorealistic digital,0.0
phyics entries,3.363986611136773e-05
picasso,0.00035855717481815574
picasso hair,0.00034802656072226775
pikachu hannah,4.14311102898604e-06
pink bonsai,0.0
pink flamingos,0.0
pixar,0.0003103157457495473
pixie cut,1.6770231672870314e-06
portrait,0.0006767971499678964
portrait extremely,6.815285386004811e-08
