keyphrase,mean_abs_shap
abandoned,0.002240096195247108
alchemical creatures,0.002765321915739683
alien,0.002752706424615809
alien planet,0.0003220754193714256
android cyborg,0.00015503009060427252
anime,0.0033714149028958745
anime colors,0.0006248736672468568
anime epic,0.002654883115120005
art,0.012797677584515325
art artgerm,0.0011383587000531404
art hyperrealistic,0.0004822681848603487
art josan,0.0020815886304819814
art lifelike,0.005933214377132785
art punk,0.002165216312202683
art realistic,0.002302287981581233
art sharp,0.0027143637306430235
art smooth,0.0031834930015749202
art style,0.0027578382978342953
art thorough,0.004478712653619844
art trending,0.005267223780659013
artistic,0.003913481083603463
artistic painting,0.0004593286769691507
artstation,0.004868347575827784
artstation cinematic,0.0031394685153311778
artstation galaxy,0.0015103594347956385
artstation hyperrealism,0.011258536751363969
artwork,0.006624018486809965
atmospheric lighting,0.0017555304809206318
azores,3.054613033281595e-05
barbarella,9.688104815159127e-05
beautiful,0.00025025171989741176
beautiful landscape,0.0025607333122608846
beneath cherry,0.006568823106669118
bernard simunovic,0.0034043175289647804
bjork,0.0008240309365435425
black,0.004878568016199103
body manga,0.0029318270084261713
body portrait,0.0024054607442755113
body shot,7.336850139504845e-05
bonsai,0.001781579817859133
bonsai tree,0.0019426450265221066
bull looking,1.3700574702099941e-05
bull modeled,0.0
butterfly volumetric,0.0021179016898865695
camera,0.0
candle butterfly,0.002254240612793519
candle volumetric,0.0021757297090225784
canvas,0.017241631289078206
castle,0.002466471377302927
castle enclosed,0.0014211193584321292
cat,0.004851826826084458
century modern,0.00779051130824689
character portrait,0.0032186133600632127
cinematic,0.008102198931265282
cinematic composition,0.013834651097385745
cinematic deviantart,0.004966054550620456
city,0.006721377478998648
clouds,0.009306363943151656
clouds madeira,0.003287024072023874
collage canvas,0.002412897421487299
colors,0.0014533895520553411
colossal,7.141559344795052e-05
colossal goddess,0.00024591136281135287
comic book,0.001143175782522362
comprehensive art,0.004248049109798439
concept art,0.02883242845266424
contemporary art,0.0023145339219303915
creatures surreal,0.002938894698915664
cute fluffy,0.0010101987589776523
cyberpunk,0.004300876965648883
cyberpunk art,0.0038631631713034764
cyborg,0.004009789258212914
cyborg body,6.387404828874532e-06
cyborg bull,2.5303130349084735e-05
daedric armor,0.0008918421581793332
dark,0.007290263903498881
dark uncanny,0.0033573306111239903
design,0.0015201160713514779
detailed painting,0.005468626389357949
detailed portrait,0.0028281931041818646
detailed ultra,0.002155931445887554
details intricate,0.00103114949178308
detective pikachu,0.001983830207229468
deviantart,0.006036355849369687
deviantart cinematic,0.0032010878349644457
deviantart hyperrealistic,0.006942879584320493
deviantart realistic,0.005734134635029267
digital art,0.004200863983138614
digital painting,0.0047470841263615275
digital render,0.0010684233601280335
divine,0.0005967953077101111
divine pink,0.00034450677461238607
dog,0.000892497830385769
donald,0.005990268096365871
dragon,0.0013884883621437857
dramatic lighting,0.006041883021866511
drawing,0.0028266783129989996
dunmer nerevarine,0.0023634685043171485
einstein,0.004115215769736111
elf,0.0018921750598390366
elson,0.005162509149631969
emo,0.0024227000298160583
emo punk,0.0015725481297660159
engine,0.0013560128865833239
entries sony,0.00010753325361540956
fantasy art,0.009075965901299483
fantasy painting,0.003849367911208618
fantasy style,0.002460517509693328
faroe azores,0.00026343816358306474
fashion clouds,0.001189337718025403
fiction,0.0002646320985464335
fiction film,0.0023103726080640234
fiery alchemical,0.0014263942247035048
fifth element,0.0022461170040307525
film,0.017467386333549054
film neuromancer,0.0012297151190684252
fine artistic,0.000329643757255162
flamingos,0.00018454178639368501
flowers,0.004680972273769135
fluffy,0.0014073525095138594
footage,0.002629008856221419
forest,0.008440612426145478
frazetta,0.0033295676742488237
frazetta giger,0.00304657855773673
futuristic,0.0014363118749461785
garden,0.00166311871829972
garden intricate,0.0024193260846043455
giant digital,0.0013163436974120933
glamorous sophisticated,0.001274975181524349
goddess,0.003960574147036093
goddess creative,0.00023456823962952076
goddess wearing,0.00033544676339744475
gonzalez,0.0018105503799176715
gordon,0.001950716787273028
goth,0.003137619125684756
goth emo,20313708076.38913
goths,0.004362096685947015
goths loitering,0.0023322885865001003
greek man,3.0988976620354626e-06
gundam,0.007603767684782537
gundam unreal,0.0011127171751767184
hd,0.0036014890927579973
hd goth,0.0017860643749495306
hd painting,0.0043381474402292945
hd unreal,0.003668621001446454
heavy detailed,0.0023992095005861643
high quality,0.0038577584130995443
himalayan,0.001958535215249109
himalayan rocksalt,0.00219573339526209
houses,0.0029606268529759304
houses built,0.0004835604249201124
hyper detailed,0.0028133577185904496
illustration art,0.003996807329053158
imposing cyborg,2.8119950478757813e-05
intricate details,0.007666678796746968
intricate hyper,0.0020525012510890766
intricate royo,0.0033701282413459888
intricate volumetric,0.0022011037075159727
jacket black,0.00020986085360532466
josan,0.002459667212876225
josan gonzalez,0.0022698676238160284
kylie,0.00019526384479344951
kylie minogue,8.340007137397081e-05
lamp,0.001640284336275797
landscape,0.004707753685808427
landscape colourful,5.817869558988329e-05
lantern candle,0.0018049725875935241
length portrait,0.005719404134758405
lifelike photorealistic,0.002061283542485626
lighting,0.0023717936281614093
lightning intricate,0.004814363055365267
log houses,0.0007378989767960302
