keyphrase,mean_abs_shap
abandoned,0.0013005491469186322
alien,0.0014779339122959225
alien planet,0.0
android cyborg,0.0009329871040680267
anime,0.0029145840161508554
anime colors,0.00020984054254038088
anime epic,3.917147482027678e-05
armor daedric,0.0011025530688532732
art,0.008132597461878527
art artgerm,0.002286387936846191
art city,1.781209107632939e-05
art hyperrealistic,8.221212852484993e-05
art josan,1.7336845486137202e-05
art lifelike,0.0010366817288241144
art punk,0.0010892682233660446
art realistic,0.001118502878856439
art sharp,0.0011731201342779054
art smooth,0.0008321314606488948
art style,0.000567995636150831
art thorough,0.0002402799884507424
art trending,0.0016087893180990601
artistic,0.0013793569083160818
artistic painting,0.0010921658357574211
artstation,0.010686803789403315
artstation cinematic,0.0019916754362999164
artstation galaxy,0.002112443511515293
artstation hyperrealism,0.036430033011269854
artwork,0.002991234407073368
atmospheric lighting,4.410423648535068e-05
avant garde,0.0009894132175560495
azores,0.0010955471583832096
azores islands,0.0018741291675501608
beautiful landscape,8.922454608268073e-05
beneath cherry,0.001349208090874484
bjork,0.00046842631850552185
black,0.0033538097769689993
body manga,4.224026058324892e-05
body portrait,0.0007937618640645704
body shot,0.0009145233579804749
bonsai,0.004351988801833203
bonsai tree,0.001125693387262097
bull looking,0.0011604903478844436
bull modeled,0.0014002845455463693
butterfly volumetric,0.00011722139255397025
camera,0.0016611573994538538
candle butterfly,0.0
candle volumetric,0.0009422304886247724
canvas,0.0036932589856529235
castle,0.00509337007670456
castle enclosed,0.0
cat,0.0033357927913292935
century,0.0008210459079485638
century modern,0.0014253229386162716
character portrait,0.001616575372154019
chris,0.001734069310162452
chris foss,0.00109215701684731
churches domes,1.1620506201046021e-05
cinematic,0.0023068312846658812
cinematic composition,5675447872.571533
cinematic deviantart,0.0016420573812884738
city,0.010375838739421179
cloud fashion,0.0
clouds,0.011108764038999406
clouds covered,0.0014808769992686194
clouds girl,0.0
clouds madeira,0.0033666517145493147
collage canvas,0.0009975230175294121
colors,0.00018793440336574145
colossal,0.0008242465330237102
colossal goddess,0.0010300005955373845
comprehensive art,0.004092470059581704
concept art,0.0069769857338393354
contemporary art,0.0010665991176642287
cute fluffy,0.001520964977057403
cyberpunk,0.004378346511113426
cyborg,0.0018662951533597988
cyborg body,0.0007981443824827557
cyborg bull,0.0010219962873564718
daedric armor,0.0010255416795867354
dark,0.004613873652425795
dark uncanny,0.00017062977236603194
detailed painting,0.002916903674187928
detailed portrait,0.001101794973273098
detailed ultra,0.001981109685644092
details intricate,0.0008747561140039751
detective pikachu,0.00048475319781170217
deviantart,0.01598980016907581
deviantart hyperrealistic,4.705263407953757e-05
deviantart realistic,0.0068881224420795925
digital art,0.0022242705717437326
digital painting,0.006114976072593834
digital render,5.019398458717033e-05
divine,0.001391255779686141
divine pink,0.0001522948884408324
dog,0.0015792903098248716
donald,0.0016485283303299095
dragon,0.0005609213045306537
dramatic lighting,0.0009452393370196892
drawing,0.0001923651743043633
dunmer nerevarine,0.0012774907569880836
einstein,0.006559625509602611
elf,0.0025854099718213724
elson,0.0017343332400191194
emo,0.0012931765236231865
emo punk,0.0008877004170624059
engine,0.0015073762692314491
entries sony,5.25925441735868e-05
fantasy art,0.001337014678317135
fantasy painting,0.0035125888265458206
fantasy style,0.0008174947144999891
faroe azores,0.0014399589806524881
fashion clouds,0.0005140635817449889
fiction,5.832641932192417e-05
fiction film,0.00031997953501356694
fifth element,0.002252555708029777
film,0.03747214033714854
film neuromancer,0.000388016680441431
flamingos,0.00016866701344147282
flowers,0.007330483816020581
fluffy,0.0008123331651261523
footage,0.0011082975506068967
forest,0.002250448653565275
frazetta,0.001334399277152157
frazetta fantasy,0.00043172313226613816
frazetta giger,0.00019205277235262186
futuristic,0.0016298006733252433
garden intricate,0.00042400812831786986
giant digital,0.000960232088061139
girl clouds,0.0
glamorous sophisticated,0.0010964598306804508
glimpse universe,0.0007038019670187512
goddess,0.0015669588031171412
goddess creative,6.041059826011665e-06
goddess wearing,0.0005443476187632073
gordon,0.0032792230353762774
goth,0.0011006080174834057
goth emo,0.0009238802408777352
goths,0.001127677536990558
goths loitering,0.0012486290160182534
gundam,0.0024675914362691526
gundam unreal,8.737211307554179e-06
gustav klimt,0.0010840356966888445
hd,0.0013169966547785044
hd goth,0.0011446024536967566
hd painting,0.0012159730711836308
hd unreal,0.000417947593631613
heavy detailed,0.00204097852085055
high quality,0.0031046901045882645
hills slavic,0.0
himalayan,0.0003592078002155992
himalayan rocksalt,8.54214446299004e-05
houses,0.0026740373934596297
houses built,0.00011384600503479622
hyper detailed,0.0005095577560007156
illustrated,0.0021088083582972397
illustration,0.00036611718777224296
illustration art,0.0033245149548699333
imposing cyborg,0.0008365301604161572
intricate details,0.0005223668083575334
intricate hyper,0.0010553478124651144
intricate royo,0.0003536860151662558
intricate volumetric,0.0011804926953597069
josan,0.000443097768038693
josan gonzalez,0.0013958161842547343
knight,0.0010275875110558276
kylie,4.204205754419579e-05
kylie minogue,5.113689832395962e-05
lamp,7.984536176626714e-05
landscape,0.0016931209246335577
landscape colourful,0.0004319654708904501
lantern candle,3.051694987057194e-05
length portrait,0.003787429899579819
lifelike photorealistic,0.003471011701910235
lighting,0.0006047126358896801
lighting hd,0.00012694927830579733
lightning intricate,0.0027135551733982063
log houses,2.2840000461558758e-05
looking camera,0.0013020810564741733
low clouds,0.0009621774399506084
madeira faroe,0.0027348448553062626
male dunmer,0.0008152260852873901
manga,0.004183901444575418
manga illustration,0.0002721168789570372
marble hourglass,0.001035071818754158
matte,0.001290071453505546
matte painting,0.015373408167598367
media collage,0.0010172165720694001
mid century,0.0021918693650536244
minogue,6.992396156711959e-05
mixed media,1.6454818142195432e-05
modern,0.0001461821795580614
modern art,0.0014213320086940027
movie,0.00355820188891732
movie poster,0.0005718562134068755
natural scene,0.0042070640804342824
nerevarine,0.0010278942491652133
neuromancer,2.2147108362028836e-05
oblivion skyrim,0.001131540025768903
octane render,0.001313258615533602
oil painting,0.0018763558089692962
overcast thunder,0.002521506570510664
pablo picasso,5.999064745817152e-05
painted,0.00033387673715054415
painted pablo,0.0
painting,0.01483112983978766
painting aesthetic,0.0002021497171887189
painting artstation,0.002508295672044871
painting beautiful,0.00213654984350253
painting character,0.0010300885041104716
painting chris,0.0008911914057323432
painting deviantart,0.0028069416391062925
painting lurid,0.001429847385268549
painting lush,0.0
painting peter,0.0008101281069164165
painting ronny,0.00023303637250572605
painting sargent,0.05151821294652324
painting stalenhag,0.0012007934297870448
painting unreal,0.0007961749812245963
peter,0.001993680192573871
peter elson,0.0020064636590869963
photo,0.003503644063845545
photo realistic,0.0026103876280128583
photograph,0.007082338057560356
photograph divine,0.0012076661150754319
photography,0.0054390893323921505
photography awards,0.00010026945973076235
photorealistic,0.00451592179169599
photorealistic digital,0.002951055547019309
phyics entries,6.726357623053734e-05
picasso,0.0015001378268909423
picasso hair,0.0
pikachu hannah,0.0003840582411353234
pink bonsai,0.0010869131351233326
pink flamingos,0.00016062081913877237
pixar,0.0016963453067759737
pixie cut,0.0003556078536636815
portrait,0.0069803929323860175
portrait extremely,0.0010057722449109546
portrait intricate,0.0011650129196884667
portrait male,0.00101672220353125
portrait painted,0.0017085446797795148
portrait painting,0.0014049271230535275
portrait photograph,0.001197318922376139
portrait sabouts,0.0020259411069366022
portrait scifi,0.0012198504399758435
punk art,0.0011365354867035188
punk portrait,0.0008386451846592792
puppy,0.0013671499726361411
render hyperrealist,4.144768124402245e-05
robot,0.0024328961503758094
rocksalt lamp,0.0
rpg portrait,0.001207613954922303
runway,0.0005273598443244892
saitama,0.0003460261013013279
saitama anime,0.0010465116986742048
scene,0.0037517314074932326
scene science,4.164223802030325e-05
science,0.0002748275557125208
science fiction,1.0857378607970624e-05
screenshot,0.000891074980370149
shade talking,0.0006363814903311012
skyrim elegant,0.0010688541340792238
sony,0.0004198387724377067
sony world,0.00010341157934208478
space,0.0024338528569166377
starmaker,0.001089940086590555
starmaker matte,0.001082844364141657
stars,0.0007238182616207839
statue,0.0
steampunk,5675447872.5354395
steampunk butterfly,0.0007604599775520224
steampunk himalayan,0.00128937923660519
studio ghibli,0.001515813794056652
style contemporary,2.4342269252558297e-05
style portrait,0.0011849327909154174
surreal,0.0017383140287108912
surreal concept,0.021804495876715527
surreal glimpse,0.0007715587961871177
surrealism,0.0038582109867788214
surrealism surreal,0.001108049054519506
tall castle,1.0007097181754164e-05
tracing artstation,0.0009853568787341182
traits painting,0.0007182503555627866
trending artstation,0.004127116074731546
ufo,0.0025882443648777968
ufo ignoring,6.641511924819062e-05
ultra realistic,0.0014592082853274538
uncanny painting,0.00038161514864379337
unreal engine,0.005555135664424906
vallejo frazetta,6.213253767934521e-05
vivec portrait,0.0
volumetric lighting,0.00033397055137112514
wallpaper,0.0003089621219649403
wallpaper illustration,0.00013100646719122852
wearing cloud,0.0
wizard,0.0006907819728759763
woman,0.0006188912105607306
wooden churches,1.775492102235886e-05
world photography,0.002913069449354275
zdzislaw beksinski,0.0026481970205388056
