keyphrase,mean_abs_shap
abandoned,0.004215621661060231
alien,0.0007352831748049632
alien planet,1.0898970678098324e-05
android cyborg,0.0
anime,0.0028816462367541535
anime colors,0.0008413926717544746
anime epic,0.0006212607339155393
armor daedric,0.0011071933148581116
art,0.006856200359312649
art artgerm,0.001090549502873716
art city,0.00018740497034848717
art hyperrealistic,3.8858214214085977e-05
art josan,0.00105370415302992
art lifelike,0.0020954291063812933
art punk,0.0011464252919060093
art realistic,0.0023497280822327347
art sharp,0.0003587188571331025
art smooth,0.001286962061684757
art style,0.0005338173305164309
art thorough,0.0019555522979540843
art trending,0.0010484849856418218
artistic,0.00145677890203108
artistic painting,0.001691308154329799
artstation,0.011984786483040563
artstation cinematic,0.0010206189380535867
artstation galaxy,0.002238141810946748
artstation hyperrealism,0.003321023987077071
artwork,0.0031067512468193315
atmospheric lighting,1.4655261185130521e-05
avant garde,0.00019755248349186797
azores,0.0008012465259762433
azores islands,0.00035542327134319433
beautiful landscape,6.946797814445525e-05
beneath cherry,0.00022337359029136575
bjork,0.000587005783418856
black,0.0025570223686931922
body manga,0.0008453494956644673
body portrait,0.0007987146986042808
body shot,0.0
bonsai,0.0021057402149714127
bonsai tree,5.909995525674816e-05
bull looking,0.0
bull modeled,0.0
butterfly volumetric,0.001357311336460782
camera,0.0003817711474483655
candle butterfly,6.520578597900497e-05
candle volumetric,7.412236855116427e-05
canvas,0.001730668594837611
castle,0.0014879950609798067
castle enclosed,0.0
cat,0.00331062394281284
century,0.0006226286579814049
century modern,0.0014419967555705892
character portrait,0.0014459912815911068
chris,0.0007156325296049076
chris foss,0.00015058458787416007
churches domes,0.0
cinematic,0.002797948412458471
cinematic composition,0.006957229811557561
cinematic deviantart,0.004273065500057272
city,0.005818303478049855
cloud fashion,0.0010772635773731746
clouds,0.005565962069515644
clouds covered,0.0011203736991827781
clouds girl,0.0009564786000901638
clouds madeira,0.0019058264777130254
collage canvas,0.0009917492805567923
colors,0.00020195232210936176
colossal,5.33057460521211e-05
colossal goddess,6.886837645056878e-05
comprehensive art,0.0051046986787743305
concept art,0.019807720238508065
contemporary art,0.0007593859106754306
cute fluffy,0.0025176966244993006
cyberpunk,0.0107113030940249
cyborg,0.0022904914985864776
cyborg body,0.0
cyborg bull,0.0
daedric armor,0.0010707888554228819
dark,0.004504984133267842
dark uncanny,0.0014505413669905927
detailed painting,0.0032782723402167164
detailed portrait,0.0010234386373013593
detailed ultra,0.0012628302261069185
details intricate,0.0012452116100489512
detective pikachu,0.0012691036318895274
deviantart,0.005580763762506474
deviantart hyperrealistic,0.00041419899456336115
deviantart realistic,0.009511115413442604
digital art,0.002290244746232444
digital painting,0.003103502319616912
digital render,0.0
divine,0.0010754234952840766
divine pink,0.0009642269423492217
dog,0.0018169683411457377
donald,0.0010728906302895757
dragon,0.001070707883693426
dramatic lighting,0.0032971396311068527
drawing,0.0018787357218192878
dunmer nerevarine,0.0011090447639518536
einstein,0.0029385126048438047
elf,0.0008201147952358986
elson,0.00435812571432285
emo,0.00040032922619590125
emo punk,0.0009168138742113231
engine,0.0016300908339490668
entries sony,0.00103260272039916
fantasy art,0.0019303082890297484
fantasy painting,0.003527653198116921
fantasy style,0.0011330612194732448
faroe azores,0.0004610968347304527
