keyphrase,adjusted_mean_shap
goth emo,17276233885.723057
woman,12197806866.626999
puppy,5078427019.098845
cinematic composition,1418861968.1492658
steampunk,1418861968.1357903
film,0.024267464334571175
painting sargent,0.021100766583983674
concept art,0.01559831594754715
artstation hyperrealism,0.014170834765201975
deviantart,0.013281255462422726
painting,0.013248944345046101
surreal concept,0.0124275173363872
matte painting,0.01170859230869835
artstation,0.0082940483233458
deviantart realistic,0.00822256338917325
portrait,0.008072593211068124
art,0.007062773529084776
clouds,0.006855062606978675
city,0.006646656192675075
dark,0.0061947429297593256
canvas,0.005896424229386625
unreal engine,0.005722391523582175
cyberpunk,0.00559368487405525
flowers,0.0052077481085889
matte,0.00507615311488695
photography,0.004595399253475025
photograph,0.004521115167536675
manga,0.00427146632668195
resolution wallpaper,0.0041321423390544
sky,0.0041244044776257
space,0.00411680841656775
comprehensive art,0.0040336931460092495
ufo,0.004008442532270675
trending artstation,0.0038918536631295
photorealistic,0.0038729023233759
painting deviantart,0.0038672476599981498
cyberpunk art,0.0038631631713034
surrealism,0.0038424472625125747
einstein,0.0037623864581504754
illustration art,0.0037515627149742993
portrait painting,0.0037058936695697
digital painting,0.003586457475940575
natural scene,0.00356818720201355
cat,0.003475494375499725
cinematic,0.003473118888734325
intricate details,0.0034665069798225255
gundam,0.003454438205344175
forest,0.0034114140606990254
bernard simunovic,0.0034043175289647
detailed painting,0.0033658016019082002
artwork,0.003310480434875025
movie,0.0033046161008718003
length portrait,0.003244033337332
deviantart cinematic,0.0032010878349644
fantasy art,0.0031958976197443496
zdzislaw beksinski,0.003119170630283575
castle,0.0031112378926723
fantasy painting,0.0030858588815064003
peter elson,0.003073800773611225
black,0.003054654940824725
clouds madeira,0.002948428620566725
creatures surreal,0.0029388946989156
world photography,0.002926879773965125
cinematic deviantart,0.002903841696732
elson,0.00289845579681645
painting beautiful,0.002875536034193375
photorealistic digital,0.002807800442713475
alchemical creatures,0.0027653219157396
century modern,0.0027570099292830246
bonsai,0.002668121704775225
anime,0.002612020419917925
painting artstation,0.0026068693769671497
oil painting,0.0026002893835819748
dramatic lighting,0.0025710654974982253
photo,0.0025394938977436753
donald,0.00252230586007475
high quality,0.00246305586364965
lightning intricate,0.002349132706698025
picasso,0.0023306122471348748
landscape,0.00231690637829105
surreal dark,0.0023037612255112
saitama anime,0.0022854046822722747
art lifelike,0.002267953038327148
neuromancer,0.0022542492586561822
surreal,0.002238952469846425
digital art,0.00218036375535778
mid century,0.0021710856248312246
cyborg,0.0021241301310701752
overcast thunder,0.00207140165583695
photo realistic,0.002068731948237175
art trending,0.00205577001448395
madeira faroe,0.0020425236876006002
beneath cherry,0.0020353511969586997
robot,0.0020267236549373503
abandoned,0.00201035982733555
painting stalenhag,0.0019923256913319245
art realistic,0.0019778429168245
stars,0.0019541769611603
peter,0.001950645872626125
studio ghibli,0.001948144587325575
lifelike photorealistic,0.001942318048754564
portrait painted,0.0019317900972718
portrait extremely,0.001925885590706315
goddess,0.0019015683978410036
scene,0.0018625060144343744
artstation cinematic,0.001858174590516775
deviantart hyperrealistic,0.0018510328032408094
gordon,0.0018302216261676248
frazetta,0.0018161579616427213
gonzalez,0.0018105503799176
artstation galaxy,0.001807703959144225
uncanny painting,0.001804916021355775
portrait scifi,0.001792311039363125
artistic,0.001788273957991775
art thorough,0.0017593867588495
skyrim elegant,0.0017098404533620248
shade talking,0.001699819690041825
character portrait,0.0016989433198987
painting lush,0.001689805302165325
houses,0.0016848432825573912
garden,0.0016631187182997
hd,0.0016084926905153237
saitama,0.0016020215679822
fifth element,0.0015978010398694999
portrait male,0.00159507268875195
painting character,0.001592893316737125
surrealism surreal,0.0015234611150215399
design,0.0015201160713514
style portrait,0.0015024956793881
cute fluffy,0.00150225488817475
goth,0.001497874174101875
goths,0.0014967268921091499
sony,0.0014669204815372
portrait sabouts,0.001463709649303925
elf,0.001459404539398725
wallpaper,0.0014573038355381
detailed ultra,0.001454890771653125
steampunk himalayan,0.001452730850995575
male dunmer,0.0014520533170226503
fiery alchemical,0.0014263942247035
fiction film,0.0014260388793318904
hd painting,0.001421393541129275
art artgerm,0.0014163536864448248
hd unreal,0.001411243892986427
art smooth,0.0014099426378201998
footage,0.001405845497869125
josan gonzalez,0.00136691398181745
punk,0.001354033734161
