keyphrase,mean_abs_shap
abandoned,6.125752007373023e-07
alien,0.00020138323346213338
alien planet,0.0
android cyborg,0.00017649248864511384
anime,0.0003742592712938454
anime colors,0.00023762530796613346
anime epic,2.549994856278475e-06
armor daedric,0.00013829347470371435
art,0.0003436391193929064
art artgerm,0.0033664201909117558
art city,0.00018275989214476754
art hyperrealistic,0.00016495581937383096
art josan,0.0
art lifelike,0.0
art punk,0.00014548273653246485
art realistic,0.00016711822864200025
art sharp,0.001354115622164985
art smooth,0.0010603249198294974
art style,0.00020530728883807935
art thorough,0.00018152185226680818
art trending,0.001432102298418628
artistic,5.234230386418003e-07
artistic painting,3.9202695172629925e-07
artstation,0.0002469349786160682
artstation cinematic,0.0
artstation galaxy,0.00018886539595279605
artstation hyperrealism,0.0038907108568660407
artwork,0.0001555084243928714
atmospheric lighting,0.00020047396243107315
avant garde,0.00016784721093515814
azores,0.00017067146955701445
azores islands,0.0002064527650851025
beautiful landscape,3.141510767643409e-06
beneath cherry,4.035693807568983e-05
bjork,0.0001921382909808986
black,0.0
body manga,0.0001957150095372135
body portrait,0.0001748411645923835
body shot,0.00018131053960381488
bonsai,0.005452802260306787
bonsai tree,0.0
bull looking,0.0001931300855097732
bull modeled,0.00015977661895501757
butterfly volumetric,0.0
camera,0.00035085634555394736
candle butterfly,0.0
candle volumetric,4.0803966282281086e-07
canvas,0.0022940648540664306
castle,0.0005177214201755518
castle enclosed,4.4364025184707975e-06
cat,4.472518291671979e-06
century,0.0
century modern,0.0
character portrait,0.00014566340109020657
chris,0.0
chris foss,0.00023867929671452634
churches domes,0.0
cinematic,0.00022051710468156988
cinematic composition,0.004198035683741818
cinematic deviantart,0.0023622554246128663
city,0.0008217892426416177
cloud fashion,0.00013197434117723773
clouds,0.0011275735054150145
clouds covered,0.00018565410632877803
clouds girl,0.00015629985080556016
clouds madeira,0.0019820103648295674
collage canvas,0.0001493784467408631
colors,0.0
colossal,0.00022881088288401291
colossal goddess,0.00016013618866940634
comprehensive art,0.00022764530809766569
concept art,0.00022539157257758953
contemporary art,0.0002444469241913269
cute fluffy,0.00030868788286650596
cyberpunk,0.00014456043004918673
cyborg,0.00043874641603395523
cyborg body,0.00016487730710335898
cyborg bull,0.0001605883500951785
daedric armor,0.00021517647337057896
dark,0.0015400013593959763
dark uncanny,0.0
detailed painting,0.00019688331995291165
detailed portrait,0.00016803170042063557
detailed ultra,0.004739571594088488
details intricate,0.0007626223200364465
detective pikachu,0.0004089633129264087
deviantart,0.00016383216820973652
deviantart hyperrealistic,0.0
deviantart realistic,55095861337.26771
digital art,0.0018918318333235602
digital painting,0.006088196054901506
digital render,0.0
divine,0.0001527960626318251
divine pink,0.00015449136881092937
dog,0.0001538488975685942
donald,0.007142216548927327
dragon,0.00030313397204835763
dramatic lighting,0.0001555509158809483
drawing,0.00027226187724878657
dunmer nerevarine,0.0001988449537068775
einstein,0.0028005604349242963
elf,0.0
elson,0.00024065754045007895
emo,7.28605329166177e-06
emo punk,0.00017473844310522996
engine,0.0
entries sony,4.225048877222744e-06
fantasy art,0.001543328088949442
fantasy painting,0.00020724055558214927
fantasy style,0.0
faroe azores,0.0001940470428225518
fashion clouds,0.0
fiction,0.0
fiction film,9.429706310119369e-07
fifth element,0.00024285716560211985
film,0.021077176632711643
film neuromancer,0.0
flamingos,0.000257985633421279
flowers,0.0023158642667395436
fluffy,0.00019591490555741507
footage,0.0032087817924259868
forest,0.0
frazetta,0.0005212858940997775
frazetta fantasy,0.00018783950195419642
frazetta giger,0.0005474852520792919
futuristic,1.0265626226741287e-05
garden intricate,2.0041916310958973e-06
giant digital,0.0002130917717558657
girl clouds,0.00019577021198415482
glamorous sophisticated,0.00018705894114893356
glimpse universe,0.0
goddess,0.0010050704640097573
goddess creative,0.00020277356108287285
goddess wearing,0.0001671390203637317
gordon,4.703663197272492e-06
goth,0.00018277536528142952
goth emo,0.0002141033102264049
goths,0.0
goths loitering,0.0
gundam,0.0028198878653079708
gundam unreal,1.3850131081563286e-06
gustav klimt,0.0003761269210463773
hd,4.4442859643785325e-06
hd goth,0.00015251998380133716
hd painting,0.0010429325043617185
hd unreal,0.00025005757784906843
heavy detailed,0.00020283813916786126
high quality,0.0039908983261722295
hills slavic,0.0
himalayan,0.002729784681262252
himalayan rocksalt,0.00018227166520392449
houses,0.0
houses built,0.0005160128441954102
hyper detailed,0.00018087610026870407
illustrated,1.1290092413828007e-06
illustration,0.0
illustration art,0.0001892398035759648
imposing cyborg,0.0001787791025307686
intricate details,0.0005462708526554147
intricate hyper,0.0001936881588787507
intricate royo,0.00015265614516568357
intricate volumetric,0.00036993090892268736
josan,2.8980967294900735e-06
josan gonzalez,0.0002337023473174725
knight,0.0
kylie,0.00021838929043862485
kylie minogue,0.00016220271446843002
lamp,0.00016441719706226848
landscape,0.00020125927800760917
landscape colourful,0.0
lantern candle,0.0
length portrait,0.0001638452730624848
lifelike photorealistic,3.127826038870019e-06
lighting,0.0001980145366774758
lighting hd,0.0015308166717644487
lightning intricate,0.0002664752782629604
log houses,0.0013069095802393958
looking camera,0.00015799924430258175
low clouds,4.166117796618945e-05
madeira faroe,0.0001744471810497456
male dunmer,0.00017416349288818854
manga,0.00026135471626349724
manga illustration,0.00021102029532874637
marble hourglass,5.79624253246333e-06
matte,0.0007891329830650362
matte painting,0.009609066230154811
media collage,0.00016065923084028862
mid century,1.2954799960200323e-06
minogue,0.00013958461333194437
mixed media,0.0
modern,5.981766006635979e-07
modern art,5.602439282320452e-05
movie,0.001976803170374893
movie poster,1.5378836000764794e-06
natural scene,0.0005636456148634349
nerevarine,1.183101037892162e-06
neuromancer,0.00023016111900570326
oblivion skyrim,0.00021167645023274743
octane render,0.0005361417427286887
oil painting,0.0013695620896770724
overcast thunder,0.0
