keyphrase,mean_abs_shap
abandoned,0.0010122956784371726
alchemical creatures,0.0016723686799386362
alien,0.0012254995852005947
alien planet,0.0009439034932744663
android cyborg,9.350322110748008e-05
anime,0.0029072952700161625
anime colors,0.0027793713885014325
anime epic,0.0007967840107549302
art,0.007706710029772737
art artgerm,0.004244534504986914
art hyperrealistic,0.0018766489545132793
art josan,0.0009544773966071206
art lifelike,0.0017293745536306815
art punk,0.0016473173985141272
art realistic,0.002110575835311706
art sharp,0.0026344169005681336
art smooth,82252883331.0684
art style,0.0023636733732103244
art thorough,0.0012403876518208036
art trending,0.002064239462929786
artistic,0.002253326323563424
artistic painting,0.002634035888443771
artstation,0.005970405919311855
artstation cinematic,82252883331.06677
artstation galaxy,0.0011194189601684854
artstation hyperrealism,0.005084358604468949
artwork,0.002562521329954466
atmospheric lighting,0.0007546915617741956
azores,5.8175673969761196e-05
barbarella,0.0014076583065781505
beautiful,0.0004924484342344574
beautiful landscape,0.0022946902148172914
beneath cherry,0.0035107533747657715
bernard simunovic,0.003792174383476939
bjork,0.0021089778622465903
black,0.0007172665097788759
body manga,0.0029809293221913047
body portrait,0.001299777680546537
body shot,5.26185913549087e-05
bonsai,0.0034154255344269577
bonsai tree,0.0014956833029485834
bull looking,5.5319652023506025e-06
bull modeled,0.000172028234754855
butterfly volumetric,0.0029682778041280433
camera,0.0021053356201226102
candle butterfly,0.00014747894311569
candle volumetric,0.0007564203403473303
canvas,0.0073223626359704376
castle,0.0038491573731882435
castle enclosed,0.000677044929085189
cat,0.001136929586352664
century modern,0.006844138041419748
character portrait,0.0030800027751122995
cinematic,0.004570598091813384
cinematic composition,0.0071124548070015
cinematic deviantart,0.003546132593998996
city,0.004012073066939809
clouds,0.005582996176228146
clouds madeira,0.0020019603150564923
collage canvas,0.0011141288862761645
colors,0.0025809875068986883
colossal,0.0019976706844907115
colossal goddess,0.0010715615212819507
comic book,0.0004992017988527172
comprehensive art,0.003928934149415855
concept art,0.00884239549920389
contemporary art,0.0013445370358515095
creatures surreal,0.0013164834290634098
cute fluffy,0.0007782900751414295
cyberpunk,0.0021282915466030415
cyberpunk art,0.000663871939869098
cyborg,0.00333337721090101
cyborg body,0.00023475543543994323
cyborg bull,7.33815620984169e-06
daedric armor,0.0016584919317292487
dark,0.004446386389330465
dark uncanny,0.0011027433626155361
design,0.0027554259542004974
detailed painting,0.002424989215694293
detailed portrait,0.003283893288197172
detailed ultra,0.004930248017780233
details intricate,0.0016923095290721892
detective pikachu,0.0009014295494755477
deviantart,0.00524685742476356
deviantart cinematic,0.0004851484631632698
deviantart hyperrealistic,0.0008157051258603022
deviantart realistic,0.0026366723154466467
digital art,0.008960419933900447
digital painting,0.011757965531340137
digital render,0.0013117996878769967
divine,0.0008642223936864209
divine pink,0.00015202253942294487
dog,0.0016942982729974266
donald,0.00419547442283668
dragon,0.0022723429381988516
dramatic lighting,0.0019686543914205217
drawing,0.002341339498379289
dunmer nerevarine,0.0010871614446675915
einstein,0.0029169838574273272
elf,0.002607999213714136
elson,0.0012388055178597336
emo,0.0012776714473971083
emo punk,0.0007385880318223836
engine,0.0012279097936170986
entries sony,0.0021296139382194494
fantasy art,0.008061670698902292
fantasy painting,0.0005784534104347983
fantasy style,0.0004340154230170554
faroe azores,0.0001972848964510351
fashion clouds,0.00017526457801018947
fiction,0.0012357322430968836
fiction film,0.005561261180984747
fiery alchemical,0.0016371980373052755
fifth element,0.003139909884958496
film,0.018997823451538377
film neuromancer,0.0012590869508476838
fine artistic,0.0008122456321577097
flamingos,0.0005188236549225064
flowers,0.0016318422015939597
fluffy,0.0012938439422598381
footage,0.005613426358101095
forest,0.002015017665830978
frazetta,0.002933670708271262
frazetta giger,0.0017739422924117137
futuristic,0.000920187914623494
garden,0.00014797644434060765
garden intricate,0.0012347989758443208
giant digital,0.001370714110418128
glamorous sophisticated,0.0027735980686703606
goddess,0.0035281899940982956
goddess creative,0.0016270302126022756
goddess wearing,0.0013295744764351728
gonzalez,0.0013177331288882735
gordon,0.002024815499735574
goth,7.937225377078969e-05
goth emo,4.7283245510715695e-05
goths,3.3180110377888386e-05
goths loitering,0.00037500432772041587
greek man,0.0011164540120114105
gundam,0.0058244671395317575
gundam unreal,0.0006815039111116353
hd,0.0017347728435963136
hd goth,0.0005147671999719641
hd painting,0.001403128687305299
hd unreal,0.003417752272632605
heavy detailed,0.002098458724114497
high quality,0.006279372926856903
himalayan,0.000662691241247073
himalayan rocksalt,0.0006786532909328689
houses,0.0009872528958626836
houses built,0.001559899558201384
hyper detailed,0.0013749123251043116
illustration art,0.00363656571871997
imposing cyborg,0.00013702378833890566
intricate details,0.0023284685608942553
intricate hyper,0.0002585460158958812
intricate royo,0.00026773959983713425
intricate volumetric,0.0016302059986972315
jacket black,0.0007114737097660257
josan,0.0002205941926590088
josan gonzalez,0.0015485158797514293
kylie,0.0013375621262549332
kylie minogue,0.0009455504436816577
lamp,0.00023074750510611628
landscape,0.002131715535248112
landscape colourful,0.003269980124568975
lantern candle,0.00010198442516634305
length portrait,0.0006797720736491628
lifelike photorealistic,0.002128375075646451
lighting,0.003995031828529455
lightning intricate,0.0004950746660029986
log houses,0.0029361102492355116
looking camera,0.00024489194070218906
low clouds,0.0016459850333080505
madeira faroe,0.0006695760232429348
male dunmer,0.0008270770931910264
manga,0.003077370835782672
manga illustration,0.005505892890830165
marble hourglass,0.00034940568184547446
matte,0.006004057456872917
matte painting,0.0024222915425739177
media collage,0.0010627551883062223
mid century,0.003194151227330244
minogue,0.0009288783466354547
minogue barbarella,0.00122581595904077
mixed media,0.0023961435520276366
modern,0.0017847053034693633
modern art,0.0021764035394258394
movie,0.004554441758779377
movie poster,0.0010664024584843002
natural scene,0.0012562592275039393
nerevarine,0.0023365690285246854
neuromancer,0.004472243507261312
octane render,0.0017918107716418667
oil painting,0.007437485274265418
overcast thunder,0.004018848155166706
pablo picasso,0.0003597976278377611
painted,0.0016704268429734532
painted pablo,0.002088207969043017
painting,0.017718045712328497
painting aesthetic,0.00226854017135175
painting artstation,0.0014631937067367377
painting beautiful,0.0010471556789803092
painting character,0.00034245381120993646
painting deviantart,0.0023217083821291
painting lurid,0.0012688711500283662
painting lush,0.003153059315762761
painting peter,0.004974785100227211
painting ronny,0.002369402085366535
painting sargent,0.012075286844614331
painting stalenhag,0.0009370634849182203
painting unreal,0.00020278185463188837
peter,0.002787864103080324
peter elson,0.007518206882091996
photo,0.0029164236354859096
photo realistic,0.003685381910253454
photograph,0.004970633015558726
photograph divine,0.003799339686934169
photography,0.005206665517730354
photography awards,0.003154756192392787
photorealistic,0.009383248481483374
photorealistic digital,0.004273143128145514
phyics entries,0.005338096302660363
picasso,0.003309757023441273
picasso hair,6.0306321735648745e-05
pikachu hannah,0.002030012364632406
pink bonsai,0.002053808873296468
pink flamingos,0.000654208261694159
pixar,0.0013108189324085157
pixie cut,0.0005250328360208528
portrait,0.015996733094298374
portrait ancient,0.0008569728037047825
portrait extremely,0.0015020239728121309
portrait intricate,0.002177520261710934
portrait male,0.003188579141629075
portrait painted,0.0033809489116078824
portrait painting,0.0009540443284191499
portrait photograph,0.0003478586373804721
portrait sabouts,0.0011780162606139079
portrait scifi,0.0077088346393237635
punk,0.0006353776395042937
punk art,0.0009640905054421172
punk portrait,0.00012311291865033414
puppy,0.001370955424885954
puppy sitting,0.0002343759051230892
render hyperrealist,0.00036092036548053546
resolution wallpaper,0.0005535457509243625
robot,0.0037111656943979656
rocksalt lamp,0.00015707368510775309
room,0.0017115677280595389
rpg portrait,0.0016422853622125976
ruins,0.0002828710728373348
runway,0.0026267571897074862
saitama,0.0014580728889555218
saitama anime,0.007945834709768859
scene,0.011666693202392907
scene science,0.0021404116543346833
science,0.001639045591834346
science fiction,0.0016453247035668884
screenshot,0.0005721746499002219
shade talking,0.00044080061163263883
sitting snowy,0.000388672250758952
sky,0.004158742576866065
skyrim elegant,0.002021408949348894
snowy,0.0004320833173447119
sony,0.0031781219280659326
sony world,0.0011636395997256732
space,0.003916924837128441
starmaker,0.00012801371337690568
starmaker matte,0.0014502140939789076
stars,0.0038591635484425393
statue,0.0021929278614136573
steampunk,0.006729319139864628
steampunk himalayan,0.0027815997932944935
studio ghibli,0.002814208627464465
style contemporary,0.0007727016608079758
style portrait,0.00027923435278731824
surreal,0.0063614892636729104
surreal concept,0.001592630556791214
surreal dark,0.0010208178033346976
surrealism,0.0018039896116437075
surrealism surreal,0.0010287200326980935
tracing artstation,0.00032621697508251023
traits painting,0.000674822117400418
trending artstation,0.0038614319175384704
ufo,0.0012485026302739698
ufo ignoring,0.0012510547375981613
ultra realistic,0.005495443466059296
uncanny painting,0.0018795826932205301
unreal engine,0.00413833867696964
vallejo frazetta,0.0027901288840296084
vegetation,0.0011207857760997708
vivec portrait,9.728561843796867e-05
volumetric lighting,0.0004021650292927341
wallpaper,0.001682926495629111
wallpaper illustration,0.0019354634413681912
wizard,0.002152890295219472
woman,0.0014302894654891123
world photography,0.003600970009471678
zdzislaw beksinski,0.0011557403418743612
