keyphrase,mean_abs_shap
abandoned,0.0012344490140029072
alien,0.001017422468034146
alien planet,0.0005408878585657636
android cyborg,1.0047161828508787e-05
anime,0.0031788497616144855
anime colors,0.0010432327893269253
anime epic,3.961280007935273e-05
armor daedric,0.000670293107281698
art,0.006397454942247338
art artgerm,0.004365901238220722
art city,0.0007699122850958626
art hyperrealistic,0.001908550268924549
art josan,0.00027151056299823227
art lifelike,0.0005746482230634474
art punk,0.0006587602523487159
art realistic,0.0013825575058161546
art sharp,0.0015248369610620543
art smooth,0.003157853542383457
art style,0.0019217450886714219
art thorough,0.0014856418481787868
art trending,0.0025236558337912328
artistic,0.001109172919980634
artistic painting,0.0003248308385366477
artstation,0.0027919138349326205
artstation cinematic,0.001370585814343281
artstation galaxy,0.0002081206288514366
artstation hyperrealism,0.005394798785066074
artwork,0.0010031277954337871
atmospheric lighting,0.0006257175373156219
avant garde,0.0013006291681477837
azores,0.001112300969625672
azores islands,0.000885651995361462
beautiful landscape,0.0014870001406293782
beneath cherry,0.00028619189726207794
bjork,8.187905224786252e-05
black,0.00025426053508017523
body manga,0.0006213132605937663
body portrait,0.0007841603555015516
body shot,4.728384044186052e-06
bonsai,0.006980523683437472
bonsai tree,0.0010794843604408455
bull looking,0.0
bull modeled,1.2569105224780843e-05
butterfly volumetric,0.00011609420057995067
camera,0.001916407587651945
candle butterfly,0.000646977314211397
candle volumetric,0.00014381862348823238
canvas,0.004139061605125391
castle,0.003517187687339902
castle enclosed,0.0008243228093939007
cat,0.00117812552832441
century,0.0007746193638304459
century modern,0.00048117025305778106
character portrait,0.0009616058000438536
chris,0.00011679849411044829
chris foss,7.820702758798067e-05
churches domes,0.0007283360209244024
cinematic,0.002389541293265398
cinematic composition,0.006529227246160319
cinematic deviantart,0.00461390405228855
city,0.004645663810250619
cloud fashion,0.0
clouds,0.0023095112854355252
clouds covered,4.903217766119925e-05
clouds girl,6.394783471854143e-05
clouds madeira,0.0012579650055118614
collage canvas,0.0006520109247403141
colors,0.000729454311297254
colossal,1.709547429604583e-05
colossal goddess,5.713161238400453e-05
comprehensive art,0.001502157671192614
concept art,0.003913984760858031
contemporary art,0.0007038427894548594
cute fluffy,0.001503063590256458
cyberpunk,0.0022224051920710533
cyborg,0.00268816124393363
cyborg body,0.0
cyborg bull,0.0
daedric armor,0.0014878789815207117
dark,0.002370808277609099
dark uncanny,0.0002925835941448277
detailed painting,0.001067291687567568
detailed portrait,0.0010015379849462464
detailed ultra,0.003943181762472998
details intricate,0.0009292856624160711
detective pikachu,0.001011434658249887
deviantart,0.0016020242459665645
deviantart hyperrealistic,0.0002283697676217924
