keyphrase,mean_abs_shap
abandoned,0.00014143950102386542
alien,0.0019763987684989115
alien planet,8.571102631309822e-05
android cyborg,0.0010017842367000824
anime,0.004094760581156664
anime colors,0.0008613149263888531
anime epic,0.0011034918821990762
armor daedric,0.0002128035994640546
art,0.004962216756130365
art artgerm,0.003344943720001691
art city,0.0007595815001830773
art hyperrealistic,0.0013074985593689555
art josan,0.0003086775473815228
art lifelike,0.00020080536387168037
art punk,0.0007678367769366012
art realistic,0.0005260567551145122
art sharp,0.003483984643357704
art smooth,0.003487258562690411
art style,0.0011400444313200738
art thorough,0.0012890719347273202
art trending,0.0024061741919949252
artistic,0.0019231329591268241
artistic painting,0.001505838853773487
artstation,0.00324262999684366
artstation cinematic,0.0018121953047304654
artstation galaxy,0.0011365482842158497
artstation hyperrealism,0.003095141598042043
artwork,0.0026106312932060627
atmospheric lighting,0.0012230752631388977
avant garde,0.0015886733595982035
azores,0.0008140725420957213
azores islands,0.0003737195783885556
beautiful landscape,0.0004821576918786142
beneath cherry,0.002144162184105725
bjork,0.0010599481644107897
black,0.0002653704301406761
body manga,0.0009780604000912848
body portrait,0.0009896184849411814
body shot,0.0014458710472019496
bonsai,114587223611.56442
bonsai tree,0.0009634953601677416
bull looking,0.0009714377450769923
bull modeled,0.0008472700371765499
butterfly volumetric,0.0022536499883769644
camera,0.0012054904686475735
candle butterfly,0.0007481839493240041
candle volumetric,0.0012164796445713413
canvas,0.003465654481461692
castle,0.0030421948474531296
castle enclosed,0.0001272804107009983
cat,0.003773972146173189
century,0.0011873033294255663
century modern,0.0029771097879043
character portrait,0.0013809936927072933
chris,0.00016710480799426045
chris foss,0.0006591932529396282
churches domes,0.00019487964950541838
cinematic,0.0026984954361458017
cinematic composition,0.006418156007236046
cinematic deviantart,0.0007062596802646982
city,0.0026996319983110095
cloud fashion,0.0005759550944808108
clouds,0.002882419225486694
clouds covered,1.6294872442645492e-05
clouds girl,0.0010029340272122635
clouds madeira,0.0018801888779103033
collage canvas,0.0006434188121762689
colors,0.0018851322468677024
colossal,0.0012237243470484204
colossal goddess,0.000757340577885389
comprehensive art,0.0012419415696484437
concept art,0.003185436674602913
contemporary art,0.0007655373328069235
cute fluffy,0.0009102783586239907
cyberpunk,0.003770405336316533
cyborg,0.0028563159108733406
cyborg body,0.0008336875576059071
cyborg bull,0.0010989547945789292
daedric armor,0.0016079301503643733
dark,0.0033238409170053026
dark uncanny,0.0006942337611336264
detailed painting,0.0019386068837159143
detailed portrait,0.0005443880170343369
detailed ultra,0.0055954877364805386
details intricate,0.0008777712713177601
detective pikachu,0.0012425155895821557
deviantart,0.0017030250382425673
deviantart hyperrealistic,0.0009514968585972056
deviantart realistic,0.002815887016066268
digital art,0.006785505462582732
digital painting,0.004173778708351098
digital render,2.9982314542866937e-05
divine,0.0003565253172792561
divine pink,0.0012362531628645364
dog,0.0016645296985307737
donald,0.0015828310918477335
dragon,0.0017565685852828675
dramatic lighting,0.00022673818806078804
drawing,0.002498932090512969
dunmer nerevarine,0.0010613000730793239
einstein,0.0035427788854075397
elf,0.00208458289155102
elson,0.002371438598209615
emo,0.0002827774318077329
emo punk,0.0008461164214450023
engine,0.0005609333324346398
entries sony,0.0007309149591604106
fantasy art,0.0032366587034821054
fantasy painting,0.001450837591182629
fantasy style,0.00021204788085588098
faroe azores,0.0006620381459237043
fashion clouds,0.0009615956521091526
fiction,0.00014204395987340134
fiction film,0.002289920361748626
fifth element,114587223611.5622
film,0.016375926408818586
film neuromancer,0.0004136002157546604
flamingos,0.0012187499386289644
flowers,0.0020192481837216524
fluffy,0.001663958550805281
footage,0.003042440215210331
forest,2.883339077858849e-05
frazetta,0.0013103034051259513
frazetta fantasy,0.001133739716732707
frazetta giger,0.0006923656677553618
futuristic,0.00024278107896655312
garden intricate,0.0026493205457481205
giant digital,0.0007149613598989658
girl clouds,0.0010100596425636217
glamorous sophisticated,0.0013103821741706075
glimpse universe,0.00030550791521647607
goddess,0.002543591006098141
goddess creative,0.0007987255066737261
goddess wearing,0.0008387114572635483
gordon,0.0016683683295656163
goth,0.0016399579842335456
goth emo,0.0010030594712934502
goths,0.0006587727980603163
goths loitering,0.0018686993028545797
gundam,0.004409979519261788
gundam unreal,0.00014428314278716362
gustav klimt,0.001142124990314189
hd,0.00026749305106100514
hd goth,0.0024565779593148855
hd painting,0.0020972178319429266
hd unreal,0.0004170537278604011
heavy detailed,0.0012090356250641862
high quality,0.005207703985320788
hills slavic,0.00031718946082359055
himalayan,0.0014926620046029982
himalayan rocksalt,0.0005564132804957111
houses,0.0004986779680209478
houses built,0.0006925685027458935
hyper detailed,0.0018430199740950002
illustrated,0.0013471612102576114
illustration,0.0010112669870480204
illustration art,0.0022954631496475046
imposing cyborg,0.0009811241927373644
intricate details,0.0025751007145784154
intricate hyper,0.0007288821204997955
intricate royo,0.0006599066920593654
intricate volumetric,0.0009501216289589523
josan,0.0009020866228829197
josan gonzalez,0.0019565355188304904
knight,0.001320814073907003
kylie,0.0010742830131490392
kylie minogue,0.0007977122815317832
lamp,0.00040136741588769746
landscape,0.0018800946573665222
landscape colourful,9.977007201282654e-05
lantern candle,0.000602082490105297
length portrait,0.0001068384951652673
lifelike photorealistic,0.0015117438425118752
lighting,0.002424433272873009
lighting hd,0.002514815144214973
lightning intricate,0.00101990945794139
log houses,0.0006390450905359486
looking camera,0.0010506523667582796
low clouds,3.2211615839783314e-06
madeira faroe,0.0001690707227476546
male dunmer,0.0010678284433054816
manga,0.002872074839823796
manga illustration,0.0014208290058131897
marble hourglass,0.0012153484342470313
matte,0.002388895685815633
matte painting,0.003937371608501278
media collage,0.0008169568408890535
mid century,0.0018254155745213308
minogue,0.0007400623551012544
mixed media,0.001136104440853943
modern,0.0006207036207312997
modern art,0.0014869048264622353
movie,0.002206094877183942
movie poster,0.0018832985905011068
natural scene,0.0002509273773291472
nerevarine,0.002306249219349905
neuromancer,0.0009296215638473601
oblivion skyrim,0.0006888537064050087
octane render,0.001599884097006971
oil painting,0.003982111429970736
overcast thunder,0.0007063288293364614
pablo picasso,0.0010875530443152817
painted,0.002969731168438756
painted pablo,0.001700421713412136
painting,0.02534666861211715
painting aesthetic,0.0007831596507443342
painting artstation,0.004341001143263492
painting beautiful,0.001442136041524464
painting character,4.956062889217059e-05
painting chris,0.0005937038715404385
painting deviantart,0.0010021087362613746
painting lurid,0.002155088582585181
painting lush,0.0008225486438649627
painting peter,0.0009626336427446834
painting ronny,0.000633762522087691
painting sargent,0.011178035287376004
painting stalenhag,0.00037422868758666485
painting unreal,6.78201109874806e-05
peter,0.0007090494986919006
peter elson,0.0032373439607603716
photo,0.003108403699601972
photo realistic,0.0006543977390838827
photograph,0.0024732246139869056
photograph divine,0.0024695672682698783
photography,0.005271672095008392
photography awards,0.0007174671302537868
photorealistic,0.008605213180098398
photorealistic digital,0.0014356576611435818
phyics entries,0.001704706971410481
picasso,0.002934092248464841
picasso hair,0.0007006430715254529
pikachu hannah,0.0010935126315888871
pink bonsai,0.0013215038981331452
pink flamingos,0.001597696251616747
pixar,0.0015104261807608816
pixie cut,0.0003060185543633107
portrait,0.019380980399381128
portrait extremely,0.00023207284676951805
portrait intricate,0.0015021169643797457
portrait male,0.001916002072100313
portrait painted,0.002939757854847623
portrait painting,0.00044859794099134947
portrait photograph,0.0009729273097369326
portrait sabouts,0.0016891085716302069
portrait scifi,0.0023635444015443112
punk art,0.0007444838839215144
punk portrait,0.0009742206233718326
puppy,0.0013297774571079638
render hyperrealist,3.906773863398727e-05
robot,0.0026730685583724197
rocksalt lamp,0.000530215303953211
rpg portrait,0.0023555653172708793
runway,0.0008410880009372124
saitama,0.00082035532801905
saitama anime,0.0010897399060100495
scene,0.011130929166660437
scene science,0.0014063155679717141
science,0.00017967811781977348
science fiction,0.0016671420467924986
screenshot,0.0009941228326962046
shade talking,0.0025235202457121685
skyrim elegant,0.0016820407995669388
sony,0.002639995131693372
sony world,0.0007522123926163477
space,0.0021994472136708312
starmaker,0.0008317527713116783
starmaker matte,0.0010832318325421785
stars,0.0004414922289719765
statue,0.0010506620287081116
steampunk,0.005640403223133818
steampunk butterfly,0.0008835969983227445
steampunk himalayan,0.001222814226420636
studio ghibli,0.0014907160399045914
style contemporary,0.0012562357679970597
style portrait,0.001228460605706295
surreal,0.0012199694947608879
surreal concept,0.0007078196342535501
surreal glimpse,0.00030934760863732816
surrealism,0.0011987473992358124
surrealism surreal,0.001077944035473276
tall castle,0.0002721662481714235
tracing artstation,0.0013504189543677102
traits painting,4.459323816482574e-05
trending artstation,0.0024450635565005712
ufo,0.0024985846578868486
ufo ignoring,0.0008016645302895107
ultra realistic,0.006905866248836011
uncanny painting,6.354184100489925e-05
unreal engine,0.003085088850684257
vallejo frazetta,0.0006298364499866833
vivec portrait,0.0
volumetric lighting,0.0009646608044022626
wallpaper,0.0024617398903133904
wallpaper illustration,0.0016499205848268844
wearing cloud,0.0006428889402682313
wizard,0.0015727020627439138
woman,0.001118210271873751
wooden churches,0.00016241165629505582
world photography,0.0020135522734213533
zdzislaw beksinski,0.0006485764743269271
