keyphrase,adjusted_mean_shap
bonsai,28646805902.89507
fifth element,28646805902.89171
art smooth,20563220832.769028
artstation cinematic,20563220832.76749
deviantart realistic,13773965334.319654
peter,13773965334.317339
portrait,0.024978844231822603
film,0.022228162716323698
painting,0.022107330865986825
scene,0.014679074892028748
painting sargent,0.014193655143065451
steampunk,0.008163125457579475
digital painting,0.007848998140383374
digital art,0.007038909404341251
matte painting,0.007022792296278375
portrait painted,0.00615916171738575
cinematic composition,0.0060644684360349
high quality,0.005771780508406425
photorealistic,0.005280304329937025
art,0.0048525052118858
detailed ultra,0.004802122277705501
oil painting,0.004520329991756525
gundam,0.004450144959913375
artstation hyperrealism,0.004366252461110725
canvas,0.004305285894155925
ultra realistic,0.0042520314699846995
fantasy art,0.00423589439196015
sky,0.004158742576866
footage,0.0041182319333164
concept art,0.00404180212681055
donald,0.0039584248984707495
einstein,0.00390738731218185
photography,0.0038476975759147
art artgerm,0.003830449913530225
bernard simunovic,0.0037921743834769
peter elson,0.00345460788926195
painting artstation,0.00316866285414685
photograph divine,0.003095757809684825
movie,0.00307477882240765
artstation,0.003062971182426
city,0.0030447895295357503
clouds,0.0029756250481413
skyrim elegant,0.002939956071156975
dark,0.0029202592358351497
picasso,0.00290256584027515
portrait scifi,0.00288181742336145
cinematic deviantart,0.0028071379377912
photograph,0.0028036768094269497
design,0.0027554259542004
castle,0.0027315653320391753
matte,0.0026706017038777745
anime,0.002638791221020225
century modern,0.002575604520595425
saitama anime,0.0024954520820872753
cinematic,0.0024697879814764754
goddess,0.0024681210792534504
trending artstation,0.0024547854697371
robot,0.002360836584465975
cyborg,0.00232915019543545
fiction film,0.0023097152315384025
unreal engine,0.0022881971282158247
sony,0.0022738824394159247
art sharp,0.0022493385317881747
phyics entries,0.0022150342220777497
deviantart,0.00217893471929555
flowers,0.0021572969714825
manga,0.0021501830953618998
art trending,0.0021065429467835997
surreal,0.0021063685378248623
cyberpunk,0.0020664156262599
lighting,0.0020518817752412503
world photography,0.00203376565750265
illustration art,0.002019785431116375
photo,0.001999451515115638
manga illustration,0.001990588118841625
lighting hd,0.0019891263452088332
drawing,0.001986999719804175
space,0.00193080992653755
intricate details,0.0017971764905159752
clouds madeira,0.001780531140827
shade talking,0.001763545453863025
comprehensive art,0.0017251696745886002
room,0.0017115677280595
studio ghibli,0.00169600285577385
himalayan,0.0016941534455404
alchemical creatures,0.0016723686799386
