keyphrase,mean_abs_shap
abandoned,0.0002680256911017895
alien,0.0
alien planet,0.0003182964657299188
android cyborg,0.00025224791145125284
anime,0.014221595730393785
anime colors,0.0
anime epic,0.0002393277714935835
armor daedric,0.00024947564564653795
art,0.002333748498461643
art artgerm,0.00026087643926287765
art city,0.0
art hyperrealistic,0.00025264113731374345
art josan,0.0003145108570946821
art lifelike,0.0020395629745747763
art punk,0.001477856656093228
art realistic,0.00020274841801514292
art sharp,0.00029132783020564997
art smooth,0.0
art style,0.0
art thorough,0.00019893454242175286
art trending,0.00028809146476026215
artistic,0.00019211724215044475
artistic painting,0.0003343177993507743
artstation,0.0011292963076421662
artstation cinematic,0.0006519861367277519
artstation galaxy,0.00024017209240363078
artstation hyperrealism,0.004498187998698284
artwork,0.0002480624678173425
atmospheric lighting,0.00022162950050183173
avant garde,0.0002752917346414332
azores,0.00020253338925090779
azores islands,0.0005953641117761757
beautiful landscape,0.00028537940675779107
beneath cherry,0.00027584695383015966
bjork,3.773421815729496e-06
black,0.0
body manga,0.001285106564585643
body portrait,0.0010858845504645627
body shot,0.0002337290941749068
bonsai,0.0019703131738963283
bonsai tree,0.00021728084479718737
bull looking,0.00021455712835732462
bull modeled,0.000195347559767653
butterfly volumetric,0.00020931911507941306
camera,0.00027749862641409734
candle butterfly,0.0001939461408152
candle volumetric,0.0002852903322345356
canvas,0.0002717595664763653
castle,0.0002733142961430096
castle enclosed,0.0002640872183681718
cat,0.0
century,0.00023606743091158987
century modern,0.0002536034923126878
character portrait,0.00020165147896968565
chris,0.00028882572824167073
chris foss,0.0003376107405472193
churches domes,0.00028073516218778057
cinematic,0.0003975986975177828
cinematic composition,0.0037888267385396764
cinematic deviantart,0.000195305335992052
city,0.0002255800888647608
cloud fashion,1.715641544000443e-06
clouds,0.001020284345592053
clouds covered,0.0
clouds girl,0.0
clouds madeira,0.0023458271619872925
collage canvas,0.001146396123600749
colors,0.0001972400329366724
colossal,0.0
colossal goddess,4.494992908725929e-06
comprehensive art,0.0008269332939276883
concept art,0.013719042162890788
contemporary art,0.0005137051924956129
cute fluffy,0.0002540770743013159
cyberpunk,0.0013504418650810378
cyborg,0.0002841254669254947
cyborg body,0.0002568742804920849
cyborg bull,0.00022434921037898812
daedric armor,0.0002808403449772423
dark,0.002813713810331973
dark uncanny,0.0012672855010544503
detailed painting,0.0018414503049754025
detailed portrait,0.00027707380852529096
detailed ultra,0.0010372583654929626
details intricate,0.0005628745939442322
detective pikachu,0.0
deviantart,0.008380025953136945
deviantart hyperrealistic,0.00022054939498578795
deviantart realistic,0.012156569700383417
digital art,0.00021349878537543313
digital painting,0.0002859696312957747
digital render,0.00036120723846455095
divine,0.0
divine pink,0.00021987607669040146
dog,0.0
donald,0.0015677462463284074
dragon,0.0002284172141322403
dramatic lighting,4.902884242961096e-06
drawing,0.0
dunmer nerevarine,0.00026728489551020615
einstein,0.0003409542830995438
elf,0.00021685009295615876
elson,0.00023206430506479212
emo,1.986778444424203e-06
emo punk,0.000385633644442134
engine,0.0002517254789263791
entries sony,0.00016446484570603815
fantasy art,0.00023650969371565548
fantasy painting,0.0002415930084388469
fantasy style,0.00022848247424309202
faroe azores,0.00030932968479013747
fashion clouds,0.0
fiction,0.00024155891674135222
fiction film,1.0505251957881442e-05
fifth element,0.00027926670294750675
film,0.03317694727911598
film neuromancer,8.605211795235263e-05
flamingos,0.00020995106480351962
flowers,0.0017566693943329356
fluffy,0.0002679399567985391
footage,0.0028470529632426103
forest,0.0006895147135395939
frazetta,0.0
frazetta fantasy,0.00017044713518207712
frazetta giger,0.0002647060484475421
futuristic,0.0
garden intricate,0.0002439389485421003
giant digital,0.0
girl clouds,0.0
glamorous sophisticated,0.00027908910973601416
glimpse universe,0.00026662586373385
goddess,0.00022323233359442576
goddess creative,3.0227893999975146e-06
goddess wearing,2.678804886145769e-06
gordon,0.0002635534189726385
goth,0.00029713084282708785
goth emo,0.00029097336433910027
goths,0.0002268923127361522
goths loitering,30769966760.897137
gundam,0.0003148710196725643
gundam unreal,1.5200523274811923e-06
gustav klimt,30769966760.897156
hd,0.00036682757612656504
hd goth,0.0007482434472360961
hd painting,0.00023162618975268814
hd unreal,0.00028514444127304694
heavy detailed,0.00025621793864571247
high quality,0.0024411734087974694
hills slavic,0.00028290262516794906
himalayan,0.0017471472526094554
himalayan rocksalt,1.6347767700870415e-06
houses,0.0003030483750263947
houses built,0.0003026401872737228
hyper detailed,0.00017821412972056466
illustrated,1.0605182579841338e-06
illustration,0.00023766049600957561
illustration art,0.00026198913093372834
imposing cyborg,0.00023115256122639846
intricate details,9.10395936366689e-05
intricate hyper,0.0002437140995735172
intricate royo,0.00029171442543732084
intricate volumetric,0.00020659307972743224
