keyphrase,mean_abs_shap
abandoned,0.0028881462477959013
alchemical creatures,0.0026177121042461463
alien,0.0007081163400981334
alien planet,0.003805371582818328
android cyborg,0.001989738660455846
anime,0.018263643007036572
anime colors,0.0021646463761722306
anime epic,0.0027632342659273616
art,0.014166213389739758
art artgerm,0.00536603262018176
art hyperrealistic,0.0009337515844398704
art josan,0.0031621344757141174
art lifelike,0.011055669213493026
art punk,0.0007284269697517472
art realistic,0.0021811524699959545
art sharp,0.0024954171425440224
art smooth,0.004079493118462373
art style,0.0024707488011912835
art thorough,0.0048492748873284796
art trending,0.0023829545021093867
artistic,0.0019286551163147083
artistic painting,0.001615091201380762
artstation,0.005913164987275794
artstation cinematic,0.0021003600404807055
artstation galaxy,0.0015837773386083867
artstation hyperrealism,0.006092547822686189
artwork,0.0011752875800630756
atmospheric lighting,0.002282310992830407
azores,0.0022307481934199444
barbarella,0.0
beautiful,0.002646283324530323
beautiful landscape,0.0019608449800501636
beneath cherry,0.0036406425676559903
bernard simunovic,0.0013388748381077263
bjork,0.003544731373759833
black,0.0007389285071288868
body manga,0.0029908765628644785
body portrait,0.004815070281095499
body shot,0.002081539216748455
bonsai,0.00089321122082396
bonsai tree,0.0005789314374099982
bull looking,0.002071128542171394
bull modeled,0.0017274449051847772
butterfly volumetric,0.0010291979997170582
camera,0.0033742620965098173
candle butterfly,0.0003594208255135366
candle volumetric,0.0003192252863851838
canvas,0.005439117929526832
castle,0.0010092118261941978
castle enclosed,0.0010173713163692474
cat,0.003370098612202735
century modern,0.002835572576727484
character portrait,0.0022769545744564705
cinematic,0.005748477803806698
cinematic composition,0.01881003792838295
cinematic deviantart,0.0015993099888432386
city,0.0005510399941778905
clouds,0.01146407210047057
clouds madeira,0.0033810773758459482
collage canvas,0.0
colors,0.0016171664864453729
colossal,0.003154594254902068
colossal goddess,0.0013472058083603153
comic book,6.028945642435667e-05
comprehensive art,0.006118179491764981
concept art,0.027636210495314298
contemporary art,0.0017472750323816381
creatures surreal,0.001746910723952557
cute fluffy,0.0026138916721294447
cyberpunk,0.0031544662735902896
cyberpunk art,0.0017420479660025777
cyborg,0.005303237219593151
cyborg body,0.0018634469553841194
cyborg bull,0.0020986976389425534
daedric armor,0.0025184366154499174
dark,0.006855225731620412
dark uncanny,0.0019427339142409064
design,0.0019084522272068932
detailed painting,0.0032096876872883557
detailed portrait,0.00928020837682808
detailed ultra,0.0038985634705612933
details intricate,0.004058823672062938
detective pikachu,0.0008062707434580972
deviantart,0.005503063855186253
deviantart cinematic,0.0037784269802733595
deviantart hyperrealistic,0.005667347513707771
deviantart realistic,0.005425280659878904
digital art,0.0027366995458392475
digital painting,0.004354106007560181
digital render,0.0038791938315352135
divine,0.0006551041851617717
divine pink,0.0029754813928188533
dog,0.0003787181839137989
donald,0.0061491063343107
dragon,0.0024429823137429294
dramatic lighting,0.0006934156651923709
drawing,0.0030755719751555436
dunmer nerevarine,0.0019884429453170317
einstein,0.005920789259250387
elf,0.003076676339193696
elson,0.0031939030626101893
