keyphrase,mean_abs_shap
abandoned,0.00030512131201925965
alien,0.0006581137753482143
alien planet,8.107549971511943e-05
android cyborg,0.0
anime,0.01606364019877192
anime colors,0.0009383292457070681
anime epic,1.9639300566596893e-05
armor daedric,0.0009711589644454242
art,0.012920660918619584
art artgerm,0.002257137849430126
art city,7.797966489229986e-05
art hyperrealistic,0.00011280501238261372
art josan,0.001027479665232989
art lifelike,0.002833748875203841
art punk,0.0013609559651411923
art realistic,0.0006520618924092435
art sharp,0.0017272589249770955
art smooth,0.0009796194190567556
art style,0.0008189132995667462
art thorough,0.0011234053471168713
art trending,0.0019341568049631673
artistic,0.0001238913936275666
artistic painting,0.00022839318456192368
artstation,0.009466653817768416
artstation cinematic,0.0015160123912755733
artstation galaxy,0.0008413050408361307
artstation hyperrealism,0.012431115685861097
artwork,0.0014777428719384663
atmospheric lighting,0.0003486457651192939
avant garde,0.00015881866187599772
azores,0.0016298270954197222
azores islands,0.0013865585991874243
beautiful landscape,2.3055663869997653e-05
beneath cherry,0.0009409484828235095
bjork,0.00032161982610349826
black,0.0010513374694124712
body manga,0.00034137363598701757
body portrait,0.0010820401188034116
body shot,0.0
bonsai,0.0035357734723427295
bonsai tree,0.001137159185233793
bull looking,0.0
bull modeled,0.0
butterfly volumetric,0.0
camera,0.0007697107420358352
candle butterfly,0.0007636154357229133
candle volumetric,3.2214621895243155e-05
canvas,0.0022768396861742642
castle,0.0021984179813935847
castle enclosed,2.8230204010782533e-05
cat,0.0005197923800781639
century,0.0009200818674994786
century modern,0.0002935129784824621
character portrait,0.0009133548715894796
chris,0.0006004699215377993
chris foss,0.0008180203916700866
churches domes,3.065484724576713e-05
cinematic,0.0022839122657006806
cinematic composition,0.012174555905371033
cinematic deviantart,0.0009976356254594572
city,0.0021211947296856178
cloud fashion,0.0010408428720749391
clouds,0.009864503249545922
clouds covered,0.0018898820862604698
clouds girl,0.0007736556446325494
clouds madeira,0.0014888745753723488
collage canvas,0.001045764024402447
colors,0.001085881098445538
colossal,0.0001531826928364246
colossal goddess,8.241355701928673e-05
comprehensive art,0.0023378101066096895
