keyphrase,mean_abs_shap
abandoned,0.001179630198721451
alien,0.0006319224556866232
alien planet,0.0010813100996761153
android cyborg,0.0009422803006457909
anime,0.007138071134751341
anime colors,0.0010695649174270701
anime epic,0.0010565951483120853
armor daedric,0.0014424623158995255
art,0.009343053344477823
art artgerm,0.0040418950906772905
art city,0.00031573659076511147
art hyperrealistic,0.0013927534146448868
art josan,0.0013774109419841805
art lifelike,0.002840879326381424
art punk,0.0017562207391659662
art realistic,0.00139062024764399
art sharp,0.0013540390123464269
art smooth,0.002340073266107416
art style,0.000677949092174717
art thorough,0.001472599866639893
art trending,0.0006681697553388691
artistic,0.00017650601662173233
artistic painting,0.0004581501263182279
artstation,0.012018169555177202
artstation cinematic,0.0026170505945112294
artstation galaxy,0.0013542820020191247
artstation hyperrealism,0.0025195904229552432
artwork,0.0018678499262964768
atmospheric lighting,2.820619503995879e-05
avant garde,0.0004358120637818778
azores,0.0007492550221054513
azores islands,0.000894110302750509
beautiful landscape,0.0008732943389070312
beneath cherry,5.695584822671026e-05
bjork,0.00045867550351213435
black,0.0008302141695475038
body manga,0.0016293443865342664
body portrait,0.001170396846128311
body shot,0.0008245238358922469
bonsai,0.002200842731543184
bonsai tree,0.0001601400545712583
bull looking,0.0009337828369393148
bull modeled,0.0006909506529603303
butterfly volumetric,0.0003156725843108127
camera,0.001190101356258705
candle butterfly,3.916654795503858e-05
candle volumetric,1.2783436108847654e-05
canvas,0.0019196324325690417
castle,0.0007339606001549701
castle enclosed,6.542155898886894e-05
cat,0.0002842598088684863
century,0.0007617922580217093
century modern,0.0017508815920767608
character portrait,0.0015052016878657718
chris,0.001242511055243951
chris foss,5.381980474657188e-05
churches domes,3.143304573026456e-05
cinematic,0.0017156719795627768
cinematic composition,0.009003914603733655
cinematic deviantart,0.0020307438080376288
city,0.0009839451066149683
cloud fashion,0.000962718258394488
clouds,0.0021876106565196147
clouds covered,0.0013844376092556712
clouds girl,0.0011484910715178964
clouds madeira,0.0012609242605786258
collage canvas,0.0013998271213626974
colors,0.001184974857293824
colossal,0.0008985078422041507
colossal goddess,0.0009172234451150665
