keyphrase,adjusted_mean_shap
gustav klimt,10256655586.966152
goths loitering,7692491690.224526
film,0.03598979947373808
painting,0.025870972682473677
portrait,0.019455762824730577
concept art,0.01807604018993115
painting sargent,0.015988628726500177
anime,0.013921737517738349
portrait painting,0.01251081203260615
cinematic composition,0.010944333794006776
art,0.009690919037824649
deviantart realistic,0.008023146497003624
artstation,0.007131821166965849
ufo,0.0071276209814290495
deviantart,0.006718293525102926
movie,0.0066394696869485756
artstation hyperrealism,0.006385360482550125
clouds,0.006134117588032
photography,0.005845091836128824
steampunk,0.00581852436656385
high quality,0.005022657551813225
oil painting,0.004704145475768675
art lifelike,0.004692465097413225
unreal engine,0.004674170706429325
photorealistic,0.004426158413796249
dark,0.004361282880746475
photo,0.0042049665573225
painting beautiful,0.00411046110637325
surreal concept,0.0040937693644038
footage,0.0039964826157423
scene,0.0038365752738426
deviantart cinematic,0.0037784269802733
painting deviantart,0.0036652345738048754
matte painting,0.0036157337258476002
saitama anime,0.003572235498848125
trending artstation,0.003513408706540675
einstein,0.0034305633897342247
matte,0.003399787520016725
donald,0.003368969497669775
digital painting,0.0031937768546194
portrait scifi,0.0030981397042694
comprehensive art,0.0030585618888121003
art artgerm,0.00298148549988795
detailed portrait,0.0029681259881672
sitting snowy,0.0028839683710453
detailed painting,0.00270763707756195
josan gonzalez,0.00267547206859105
uncanny painting,0.002673992344637875
beautiful,0.0026462833245303
alchemical creatures,0.0026177121042461
world photography,0.002596044765403675
landscape,0.0025510537231637253
intricate details,0.002545362653726867
style portrait,0.002541331418200675
cinematic,0.0025364151866469
canvas,0.002476837403686575
snowy,0.0024506770695365
statue,0.002421268499496675
gonzalez,0.0024186222765793
cyberpunk,0.002417942743884375
gordon,0.002373335907385825
length portrait,0.0023709212226184443
portrait extremely,0.002281930998580225
illustration art,0.00222259122410705
fiery alchemical,0.0022178160434897
himalayan,0.0021833317543439503
painting ronny,0.0021699229316587748
cyborg,0.00215420522996275
bonsai,0.0021500351496515
photorealistic digital,0.0021494803858059753
sony,0.002147927210031775
skyrim elegant,0.0021344077646893002
natural scene,0.002126911356209825
clouds madeira,0.002119175843446
painting lush,0.0021172935008988
sky,0.0021068468057008
detailed ultra,0.002094940007654175
woman,0.002072824093524475
body portrait,0.0020383479491229
fantasy art,0.00203664173254425
resolution wallpaper,0.0020048180643149
elson,0.0020007594710600247
portrait sabouts,0.001999028909739625
ultra realistic,0.0019774256183607
neuromancer,0.0019637348680788718
surreal dark,0.0019530265397421
photograph,0.0019396867512592251
painting character,0.0019297768590389249
art thorough,0.0019110536608766748
design,0.0019084522272068
scene science,0.0019044236684202498
flowers,0.00187233516438
surrealism,0.0018678243853254752
modern art,0.00185583627395635
goddess,0.0018503592054485
deviantart hyperrealistic,0.001850296688879659
art smooth,0.0018497964509066
phyics entries,0.001845751370157944
dark uncanny,0.0018131177772027249
stars,0.0017990356013703
creatures surreal,0.0017469107239525
cyberpunk art,0.0017420479660025
space,0.0017311717010370627
digital art,0.0017245869818784
artstation cinematic,0.001721352290748775
overcast thunder,0.001683747256796025
faroe azores,0.0016811732481152
science,0.0016555139678434776
manga,0.001618717189623375
knight,0.0015970604549816333
details intricate,0.0015871787559316249
elf,0.001562406621427625
body manga,0.0015616752874928
surreal,0.0015604281164312
photograph divine,0.001559428944812625
fiction film,0.0015369721573876452
gundam,0.001516716530517625
drawing,0.0014883596323876
nerevarine,0.001484015330077775
art josan,0.0014703839850064252
lifelike photorealistic,0.0014670285633854752
art sharp,0.00146701072751825
rpg portrait,0.0014627376198852252
goths,0.00145819535743065
zdzislaw beksinski,0.001441165003303175
wizard,0.001437058657056125
wallpaper,0.0014320935842943357
forest,0.001407807450015125
camera,0.001402893205304575
painting artstation,0.0013989728591114288
josan,0.0013684081981435
dragon,0.0013659214689446999
science fiction,0.0013418195563218269
cute fluffy,0.001339703394287075
bernard simunovic,0.0013388748381077
digital render,0.0013350524316619102
art punk,0.001330865082537975
mid century,0.0013261325011631252
alien planet,0.0013215134119848547
art trending,0.0013183431317928499
himalayan rocksalt,0.0013078744868830468
century modern,0.001283392659899775
fantasy style,0.001266965491127425
divine pink,0.001257390076218775
manga illustration,0.00125503490180815
daedric armor,0.001246295824540525
hd unreal,0.001243440732339525
vallejo frazetta,0.001237352974030075
beneath cherry,0.0012285984631340524
character portrait,0.001224290653220275
cinematic deviantart,0.00120574868958305
azores,0.0012030909250489751
artwork,0.001192235711528775
studio ghibli,0.0011844736941757751
painting stalenhag,0.00118367664188865
photo realistic,0.00118224018859115
contemporary art,0.0011807711050810749
traits painting,0.0011743074207193499
picasso hair,0.0011715623147559749
abandoned,0.00116023086240955
giant digital,0.0011236599645709669
pixar,0.0011161079575147
landscape colourful,0.0011105593295247251
surrealism surreal,0.001109784505546325
intricate hyper,0.00110895631459025
lamp,0.001108179503112525
art realistic,0.001106645757016025
robot,0.00109975155380125
peter,0.001097896574408975
clouds covered,0.0010914398985053333
garden,0.0010861400782211
bjork,0.0010822000312977573
saitama,0.00107529714146965
illustration,0.0010705012439138001
pink bonsai,0.00105609613189125
castle,0.0010537261759713751
colossal,0.001051571197485625
fiction,0.0010476310749105
cat,0.0010435377002873001
anime colors,0.00104313513482655
colors,0.0010213156187803
anime epic,0.0010196991215748491
flamingos,0.001006830003234475
artstation galaxy,0.001004884118466775
fluffy,0.000992842613027375
art style,0.00099190279823315
painting peter,0.0009895180435567752
heavy detailed,0.000988260933622675
photography awards,0.0009792415375678
hd,0.00097385496356155
city,0.00097043997983575
peter elson,0.000969813463027925
azores islands,0.000958677671238
portrait male,0.00095317718818195
octane render,0.0009505314912322749
sony world,0.0009503353611621387
movie poster,0.0009458443211634751
rocksalt lamp,0.000944999486908075
punk art,0.0009326568959190499
portrait photograph,0.000926685545232675
pink flamingos,0.0009262123210025251
lighting,0.0009201044051285001
punk,0.0009164608928031
collage canvas,0.0008979968173414251
armor daedric,0.0008876989753304667
engine,0.00087453613776435
film neuromancer,0.0008708169250802955
puppy sitting,0.0008463894019885
painting unreal,0.00084463602701925
cyborg bull,0.0008207107086641
shade talking,0.0008187134852009751
glamorous sophisticated,0.000818553241340825
entries sony,0.0008140411080544536
minogue barbarella,0.0008081183986246
hd painting,0.000806285748235025
bull looking,0.000804867126866975
madeira faroe,0.000804460679839475
android cyborg,0.0007960667181381749
cyborg body,0.0007863445669035623
beautiful landscape,0.0007856435973961994
body shot,0.0007849480367038749
painted,0.000765321910205125
volumetric lighting,0.0007616566394245501
frazetta giger,0.000757554943308925
divine,0.000744147395354625
steampunk himalayan,0.0007354481958320499
dramatic lighting,0.0007249201131755402
hd goth,0.000723867319704325
frazetta,0.0007209504219872749
atmospheric lighting,0.0007201981133728397
girl clouds,0.0007195692376197
hyper detailed,0.000719044682258225
chris,0.0007106022350077333
surreal glimpse,0.0007046575037883666
runway,0.000703918634483925
lighting hd,0.0007034443558237667
puppy,0.000695316920186025
painting lurid,0.000676845633684125
art hyperrealistic,0.000672987787195225
fifth element,0.0006719300923586249
cloud fashion,0.0006684255906711001
starmaker,0.0006678172816731072
artistic painting,0.000658988077902875
black,0.000655120036522175
bull modeled,0.00065343577947815
imposing cyborg,0.00065247099459975
low clouds,0.0006457612586689952
wearing cloud,0.0006457000128057
clouds girl,0.0006407155720500999
