keyphrase,mean_abs_shap
abandoned,9.929038673832416e-06
alien,0.00043932398273186077
alien planet,1.2492642010192435e-05
android cyborg,6.95755960684007e-06
anime,0.0012880371176427396
anime colors,0.0
anime epic,0.0002984092164903579
armor daedric,0.0003072776260737933
art,0.00041603652093887597
art artgerm,0.0007301912944334862
art city,0.0
art hyperrealistic,0.0
art josan,0.0
art lifelike,0.00046386507529234353
art punk,0.0
art realistic,5.154601696357174e-06
art sharp,0.0003389457534529177
art smooth,0.0007496545312011422
art style,0.00040564593256966786
art thorough,3.0262805382642944e-07
art trending,0.000410168954641957
artistic,7.864567729575884e-06
artistic painting,1.8978553367062421e-06
artstation,0.00600085695241427
artstation cinematic,0.0
artstation galaxy,3.1171713191229585e-06
artstation hyperrealism,0.027604770966860603
artwork,0.0003053947394846937
atmospheric lighting,0.0
avant garde,0.0
azores,1.050575525487354e-05
azores islands,5.718587198944483e-06
beautiful landscape,0.0
beneath cherry,0.0
bjork,0.0002979724882109407
black,0.0024879260181936915
body manga,0.00032910231509509786
body portrait,0.00030250476509352845
body shot,3.572936566580122e-06
bonsai,0.004965952996644334
bonsai tree,4.606290058310999e-06
bull looking,0.0
bull modeled,5.541256742091245e-06
butterfly volumetric,0.0
camera,0.002311292895979575
candle butterfly,8.805296595304218e-06
candle volumetric,0.0003973564323182929
canvas,0.0015442029376305571
castle,0.002151597015059911
castle enclosed,1.1792889310397323e-05
cat,0.0016344565199982774
century,0.00038814664092118637
century modern,0.00035262404216879597
character portrait,0.00028879763486502506
chris,6.397184126144988e-05
chris foss,0.00042173975458831585
churches domes,4.06372498346637e-05
cinematic,0.0016428811206922248
cinematic composition,0.00552431965136486
cinematic deviantart,6.434956782919953e-05
city,0.0009591894539881772
cloud fashion,0.00040367720805295574
clouds,0.0016778538836853961
clouds covered,0.0
clouds girl,0.00033453397046766085
clouds madeira,0.0009100448252780173
collage canvas,0.0
colors,8.850941966936175e-05
colossal,0.000327191023073321
colossal goddess,0.00027755342970021545
comprehensive art,0.0011998020663039157
concept art,0.0005350850198405203
contemporary art,2.3998810756744806e-06
cute fluffy,0.0018713865062794483
cyberpunk,0.002146659566614559
cyborg,6.92827322616969e-06
cyborg body,0.0
cyborg bull,3.606362705449639e-06
daedric armor,0.00036630493458256327
dark,0.003825213253150813
dark uncanny,0.00044667348308774865
detailed painting,0.003430238349428068
detailed portrait,0.00033530820183417083
detailed ultra,0.00036603104003354696
details intricate,7.397790582915901e-05
detective pikachu,0.0001159634517120296
deviantart,0.0032924274824729714
deviantart hyperrealistic,0.00038671984088189455
deviantart realistic,0.01133749116731869
digital art,0.0011640915373025357
digital painting,0.00037168325059468523
digital render,9.833564390850402e-08
divine,0.000140019290230532
divine pink,0.0
dog,0.0
donald,0.0010921069458723976
dragon,0.0003265462174337836
dramatic lighting,0.002085261095040305
drawing,0.0002797359077826098
dunmer nerevarine,0.00035313557475608065
einstein,0.0026381643471502015
elf,0.00013243771033308034
elson,5.534156679879742e-06
emo,0.0
emo punk,7.4898463192829885e-06
engine,3.734394608013314e-06
entries sony,0.00031676383897131144
fantasy art,1.4873558352021476e-05
fantasy painting,0.0024874985916847306
fantasy style,0.00038548786863472465
faroe azores,0.00012732900267227207
fashion clouds,0.0003745221302851012
fiction,1.5226957371283485e-06
fiction film,0.002627281851088152
fifth element,0.0
film,0.017211845445756067
film neuromancer,0.0006497911633455651
flamingos,4.831518093503002e-06
flowers,0.004788250754564407
fluffy,0.0003484175854250479
footage,0.0003182942486969577
forest,0.00044959251359525754
frazetta,0.0003272399401002351
frazetta fantasy,0.0
frazetta giger,0.0003538678433962802
futuristic,0.0
garden intricate,7.540969346748153e-05
giant digital,0.00035313610451690646
girl clouds,0.0002844970299224533
glamorous sophisticated,0.0003987568071385878
glimpse universe,4.289116410835194e-06
goddess,0.0005209091712299822
goddess creative,0.0
goddess wearing,0.00030868811289489287
gordon,5.930012536133886e-06
goth,1.1950900083835657e-06
goth emo,0.0
goths,0.0
goths loitering,0.0
gundam,0.00029912503296599286
gundam unreal,0.0
gustav klimt,0.0
hd,0.00034769279970626863
hd goth,2.29177878075184e-06
hd painting,0.0
hd unreal,0.0004493850699003192
heavy detailed,0.0
high quality,2.2463505983526977e-06
hills slavic,2.1904082706396408e-05
himalayan,0.00034763292977450013
himalayan rocksalt,0.0002991940373444761
houses,0.0007818077269489606
houses built,0.0
hyper detailed,0.0003921834165582205
illustrated,0.0
illustration,0.00036991802020818273
illustration art,0.0025303702342315275
imposing cyborg,0.0
intricate details,4.042622335678326e-06
intricate hyper,0.000360870582253132
intricate royo,0.0003310278972279377
intricate volumetric,0.0003936425370358228
josan,0.0
josan gonzalez,0.0009356171892963171
knight,0.00015925095624932118
kylie,5.610859932440602e-06
kylie minogue,2.6773331913181134e-06
lamp,0.00030076440547942876
landscape,0.0012102526905617677
landscape colourful,0.0
lantern candle,1.0922298316964482e-05
length portrait,0.0003710071791360296
lifelike photorealistic,0.00034416351019786126
lighting,0.0004093230175616338
lighting hd,0.0
lightning intricate,0.0002827369263222993
log houses,0.0
looking camera,0.0
low clouds,6.142049204388984e-06
madeira faroe,0.0007652054411838152
male dunmer,0.00025249756080762925
manga,0.001069696084687658
manga illustration,0.00036286578028268295
marble hourglass,5.399114371117555e-07
matte,0.0007187286269556859
matte painting,0.02946210048141009
media collage,1.919298940798493e-06
mid century,0.0003386774288411429
minogue,0.0
mixed media,2.143044004659075e-06
modern,0.0002830121983948195
modern art,0.0003863002470666613
movie,0.0
movie poster,0.00029009516578568724
natural scene,0.004104142878456423
nerevarine,0.000495140192403993
neuromancer,0.002655925785132083
oblivion skyrim,0.0003324801117614416
octane render,0.0003809864861086245
oil painting,0.0006370851223187158
overcast thunder,0.0023364409651346852
pablo picasso,3.71357847381247e-06
painted,1.0899557978194307e-06
painted pablo,0.0
painting,0.013490483186969259
painting aesthetic,0.0003637966647941996
painting artstation,0.0014225858073402598
painting beautiful,0.0003419548701365245
painting character,0.0003245472509170039
painting chris,0.0003814981763038644
painting deviantart,0.00352993177881275
painting lurid,0.0
painting lush,2.787140369628285e-06
painting peter,0.0
painting ronny,2.3463173032761917e-06
painting sargent,0.014296061252893342
painting stalenhag,0.00042072042817716074
painting unreal,0.0002660256136737512
peter,1.0086835694800114e-05
peter elson,9.508773683455492e-06
photo,0.00036088695455044036
photo realistic,0.00036061659903777275
photograph,0.002848648306126844
photograph divine,0.0001876595230815486
photography,0.0012573432544747043
photography awards,0.0005915150206469259
photorealistic,0.00075992345461531
photorealistic digital,0.00036712967841775123
phyics entries,0.0003992948568658602
picasso,1.6941736134332636e-06
picasso hair,1.4024454158937723e-05
pikachu hannah,0.0
pink bonsai,0.0
pink flamingos,0.0
pixar,0.0
pixie cut,4.0382043959717515e-06
portrait,0.012149746066022999
portrait extremely,0.0003435173171102177
portrait intricate,0.0003246284771926284
portrait male,0.00040280821072240605
portrait painted,6.44534276066485e-06
portrait painting,0.00033116588265565654
portrait photograph,0.0
portrait sabouts,6.509966939697388e-05
portrait scifi,0.00042965177121070036
punk art,5.536680528401599e-06
punk portrait,6.0280557048990215e-06
puppy,0.00024408444197918767
render hyperrealist,1.4030020416595094e-06
robot,0.00019190898762437027
rocksalt lamp,0.0003529214241905701
rpg portrait,0.000327866443884281
runway,4.171658651930583e-06
saitama,0.00029008331806723646
saitama anime,0.0002432664593741964
scene,0.0029992185581702202
scene science,2.7714812487818154e-06
science,0.0003634924989452816
science fiction,0.0004173983403221787
screenshot,0.0
shade talking,0.0
skyrim elegant,0.000363551233863625
sony,0.00041063274289541133
sony world,0.00027679235430429005
space,0.00041154524184006396
starmaker,0.000405439276049809
starmaker matte,0.0003151370274688154
stars,0.0002127472716814203
statue,0.0
steampunk,9.821587551636638e-05
steampunk butterfly,1.4197726876210563e-06
steampunk himalayan,0.00036827908015810623
studio ghibli,0.0003270146538956953
style contemporary,0.0
style portrait,0.0003000933742708106
surreal,0.0003872446283832358
surreal concept,0.0005484982543553588
surreal glimpse,0.0
surrealism,0.009289251968452612
surrealism surreal,0.0002696504395128952
tall castle,0.0
tracing artstation,1.7199580965306546e-06
traits painting,0.00028484944656932877
trending artstation,0.00037523080826723005
ufo,0.006815624379992091
ufo ignoring,0.0003459568844497039
ultra realistic,0.0
uncanny painting,8.219198709258211e-07
unreal engine,0.00036859178616884154
vallejo frazetta,0.0003906184526346387
vivec portrait,0.0
volumetric lighting,0.0003123930621017981
wallpaper,6.0506267813859874e-05
wallpaper illustration,0.0
wearing cloud,0.0003042382935865046
wizard,0.0
woman,0.0003115833954157535
wooden churches,0.0
world photography,0.00222825462774118
zdzislaw beksinski,0.0008471125647086768
