keyphrase,mean_abs_shap
abandoned,0.002989604678307823
alchemical creatures,0.0016150525057983377
alien,0.002814381029804996
alien planet,0.001608953313472265
android cyborg,0.0010376690754773346
anime,0.003667123980830904
anime colors,0.0007000774181214342
anime epic,0.00012759525767418577
art,0.010097810542814884
art artgerm,0.0021554854251302925
art hyperrealistic,0.0005493665808385695
art josan,0.0011762307418136913
art lifelike,0.00012785970746394097
art punk,0.0011348393492667704
art realistic,0.0029439255866758073
art sharp,0.0019752021710579834
art smooth,0.004724503918801312
art style,0.004031096577320729
art thorough,0.0004555551567766439
art trending,0.00248392819135963
artistic,0.0002087774746036026
artistic painting,0.001185282722556482
artstation,0.010169206264402715
artstation cinematic,0.001372004867627658
artstation galaxy,0.0007536845596004279
artstation hyperrealism,0.00992359689949537
artwork,0.0025440077082321453
atmospheric lighting,4.76031101599868e-05
azores,0.003231417524914301
barbarella,0.00011538644971208304
beautiful,0.00048609822143251823
beautiful landscape,0.0027024785550301424
beneath cherry,0.00591630143176262
bernard simunovic,0.0018578301558318257
bjork,0.003782249195994699
black,0.004808345043905258
body manga,0.00015586388147343855
body portrait,0.0017835960680064988
body shot,0.0004911152086729673
bonsai,0.00018492423545356322
bonsai tree,0.00041140575327408113
bull looking,0.00018804354332040995
bull modeled,0.00019557561676995629
butterfly volumetric,0.0015619720003259355
camera,0.0022457204328818962
candle butterfly,0.0020249013294329644
candle volumetric,0.0034348427814358297
canvas,0.005233943321461269
castle,0.004412506674628539
castle enclosed,0.002882225926274116
cat,0.0017670719337165904
century modern,0.0024230861564014288
character portrait,0.0023533981138542425
cinematic,0.006386396495981036
cinematic composition,0.008714977699748971
cinematic deviantart,0.001991917559662926
city,0.0051266205791897215
clouds,0.008758544888627895
clouds madeira,266858356407.69156
collage canvas,0.001300563140569347
colors,0.0015686560850628778
colossal,0.0019570709444012417
colossal goddess,0.0019710935844221085
comic book,0.0013334454346561671
comprehensive art,0.0037930935911670064
concept art,0.02042134468347666
contemporary art,0.0016026422778394511
creatures surreal,0.001679291850032777
cute fluffy,0.000554073690541849
cyberpunk,0.0016133489727139846
cyberpunk art,0.0007704172330258701
cyborg,0.0018036206025354618
cyborg body,5.56471810633785e-05
cyborg bull,0.0
daedric armor,0.002502769302464292
dark,0.006354591406624764
dark uncanny,0.005591140024025547
design,0.0011258457356454288
detailed painting,0.004067599793583341
detailed portrait,0.0022423992901060927
detailed ultra,0.002163223908556786
details intricate,0.0007001187097393884
detective pikachu,0.0007174586731357599
deviantart,0.004198368411168458
deviantart cinematic,0.0005854068730423231
deviantart hyperrealistic,0.0038274949463359942
deviantart realistic,0.008319214750793532
digital art,0.007326815705336111
digital painting,0.006478237357315453
digital render,0.002944876205272884
divine,0.0004836181588948526
divine pink,0.0002059290067153867
dog,0.0012632733294126912
donald,0.0026647777239063833
dragon,0.0031341204752445176
dramatic lighting,0.003325717778542113
drawing,0.0014263267448043429
dunmer nerevarine,0.0020629973823458867
einstein,0.003606326746817854
elf,0.0029553491139950633
elson,0.003220808525864685
emo,0.0005151082505043934
emo punk,0.0009239185025877334
engine,0.0021692366870560494
entries sony,0.0012751914518213398
fantasy art,0.00607517294886842
fantasy painting,0.004847145225518254
fantasy style,0.002046324169415644
faroe azores,0.0033877936244732015
fashion clouds,0.0026243739541624367
fiction,0.0006217378542199831
fiction film,0.0062155011790519755
fiery alchemical,0.0011790668019628359
fifth element,0.002247134638950839
film,0.014603475036457059
film neuromancer,0.0018283363347911298
fine artistic,0.0003919933070077417
flamingos,2.54719504021862e-05
flowers,0.004281459827004527
fluffy,0.0006518443663902448
footage,0.0013020880066436297
forest,0.003365534365670488
frazetta,0.0023888965507925727
frazetta giger,0.0022156540927717305
futuristic,0.0024328096314705583
garden,0.000444551611012623
garden intricate,0.001059561440535894
giant digital,60688593363.15533
glamorous sophisticated,0.0021938866096257027
goddess,0.004655067284587037
goddess creative,0.0009507401076074953
goddess wearing,0.00158655925607175
gonzalez,2.6371773260221752e-05
gordon,0.0027993874321360903
goth,0.0036719828429181193
goth emo,0.0016153690022506272
goths,0.0037133775766454128
goths loitering,0.002523031284663814
greek man,6.109748021393326e-05
gundam,0.005585784032167395
gundam unreal,0.00030060497820023457
hd,0.0016978856024846614
hd goth,0.001423333600469878
hd painting,0.002438681203457722
hd unreal,0.0005969068673752342
heavy detailed,0.000518030390345665
high quality,0.0041785172821707725
himalayan,0.0015811439098610727
himalayan rocksalt,0.0017185387956471913
houses,0.0044198073179059745
houses built,0.0003911459297380513
hyper detailed,0.0032688548138780876
illustration art,0.004609344974916416
imposing cyborg,0.0002429873212661738
intricate details,0.006289742874042367
intricate hyper,0.002147156156984692
intricate royo,60688593363.15598
intricate volumetric,0.0015007442894332515
jacket black,0.0022010639945657918
josan,0.0008679784456120027
josan gonzalez,0.0008720981070043529
kylie,0.00010754864459031391
kylie minogue,0.00021751273443899882
lamp,0.0018112823499239884
landscape,0.0052452133864918
landscape colourful,0.0012660257114001149
lantern candle,0.0005258552269169335
length portrait,0.00788043511208216
lifelike photorealistic,0.0015793485930773795
lighting,0.0014772450968186213
lightning intricate,0.0039803200161558925
log houses,0.0009491341324240191
looking camera,0.0002492817698977412
low clouds,0.00014311477311550953
madeira faroe,0.002272778397821116
male dunmer,0.002250621145078899
manga,0.0050479164822364335
manga illustration,0.0029767769970599936
marble hourglass,0.0011780376323852408
matte,0.013402597830315109
matte painting,0.0063035668299652806
media collage,0.0014647941568194723
mid century,0.0035993112444967852
minogue,0.00017334190207245716
minogue barbarella,0.0009647859656669384
mixed media,4.594897258697928e-05
modern,0.0002812727070475887
modern art,0.0006043948035694757
movie,0.008355498367265655
movie poster,0.002274366439616254
natural scene,0.0055356249742762
nerevarine,0.0015021297040856173
neuromancer,0.006779451472408432
octane render,0.0015567344464690568
oil painting,0.009120516112052418
overcast thunder,0.003006662820533761
pablo picasso,0.0015444154592927806
painted,0.0020760414182368347
painted pablo,0.0008214165504835145
painting,0.015839877639697825
painting aesthetic,0.0012290387067937674
painting artstation,0.002419736542205089
painting beautiful,0.001713208286681914
painting character,0.0011816627164335078
painting deviantart,0.005860990027472824
painting lurid,0.0005026838043192455
painting lush,0.008486650622022387
painting peter,0.0009947454050577935
painting ronny,0.0015103299297618263
painting sargent,0.013708792747858451
painting stalenhag,0.0031398218674138435
painting unreal,0.00020985611694326303
peter,0.0030113707013142465
peter elson,0.01144158078263395
photo,0.0032231283296625213
photo realistic,0.0030900123241923688
photograph,0.007414073698644542
photograph divine,0.0009151279177319858
photography,0.008420887450932394
photography awards,0.0013977560572259135
photorealistic,0.006948058860878018
photorealistic digital,0.005896914508457096
phyics entries,0.0015128443928157619
picasso,0.0002470682433595065
picasso hair,0.0015198633598227072
pikachu hannah,0.0006718412782332391
pink bonsai,0.0006631564914953961
pink flamingos,1.2772330518061824e-05
pixar,0.002526174270146086
pixie cut,0.002433383308530372
portrait,0.022516521113639026
portrait ancient,0.0006284057292264638
portrait extremely,0.003980356084536448
portrait intricate,0.0012663113883463696
portrait male,0.005557658226533279
portrait painted,0.0009432091728551948
portrait painting,0.0037490958725767227
portrait photograph,0.0009035374995148548
portrait sabouts,0.0023692749794768393
portrait scifi,0.004617099941540662
punk,0.001647561940349449
punk art,0.0012654689836223544
punk portrait,0.00134636252776774
puppy,0.002300737307286058
puppy sitting,0.0003760323942885369
render hyperrealist,0.0014521250283214427
resolution wallpaper,0.0006613034066461618
robot,0.0020947048477035633
rocksalt lamp,0.001995454641489469
room,0.0008486230137648974
rpg portrait,0.0022352365695415296
ruins,0.002273549400953364
runway,8.498320869215249e-05
saitama,0.0015973670629121047
saitama anime,0.0018993673156155473
scene,0.006523099241954631
scene science,0.0003522442460393582
science,0.0017778237531059487
science fiction,0.0014640124110523204
screenshot,0.00044768977144789485
shade talking,0.0014993685487151172
sitting snowy,0.0020884300525808542
sky,0.0025404292105704195
skyrim elegant,0.002614936511874486
snowy,0.0007621764990578098
sony,0.002913868941305352
sony world,0.0026000284785245953
space,0.005039249305907897
starmaker,0.0008920748715098394
starmaker matte,0.00042755876285875547
stars,0.002393981749189578
statue,0.0006318189214411713
steampunk,0.002749245279277454
steampunk himalayan,0.0030418799598904596
studio ghibli,0.0024043051343350555
style contemporary,0.0012790884138747776
style portrait,266858356407.69128
surreal,0.005130050939676047
surreal concept,0.0022886582608521223
surreal dark,0.0015643043057887646
surrealism,0.004277507001419053
surrealism surreal,0.0013130442890007157
tracing artstation,0.004785335576224074
traits painting,0.0020704861365754244
trending artstation,0.004088096446093848
ufo,0.003635962095048402
ufo ignoring,0.002753557283774908
ultra realistic,0.0027499781901536716
uncanny painting,0.003003495286230804
unreal engine,0.006458672115806588
vallejo frazetta,0.0020755131424347426
vegetation,0.00023871935229304633
vivec portrait,0.00127978741358572
volumetric lighting,0.0006464249719090321
wallpaper,0.0016371251488465043
wallpaper illustration,0.0010741209003725686
wizard,0.0038687432802843183
woman,0.003026803930719597
world photography,0.0003935351981320356
zdzislaw beksinski,0.002985067220914392
