keyphrase,mean_abs_shap
abandoned,0.0020504449112206152
alien,0.002415349499424745
alien planet,3.607963285692871e-05
android cyborg,0.0011084508483438366
anime,0.003261859970418435
anime colors,0.0009836663364282264
anime epic,0.0007440626533565756
armor daedric,0.0009033956802715643
art,0.012734105083050135
art artgerm,0.0012148982913562896
art city,0.0008604815774492637
art hyperrealistic,0.0006684217785194559
art josan,0.0007891459718645582
art lifelike,0.0006307453079844592
art punk,2.0510602367806146e-05
art realistic,0.0014828392792600477
art sharp,0.001470528652474211
art smooth,0.0017959516670059865
art style,0.0006626025007183584
art thorough,0.0009596795851576403
art trending,0.001235208377175825
artistic,0.0008027162393716145
artistic painting,0.00099743878032163
artstation,0.01839587764143462
artstation cinematic,0.0009115043256577023
artstation galaxy,0.000981326797107977
artstation hyperrealism,0.009358849586248346
artwork,0.0021266318061507975
atmospheric lighting,4.954587306464802e-05
avant garde,0.00014309494730939518
azores,0.0005254499115818633
azores islands,0.00026602765901905076
beautiful landscape,8.615698066800538e-06
beneath cherry,0.0007768884620538888
bjork,0.0019203246883696787
black,0.005361172144078139
body manga,0.001180993295359664
body portrait,0.0006252197829628999
body shot,0.0007326118079662137
bonsai,0.006574388725491518
bonsai tree,6.293801053330119e-05
bull looking,0.0008287253675664873
bull modeled,0.0007137609389154046
butterfly volumetric,0.0010433538774832795
camera,0.006357788179030953
candle butterfly,0.0
candle volumetric,0.0008621591082532699
canvas,0.0037120896257955564
castle,0.003187203566706071
castle enclosed,1.4254836600310535e-05
cat,0.003266517075860394
century,0.00017012505355030067
century modern,0.00022377410983026542
character portrait,0.0006922538360272436
chris,0.0003439144217373544
chris foss,8.350297962306759e-05
churches domes,1.610438742362267e-05
cinematic,0.0030276298276078395
cinematic composition,0.029905925935156032
cinematic deviantart,0.0009962170457764436
city,0.0029944030105186208
cloud fashion,0.0006619499795718274
clouds,0.009565026285140903
clouds covered,8.524648461702882e-05
clouds girl,0.0007778244173253699
clouds madeira,0.0017208952084887474
collage canvas,1.2730256875025076e-05
colors,0.0004307058484863567
colossal,0.0009551613478878517
colossal goddess,0.0009527195585055828
comprehensive art,0.008210929735335307
concept art,0.004373038488120919
contemporary art,0.0
cute fluffy,0.0028367907307721174
cyberpunk,0.005485049918140667
cyborg,0.0012038732117206745
cyborg body,0.0008988339125987915
cyborg bull,0.0011716768450768537
daedric armor,0.0009568248886368024
dark,0.00759924415325257
dark uncanny,0.001001867438163796
detailed painting,0.0046310407055025985
detailed portrait,0.0009656557756338058
detailed ultra,0.0009234280576366005
details intricate,0.000492203198842765
detective pikachu,0.0006031212239255952
deviantart,0.0028855322415392948
deviantart hyperrealistic,0.0010555691020128195
deviantart realistic,0.01631318293998252
digital art,0.003321620922886037
digital painting,0.0033567855728843434
digital render,7.318605192648781e-05
divine,0.0005468177484797035
divine pink,2.166327843872814e-05
dog,0.0009610674715126301
donald,0.002480342222058082
dragon,0.0013613047363615148
dramatic lighting,0.0026666951322745
drawing,8.270501410833965e-05
dunmer nerevarine,0.000898351773281892
einstein,0.003978628910076277
elf,0.0009852906568358357
elson,0.0016574063285383837
emo,0.00020443932133545268
emo punk,0.0009624875600480809
engine,0.0006853520889780548
entries sony,0.0
fantasy art,0.0010115183390083252
fantasy painting,0.004659666967356412
fantasy style,0.0018004942681469958
faroe azores,0.0008516070656805927
fashion clouds,0.0010254114416548645
fiction,8.224274855776433e-05
fiction film,0.0028639323324799056
fifth element,0.0009219574302790137
film,0.019211632569559937
film neuromancer,0.001087896174698828
flamingos,8.111602695500813e-05
flowers,0.006823750694265136
fluffy,0.0004653334361475232
footage,0.0006274731148859161
forest,0.0016821534995309325
frazetta,0.0011216991411848493
frazetta fantasy,3.67571922838835e-05
frazetta giger,0.0011862585820676987
futuristic,0.0008889408881271693
garden intricate,0.0003159472918745306
giant digital,0.0008366855693973965
girl clouds,0.0008067404945401015
glamorous sophisticated,0.0012731870057099673
glimpse universe,0.00010017158264386146
goddess,0.0018483732742054996
goddess creative,0.000756350498267869
goddess wearing,0.0007160556893683285
gordon,0.0018163841239382066
goth,0.0009384619181251016
goth emo,0.0008888630446863843
goths,0.001068838050353318
goths loitering,0.0008599140703941667
gundam,0.0017914883794604504
gundam unreal,0.0
gustav klimt,0.0009938603692387306
hd,0.001706400756836029
hd goth,0.0008435148187366148
hd painting,0.0007025682325220857
hd unreal,0.0006685215184501744
heavy detailed,0.0008798120669558752
high quality,0.0027903394194934
hills slavic,4.120955046162948e-05
himalayan,0.0001221150700144762
himalayan rocksalt,1.2203645056820582e-05
houses,0.0019689204121316967
houses built,7.384054570652317e-05
hyper detailed,0.0010563582988240739
illustrated,0.0005170171210106755
illustration,0.0004478916769541534
illustration art,0.002823021800378831
imposing cyborg,0.000765068740925771
intricate details,0.00015959814017461665
intricate hyper,0.0010476600384303893
intricate royo,0.0008033204931335477
intricate volumetric,0.0010691486465040263
josan,0.0010179772880029967
josan gonzalez,0.001967979863018982
knight,0.00156455100486527
kylie,0.0009358057983617463
kylie minogue,0.0008826638248580782
lamp,7.190584259976492e-06
landscape,0.0033845758433980726
landscape colourful,0.0009908653253786273
lantern candle,0.0003165801894626139
length portrait,0.0008734647284636953
lifelike photorealistic,0.0008446093800213281
lighting,0.0005023141726794992
lighting hd,2.4478563414131598e-05
lightning intricate,0.001596166332232908
log houses,6.66848529603431e-05
looking camera,0.0008648337377834625
low clouds,3.6265362645375906e-05
madeira faroe,3.7170249410320594e-05
male dunmer,0.0007571350964356747
manga,0.003099403709008585
manga illustration,0.0007281895357579786
marble hourglass,0.0007948848360044137
matte,0.004831522775682417
matte painting,0.020197077784015426
media collage,0.0
mid century,0.0008991979489895801
minogue,0.000744084420774589
mixed media,0.0
modern,0.00011576582274457982
modern art,0.000923926132797731
movie,0.004480178114984429
movie poster,0.0007628924563683495
natural scene,0.0032851197947362117
nerevarine,0.000991660600636342
neuromancer,0.0007031898441676688
oblivion skyrim,0.0006124737265232757
octane render,0.001982583568758484
oil painting,0.004512185656303848
overcast thunder,0.00028901577973780145
pablo picasso,0.0007372201376687534
painted,0.0005370082300889936
painted pablo,0.0008722505972806207
painting,0.010238198313004616
painting aesthetic,0.0009407183287807757
painting artstation,0.001173286994589353
painting beautiful,0.000585900078309943
painting character,0.0006821034488104572
painting chris,0.00014641566871380284
painting deviantart,0.00801479076801302
painting lurid,0.0009130108671364708
painting lush,1.441852171324968e-05
painting peter,0.0008286049445984686
painting ronny,0.0009236366606750973
painting sargent,0.034107613754681895
painting stalenhag,0.0019876221087851
painting unreal,0.0007713913584570831
peter,0.0010617964438921726
peter elson,0.0011540338946342086
photo,0.002799543288079741
photo realistic,0.0026417597020119547
photograph,0.009930568889364933
photograph divine,0.0011932869281731677
photography,0.006744349311189344
photography awards,0.0003573296695518671
photorealistic,0.0029018892305913424
photorealistic digital,0.0007812520969470631
phyics entries,0.00035205015604415814
picasso,0.0013444296136924893
picasso hair,0.0005867663768653773
pikachu hannah,0.0003466005029466237
pink bonsai,0.0
pink flamingos,3.677733592884146e-05
pixar,0.0008797075645522526
pixie cut,0.0005851064831016808
portrait,0.021487996918227847
portrait extremely,0.0010384711894715624
portrait intricate,0.00013923489097427636
portrait male,0.0007308759435398659
portrait painted,0.0006960225102741214
portrait painting,0.0007426898086185887
portrait photograph,0.0004906889040933895
portrait sabouts,0.00047427415651550163
portrait scifi,0.0007209403733633905
punk art,0.0
punk portrait,0.0009975704907166484
puppy,0.00158409663271456
render hyperrealist,0.0003839400845620328
robot,0.0016769956822157235
rocksalt lamp,4.805968811079473e-06
rpg portrait,0.0009637536905359223
runway,0.0012681154250305526
saitama,0.002314841053272203
saitama anime,0.0010756910075074638
scene,0.002603010212365657
scene science,0.00032809796265798605
science,0.00014545027393383754
science fiction,6.999983690450131e-05
screenshot,0.00029509927272802766
shade talking,0.0015258118987499284
skyrim elegant,0.0009278461616283666
sony,0.0008787759462843258
sony world,7.327224424798027e-05
space,0.001829562909747817
starmaker,0.0008755277445082252
starmaker matte,0.0007453384684359604
stars,0.001049408275092929
statue,0.0004525899209122598
steampunk,0.0014847725938576745
steampunk butterfly,0.00026093792911337406
steampunk himalayan,0.0005719313214816667
studio ghibli,9.199228417774013e-05
style contemporary,0.0
style portrait,0.0010110471625301514
surreal,0.00194132359860064
surreal concept,0.0014210465853628984
surreal glimpse,9.266403856682334e-05
surrealism,0.010116756307513904
surrealism surreal,0.001198297847950028
tall castle,0.0
tracing artstation,0.0007421084157973289
traits painting,0.000739562146269244
trending artstation,0.0025407725365417097
ufo,0.004460660807603186
ufo ignoring,0.00040231708172645147
ultra realistic,0.0017254795207967113
uncanny painting,0.00029974366292846293
unreal engine,0.006904759035505934
vallejo frazetta,0.0008828282213428104
vivec portrait,3.1642628870594386e-05
volumetric lighting,0.00094779552573763
wallpaper,0.0012992818374748703
wallpaper illustration,0.00010553384283776022
wearing cloud,0.0006971017077939637
wizard,0.00022874572657267071
woman,6.337827768897281e-05
wooden churches,2.0745796997321898e-05
world photography,0.003467609711472487
zdzislaw beksinski,0.0016516715176579766
