keyphrase,mean_abs_shap
abandoned,0.002433916968406143
alien,0.00294895708495967
alien planet,0.0007128371289669299
android cyborg,0.0001409188929542819
anime,0.0055925011178592915
anime colors,0.0012080268737811762
anime epic,0.00018370998991416
armor daedric,0.001192665910729628
art,0.00531836824285385
art artgerm,0.0015100490400532826
art city,0.0009720733187269846
art hyperrealistic,0.0012021957036419126
art josan,0.00014463418741902858
art lifelike,0.00041690998847545175
art punk,0.0012991131110150452
art realistic,0.0004869807287911829
art sharp,0.0011171368694707867
art smooth,0.001848555990350319
art style,0.0011801441122418093
art thorough,0.0009897458357478444
art trending,0.0011554533706021528
artistic,0.0009744077191054922
artistic painting,0.0009676393640911999
artstation,0.009482330839776714
artstation cinematic,8.215000244525692e-05
artstation galaxy,0.0004525445947687808
artstation hyperrealism,0.003032800741725839
artwork,0.002853093366135902
atmospheric lighting,0.0010524209230032143
avant garde,0.00013155305144699867
azores,0.0014383794718895
azores islands,0.0016733606810433116
beautiful landscape,0.0006768304395423165
beneath cherry,0.00010578663800455203
bjork,0.002152131408861525
black,0.0033528619863128434
body manga,0.001065464120195023
body portrait,0.0003060588901753551
body shot,0.00014069971803310142
bonsai,0.0021728951748516056
bonsai tree,0.0010917974526801527
bull looking,0.00016901677592971742
bull modeled,4.987282347316133e-05
butterfly volumetric,0.0011345858131782587
camera,0.003469820446036517
candle butterfly,0.0009126059183084293
candle volumetric,0.0007508333941997266
canvas,0.001127857976382314
castle,0.0031596276961634584
castle enclosed,0.0
cat,0.0023951189081674765
century,0.0008071390769477746
century modern,0.001085670714247549
character portrait,0.0006331574179025544
chris,0.00020047843589800202
chris foss,0.0
churches domes,0.0
cinematic,0.003768134021300132
cinematic composition,0.011027665854622599
cinematic deviantart,0.0005289147453885105
city,0.0028591981106233593
cloud fashion,0.0003599053651944871
clouds,0.0028298609928604683
clouds covered,0.0
clouds girl,0.0
clouds madeira,0.002013381206435765
collage canvas,0.0008400372083580516
colors,0.0006820851891242955
colossal,0.0011117322631505804
colossal goddess,0.0008513553834674325
comprehensive art,0.003459978604164671
concept art,0.013629314104453026
contemporary art,0.0006964633249038392
cute fluffy,0.0019551607548823815
cyberpunk,0.0050871333461551685
cyborg,0.002425123827303553
cyborg body,0.00010311319062353508
cyborg bull,8.592747091106586e-05
daedric armor,0.0009789742656816196
dark,0.002806861383376604
dark uncanny,0.0019974109018713938
detailed painting,0.004404211614899485
detailed portrait,0.0009514208133108165
detailed ultra,0.0016594229084898313
details intricate,0.0014840085554316473
detective pikachu,0.001171010897061687
deviantart,0.002048277707621264
deviantart hyperrealistic,0.0010650598960996686
deviantart realistic,0.007278086109915863
digital art,0.0038300586590983648
digital painting,0.002286876736515269
digital render,0.0009550771379936626
divine,0.00044892990188183314
divine pink,4.0088904183722747e-05
dog,0.0003556268318591092
donald,0.001944471580115045
dragon,0.0006366137538565536
dramatic lighting,0.0015038976937511608
drawing,0.0007780730369205811
dunmer nerevarine,1.5202996902107388e-05
einstein,0.005529663591514975
elf,0.002139311719757151
elson,0.001253083605704328
emo,0.0006631413940812781
emo punk,0.0007929627262008894
engine,0.00212487959488486
entries sony,0.0005043152275057415
fantasy art,0.0013398558994823222
fantasy painting,0.004033817650485818
fantasy style,0.0019184298307437528
faroe azores,0.0025230395844895366
fashion clouds,0.0008485568258261599
fiction,0.001174304284077205
fiction film,0.004355959104779229
fifth element,0.0009226765732719083
film,0.012508483247334955
film neuromancer,0.002666493299459901
flamingos,2.2665798364465247e-05
flowers,0.002638169576661821
fluffy,0.0003845889096280021
footage,0.001506385039402175
forest,0.0023789288459676664
frazetta,0.0001837701910120665
frazetta fantasy,0.001348788185180594
frazetta giger,0.000239014781342531
futuristic,0.001261997621739432
garden intricate,0.0023294258898635145
giant digital,0.0008734307076880681
girl clouds,0.0
glamorous sophisticated,0.000763456814583756
glimpse universe,0.0010612866608296465
goddess,0.0027438564430074205
goddess creative,0.00084514854562134
goddess wearing,0.000378208892491418
gordon,0.0006644272912486367
goth,0.0008357948290438689
goth emo,0.000730977711165775
goths,0.00040635975875216897
goths loitering,0.00012841799244321295
gundam,0.005663643501804152
gundam unreal,0.0013383179315573574
gustav klimt,0.0007331745293992925
hd,0.0010470558679608007
hd goth,0.0017103449650254096
hd painting,2.4816505846826927e-05
hd unreal,0.00021276222624605856
heavy detailed,0.0015588702107811213
high quality,0.003012370318442257
hills slavic,0.0
himalayan,0.000127984880811615
himalayan rocksalt,2.093034287004595e-05
houses,0.0014312454220670845
houses built,0.0003899562601818415
hyper detailed,0.001614645864115295
illustrated,0.0014180789482080309
illustration,0.0022256697673777083
illustration art,0.004297246120222429
imposing cyborg,0.00015243547294164903
intricate details,0.0032424087646953227
intricate hyper,0.0010690432624376564
intricate royo,3.2281194526955096e-05
intricate volumetric,0.0011219384592960954
josan,0.0006998179573276976
josan gonzalez,0.0014665171951497892
knight,0.0014879584185809327
kylie,0.00030363171428874844
kylie minogue,0.00018286585432273549
lamp,1.2061364500588578e-05
landscape,0.0030510246214625622
landscape colourful,0.0008754255013332887
lantern candle,0.0016021191720056286
length portrait,0.002477763297746823
lifelike photorealistic,4.689621336612496e-05
lighting,0.0017684664152417889
lighting hd,0.0009413487329083804
lightning intricate,0.0018998438974568881
log houses,0.0004517521363324275
looking camera,0.0001048505948810138
low clouds,0.0024508773779049983
madeira faroe,0.0016446056233054853
male dunmer,9.542632505976166e-05
manga,0.002716468258622776
manga illustration,0.0012578329467320475
marble hourglass,0.0013192657326933622
matte,0.007734581573124134
matte painting,0.008626109349921036
media collage,0.0007322011192909926
mid century,0.0024106079921602966
minogue,0.0002286214491968777
mixed media,0.0
modern,0.00019207050783746478
modern art,0.0008202550462812133
movie,0.0022479124317045136
movie poster,0.0009779568414149597
natural scene,0.002468710257956977
nerevarine,0.001189715715940735
neuromancer,0.003129167773975851
oblivion skyrim,0.00045890204761890694
octane render,0.0009552512013946364
oil painting,0.0026924780575863835
overcast thunder,0.0030759284421104606
pablo picasso,0.0009578560037480154
painted,0.0005683381796839642
painted pablo,0.0009358188764810774
painting,0.017955043998565325
painting aesthetic,0.00014822808184762536
painting artstation,0.0012753468231138454
painting beautiful,0.0013869356402996717
painting character,0.0009429984678450692
painting chris,1.44134714493471e-05
painting deviantart,0.004856568234503111
painting lurid,0.0009641357370154922
painting lush,0.0016038769044470797
painting peter,0.0011109831590994533
painting ronny,0.001168770150403618
painting sargent,0.016058815802795244
painting stalenhag,0.0018776566325897257
painting unreal,5.093004405979022e-05
peter,0.0009932917111251025
peter elson,0.00441841217143501
photo,0.0008754994330120516
photo realistic,0.0009669513147100529
photograph,0.008929276250599834
photograph divine,0.0010602438969696392
photography,0.004667879214708786
photography awards,4.4970918124552864e-05
photorealistic,0.0018014458785756873
photorealistic digital,0.0004383583313471864
phyics entries,0.0009390829236879494
picasso,0.0015695713841879593
picasso hair,0.0010673014217676558
pikachu hannah,0.001192961410505441
pink bonsai,0.0009598008679558937
pink flamingos,7.339311387318704e-05
pixar,0.0004322453738198999
pixie cut,0.0014176523873985804
portrait,0.009882481416260821
portrait extremely,0.0017596477854984595
portrait intricate,4.6086114189466705e-05
portrait male,0.00030392837577040673
portrait painted,0.0008926204681686757
portrait painting,0.0010381485028715014
portrait photograph,0.0007744958325049868
portrait sabouts,0.002011807095393487
portrait scifi,0.00332029818797857
punk art,0.0007490487369554947
punk portrait,0.000970568157937945
puppy,0.0012932302931114759
render hyperrealist,0.0010075723827813266
robot,0.00222922792660112
rocksalt lamp,1.4545536583775133e-05
rpg portrait,0.000891752277711707
runway,0.001118585302888989
saitama,0.0013661528123895485
saitama anime,0.0012570500516794004
scene,0.002982213347365659
scene science,0.003178169653138365
science,0.00030715474797501284
science fiction,0.0008586866366810907
screenshot,0.00038046256022434476
