keyphrase,adjusted_mean_shap
clouds madeira,66714589101.92406
style portrait,66714589101.92365
giant digital,15172148340.789347
intricate royo,15172148340.789286
painting sargent,0.019542820889557173
portrait,0.016509186378537623
matte painting,0.0161472136113279
film,0.01588385907477695
painting,0.014380900784559225
cinematic composition,0.01379322228522305
artstation hyperrealism,0.0124800045485825
artstation,0.011012067924507051
deviantart realistic,0.0108119937420026
concept art,0.00973969557397275
photograph,0.007280641786183999
art,0.007141580097414376
surrealism,0.006951382438274375
matte,0.006671857701519301
clouds,0.005707821512578599
painting deviantart,0.0055655702022004
photography,0.0052726148078262505
dark,0.005146477549101149
flowers,0.00463290771312395
ufo,0.00461601502711035
unreal engine,0.0043384469209709
peter elson,0.00425588390559664
oil painting,0.0042405662370653
comprehensive art,0.0041659509992427
detailed painting,0.0041332726158533
fiction film,0.004015668616849774
fantasy painting,0.004007032108761275
black,0.004002576298122425
einstein,0.003938195898889775
digital art,0.003910646706155725
natural scene,0.003848399476356425
scene,0.0037768853399639995
movie,0.0037708972284886248
cinematic,0.003706260366395275
camera,0.0035961554884821746
cyberpunk,0.003583047950906025
illustration art,0.003564995782437275
bonsai,0.003474540283110225
anime,0.0034523805466878006
gundam,0.003335010236599425
neuromancer,0.0033169337189209503
castle,0.0032277337381394497
landscape,0.0032227666354785
digital painting,0.0031233957293273747
deviantart,0.003106151460700425
photorealistic,0.0031028293561650502
city,0.002984852788579925
manga,0.0029833711336388
canvas,0.002904523465317375
length portrait,0.002900667579357125
sky,0.0025404292105704
painting lush,0.0025269332971380445
high quality,0.002495868342676163
goddess,0.002442051543257425
intricate details,0.0024239481003119697
dramatic lighting,0.002395392924902
surreal,0.002388800341710325
space,0.00234341488159905
art smooth,0.00227966652683965
ruins,0.0022735494009533
portrait scifi,0.002271997568523275
cat,0.0022657911094356
dark uncanny,0.00225927296178705
trending artstation,0.0022185887731919754
jacket black,0.0022010639945657
overcast thunder,0.0021770120018791248
alien,0.00215450289923025
houses,0.0021504452197633503
world photography,0.002128912546112675
fantasy art,0.002110355186427755
sitting snowy,0.0020884300525808
donald,0.0020454246179879
bjork,0.00203816944535915
forest,0.001969052306191025
artwork,0.001957281905000825
lightning intricate,0.001939766793041925
abandoned,0.0018709738991520833
photorealistic digital,0.0018709136537922
bernard simunovic,0.0018578301558318
painting stalenhag,0.0018564552592414251
tracing artstation,0.0018257432486769077
photo,0.0018147645013261498
mid century,0.0018119486536218748
cute fluffy,0.0018043529206189
portrait extremely,0.001780498094154125
photo realistic,0.001764834984987975
portrait male,0.00174881768914145
faroe azores,0.00172244231932885
beneath cherry,0.001699744132955225
creatures surreal,0.0016792918500327
punk,0.0016475619403494
alchemical creatures,0.0016150525057983
steampunk,0.0015902988780088917
deviantart hyperrealistic,0.001583710946332525
hyper detailed,0.0015830105983438499
painting artstation,0.0015727390418120752
art style,0.0015698722807126002
ultra realistic,0.00156828845553185
zdzislaw beksinski,0.0015663622034891998
surreal dark,0.0015643043057887
film neuromancer,0.001558129243073825
elf,0.0015530973002302248
robot,0.00154820936103615
fantasy style,0.001537684034235225
elson,0.00153420815419677
surreal concept,0.001489635261585925
portrait painting,0.0014652750166805751
wizard,0.00141607405727395
art artgerm,0.00140265601274325
saitama,0.00139211106166025
dragon,0.00136464629572405
goth,0.0013618586700238457
candle volumetric,0.0013612979290517251
cyborg,0.0013598864786964174
woman,0.0013592700778408931
puppy,0.00135553716877275
comic book,0.0013334454346561
manga illustration,0.0013314163149581002
gordon,0.0013215322149647336
art trending,0.00132118972344485
josan gonzalez,0.0013105530886173
azores,0.0013014381659101184
goths,0.0012971438464377
detailed ultra,0.00127802647867915
peter,0.00126913642300655
engine,0.0012458006913817032
portrait sabouts,0.0012301139751956685
art realistic,0.0012297250491058143
art sharp,0.001225453361613925
octane render,0.00121888892568265
fashion clouds,0.0012182160879821
studio ghibli,0.00121430632184846
skyrim elegant,0.001203617294486925
