keyphrase,mean_abs_shap
abandoned,0.0
alien,0.000274093440472993
alien planet,5.78626724538959e-06
android cyborg,0.00010202459102611409
anime,0.0009349806619021586
anime colors,1.9804135233129903e-05
anime epic,0.00036353195065680496
armor daedric,1.001124310907277e-05
art,0.0005574184123728924
art artgerm,0.002010959554606385
art city,0.0
art hyperrealistic,4.5779718301553234e-07
art josan,0.0003388789608962505
art lifelike,0.0
art punk,0.0003685737276162005
art realistic,0.0003643173203887078
art sharp,0.00040444964267844966
art smooth,0.0004569207492037923
art style,0.0002901303077200276
art thorough,0.0
art trending,3.5845379896058575e-06
artistic,0.0002362229974938749
artistic painting,0.0006759735967938853
artstation,0.0006284835263153539
artstation cinematic,0.0010262512702348308
artstation galaxy,0.0
artstation hyperrealism,0.0040025955643731344
artwork,0.00044046804160908674
atmospheric lighting,2.0191779510589656e-05
avant garde,0.00028992708402895664
azores,0.0
azores islands,0.0
beautiful landscape,9.589095360838168e-07
beneath cherry,0.0003522475391765608
bjork,0.0
black,0.0
body manga,0.0003294783033727052
body portrait,0.0
body shot,0.00011012680108783085
bonsai,0.0033002866250053838
bonsai tree,3.625776352149316e-06
bull looking,6.882253497749073e-05
bull modeled,0.0
butterfly volumetric,0.00036376006663483114
camera,3.425616075876966e-06
candle butterfly,0.0003508548931519574
candle volumetric,0.00031909583857549223
canvas,0.003952200921717629
castle,0.0
castle enclosed,0.0
cat,1.098503388649868e-06
century,2.554177972194145e-06
century modern,0.00036902848186396196
character portrait,0.000239537717817786
chris,0.0
chris foss,0.0
churches domes,0.0
cinematic,0.0014675523267527791
cinematic composition,0.007045030862066169
cinematic deviantart,0.0002686902084625529
city,0.00030055841568990565
cloud fashion,0.0
clouds,0.0011614261236102342
clouds covered,0.0
clouds girl,1.9975936797650543e-06
clouds madeira,1.2949393294004558e-05
collage canvas,1.6955276410910226e-05
colors,0.0002653441785461731
colossal,8951504469.108862
colossal goddess,0.00029847847546112996
comprehensive art,7.832844793129698e-06
concept art,0.0002866944171727138
contemporary art,0.0006183431011341948
cute fluffy,0.0003511625925258162
cyberpunk,0.0003262880819141324
cyborg,3.863532718047437e-07
cyborg body,0.0
cyborg bull,0.00011931692275781599
daedric armor,0.0
dark,0.0020211894315600833
dark uncanny,0.00021833430645465038
detailed painting,0.0
detailed portrait,0.0003010680613529716
detailed ultra,0.0018352856730452247
details intricate,0.00041235238496453654
detective pikachu,0.0002516382083278688
deviantart,0.003589255836945568
deviantart hyperrealistic,0.0002900872623432718
deviantart realistic,8951504469.112947
digital art,0.0014762107708940415
digital painting,0.0017257911252624592
digital render,0.0
divine,2.4570768900308607e-05
divine pink,0.0008859468164373499
dog,0.0
donald,0.001787958780398533
dragon,0.00045589480642745084
dramatic lighting,0.0005679901361063916
drawing,0.0010563918793063403
dunmer nerevarine,8.408663901810671e-06
einstein,0.003713441649243344
elf,0.0
elson,0.00034531610511274574
emo,0.00033411558395275975
emo punk,0.00024119344275704165
engine,0.00030145106619351833
entries sony,0.0002646755679235226
fantasy art,0.0005022110328137772
fantasy painting,0.0
fantasy style,2.6490510251099364e-05
faroe azores,3.985165431088374e-06
fashion clouds,5.34206783190967e-06
fiction,8.427098282610927e-06
fiction film,0.00023564163795898003
fifth element,0.0002877176788876081
film,0.045368648364306555
film neuromancer,0.0006208823854244719
flamingos,9.532572959419815e-05
flowers,0.0014198271701202996
fluffy,0.0
footage,0.0024083986216750803
forest,0.00033718435643933175
frazetta,0.0003076797579750554
frazetta fantasy,0.0002093674815722579
frazetta giger,0.000562459343506982
futuristic,0.0
garden intricate,96938687746.90051
giant digital,0.0
girl clouds,0.0
glamorous sophisticated,0.00029229552612584887
glimpse universe,0.00035071434319201936
goddess,0.00023315742028059158
goddess creative,0.0
goddess wearing,0.0
gordon,5.146454390627639e-06
goth,0.00028519737725918743
goth emo,0.00031813786503785224
goths,0.00022234222341299215
goths loitering,0.00031099730429031205
gundam,0.002403968234439986
gundam unreal,5.041635205547853e-06
gustav klimt,0.00015562248083709492
hd,5.59747315800657e-05
hd goth,0.001085085605700973
hd painting,0.001248565521842735
hd unreal,0.00031572500746952125
heavy detailed,0.0
high quality,0.0036632136051694118
hills slavic,6.046578434877675e-06
himalayan,0.0016293211541559373
himalayan rocksalt,0.0
houses,0.0
houses built,0.0
hyper detailed,0.00025495929892908284
illustrated,0.00033704500450374016
illustration,0.0003345834183773661
illustration art,0.00039993382443656675
imposing cyborg,0.0
intricate details,0.0021494215486516505
intricate hyper,0.0
intricate royo,0.00039994600329923034
intricate volumetric,0.00042011532653686844
josan,0.00032095565431829
josan gonzalez,0.000295396406264599
knight,0.0
kylie,0.00029305166276459213
kylie minogue,0.000267138231591201
lamp,0.0
landscape,0.00023862418711855557
landscape colourful,1.4361916686562233e-06
lantern candle,0.0
length portrait,0.0003019575690021397
lifelike photorealistic,0.0005522639294091842
lighting,0.0005358969491765067
lighting hd,0.0
lightning intricate,0.0003843187552556222
log houses,1.2062652744718865e-06
looking camera,0.0
low clouds,0.0
madeira faroe,0.0
male dunmer,8.55620795192372e-06
manga,0.0011134273478490878
manga illustration,0.0003331179583381341
marble hourglass,0.00038475084972233714
matte,0.004360962544953361
matte painting,0.0037107502290883946
