keyphrase,mean_abs_shap
abandoned,0.00042059463612386126
alchemical creatures,0.0004811438303257863
alien,0.0016276907377400008
alien planet,0.00029041511256352944
android cyborg,0.0001639523460222396
anime,0.004484957036760932
anime colors,0.001444439663270478
anime epic,0.0012355430337066008
art,0.00805719696257305
art artgerm,0.0034125418705998854
art hyperrealistic,0.0012110107370625928
art josan,0.002660292669694778
art lifelike,0.000980901773835459
art punk,0.0015504169202898558
art realistic,0.00027281663605491566
art sharp,0.0009440170043257946
art smooth,0.0029919736780563123
art style,0.002711402632538851
art thorough,0.0008508553802970603
art trending,0.000772591062172409
artistic,0.0015340266655314754
artistic painting,0.001962821923502406
artstation,0.005748756128840027
artstation cinematic,0.0028978869667780813
artstation galaxy,0.0009445424792603591
artstation hyperrealism,0.005268340744885185
artwork,0.002308258011711112
atmospheric lighting,0.0010961800306285223
azores,0.0012037147250642268
barbarella,3.1469134920495586e-05
beautiful,0.0016402490322243559
beautiful landscape,0.0021262768008452142
beneath cherry,0.003697070404695974
bernard simunovic,0.001603168915339321
bjork,0.0037771490796515224
black,0.001444044210217031
body manga,0.0013799460698848142
body portrait,0.0011057721617208419
body shot,1.8188404128837507e-05
bonsai,0.0026540788831283134
bonsai tree,0.0015059900446721208
bull looking,0.0
bull modeled,1.0795073962132457e-05
butterfly volumetric,0.0037546595173103725
camera,0.0011073135804605483
candle butterfly,0.0006498653263249255
candle volumetric,0.0025779202075363805
canvas,0.007087559527043641
castle,0.0023625347417280105
castle enclosed,0.0020341067237978827
cat,0.0015675192777376316
century modern,0.002397856710336493
character portrait,0.0016597610799254313
cinematic,0.003989601941870562
cinematic composition,0.009473936926308069
cinematic deviantart,0.0014356927187395103
city,0.0033460217097009597
clouds,0.006054604456007173
clouds madeira,0.0006038207038666421
collage canvas,0.0011509895475218781
colors,0.0021355137087159235
colossal,0.0011374056089840277
colossal goddess,0.00110551913015237
comic book,0.0016246555506417904
comprehensive art,0.0034048582956510967
concept art,0.010926290970384119
contemporary art,0.0019341166740136132
creatures surreal,0.00028766716970409206
cute fluffy,0.00174511795579495
cyberpunk,0.0022795929935207427
cyberpunk art,0.0010340089111759959
cyborg,0.0021427406080919706
cyborg body,0.0007590395880238062
cyborg bull,0.00051019203310109
daedric armor,0.0024907331197938382
dark,0.005212504044048816
dark uncanny,0.00010865045196871893
design,0.006451104812966904
detailed painting,0.002607994197111983
detailed portrait,0.0011778953728554566
detailed ultra,0.002734932297925354
details intricate,0.0014801772027549821
detective pikachu,9.757340124971376e-05
deviantart,0.004248726558309035
deviantart cinematic,0.0006986831243444635
deviantart hyperrealistic,0.0036600824225102423
deviantart realistic,0.0025616462820625898
digital art,0.010488146256531893
digital painting,0.020910297597883026
digital render,0.0003439449146777354
divine,0.001731949508357971
divine pink,0.00044283100173567197
dog,0.0015774740771397268
donald,0.004040633636756936
dragon,0.004472923344594544
dramatic lighting,0.001606825887188804
drawing,0.002296842652880596
dunmer nerevarine,0.0010265749938215098
einstein,0.004384714863169462
elf,0.0033983535654073227
elson,0.0030854304979626426
emo,0.000441061089651001
