keyphrase,mean_abs_shap
abandoned,0.00030784132776942374
alien,0.0005110471882562197
alien planet,0.0006304814623859998
android cyborg,0.0007294811528447676
anime,0.00481010688542643
anime colors,0.00016627005437694288
anime epic,0.0005332057580836472
armor daedric,0.0008787458685500504
art,0.005155781804057144
art artgerm,0.0028366680809696764
art city,2.1399298871344753e-05
art hyperrealistic,0.000657326572660805
art josan,6.085150362430954e-05
art lifelike,0.0006079892917172451
art punk,0.0012914661785762497
art realistic,0.0013401471777341842
art sharp,0.0010462884694182294
art smooth,0.002902217624274837
art style,0.0012359343613519004
art thorough,0.0007597657290720763
art trending,0.0009331960181756013
artistic,0.0002691696946574865
artistic painting,0.0003032449603808002
artstation,0.0025156570794385
artstation cinematic,0.0028621918714818503
artstation galaxy,0.0008448890493014578
artstation hyperrealism,0.006398838858418738
artwork,0.00034972952443328457
atmospheric lighting,4.712206654164077e-06
avant garde,0.00011542898338947579
azores,0.00026651071634841117
azores islands,0.00017695635583869548
beautiful landscape,0.0008432672686159159
beneath cherry,0.0007225854985870103
bjork,0.0004341433267388519
black,0.0001733382472237429
body manga,8.655318085140236e-05
body portrait,0.0012278376020704248
body shot,0.000517030774005476
bonsai,0.003846043614739204
bonsai tree,0.0004309788098816094
bull looking,0.0006575418358018603
bull modeled,0.0005158658836277167
butterfly volumetric,6.132696701166213e-05
camera,0.001749510970589685
candle butterfly,0.0003084012857661597
candle volumetric,0.00010404616741172737
canvas,0.006402438571193584
castle,0.002349788872444127
castle enclosed,2.5928760252123486e-05
cat,0.002888983047858286
century,0.0001348306477361772
century modern,0.0011040653284640934
character portrait,0.0012321936621043738
chris,5.117110833631588e-05
chris foss,0.00028935269501115403
churches domes,7.336162149873158e-05
cinematic,0.0038896049148681197
cinematic composition,0.006685425181076515
cinematic deviantart,0.0012052403429783423
city,0.0007050199564295037
cloud fashion,2.500155982224339e-06
clouds,0.0028464824577048883
clouds covered,5.2992787467070863e-05
clouds girl,3.888909135515713e-06
clouds madeira,9.490234115070386e-05
collage canvas,0.001085426254502462
colors,0.0003018752165746293
colossal,1.1853081931032478e-05
colossal goddess,3.7337697261390354e-05
comprehensive art,0.001970364309040456
concept art,0.0026490351555923737
contemporary art,0.0011669087011969327
cute fluffy,0.0013558063274430594
cyberpunk,0.0014060524659475298
cyborg,0.0025719338620089492
cyborg body,0.0006083075680295536
cyborg bull,0.0005801582510740513
daedric armor,0.000662873274776493
dark,0.003164387870851372
dark uncanny,0.0007142207345659561
detailed painting,0.0008768197203901999
detailed portrait,0.0013239653870059972
detailed ultra,0.001774433438039217
details intricate,0.001972140404398875
detective pikachu,0.0003742909780358844
deviantart,0.003482097840273391
deviantart hyperrealistic,0.0008815964541109392
deviantart realistic,0.005114675596718705
digital art,0.00526038081076641
digital painting,0.005626706926199102
digital render,0.0006631178220104757
divine,0.00025159682631824694
divine pink,0.0008239445543587693
dog,0.0007685801131379426
donald,0.0026009282552941428
dragon,0.0014538852578830116
dramatic lighting,0.0012057936109036473
drawing,0.003105777418029173
dunmer nerevarine,0.0005139794491846234
einstein,0.0052774659674421015
elf,0.0011684277143655328
elson,0.0011667191137811142
emo,0.0006622048339026922
emo punk,0.0009532734031300214
engine,0.0005565318625141357
entries sony,6.098937091398846e-07
fantasy art,0.003102601207105618
fantasy painting,0.0017348515541376014
fantasy style,0.0010200276475274465
faroe azores,8.533311900819378e-05
fashion clouds,0.0004497285550139188
fiction,0.001336223853414799
fiction film,0.0011079017872371194
fifth element,0.0003186608348358261
film,0.052434211142384744
film neuromancer,0.00040227488004485675
flamingos,0.0008317842411270364
flowers,0.0020973337707637717
fluffy,0.0005916933988315647
footage,0.009806201637442991
forest,0.0010922364271341812
frazetta,0.0005047555650603724
frazetta fantasy,0.0005972181021757368
frazetta giger,0.0007122507945224588
futuristic,0.0014940953037756721
garden intricate,0.00020560524216932342
giant digital,0.0003599508005603015
girl clouds,7.335592505754415e-07
glamorous sophisticated,0.0008946449270844734
glimpse universe,4.203950570987017e-05
goddess,0.0013906484426772828
goddess creative,0.00023317422767925173
goddess wearing,0.0
gordon,0.0019501325045638437
goth,0.000903935281110712
goth emo,0.0006860466517328886
goths,0.0006221359259635629
goths loitering,0.0008026299581462989
gundam,0.004746714082454429
gundam unreal,0.0006220347504738758
gustav klimt,0.0012578251089995062
hd,0.001050043414493036
hd goth,0.0028066423146151905
hd painting,0.0016989019645628966
hd unreal,4.878626930254802e-05
heavy detailed,7.141246092183489e-05
