keyphrase,mean_abs_shap
abandoned,0.00041307176050843714
alien,0.001037361013598723
alien planet,4.158035623158382e-05
android cyborg,0.00017309971259212676
anime,0.00429820509416409
anime colors,0.00113764632406255
anime epic,0.0007289973453346761
armor daedric,0.0011527427452219818
art,0.005673438080743496
art artgerm,0.0020520510572903643
art city,0.000192496213937568
art hyperrealistic,6.40477640610215e-05
art josan,0.00022132527556423197
art lifelike,0.001157654288614399
art punk,0.0005592660518872109
art realistic,0.0010283728360641045
art sharp,0.0023945010138077955
art smooth,0.002150073781598835
art style,0.000977356215044412
art thorough,0.0012532797752544162
art trending,0.0019808388473868442
artistic,0.00031011283411798337
artistic painting,3.2273242572068146e-05
artstation,0.0031663668610897185
artstation cinematic,0.0023664763070977406
artstation galaxy,0.001157079363768332
artstation hyperrealism,0.003440731640722353
artwork,0.0002968156363847875
atmospheric lighting,0.0008567647727365625
avant garde,3.476899883593005e-05
azores,0.0010957282832143105
azores islands,0.0013521763617715076
beautiful landscape,0.000189926180276415
beneath cherry,0.0005660517115366453
bjork,0.0013181608231681039
black,0.0018895917354955253
body manga,0.002390123286628341
body portrait,0.001285486701199083
body shot,0.0002337247681003928
bonsai,0.0029476531148282035
bonsai tree,0.0007826976809000344
bull looking,0.000285330075522863
bull modeled,0.00016845136871925155
butterfly volumetric,0.001446475507955533
camera,0.0015641998410218234
candle butterfly,0.0010990258111285857
candle volumetric,0.0003193955433204378
canvas,0.005455138003026959
castle,0.0014819082822521707
castle enclosed,0.00013370153489943983
cat,0.002367704292797178
century,0.0012412093577352957
century modern,0.0033006113453679124
character portrait,0.0013143615196821992
chris,0.0001405601345504743
chris foss,0.0008658136549909457
churches domes,9.558380000965768e-05
cinematic,0.002666628410404417
cinematic composition,0.006260110394114411
cinematic deviantart,0.0008932006902708592
city,0.002596519045325133
cloud fashion,9.258194011711539e-06
clouds,0.0029212952717624563
clouds covered,0.0009724944514926771
clouds girl,2.0767498604883875e-05
clouds madeira,0.0026960246633465816
collage canvas,0.0005787203942411485
colors,0.000980087688766897
colossal,0.0011631570154821767
colossal goddess,0.0010406607720991076
comprehensive art,0.0011191990998247624
concept art,0.004668957575246596
contemporary art,0.0006731867409022986
cute fluffy,0.001852929664105538
cyberpunk,0.0011391089175949928
cyborg,0.003413099862245438
cyborg body,0.0002811509736193716
cyborg bull,0.00012449670742066847
daedric armor,0.00123672420518776
dark,0.0033864879744263136
dark uncanny,0.0006742228655841896
detailed painting,0.0014789839376359657
detailed portrait,0.0014100327534300888
detailed ultra,0.001987421875415341
details intricate,0.0022980280670320537
detective pikachu,0.0007648610965096454
deviantart,0.002558745110927118
deviantart hyperrealistic,0.0018095668507681715
deviantart realistic,0.006926312570184203
digital art,0.004001408603722738
digital painting,0.003348935600452768
digital render,3.778573312353499e-05
divine,0.0001195980026144601
divine pink,0.0018850483785609615
dog,0.0017473361842277172
donald,0.00154332108541381
dragon,0.0016628563893716249
dramatic lighting,0.000663329978500133
drawing,0.0024396967201718994
dunmer nerevarine,0.0006742757268715058
einstein,0.013810904337999363
elf,0.0016234532575643398
elson,0.00234314427153091
emo,0.00025727163455758665
emo punk,0.0016134652870953155
engine,0.0005095984514639461
entries sony,0.0008112387560495588
fantasy art,0.0038005928354740153
fantasy painting,0.0028923434098511933
fantasy style,0.0005690526870142409
faroe azores,0.001190314012386179
fashion clouds,0.0007408724143567807
fiction,0.0001245866221573426
fiction film,0.002825718361252941
fifth element,0.00036287762598896466
film,0.020786360095077953
film neuromancer,0.0013499346725529054
flamingos,0.0015546267437796192
flowers,0.002541730538325027
fluffy,0.0013722439910536148
footage,0.00476397117307279
forest,0.001514296302572605
frazetta,0.0016100245919901293
frazetta fantasy,0.0024707895528800574
frazetta giger,0.0012787723560063974
futuristic,0.0002445473040578074
garden intricate,0.0024554412726014857
giant digital,0.0011080988459729083
girl clouds,1.9260372026203963e-05
glamorous sophisticated,0.0012066354008826675
glimpse universe,0.0002708252111022559
goddess,0.0018696682062368142
goddess creative,3.8819901789420294e-05
goddess wearing,0.0001439286722478979
gordon,0.0016367766942141078
goth,0.0011104087002503813
goth emo,0.0018483065757720293
goths,0.0
goths loitering,0.0006271159586526666
gundam,0.0034142806457394164
gundam unreal,9.865743232744326e-05
gustav klimt,0.0010276751121662364
hd,0.0012450105818160664
hd goth,0.002826851290619945
hd painting,0.0011703671256270594
hd unreal,0.0013042319011287366
heavy detailed,0.00074386295686619
high quality,0.0037388302116742825
hills slavic,8.13560219773192e-05
himalayan,0.0015932977085120728
himalayan rocksalt,0.0006098051991695873
houses,0.001195848302545433
houses built,0.0013581504765715028
hyper detailed,0.0019270302310777003
illustrated,0.0003713055591679583
illustration,0.00026247772038040637
illustration art,0.0017304756189346026
imposing cyborg,0.0003539743586981551
intricate details,0.0035898510296305756
intricate hyper,0.0
intricate royo,0.0012349924214994272
intricate volumetric,0.00041618800599037856
josan,0.0005469369154566233
josan gonzalez,0.0015036407164153835
knight,0.0013764509379582534
kylie,0.00017217177329728164
kylie minogue,0.00021705486881490928
lamp,0.0003894729677526881
landscape,0.0022663963358535563
landscape colourful,0.00011649989880014873
lantern candle,0.0012654753011056188
length portrait,0.0014086077882687904
lifelike photorealistic,0.001700452841213531
lighting,0.002636281435899114
lighting hd,0.0019451357640258675
lightning intricate,0.0005630701573842594
log houses,0.0014058456658441417
looking camera,0.00010664279034299221
low clouds,0.001421246527011005
madeira faroe,0.0015850251934673247
male dunmer,0.0010534823497742557
manga,0.003997877692744261
manga illustration,0.0011258252253866724
marble hourglass,0.00024257830144567194
matte,0.002358663265562316
matte painting,0.0031517532141708917
media collage,0.0003608245669883322
mid century,0.0012848119464079926
minogue,0.000321672023542221
mixed media,0.0002919976202676513
modern,0.0020260531672634478
modern art,0.001813337781237094
movie,0.002226459627060919
movie poster,0.0014411600368408127
natural scene,0.0012268744168633017
nerevarine,0.000799785301979551
neuromancer,0.0007334659894020666
oblivion skyrim,0.0010608672960420366
octane render,0.001990540085353752
oil painting,0.0039828544474689205
overcast thunder,0.002257485250817523
pablo picasso,0.0008320099377571428
painted,0.0009645330363744327
painted pablo,0.0009610603741818949
painting,0.014881935286160865
painting aesthetic,0.000317916267286174
painting artstation,0.0026181342160602745
painting beautiful,0.0016086995773590222
painting character,0.0008808765186283505
painting chris,0.0007651032305587927
painting deviantart,0.0032872107920857738
painting lurid,0.0004024285349043884
painting lush,0.0002738545660700908
painting peter,0.0014675215043042362
painting ronny,0.0011456667905845302
painting sargent,0.014607604047870473
painting stalenhag,0.0013381380253644156
painting unreal,0.0001486180733749216
peter,0.0009906654530462207
peter elson,0.00653249161491264
photo,0.002600098633694324
photo realistic,0.0014850716976010938
