keyphrase,adjusted_mean_shap
portrait male,113493652471.80002
male dunmer,113493652471.79913
painting sargent,24395724701.83971
pixie cut,24395724701.82714
painting,24234671936.748158
garden intricate,24234671936.726204
lifelike photorealistic,8641240868.705133
photorealistic digital,8641240868.704626
deviantart realistic,2237876117.2818875
colossal,2237876117.2777934
film,0.03424330908823928
scene,0.016648145071271825
portrait,0.0146823833043321
portrait painted,0.007985466109272225
digital painting,0.0079029328124493
peter elson,0.007617796919602375
steampunk,0.00752749271849255
cinematic composition,0.007366125840891249
einstein,0.006796631704463525
photography,0.0065158877601028
design,0.0064511048129669
canvas,0.005724334255745401
footage,0.005470041113183625
digital art,0.0053065366104787254
high quality,0.00525340200152255
matte painting,0.005147227510288375
art,0.004860958814936575
artstation hyperrealism,0.0047776267020998
gundam,0.004772050355306225
concept art,0.0046327445295989
photorealistic,0.00457669555274505
matte,0.004326350390590249
oil painting,0.00423462854505305
saitama anime,0.003971548181957575
skyrim elegant,0.0037658296863802253
anime,0.0036320624195633503
deviantart,0.003469706336613725
portrait scifi,0.0034511811176028253
dark,0.0034461423302216
movie,0.003389027264123025
clouds,0.003245952077271125
bonsai,0.00318701555942525
artstation,0.003014815898920875
cinematic,0.003003346898473925
manga,0.0029819784598341254
ultra realistic,0.00290101164267095
trending artstation,0.0028532178297861997
intricate details,0.0027644291074794504
robot,0.0027161085392396252
fantasy art,0.002670032030007125
photograph,0.0026214390234648
art artgerm,0.0025780551408665
donald,0.002493210439465825
painting artstation,0.0024339453574277
surrealism,0.00232215619081095
artstation cinematic,0.002288201603898075
garden,0.0022702604431307
lighting,0.002224756650700125
drawing,0.002224677167596925
art smooth,0.0021252964582834
detailed ultra,0.00208301832110625
vallejo frazetta,0.00207567686488355
unreal engine,0.0020534773158095
hd goth,0.002039841486345425
cyborg,0.002032040171404501
painting deviantart,0.002022522851484925
overcast thunder,0.002017887674408675
gonzalez,0.0020121170205388
dragon,0.002011389949569125
flowers,0.001995422182168575
photograph divine,0.0019812860827102
punk,0.0019331452631945
surreal,0.00190221452369555
illustration art,0.001883156588961475
zdzislaw beksinski,0.0018701439632245998
wallpaper illustration,0.001855957084723175
fantasy painting,0.0018116227849710002
century modern,0.0017928904665080497
sky,0.0017702672909723
city,0.0017370297817863498
elson,0.0017351524970968249
himalayan,0.001717276724315325
cat,0.0017063262804453874
modern,0.001701765424196625
gordon,0.001700355831684107
puppy sitting,0.001670490720036
resolution wallpaper,0.0016679192104309
deviantart hyperrealistic,0.0016603332474331
beautiful,0.0016402490322243
intricate volumetric,0.0016306049150641498
comprehensive art,0.0016255636373273075
comic book,0.0016246555506417
puppy,0.0016040181940827
bernard simunovic,0.0016031689153393
picasso,0.0015891335550732252
photo,0.001574584134796275
hyper detailed,0.001566359965327925
castle,0.0015485579741060498
elf,0.001547558634334275
details intricate,0.00154067451478755
manga illustration,0.001531731427631825
steampunk himalayan,0.00151618683095295
studio ghibli,0.0015051521588228499
modern art,0.0014967646482205
landscape,0.0014835982458861999
sony,0.001477165050940025
octane render,0.0014724107808830752
goddess,0.0014703712816211
photo realistic,0.0014474999698499752
emo punk,0.0014180920897047
painting beautiful,0.001416469904797525
ruins,0.0014158320661399
phyics entries,0.001414637024960275
butterfly volumetric,0.0014065555147280656
bjork,0.0013823633073896
length portrait,0.0013670266841031
