keyphrase,mean_abs_shap
abandoned,0.00016257632985236184
alien,0.000205637680891907
alien planet,0.00019221826053078151
android cyborg,0.00013331046325156169
anime,0.00022902560355861958
anime colors,8.339707872731981e-06
anime epic,0.00020069530426104906
armor daedric,0.0001355753757427915
art,0.000495635050217956
art artgerm,0.004260697716167641
art city,0.0001729875737097503
art hyperrealistic,3.349271865297121e-07
art josan,0.0005373147337032992
art lifelike,2.14494993784088e-06
art punk,0.00015937932740782578
art realistic,7.088771484768406e-05
art sharp,0.00017348029993388656
art smooth,0.00016609771058292836
art style,0.00018772617394319412
art thorough,5.681421429508064e-05
art trending,0.0
artistic,0.00017912126012881472
artistic painting,0.00013039521879519122
artstation,0.0022113670247704493
artstation cinematic,0.0
artstation galaxy,0.0001734747134010444
artstation hyperrealism,0.0015916155113832866
artwork,0.000865774143447693
atmospheric lighting,0.00013712642669402945
avant garde,0.0
azores,0.00017968136278083256
azores islands,0.00019140379467546504
beautiful landscape,0.0005795320692617204
beneath cherry,7.450827087951001e-05
bjork,0.00016246991359721496
black,0.0033919914601075463
body manga,0.00015505498011693836
body portrait,0.00016706002935723161
body shot,0.00017844081193617122
bonsai,0.00022805155207207943
bonsai tree,0.0001587080374254659
bull looking,0.00015471884677507416
bull modeled,0.00017490007930446203
butterfly volumetric,1.0245070664555617e-06
camera,27487772374.66325
candle butterfly,3.3448625019091697e-07
candle volumetric,1.7030845440031799e-06
canvas,0.0007754455149676958
castle,6.721287285336883e-07
castle enclosed,2.742434201075012e-06
cat,0.0020004937759161958
century,0.0
century modern,0.00018617762516360412
character portrait,0.0004351794524556083
chris,0.00016630132418526952
chris foss,0.0001704081825233593
churches domes,0.0
cinematic,4.4407858729813234e-05
cinematic composition,0.0036968761485164756
cinematic deviantart,0.0015679987449491244
city,0.0009782086925259551
cloud fashion,0.0
clouds,0.0013554991727225704
clouds covered,0.0
clouds girl,1.5460050968229073e-06
clouds madeira,0.000144742211592888
collage canvas,3398162906.231865
colors,0.00015792158488501382
colossal,3.961357691798008e-07
colossal goddess,4.184993231677871e-06
comprehensive art,0.0022299266948493136
concept art,0.00016091827039366486
contemporary art,0.00017571850524759376
cute fluffy,0.00018932981788008496
cyberpunk,0.004596113979406504
cyborg,0.00019449889666036958
cyborg body,0.000133284318224183
cyborg bull,0.00015828619453622412
daedric armor,0.0001863854688732438
dark,0.00038618473502993847
dark uncanny,0.00018226790032369888
detailed painting,0.0036038180556540065
detailed portrait,0.00016066459648817025
detailed ultra,0.00031090810252765925
details intricate,2.05259585811956e-05
detective pikachu,0.0003592683359579499
deviantart,0.001806447770900429
deviantart hyperrealistic,0.00017281222579102054
deviantart realistic,0.00486467329821342
digital art,0.00023671523338237674
digital painting,0.001667738231276675
digital render,0.00015580317815780512
divine,0.00016278284062281679
divine pink,0.00019601756668945889
dog,0.00010954358991674073
donald,51937802744.41035
dragon,0.0
dramatic lighting,0.0
drawing,0.0019898183023347223
dunmer nerevarine,0.00015869287359384146
einstein,0.0019322623352849158
elf,0.0010030618525035033
elson,0.00016840300987156322
emo,3.1930999783627696e-07
emo punk,0.00014951624387642796
engine,0.00017523030532400627
entries sony,0.00018220752168866195
fantasy art,0.0002447045958575173
fantasy painting,0.00014963200510823048
fantasy style,0.00015427678290703934
faroe azores,0.0002517052373046964
fashion clouds,0.0
fiction,0.00011821613121329183
fiction film,0.0023702432424868845
fifth element,5.562112212008673e-07
film,4814432478.375335
film neuromancer,0.000217529190470711
flamingos,0.00012890854488698404
flowers,3398162906.2363715
fluffy,0.00015605436237431882
footage,0.0011074309053280057
forest,7.640918446148421e-05
frazetta,0.0
frazetta fantasy,6.97464693661093e-08
frazetta giger,1.4143474241133066e-06
futuristic,0.0
garden intricate,0.00016562114015973263
giant digital,0.00023417449966497034
girl clouds,0.0
glamorous sophisticated,0.002626644077175357
glimpse universe,9.243872173038956e-07
goddess,0.003236008608502564
goddess creative,0.0
goddess wearing,0.0
gordon,0.0001980442275530753
goth,0.00017217606430310588
goth emo,0.0001791572079199923
goths,0.0
goths loitering,5.585710313520578e-05
gundam,51937802744.40899
gundam unreal,0.00014243752588949518
gustav klimt,0.0007669008372917835
hd,0.0009970292993273582
hd goth,0.00017237257010254905
hd painting,0.0
hd unreal,0.00012374921866459244
heavy detailed,0.00010412499198519776
high quality,0.003998334988362364
hills slavic,0.0
himalayan,0.0
himalayan rocksalt,0.0
houses,1.8396233962995317e-06
houses built,0.0
hyper detailed,6.824896305492151e-07
illustrated,5.937612011543339e-07
illustration,0.0
illustration art,51937802744.41209
imposing cyborg,0.00019043502186087403
intricate details,0.0
intricate hyper,0.00010749166334742001
intricate royo,0.0002472400738078608
intricate volumetric,0.00021077655560417468
josan,0.00016155110573281146
josan gonzalez,0.00014591380557710913
knight,0.0005934832766408143
kylie,2.588012091348429e-06
kylie minogue,2.148373624719507e-05
lamp,1.1973288697607488e-06
landscape,0.00017467312325397612
landscape colourful,0.00014236575668902894
lantern candle,0.00044982217679667756
