keyphrase,mean_abs_shap
abandoned,0.003256620677684902
alchemical creatures,0.00114834878983627
alien,0.0021491599782774494
alien planet,0.0011831429168398834
android cyborg,0.002038560560570384
anime,0.0034862656183076626
anime colors,0.0025323866554108785
anime epic,0.002084768537323083
art,0.016055584530548197
art artgerm,0.005215630720247281
art hyperrealistic,0.000963328912544028
art josan,0.0006312097750249049
art lifelike,0.00040713791189629173
art punk,0.0011926775565104907
art realistic,0.0027027485728141017
art sharp,0.0014512655801900021
art smooth,0.0027982894485184843
art style,0.005950308618012206
art thorough,0.0029837334295729637
art trending,0.0027776377744198407
artistic,0.002105332699959859
artistic painting,0.00014577479650792571
artstation,39801044466.63625
artstation cinematic,0.0015421142303496107
artstation galaxy,0.0014259984432058947
artstation hyperrealism,0.0038724426472107666
artwork,0.005130038797590953
atmospheric lighting,0.0009499472197346673
azores,0.0011255779228018506
barbarella,6.943890350119263e-05
beautiful,0.0013035698877147015
beautiful landscape,0.00627990132141693
beneath cherry,0.006211151669353156
bernard simunovic,0.0035618738622640767
bjork,0.0017064011114473533
black,0.005577618791209994
body manga,0.0030728344903695978
body portrait,0.0003949117915983724
body shot,0.0008200865818420349
bonsai,0.0018139197854772464
bonsai tree,0.0016618420484999694
bull looking,0.0011145726552030258
bull modeled,0.0015766421003813199
butterfly volumetric,0.0017723032877399213
camera,0.001210340840599727
candle butterfly,0.0021699349918423124
candle volumetric,0.0008219272185584863
canvas,0.005378168615753845
castle,0.001004710299914398
castle enclosed,0.0016771291239885298
cat,0.0033951112867651482
century modern,0.0031939339989113945
character portrait,0.001789174296898072
cinematic,0.005166354168697345
cinematic composition,0.007376142711666853
cinematic deviantart,0.010042500012881119
city,0.004673367914063064
clouds,0.0062179820287383124
clouds madeira,0.0009214978339962244
collage canvas,0.0011875517936450054
colors,0.0013364755853279115
colossal,0.0001550363473764661
colossal goddess,0.00023451831928744755
comic book,0.00040008135504065404
comprehensive art,0.004782077648465958
concept art,0.007867890733904695
contemporary art,0.002158391587360145
creatures surreal,0.0012842329122113721
cute fluffy,0.002440956883480533
cyberpunk,0.0039026855244201344
cyberpunk art,0.0010735778177222751
cyborg,0.002879565833019818
cyborg body,0.0017495898048164816
cyborg bull,0.0014892035937820298
daedric armor,0.000824466066569023
dark,0.0034908939500850125
dark uncanny,0.0016310088624077585
design,0.002102214846806884
detailed painting,0.0030355107481053103
detailed portrait,0.002322360620367151
detailed ultra,0.0028236043146785076
details intricate,0.0005699522070458067
detective pikachu,0.0020931513534323213
deviantart,0.003524399695142499
deviantart cinematic,0.0018472853374737238
deviantart hyperrealistic,0.0028022683545608296
deviantart realistic,0.0036760268201244625
digital art,0.006171916112822887
digital painting,0.005736893422089824
digital render,0.0011330993720911568
divine,0.002077969803202917
divine pink,0.001600886103094117
dog,0.0016296755323434856
donald,0.0036153579145635694
dragon,0.0026713867412299793
dramatic lighting,0.0028542736809646662
drawing,0.004438054291924187
dunmer nerevarine,0.0007631994262528701
einstein,0.0050667887394152435
elf,0.0027138310584359435
elson,0.0002462369377997004
emo,0.0014887545267072203
emo punk,0.0029326208549389004
engine,0.0025571839621952096
entries sony,0.00027871510997720585
fantasy art,0.0040387112867403974
fantasy painting,0.0012431862805758007
fantasy style,0.0006549977142414099
faroe azores,0.002311581069773826
fashion clouds,0.0026466637608712836
fiction,0.00023280406002506503
fiction film,0.00800195288270852
fiery alchemical,0.001585733260394721
fifth element,0.002328658251860582
film,0.02741781214099392
film neuromancer,0.0011684137962147095
fine artistic,0.0003499940557304315
flamingos,0.0012443985072562416
flowers,0.0035720341991163506
fluffy,0.0011095326014075486
footage,0.004167496848664929
forest,0.0016841950681705303
frazetta,0.0007257055345743324
frazetta giger,0.002017028524335625
futuristic,0.00280621145357656
garden,0.0008340174801240319
garden intricate,0.002329497356220686
giant digital,0.001395120525089708
glamorous sophisticated,0.0028036788764894335
goddess,0.0025183037247393314
goddess creative,0.0006315853841517225
goddess wearing,0.0028657290208605065
gonzalez,0.0012453141320486517
gordon,0.0012393953974579146
goth,0.0014048925671326098
goth emo,0.0035206154625312402
goths,0.0040223984168339085
goths loitering,0.0020024862068780546
greek man,0.00015104794462817185
gundam,0.0056845158266630854
gundam unreal,0.001786685625323261
hd,0.0026097171513692796
hd goth,0.0021481008963086263
hd painting,0.002038547069290766
hd unreal,0.000661635245501357
heavy detailed,0.0023894262355244607
high quality,0.004029700268002208
himalayan,0.0011445935540127376
himalayan rocksalt,0.0
houses,0.0029793322605853926
houses built,7.395513086134165e-05
hyper detailed,10738258909.406181
illustration art,0.004172502081793583
imposing cyborg,0.0012097362886390314
intricate details,0.00039297636044409
intricate hyper,0.0030353476612346433
intricate royo,0.00072103992586187
intricate volumetric,0.0013764057423177115
jacket black,108614199687.65799
josan,0.00037162632373034706
josan gonzalez,0.00014460677345654128
kylie,0.0
kylie minogue,0.00037513756964886394
lamp,0.0003652911538282282
landscape,0.005578607072465076
landscape colourful,0.005743328696427765
lantern candle,0.004881899514490121
length portrait,0.0031091178630391946
lifelike photorealistic,0.0021737266734989202
lighting,0.0034281379117821103
lightning intricate,0.00025498914893501624
log houses,3.288545026176083e-05
looking camera,0.0012882061661066058
low clouds,0.00038785599544334195
madeira faroe,0.00022302711084087054
male dunmer,0.0008237209324275064
manga,0.009271508988679558
manga illustration,0.0012716293741232203
marble hourglass,0.000702904932209871
matte,0.006458530082423132
matte painting,0.004417209835187068
media collage,0.001670095135914203
mid century,0.0031846275170723474
minogue,0.00025100239164972617
minogue barbarella,0.0003556971275859314
mixed media,0.0018949929607052698
modern,0.0020082048864832713
modern art,0.0025659730385208606
movie,0.003979865997736372
movie poster,0.002192464961911621
natural scene,0.001611703907831008
nerevarine,0.0007436523388436136
neuromancer,0.005290703976114
octane render,0.0020769304457596265
oil painting,0.004354881758138968
overcast thunder,0.00024173896651272933
pablo picasso,0.0015282854231950809
painted,0.0010941056313281774
painted pablo,0.0018402483185285766
painting,108614199687.67642
painting aesthetic,0.0008152177792840252
painting artstation,10738258909.407103
painting beautiful,0.0030875446257940535
painting character,2.095654003045849e-05
painting deviantart,0.0031572840037251654
painting lurid,0.0010577687210898377
painting lush,39801044466.63532
painting peter,0.00257397031349739
painting ronny,0.002340750231001089
painting sargent,0.0053050086034038555
painting stalenhag,0.005997642993308652
painting unreal,0.0005689283330930446
peter,0.0029089238075431794
peter elson,0.0005613129706464932
photo,0.0038607822812265586
photo realistic,0.0037988695073361113
photograph,0.006476714586220709
photograph divine,0.0028239244695928514
photography,0.009492742045048347
photography awards,0.001026683190441861
photorealistic,0.010719473528878488
photorealistic digital,0.006572194503074095
phyics entries,0.0020767930616036154
picasso,0.0033584416872960996
picasso hair,0.001034348552443639
pikachu hannah,0.0031822046268842803
pink bonsai,0.001781458010740772
pink flamingos,0.0018256926333004191
pixar,0.002031587940817727
pixie cut,0.002033943393474765
portrait,0.03631940660023264
portrait ancient,0.0007568309823350613
portrait extremely,0.00010742988588054917
portrait intricate,0.00037124071246297865
portrait male,0.001867225779675212
portrait painted,0.010167377825694759
portrait painting,0.005371367359596253
portrait photograph,0.0021771052984681004
portrait sabouts,0.0025116984604698
portrait scifi,0.006127635055342215
punk,0.0007762645490281282
punk art,0.0014690596924040245
punk portrait,0.001247407136022291
puppy,0.001112977187426389
puppy sitting,0.000948139179822199
render hyperrealist,0.000316905895182266
resolution wallpaper,0.0010024221206777768
robot,0.002988549066826341
rocksalt lamp,0.0012281331258271423
room,0.00105272067008897
rpg portrait,0.0005631997478729362
ruins,0.0005120754637931387
runway,0.0009844203004852911
saitama,0.003144902800407261
saitama anime,0.00915468938816876
scene,0.00578918762661585
scene science,0.001748071502297237
science,0.0011388876121206655
science fiction,0.003841204252620168
screenshot,0.0022104564974979334
shade talking,0.000795226834062944
sitting snowy,0.0016815254042946814
sky,0.002179848596416621
skyrim elegant,0.0022625716692286704
snowy,0.0014612757879579048
sony,0.0014602904230402256
sony world,0.0004901545420929266
space,0.003920491366944831
starmaker,0.0001238983922703698
starmaker matte,0.000623080320317375
stars,0.0016303493204966628
statue,0.000510444836924253
steampunk,0.0031811204496398353
steampunk himalayan,0.0015814055579761847
studio ghibli,0.0013175979360907956
style contemporary,0.0025305920218099314
style portrait,0.0011481057306807361
surreal,0.002119194800373198
surreal concept,0.0024201212373052092
surreal dark,0.0012902069361271416
surrealism,0.0033665452691838452
surrealism surreal,0.002699594395185427
tracing artstation,0.0006473737491664995
traits painting,0.0017466494017370172
trending artstation,0.01162056311035336
ufo,0.0023766636543079626
ufo ignoring,0.0023750204161737407
ultra realistic,0.004701929277794175
uncanny painting,0.006206519151647786
unreal engine,0.005141328297821011
vallejo frazetta,0.002928648791239864
vegetation,0.0020187285231527577
vivec portrait,0.00022068323210644848
volumetric lighting,0.0003458424604605805
wallpaper,0.0020292607452698543
wallpaper illustration,0.00014751131255457802
wizard,0.0002952989022141861
woman,0.005073590183607695
world photography,0.0024474043643642972
zdzislaw beksinski,0.0031141897074489873
