keyphrase,mean_abs_shap
abandoned,0.0010909475883291585
alien,0.0009256694101583974
alien planet,0.0
android cyborg,6.541017072541845e-07
anime,0.003593063679839899
anime colors,0.00010054855141499171
anime epic,4.229647832828859e-06
armor daedric,0.0005434669934102749
art,0.008158691678961221
art artgerm,0.004924884211259335
art city,1.7054863613825536e-05
art hyperrealistic,0.0005460690794320736
art josan,0.0011499445178804375
art lifelike,0.0006520192071471401
art punk,0.0007114867448900614
art realistic,0.0022049347640387277
art sharp,0.0002870579118235522
art smooth,0.0011147046410919792
art style,0.0017451852404877918
art thorough,0.0010161336967569414
art trending,0.0011857799121811172
artistic,0.0006661620500400019
artistic painting,0.0005101527920341529
artstation,0.005226075313935022
artstation cinematic,0.0003951768255497347
artstation galaxy,0.001073591358656338
artstation hyperrealism,0.0032573296162313474
artwork,0.003314572887825651
atmospheric lighting,0.00044439035660865506
avant garde,9.535327176451152e-05
azores,0.0006553062058367382
azores islands,8.802098153096752e-05
beautiful landscape,0.00034371926905229984
beneath cherry,0.0007519670671617564
bjork,0.0002062105963134112
black,0.005167210179895067
body manga,0.00017556196514828483
body portrait,0.0004742138780749135
body shot,0.0
bonsai,0.0008381791696488732
bonsai tree,0.0007688089984272187
bull looking,0.0
bull modeled,6.638200892442555e-07
butterfly volumetric,0.0007270848945806546
camera,0.001279076822565857
candle butterfly,0.0012330677700251645
candle volumetric,0.0010601455437248934
canvas,0.002518519927769548
castle,0.002220518623007441
castle enclosed,0.0
cat,0.003094666562525538
century,0.0011224962422504278
century modern,0.0002255061914411568
character portrait,0.0018036784765339848
chris,0.00024654985385474433
chris foss,6.079059280913421e-05
churches domes,0.0
cinematic,0.001773331377147163
cinematic composition,0.006766561024330783
cinematic deviantart,0.0019701245986439215
city,0.002842999673795907
cloud fashion,0.0
clouds,0.004063099884561022
clouds covered,0.0007667092029100699
clouds girl,0.0
clouds madeira,0.00010597937821658789
collage canvas,0.0006848960678312181
colors,0.0007325024392782803
colossal,0.0005471080865843788
colossal goddess,0.0006526591996043148
comprehensive art,0.004237736450809951
concept art,0.003050159076692028
contemporary art,0.000572995228541212
cute fluffy,0.0008682533870952438
cyberpunk,0.009211857129651498
cyborg,0.00014250211420403872
cyborg body,0.0
cyborg bull,2.196256137250777e-06
daedric armor,0.0006485588819535142
dark,0.0013940806759976617
dark uncanny,0.0004714107624010818
detailed painting,0.0032985370783383205
detailed portrait,0.0007236163814865861
detailed ultra,0.0011866557973961847
details intricate,0.0005315717822583847
detective pikachu,0.0013797602577985222
deviantart,0.0023569223480690463
deviantart hyperrealistic,0.00013237186531572792
deviantart realistic,0.0066947829943856995
digital art,0.0032874320431113793
digital painting,0.006792811599709689
digital render,2.4173226467283685e-05
divine,0.0008747212496602024
divine pink,8.507349266748415e-05
dog,0.001849022004558824
donald,0.002861887857876918
dragon,0.0001690351827209063
dramatic lighting,0.000497919096145297
drawing,0.004192999717000502
dunmer nerevarine,0.0004575287784382692
einstein,0.001642798855664662
elf,0.002494218758657867
elson,0.000563983715421739
emo,0.00020136714160304964
emo punk,0.0007097922540596804
engine,0.0012230597524829157
entries sony,0.0006655534296379516
fantasy art,0.0013982120163204715
fantasy painting,0.0005779468561236754
fantasy style,5.9799249881201534e-05
faroe azores,0.001066400379442695
fashion clouds,0.00017822457417793542
fiction,0.0006969648989863727
fiction film,0.002605893351822972
fifth element,0.000997455723318239
film,0.06993575525252772
film neuromancer,2.3974072434947734e-05
flamingos,5.079309395283696e-05
flowers,0.003941573167315411
fluffy,0.0005967078285197825
footage,0.002450849683313018
forest,0.0018974405303278956
frazetta,0.000957495846084844
frazetta fantasy,4.351382735584822e-05
frazetta giger,0.0009791736368343132
futuristic,0.0008183865875667545
garden intricate,0.00045195399721162925
giant digital,0.0011097542782583624
girl clouds,0.0
glamorous sophisticated,0.004716942378246781
glimpse universe,0.000252301246906127
goddess,0.004488915161081265
goddess creative,2.4565444521165577e-05
goddess wearing,8.876090498965953e-05
gordon,0.0004916260431399715
goth,0.00039729893080071426
goth emo,0.0004554784138933022
goths,0.00010444450022747655
goths loitering,0.0007086238157211672
gundam,0.0027948411327995753
gundam unreal,0.0006802607134373136
gustav klimt,0.0022511477695418497
hd,0.0021322532825906303
hd goth,0.0006343096885840164
hd painting,6.994442887675126e-06
hd unreal,0.0007480341982882247
heavy detailed,0.0010621343235672652
high quality,0.007485204305233838
hills slavic,2.4455723406716755e-06
himalayan,3.822805279059988e-05
himalayan rocksalt,2.065255523089524e-05
houses,0.0012948525025025007
