keyphrase,mean_abs_shap
abandoned,0.0024533387412130196
alien,0.00043410816179128523
alien planet,0.0009164847365431761
android cyborg,0.0006029512959981185
anime,0.002791352513478867
anime colors,0.0010014945014786682
anime epic,0.00010261681029210703
armor daedric,2.1534142287426532e-05
art,0.0073554934886389395
art artgerm,0.0037893050534468296
art city,0.0008501178182401409
art hyperrealistic,0.0006622500915374125
art josan,0.0012576575922243465
art lifelike,3.044174849817099e-05
art punk,0.0008914369299650399
art realistic,0.0025533370215040842
art sharp,0.0031895035329854047
art smooth,0.002107859252586118
art style,0.0027887795799991914
art thorough,0.0020804529154724205
art trending,0.0018560362366589352
artistic,0.00019352957817864977
artistic painting,1.7435945082524387e-05
artstation,0.006990886408139369
artstation cinematic,0.00022845189182366408
artstation galaxy,0.0
artstation hyperrealism,0.0027198372481950237
artwork,0.002086022404338456
atmospheric lighting,0.0007895801721559151
avant garde,0.0011759355045298154
azores,0.0011043706406837544
azores islands,3.705892593340933e-05
beautiful landscape,0.0011892407798932778
beneath cherry,0.0008625321775470766
bjork,0.0006555291912537124
black,0.0028385475862962705
body manga,4.280900044259437e-05
body portrait,0.0010544746633778233
body shot,0.0007211951445262549
bonsai,0.0009065670065182475
bonsai tree,0.0001283611379938158
bull looking,0.0007426409125758296
bull modeled,0.0006310724230844647
butterfly volumetric,0.0008925786407398793
camera,0.0017516391862688139
candle butterfly,0.00027859095609254384
candle volumetric,0.0009530646117603675
canvas,0.003201595827143093
castle,0.001794073103873914
castle enclosed,0.0009111655416978834
cat,0.004632054997796736
century,0.0009722387448362103
century modern,0.00178895842041761
character portrait,0.0016180986763153413
chris,0.0005548416600833226
chris foss,0.00011684873763516371
churches domes,0.0007052100956481863
cinematic,0.0027860006630198724
cinematic composition,0.005481169508347979
cinematic deviantart,0.0023344389372628813
city,0.00395417526763273
cloud fashion,0.0008539381355285485
clouds,0.002039440761310181
clouds covered,0.0008823013116998989
clouds girl,0.0008703721847085078
clouds madeira,3.497160133958965e-05
collage canvas,0.0010292700601076976
colors,0.0007475094223778141
