keyphrase,adjusted_mean_shap
jacket black,108614199687.658
painting,27153549921.923862
portrait,21938409825.19615
illustration art,12984450686.105492
gundam,12984450686.105104
donald,12984450686.104546
artstation,9950261116.66267
painting lush,9950261116.65908
camera,6871943093.666872
painting artstation,2684564727.353625
hyper detailed,2684564727.3525953
manga illustration,2082016045.387996
film,1203608119.62156
natural scene,1203608119.5856426
flowers,849540726.5616076
collage canvas,849540726.5586916
art,0.008016351187091524
photography,0.006937341274721551
manga,0.0062108512542139995
photograph,0.00609904469203645
deviantart realistic,0.005968540578841599
cinematic composition,0.00583018734821545
cyberpunk,0.005610811708290975
trending artstation,0.005474202771807675
high quality,0.005098650479759325
uncanny painting,0.004992635044650825
photorealistic,0.004849128055567699
art artgerm,0.004547629425280224
painting stalenhag,0.00435859225709275
comprehensive art,0.004323624681632525
black,0.00424384200437715
digital painting,0.00416142910358
saitama anime,0.0041201490272904
concept art,0.004029757884750225
fiction film,0.004008990132678225
cinematic deviantart,0.003978765573434225
scene,0.00397813453804235
portrait painted,0.0038423830840110746
matte painting,0.003736788426530525
bernard simunovic,0.003561873862264
portrait scifi,0.003502538146269025
clouds,0.003419005461832975
cat,0.0032805816557508497
digital art,0.003195407707908775
detailed painting,0.00316524618126505
glamorous sophisticated,0.0031325675900644003
drawing,0.0031302477647124
city,0.0031121878870043747
canvas,0.002968432471408475
einstein,0.002921028166367575
artstation hyperrealism,0.0028603062557550503
artwork,0.002849102058300625
footage,0.0028395059110405
goddess,0.0028309085635415
steampunk,0.0027754073156470997
robot,0.0027593068580808
picasso,0.002712100246287575
mid century,0.002671891189967375
art style,0.0026679999031105255
zdzislaw beksinski,0.00260654414946765
photo,0.0025371075116341004
anime,0.0025249268537962
unreal engine,0.002519780598516575
cinematic,0.0024425235168985034
studio ghibli,0.00241376792086375
landscape,0.0023990040048615254
deviantart,0.002381204057633
movie,0.0023785503760222
fantasy art,0.0023031596213687
matte,0.0022267078967521748
oil painting,0.002222120013188825
sky,0.0021798485964166
lantern candle,0.002146398678497775
landscape colourful,0.0021224601324662997
design,0.0021022148468068
beautiful landscape,0.002098098359906
ultra realistic,0.0020835672065490497
elf,0.002027266260240925
vegetation,0.0020187285231527
photorealistic digital,0.0020135210069244748
photo realistic,0.00197715889772585
beneath cherry,0.0019750397962353273
painting deviantart,0.0019376514517397251
painting sargent,0.0019006904560170464
art realistic,0.001882977018301121
dark,0.0018626700974398252
space,0.001859924626607425
deviantart cinematic,0.0018472853374737
woman,0.0018053708719296749
hd,0.00178690146688275
abandoned,0.001740870834269825
portrait painting,0.0016967094522358501
surrealism,0.00168445668518
sitting snowy,0.0016815254042946
gustav klimt,0.0016674394885731333
neuromancer,0.0016139648607276253
detailed ultra,0.001599850807918
fiery alchemical,0.0015857332603947
peter,0.001575284460157875
knight,0.0015740178445158
houses,0.00156780315680705
science fiction,0.0015472151154193
art smooth,0.001546737763194825
art thorough,0.00153428356402432
modern art,0.0015075167587525
pikachu hannah,0.0014639079116783248
snowy,0.0014612757879579
lighting,0.0014589684484579502
art trending,0.00145486348081495
octane render,0.0014311142104566
movie poster,0.0014220374519641893
scene science,0.0014217295583975249
forest,0.0014151592857959958
character portrait,0.0014115327255507
puppy,0.0013999533707268002
century modern,0.0013486440589834
intricate hyper,0.001323048431091775
goth emo,0.0013090502927169
beautiful,0.0013035698877147
surreal dark,0.0012902069361271
