keyphrase,mean_abs_shap
abandoned,0.0018763850296235906
alien,0.0037300165667419737
alien planet,0.00015466195958696046
android cyborg,0.0
anime,0.0008002444558799784
anime colors,0.00017573266161473273
anime epic,3.4817440664669227e-06
armor daedric,0.0
art,0.0006925025454451477
art artgerm,0.0001759973355766298
art city,0.00021422637085194692
art hyperrealistic,0.00022902673518836704
art josan,0.0
art lifelike,2.266863886665453e-05
art punk,0.00143408745870709
art realistic,0.0
art sharp,0.00019916733936046924
art smooth,0.00019772478107275162
art style,0.001491075738981482
art thorough,0.0001889381516561492
art trending,0.0
artistic,0.0002312793066986276
artistic painting,0.00020937529797068034
artstation,0.011419447564012416
artstation cinematic,0.0009414475212518046
artstation galaxy,0.0
artstation hyperrealism,0.0
artwork,2.210723264086391e-06
atmospheric lighting,2.3675141233782602e-06
avant garde,0.0
azores,0.00015150561741685836
azores islands,0.00020595413626578127
beautiful landscape,0.00021099676076038193
beneath cherry,6.682726836765208e-05
bjork,0.00018445349891807542
black,0.00151942006328816
body manga,0.0002471268280541155
body portrait,0.002897111738668897
body shot,0.00015280031339027784
bonsai,8.799357030877319e-06
bonsai tree,0.001614919059918446
bull looking,9.085846300118918e-05
bull modeled,0.00011710617221187761
butterfly volumetric,0.0
camera,4.055152724486998e-06
candle butterfly,0.0
candle volumetric,5.394593260529591e-06
canvas,0.00022188917190617724
castle,3.217815036099675e-06
castle enclosed,0.0
cat,0.0
century,0.00013363594400355515
century modern,0.0031179741755538453
character portrait,0.0014235816862943331
chris,0.00021374572886377453
chris foss,0.00019504893639852753
churches domes,0.0
cinematic,0.0002635924043964934
cinematic composition,0.0002262883850122424
cinematic deviantart,0.0023095963335701495
city,0.0003708890567048483
cloud fashion,0.0
clouds,0.0002252483376728664
clouds covered,0.0
clouds girl,0.0
clouds madeira,0.00021848442955021963
collage canvas,0.0019900666106380262
colors,0.0008882265843733208
colossal,0.00018896535740413892
colossal goddess,0.00018906345562897327
comprehensive art,0.00018444093641506717
concept art,0.011459476019544624
contemporary art,0.00173740310966706
cute fluffy,0.00020674501918028124
cyberpunk,21901578037.48011
cyborg,0.00024384150949319545
cyborg body,0.00011303622264615898
cyborg bull,0.0
daedric armor,1.8300015279462163e-06
dark,3.7528995271263656e-05
dark uncanny,763566863.8261163
detailed painting,0.001112352948386963
detailed portrait,0.0002046249218593256
detailed ultra,0.0009869861869005979
details intricate,0.0005246601178528511
detective pikachu,0.0
deviantart,0.0035206497360538162
deviantart hyperrealistic,4.6790493404165025e-06
deviantart realistic,0.0020631479095270812
digital art,0.003289337837011856
digital painting,0.006299303626429414
digital render,0.00015647584748568332
divine,0.0003019367586352684
divine pink,0.00019064393349222262
dog,0.00015356642790731388
donald,0.0002069745741076679
dragon,1.748382581888155e-06
dramatic lighting,0.00021198044547649433
drawing,0.0
dunmer nerevarine,0.0
einstein,0.0
elf,0.0002224436237421443
