keyphrase,mean_abs_shap
abandoned,0.004178460926260348
alchemical creatures,0.00038635425944507344
alien,0.006761189602723046
alien planet,0.0021863170768616296
android cyborg,0.0
anime,0.0060824974792634484
anime colors,0.0011535829738630596
anime epic,0.00022888029946563292
art,0.017518585108259568
art artgerm,0.008526411989652833
art hyperrealistic,0.001253689427493449
art josan,0.0028060749361296673
art lifelike,0.006416849369372233
art punk,0.0025838882831668826
art realistic,0.0024519345782626207
art sharp,0.0022995520245411415
art smooth,0.005254365401804851
art style,0.0017545935660770048
art thorough,0.0016192022287511763
art trending,0.00021449580626566527
artistic,0.0021913635759786203
artistic painting,0.0017217559633154538
artstation,0.010007453222704502
artstation cinematic,0.004668713263467226
artstation galaxy,0.0006596084970405966
artstation hyperrealism,0.000481609715333414
artwork,0.0030873896646239894
atmospheric lighting,0.0008450171567715158
azores,0.0011975329722690952
barbarella,0.0017934827469098843
beautiful,0.0005994831595855052
beautiful landscape,0.001631227894317245
beneath cherry,0.00030435461925309873
bernard simunovic,0.0027724766969367907
bjork,0.0002050046292834391
black,0.004514508659740948
body manga,3750963723.150111
body portrait,0.002882712244586249
body shot,0.0
bonsai,0.0012407019927425937
bonsai tree,0.0031440588914729457
bull looking,0.0008231961437087791
bull modeled,9.809580925543196e-05
butterfly volumetric,0.0019533528017223276
camera,0.005344739005191651
candle butterfly,0.00021858401589180173
candle volumetric,0.0022355958820680475
canvas,0.0035883858965659403
castle,0.000668736707153948
castle enclosed,1.4325082214249239e-05
cat,0.0021494399470449645
century modern,0.004836000162408176
character portrait,0.0015197128254028083
cinematic,0.004757795355154484
cinematic composition,0.003998981733947692
cinematic deviantart,0.006079381672722991
city,0.0028394458588910164
clouds,0.0029043259224829196
clouds madeira,0.002902221190167886
collage canvas,0.0015819014440692745
colors,0.002595351694894874
colossal,0.00042599091407407815
colossal goddess,0.0011985077001259552
comic book,0.0027756319804370182
comprehensive art,0.0024793932724341155
concept art,0.010152188086887013
contemporary art,0.004658258667803997
creatures surreal,0.0002536852524559412
cute fluffy,0.00492808668096386
cyberpunk,0.0030618712611176283
cyberpunk art,0.0038992367364530144
cyborg,0.0034434936307724067
cyborg body,0.000305004329838684
cyborg bull,0.00020106529896712916
daedric armor,0.0022367086410465986
dark,0.0039157222668169366
dark uncanny,0.003908527119701591
design,0.0005489226759084529
detailed painting,0.003575005027791743
detailed portrait,0.008032532649559365
detailed ultra,0.0048178835476319045
details intricate,0.0028211238774868306
detective pikachu,0.0030331938288666095
deviantart,0.0046988341721616485
deviantart cinematic,0.0010498035961192303
deviantart hyperrealistic,0.0005255615251677345
deviantart realistic,0.006979725765125177
digital art,0.010546654694965619
digital painting,0.014503991989766788
digital render,0.001306483735940911
divine,0.0037121342085039114
divine pink,0.00022366371755988256
dog,0.001689034547252314
donald,0.002926363899188552
dragon,0.002270444066629656
dramatic lighting,0.0023362168408684043
drawing,0.0011317817345715994
dunmer nerevarine,0.0016679525521683047
einstein,0.00215264667997457
elf,0.0018200569810587787
elson,0.0004364231564401207
emo,0.0012515493353985948
emo punk,0.0020334809599230033
engine,0.0031688658317278367
entries sony,0.0023944570018070033
fantasy art,0.0032207109554776726
fantasy painting,0.005102173504778215
fantasy style,3.0438503835820933e-05
faroe azores,0.0029853791153569534
fashion clouds,0.00023054017302321454
fiction,0.0022143047547573944
fiction film,0.002279251553654485
fiery alchemical,0.0009466002561732078
fifth element,0.0008864849514869456
film,0.006009500156496145
film neuromancer,0.0030261013477648297
fine artistic,0.0
flamingos,0.00017389055588418648
flowers,0.005564676187887289
fluffy,0.000674128616747297
footage,0.003492319831810826
forest,0.003018036569545613
frazetta,0.0024566633657010207
frazetta giger,0.0016834486860093135
futuristic,0.0004940072863807068
garden,0.005043742537492172
garden intricate,0.0005444106731909498
giant digital,0.0030091432167500876
glamorous sophisticated,0.0007976641627829978
goddess,0.007257207014727744
goddess creative,0.0006214108431329833
goddess wearing,0.0008173355051678744
gonzalez,0.0001953242357762821
gordon,0.0015678288041424424
goth,0.002930086017473909
goth emo,0.00122527639852547
goths,0.0006350468101502318
goths loitering,0.0008592269234529012
greek man,4.227946156726534e-05
gundam,0.0020217453497752605
gundam unreal,0.001941473886384036
hd,0.001596621350950394
hd goth,0.0018672724022053017
hd painting,0.0005616653202550348
hd unreal,0.00058308148930787
heavy detailed,0.005628316261046683
high quality,0.005719105934343252
himalayan,0.00031221485832813676
himalayan rocksalt,0.0004515197846299635
houses,0.0009510039134811464
houses built,0.0010688171252332909
hyper detailed,0.00559861768757803
illustration art,0.009680824988816292
imposing cyborg,0.00022766442115163354
intricate details,0.0018916262085575213
intricate hyper,0.0040971450278679935
intricate royo,0.00015759059347207843
intricate volumetric,0.001556406284118279
jacket black,0.0
josan,0.0037425352313173546
josan gonzalez,0.0018500003232428531
kylie,0.0009619734143403086
kylie minogue,0.00011590897256026152
lamp,0.0027702026626598843
landscape,0.007570604006531404
landscape colourful,0.0030560947541271033
lantern candle,0.0008049076593047292
length portrait,0.0010689543293830911
lifelike photorealistic,0.005753778137963095
lighting,0.0033015521935938806
lightning intricate,0.002489693353692015
log houses,0.00010946908588830612
looking camera,0.000439163367472704
low clouds,0.0011603415204112797
madeira faroe,0.0024420375742327132
male dunmer,0.0015756097884770308
manga,0.005668098197684028
manga illustration,0.008501847337309616
marble hourglass,0.00045858025599178576
matte,0.00209007596178296
matte painting,0.004595513150978214
media collage,0.0024716869452905328
mid century,0.004749457306687698
minogue,0.0001228049380561148
minogue barbarella,0.0022324765976435386
mixed media,0.0016688879538449722
modern,0.0006398630576163175
modern art,0.0038571412052097334
movie,0.005722275313682441
movie poster,0.0022322167259083824
natural scene,0.007331724694661612
nerevarine,0.00205507509046727
neuromancer,0.0017971546544537213
octane render,0.002574207026785795
oil painting,0.009021571569715135
overcast thunder,0.0017603806197190347
pablo picasso,0.001906966451070264
painted,0.0016843332040076431
painted pablo,0.0029070276264880194
painting,0.024645388330053298
painting aesthetic,0.00218363336081515
painting artstation,0.0028653673821273165
painting beautiful,0.01361287118581461
painting character,0.0012200039618728551
painting deviantart,0.00019461240074483628
painting lurid,0.008655643503302017
painting lush,0.0031343954256240723
painting peter,0.007125980883874986
painting ronny,0.0003252647372425416
painting sargent,0.013378466262665381
painting stalenhag,0.004078822068152849
painting unreal,0.0011050216157621367
peter,0.0023404894081479675
peter elson,0.011639178668545372
