keyphrase,mean_abs_shap
abandoned,0.0038178330832389666
alien,0.004936509265053579
alien planet,9.537014167076375e-06
android cyborg,0.00014692167422358934
anime,0.003555224854317452
anime colors,0.0011464563463607735
anime epic,0.0007738121117290734
armor daedric,0.0010696493719143394
art,0.009483214979864842
art artgerm,0.002107151198652146
art city,0.0008385157478556823
art hyperrealistic,0.0
art josan,7.890283765092918e-05
art lifelike,0.00014965990735977394
art punk,0.002562618092638519
art realistic,0.0011547786754506455
art sharp,0.0010788322258420933
art smooth,0.0015560891246184042
art style,0.0024613689087245117
art thorough,5.608024650249556e-05
art trending,0.0008587842160237475
artistic,0.00024393718182125912
artistic painting,0.0004151147585041705
artstation,0.02408256526615481
artstation cinematic,0.0005795139000092359
artstation galaxy,0.0
artstation hyperrealism,0.0008641538414593711
artwork,0.0016125261050903435
atmospheric lighting,0.0
avant garde,0.0009176210844352254
azores,3.1164288885269454e-05
azores islands,4.181028870065495e-06
beautiful landscape,8.205977661853331e-05
beneath cherry,0.0005008298386299298
bjork,7.013048751743603e-05
black,0.002739981426482629
body manga,0.0020337219600827057
body portrait,0.0049635141349806625
body shot,1.8530652616483766e-05
bonsai,0.0011514028862605282
bonsai tree,0.004324168234890034
bull looking,8.363753544970026e-05
bull modeled,0.0001007524249492114
butterfly volumetric,7.206636985997877e-05
camera,0.0021605847785373423
candle butterfly,0.0011450631848882425
candle volumetric,0.0010505341611004128
canvas,0.0023836744433545567
castle,0.00011158928730219583
castle enclosed,0.0
cat,0.000498511738426681
century,0.00030820372060836015
century modern,0.003592128541637319
character portrait,0.0012380145107258496
chris,0.001529123219039868
chris foss,0.0007436586186837061
churches domes,0.0
cinematic,0.002147329589493503
cinematic composition,0.0026961890990527715
cinematic deviantart,0.003113971298028902
city,0.0018181996045986898
cloud fashion,2.3712338499905365e-05
clouds,0.0013935189940966948
clouds covered,9.067340360997845e-05
clouds girl,1.5428894748977026e-05
clouds madeira,3.269355675985075e-06
collage canvas,0.0023573492886470736
colors,0.0026922651491421068
colossal,0.0010611727172200494
colossal goddess,0.0010050233786665832
comprehensive art,0.00029500015621006606
concept art,0.022290465549529855
contemporary art,0.0023807054506547708
cute fluffy,0.0006376548663777693
cyberpunk,0.0016833257573154587
cyborg,0.0044812048549441015
cyborg body,0.0
cyborg bull,0.0001248469943094286
daedric armor,0.0008452918835496151
dark,0.0016304918536601753
dark uncanny,0.008628781237858823
detailed painting,0.005174808073603705
detailed portrait,0.0016537431250143737
detailed ultra,0.006595929886955066
details intricate,0.0013338362427710246
detective pikachu,0.0011190168551698536
deviantart,0.009105620862268514
deviantart hyperrealistic,0.0008895743958270782
deviantart realistic,0.0040102381195328595
digital art,0.00803064923503475
digital painting,0.008512928531268105
digital render,1.7918863895257597e-05
divine,0.0005564377264517703
divine pink,5.3363662945509995e-05
dog,0.0012492338739936246
donald,0.00026323873015989685
dragon,0.0006291292392175166
dramatic lighting,0.00022433414746414747
drawing,0.00282960601968771
dunmer nerevarine,0.0011528868258831187
einstein,0.002234098140485114
elf,0.0018639923172317277
elson,0.0010222938286834076
emo,0.0013774167690752297
emo punk,0.00014269683332502464
engine,0.0011952647079684045
entries sony,0.0007118215609681391
fantasy art,0.0007981399670822654
fantasy painting,0.0018539655967386125
fantasy style,0.0008351482490950003
faroe azores,0.0005184220463686813
fashion clouds,5.774689810526226e-05
fiction,0.0008035085997011522
fiction film,0.0007448504096532715
fifth element,0.0016170577426269368
film,31867458595.55039
film neuromancer,0.0010105608354158417
flamingos,7.233086914345616e-06
flowers,0.006213774795932803
fluffy,0.0019629693232981545
footage,0.0022574658506295266
forest,0.00043370046392367717
frazetta,0.0012700109556841165
frazetta fantasy,0.0008983505064177922
frazetta giger,0.0020000492218198935
futuristic,0.0012484530583190456
garden intricate,0.0009919235336591562
giant digital,0.0008966831298492706
girl clouds,3.304276663585826e-05
glamorous sophisticated,0.00022118985360500257
glimpse universe,0.0008144623780741367
goddess,0.004882636445712729
goddess creative,0.0010095840360743412
goddess wearing,8.404961367360854e-06
gordon,0.0017225444275196867
goth,0.003834765668472337
goth emo,4.450493171922448e-05
goths,0.0010330892442681626
goths loitering,0.00032780865861026834
gundam,0.0002854538186855324
gundam unreal,8.187086351648394e-05
gustav klimt,0.0003103055581523576
hd,0.001454625258321341
hd goth,0.0014353917334315478
hd painting,2.808814567429293e-06
hd unreal,0.001166899302909069
heavy detailed,0.0013088556136122685
high quality,0.005049457359322955
hills slavic,0.0
himalayan,5.137980088176988e-05
himalayan rocksalt,0.0005755123781914684
houses,0.00012377706381462987
houses built,0.0
hyper detailed,0.000982291334436377
illustrated,0.0014552721064737327
illustration,0.0021175952112293126
illustration art,0.0038483951834478035
imposing cyborg,0.0002211632549362043
intricate details,31867458595.547283
intricate hyper,8.741051895370482e-05
intricate royo,0.0005212583154692059
intricate volumetric,0.0009572285614573904
josan,0.0025174676375828717
josan gonzalez,0.001415856422623711
knight,0.0003663997249176843
kylie,0.00027326497613617
kylie minogue,0.0003770808909803027
lamp,0.00045229246798965536
landscape,0.0037154180740062593
landscape colourful,0.00063286533277567
lantern candle,0.00013311769931292493
length portrait,0.0013508802060874937
lifelike photorealistic,0.000914276501333357
lighting,0.0035629279784995956
lighting hd,2.1870402689325047e-05
lightning intricate,0.0029157443335842944
log houses,4.282452964123902e-06
looking camera,3.4603077104817845e-05
low clouds,0.0001293583122684719
madeira faroe,8.262556977965815e-05
male dunmer,0.0006541937184845784
manga,0.0037137760049683645
manga illustration,0.01013030513615156
marble hourglass,0.00042533487064217373
matte,0.0012470468367782846
matte painting,0.004852202378535584
media collage,0.00026596585339896787
mid century,0.004664589941731323
minogue,0.0004749107261231146
mixed media,0.0
modern,0.0008903141475532188
modern art,0.005978123343493779
movie,0.0016227825018254476
movie poster,0.0020240022777900137
natural scene,9.253014941792683e-05
nerevarine,0.0002215328191051315
neuromancer,0.0007137113596652465
oblivion skyrim,0.0006538601644654019
octane render,0.001883774767405278
oil painting,0.0011816327856238192
overcast thunder,0.00018239058258632434
pablo picasso,0.00037559267709060586
painted,0.0014918726829250095
painted pablo,0.0
painting,0.07667382365674434
painting aesthetic,0.0010973729208892755
painting artstation,0.0015912754864422071
painting beautiful,0.0017313570322722571
painting character,0.0013055472072319696
painting chris,0.0008404240395001463
painting deviantart,0.0005718326826466677
painting lurid,5.1990867819029706e-05
painting lush,0.0
painting peter,0.0010172605194466201
