keyphrase,mean_abs_shap
abandoned,0.0037254566422840873
alien,0.004958072040092786
alien planet,0.0008620666937440642
android cyborg,0.00016825709779972865
anime,0.0023515049898227528
anime colors,0.0009136684895195465
anime epic,0.0011417303132585975
armor daedric,0.0011328794075012817
art,123608680881.7558
art artgerm,0.0019642440957957823
art city,0.00026457778761824054
art hyperrealistic,0.000902213472018431
art josan,0.0004160955092096039
art lifelike,0.00139399244135169
art punk,0.0020099108025644747
art realistic,0.0003316538178986163
art sharp,0.00013052100405867834
art smooth,0.0019974786307794686
art style,0.0016678563964018516
art thorough,0.00044762885183367526
art trending,0.0015593645924489494
artistic,0.0009018871002796851
artistic painting,0.001672619375109744
artstation,0.016900819062645362
artstation cinematic,0.0008423461237946246
artstation galaxy,0.0
artstation hyperrealism,0.0008603962368093687
artwork,0.002755913076879191
atmospheric lighting,0.001197912140468825
avant garde,0.00022618648203742576
azores,0.001091153773206932
azores islands,0.00043982243755775265
beautiful landscape,0.0013510088064072323
beneath cherry,0.0003867052370120534
bjork,0.0011006690643726182
black,0.003120442582878201
body manga,0.0023410457183565907
body portrait,0.002255062152889432
body shot,0.00015502305079214546
bonsai,0.0016002570797089548
bonsai tree,0.0014827993249927206
bull looking,0.0003008000636938483
bull modeled,0.000325656753174444
butterfly volumetric,0.0006431063606926931
camera,0.001880529772389433
candle butterfly,0.00024225603305414576
candle volumetric,2.482661410594337e-05
canvas,0.0004540496920025865
castle,0.001318702814942999
castle enclosed,0.0006353582658181008
cat,0.0013313662257177761
century,0.0010702318202634902
century modern,0.0017447745135167063
character portrait,0.0011499829974951903
chris,0.0008035420401474924
chris foss,3.6089995132181316e-05
churches domes,0.0006609427651497569
cinematic,0.00418502847113098
cinematic composition,0.0019025545492562883
cinematic deviantart,0.002759131626422705
city,0.002044056076841304
cloud fashion,0.00028283142936724655
clouds,0.0018108225366778128
clouds covered,0.0003527181419515158
clouds girl,3.192738690897973e-06
clouds madeira,0.00108467213806726
collage canvas,0.002074754541649809
colors,0.0019419915363495153
colossal,0.00043156050076191896
colossal goddess,0.00022165305342163513
comprehensive art,0.0003479607284380097
concept art,0.004340697548479516
contemporary art,0.0020819013756292163
cute fluffy,0.0012281910242310167
cyberpunk,0.001201328023565466
cyborg,0.0017487881156539335
cyborg body,0.00025808162273208124
cyborg bull,0.00026503718567556144
daedric armor,0.001121019189160387
dark,0.0034710376034008204
dark uncanny,0.0069383404085765306
detailed painting,0.0030618190977706526
detailed portrait,0.0024395711182303324
detailed ultra,0.0032699688860431592
details intricate,0.0008874255279361333
