keyphrase,adjusted_mean_shap
art,30902170220.445873
fiction,30902170220.438557
film,7966864648.890831
intricate details,7966864648.887588
painting,5475394509.417187
cyberpunk,5475394509.371514
body manga,937740930.7886833
portrait male,937740930.7871672
photograph divine,861240307.9498317
steampunk,861240307.9469547
dark uncanny,190891715.96139798
painting sargent,190891715.95795667
uncanny painting,190891715.95650333
matte,190891715.95460522
artstation,0.015602571278879249
concept art,0.012060706801110226
portrait,0.0100525211099333
digital painting,0.00944979404193315
manga illustration,0.00744224459786655
digital art,0.0072210473204194995
surreal,0.007085554240517499
scene,0.006738930350027249
goddess,0.00557849613632435
runway,0.0055721412735309245
matte painting,0.005158064949453076
alien,0.005096446868652775
painting beautiful,0.0050954883748378504
style portrait,0.005074722637812525
wallpaper,0.0050621407873483
garden,0.0050437425374921
peter elson,0.004874079534108826
deviantart,0.004817711462249275
illustration art,0.004808269970483425
picasso,0.00476172337282215
unreal engine,0.0046900635736283995
flowers,0.004629910000482225
high quality,0.00418787231400695
deviantart realistic,0.004173087331592125
landscape,0.003976663935245475
detailed ultra,0.003917692126882625
surrealism,0.003914611424568325
cyberpunk art,0.003899236736453
mid century,0.0037471892892486
movie,0.0037385027322432447
photography,0.00364446122734865
render hyperrealist,0.0035922877603857
cinematic deviantart,0.00356552023268615
manga,0.0035519842368069753
modern art,0.0034372718031742498
abandoned,0.0033995339203516752
century modern,0.0033227193482789756
body portrait,0.00324960006778125
detailed painting,0.003230996286888225
photograph,0.003213521967110825
starmaker,0.003205066663501875
anime,0.00319736794482085
art artgerm,0.0031934511549193
oil painting,0.00318038043575845
zdzislaw beksinski,0.0031348213494991
detailed portrait,0.0030826179536658
punk portrait,0.003018034045175825
black,0.00297358818309745
lighting,0.0028586835380579
photorealistic,0.0028481218314658
cinematic,0.0028384364550438
comic book,0.002775631980437
bernard simunovic,0.0027724766969367
ufo,0.0027702175111078255
contemporary art,0.0027145671509387
bonsai tree,0.0026414863778184998
saitama anime,0.0026141450037720495
fantasy painting,0.0025464360106256683
painting lurid,0.0024799736270086827
cyborg,0.0024793320277158746
painting peter,0.002464068733869475
natural scene,0.0024406733895592316
trending artstation,0.002414187811003175
punk art,0.0023855422340892498
camera,0.002347477177210697
heavy detailed,0.002311983355361225
dark,0.002263695179787266
art smooth,0.002251414484568825
space,0.002249023880285475
minogue barbarella,0.0022324765976435
cinematic composition,0.002206003441817175
portrait scifi,0.002193093249183525
art punk,0.0021476261592691752
stars,0.00209972411522505
peter,0.002091818826137
lifelike photorealistic,0.0020804540496124997
colors,0.002029458741189925
snowy,0.0020168936260195
collage canvas,0.002001017971251
vallejo frazetta,0.001999334351736675
sitting snowy,0.0019984002605765
art lifelike,0.0019957925892375387
goth,0.00199278336251125
footage,0.0019770520859385
frazetta giger,0.00197249161761985
science fiction,0.001967419121446025
rpg portrait,0.001952692147452775
hyper detailed,0.0019266102918987249
josan,0.001891715427487976
artwork,0.0018645098924643467
art style,0.001843723652546175
photo,0.001834347899542225
fantasy art,0.0018195606675100499
barbarella,0.0017934827469098
city,0.0017681476492589251
artstation cinematic,0.0017580052021307002
painting stalenhag,0.0017563092286750502
lightning intricate,0.0017556726445479998
cute fluffy,0.0017501693976881751
surreal concept,0.0017043902695822763
painting character,0.0016993439012950751
canvas,0.0016619998009572501
landscape colourful,0.0016502655355496
photo realistic,0.0015946778089217968
clouds,0.001583478947732525
engine,0.001582055834214851
statue,0.001573090283743825
photography awards,0.001548859120263925
frazetta,0.001511252368576275
hd goth,0.0015071673573902
painting artstation,0.001497814165636075
divine,0.001464248888221
ultra realistic,0.001449997236179575
movie poster,0.0014406659003456
einstein,0.001417788311014325
portrait intricate,0.0013945880654442251
wizard,0.0013934333272849222
details intricate,0.001391761441511675
dragon,0.001391330197946647
forest,0.0013592756741804
gordon,0.001358754128062575
octane render,0.0013488690364405421
starmaker matte,0.0013346847404321158
character portrait,0.0013328230049795
pablo picasso,0.001324040638184125
intricate hyper,0.0013178344064335263
resolution wallpaper,0.0013128042173443
donald,0.0013111931976987502
drawing,0.001297719210805275
emo,0.001294070202097775
elf,0.001289956467189975
surreal glimpse,0.0012823639357125666
film neuromancer,0.001275250308184
lamp,0.0012692644437862
faroe azores,0.001255879354915275
world photography,0.001234206186879
traits painting,0.0012279019888816528
pixar,0.00120777985895525
media collage,0.0012060606684276
giant digital,0.001171387280340025
detective pikachu,0.0011657291675110002
dog,0.001162759287309575
saitama,0.00112676721911335
rocksalt lamp,0.001116129930137075
sky,0.0011011024346084
woman,0.0010875110382477108
skyrim elegant,0.001085031090569747
gundam,0.001082082106167525
scene science,0.001077088123956525
painted pablo,0.0010527468516208
clouds madeira,0.001052161778365296
daedric armor,0.0010512124288210866
deviantart cinematic,0.0010498035961192
robot,0.0010451144679894501
glimpse universe,0.0010303004031586998
hd,0.0010272169779354
painting aesthetic,0.00102318206943885
portrait painted,0.001017031885829125
painting lush,0.001016099647211775
artistic painting,0.00100471634872495
bonsai,0.0010002903289356943
puppy,0.0009956597050393501
cat,0.0009948294777973
art realistic,0.00098459176790295
fiction film,0.000967167423382325
portrait photograph,0.0009642805867420499
josan gonzalez,0.0009633948697370348
illustration,0.0009536201890756
hd unreal,0.00095151751995975
fifth element,0.00094906128896205
fiery alchemical,0.0009466002561732
fluffy,0.000937577800926725
entries sony,0.0009344276281558001
art sharp,0.000927018148450525
sony world,0.0009192899274791751
style contemporary,0.00091853340433535
painted,0.0009159726701685523
artistic,0.0008921167911945
emo punk,0.000888809962829875
dunmer nerevarine,0.000879215689560375
ufo ignoring,0.0008601381736720499
painting unreal,0.0008558939905683499
tracing artstation,0.0008540208861671
chris,0.0008488036626836333
anime colors,0.000847360117839475
pikachu hannah,0.0008439155326847034
dramatic lighting,0.000840274133899925
length portrait,0.0008368852848627251
science,0.0008330864154694251
candle volumetric,0.0008290878126337183
comprehensive art,0.0008266987733742749
art josan,0.0008252683207475323
studio ghibli,0.0008229599817129542
beautiful landscape,0.0008188233095258084
neuromancer,0.00081036336696605
alien planet,0.0008031456860898941
madeira faroe,0.0008012182044039395
painting ronny,0.000792534610689275
intricate volumetric,0.000755786427365625
elson,0.000754753656444525
frazetta fantasy,0.0007505377198223667
goths,0.0007385116097259999
armor daedric,0.0007341762598051665
photorealistic digital,0.0007338775688947337
portrait extremely,0.0007289858691465749
room,0.0007275629831491
nerevarine,0.0007268916526318649
male dunmer,0.00072592285028495
overcast thunder,0.0007236426480764999
himalayan rocksalt,0.0007019407559613581
illustrated,0.0006960939175694
surrealism surreal,0.000676157659754897
butterfly volumetric,0.0006671313830687196
volumetric lighting,0.0006667293612167988
goth emo,0.0006608214021694311
kylie,0.0006598653894547999
art trending,0.00065816115368455
colossal goddess,0.0006535618969607251
modern,0.000653536518022025
steampunk himalayan,0.0006496735676394764
painting deviantart,0.0006491985136874394
portrait painting,0.0006271537881447
azores,0.0006178391629444923
picasso hair,0.0006166049806179572
surreal dark,0.0006128915248323
beautiful,0.0005994831595855
art hyperrealistic,0.000596232408675025
goddess creative,0.00059404681186445
mixed media,0.00059258257181875
digital render,0.0005785287131834645
art thorough,0.0005779623696858238
marble hourglass,0.0005748238920927
sony,0.0005665922428785499
low clouds,0.000566287998005725
garden intricate,0.0005637394223305742
glamorous sophisticated,0.0005635748508258499
houses,0.0005630820632085618
artstation hyperrealism,0.0005515399484005
design,0.0005489226759084
anime epic,0.0005369761171298917
colossal,0.000526922372365
castle,0.0005255616561087499
gundam unreal,0.0005218053081170829
atmospheric lighting,0.0005113242028409196
century,0.0005040238282917333
screenshot,0.000496855316352375
vivec portrait,0.000493365770659
deviantart hyperrealistic,0.0004921022474112541
futuristic,0.0004917239190143
pink bonsai,0.0004911802566089318
oblivion skyrim,0.0004697509155532667
puppy sitting,0.00046893772158
houses built,0.000467414729588575
kylie minogue,0.0004669353879533
pixie cut,0.000465036743644
minogue,0.00045390412011075
intricate royo,0.000449976029331525
art city,0.0004391066354419
gustav klimt,0.0004318599002379622
candle butterfly,0.000401475808458525
goths loitering,0.00039621503854894897
bjork,0.000390064420022859
alchemical creatures,0.000386354259445
avant garde,0.00038126918882420003
fantasy style,0.00036899615273110165
himalayan,0.0003645808029455675
painting chris,0.0003629194242665376
hills slavic,0.0003556940528882334
phyics entries,0.000331803817432975
ruins,0.0003281217862174
chris foss,0.0003249325167381271
bull looking,0.0003246230514633474
beneath cherry,0.00031467924081563805
shade talking,0.000280446897854325
lantern candle,0.00027147948975267785
creatures surreal,0.0002536852524559
divine pink,0.00024301190805270248
tall castle,0.00024288390046523333
pink flamingos,0.00024160636875185544
flamingos,0.0002384752123738114
goddess wearing,0.00023781821212371523
portrait sabouts,0.000225417284693825
punk,0.0002247885848474
churches domes,0.0002203142550499
azores islands,0.00021665253423115518
portrait ancient,0.0002101572706718
knight,0.00020871210709513333
wooden churches,0.0002082837912496042
lighting hd,0.00020643671538204166
gonzalez,0.0001953242357762
imposing cyborg,0.000188252605755
log houses,0.00018713538448328096
hd painting,0.00018634724477308232
looking camera,0.00018440153643798084
cyborg body,0.000169030543804175
artstation galaxy,0.000164902124260125
castle enclosed,0.0001624208370080873
bull modeled,0.00016040278989770798
wallpaper illustration,0.00015181580742532405
clouds covered,0.00014779718185382615
cyborg bull,0.000147737369738
steampunk butterfly,0.00012287348918142092
cloud fashion,0.00010218125595570179
wearing cloud,9.52426433278e-05
body shot,8.158850419969594e-05
