keyphrase,mean_abs_shap
abandoned,1.6484410132678803e-06
alien,0.0
alien planet,0.0002474460521422053
android cyborg,1.4258975589131892e-06
anime,0.005375974120661881
anime colors,2.4207072756288306e-05
anime epic,3.5029170935691282e-06
armor daedric,0.0
art,0.007539483667421959
art artgerm,0.00022167775912487354
art city,6.770034228761586e-06
art hyperrealistic,0.00030593706159679645
art josan,3.204935899787613e-06
art lifelike,8.766972807321852e-07
art punk,0.0016506806585130265
art realistic,0.0
art sharp,0.0006753610657683317
art smooth,0.0008427388651067182
art style,1.1415318095997828e-05
art thorough,0.00038004400473475394
art trending,4.355986709081934e-05
artistic,0.00022313452924812858
artistic painting,0.00016671697716761887
artstation,0.0003941114408581537
artstation cinematic,0.0001847554603274515
artstation galaxy,0.0002656834517381728
artstation hyperrealism,2.7017496502051685e-06
artwork,0.000183521445538693
atmospheric lighting,0.00016855121501667888
avant garde,3.692253287534017e-06
azores,0.0
azores islands,0.0
beautiful landscape,0.00017072394030894178
beneath cherry,0.00014501232161572898
bjork,0.0
black,0.0
body manga,0.000893709582536941
body portrait,0.0025412108763141123
body shot,0.0
bonsai,0.005832740005623208
bonsai tree,0.0002744784196159398
bull looking,9.568245840084328e-07
bull modeled,0.0
butterfly volumetric,0.0006846904340117863
camera,1.119432741157467e-05
candle butterfly,0.00015859574689072037
candle volumetric,0.00018150603212557646
canvas,0.0003124476760312294
castle,3.417974556223729e-06
castle enclosed,1.1014295630219468e-06
cat,0.0
century,0.00040135587476071975
century modern,8.65284881617743e-05
character portrait,0.00017727608970426756
chris,1.6719865109689013e-06
chris foss,0.0
churches domes,2.4968358117077633e-06
cinematic,0.0003061567869460962
cinematic composition,0.003605763049858905
cinematic deviantart,5.559530654889369e-07
city,1.6135443450988914e-06
cloud fashion,0.0007526237679325242
clouds,0.0014221335604708066
clouds covered,0.0001910095595976625
clouds girl,0.0002091381407609292
clouds madeira,0.00033234009632202667
collage canvas,0.001121631077295686
colors,0.000185494592487138
colossal,0.0002056954438714467
colossal goddess,0.0002470415891863324
comprehensive art,0.00022946949406253624
concept art,0.00018778475320031134
contemporary art,0.0013995412220536294
cute fluffy,0.0002547083471450807
cyberpunk,0.00022628077567395213
cyborg,0.00019257082145987726
cyborg body,0.0
cyborg bull,0.0
daedric armor,0.00023117850050713141
dark,0.0023087279816761683
dark uncanny,6.0059660497457714e-05
detailed painting,0.001163716927199207
detailed portrait,4.8033997262703345e-06
detailed ultra,0.004535954449833734
details intricate,0.0018156114819247564
detective pikachu,0.00016184077591184759
deviantart,5.309164717602765e-06
deviantart hyperrealistic,1.114478698514707e-06
deviantart realistic,0.002181515905653007
digital art,0.0005866345195380534
digital painting,0.0001734026247213973
digital render,0.00017304020876458538
divine,0.00021753173826610187
divine pink,9.296210017231712e-05
dog,0.00016129387860093578
donald,0.00206645374616387
dragon,0.0001774325203098978
dramatic lighting,0.0
drawing,0.0010513945324024492
dunmer nerevarine,0.00032396989837338893
einstein,0.0007620647551668899
elf,0.0011855106640834953
elson,0.00019875819303077105
emo,0.0
emo punk,0.0002672991430764301
engine,0.0
entries sony,0.0001388483560407249
fantasy art,0.00021777260264121373
fantasy painting,0.0002189592151130027
fantasy style,0.000746120513442836
faroe azores,3.460109169314208e-06
fashion clouds,0.00018736110938645084
fiction,4.3114419704339785e-06
fiction film,0.003054107180227622
fifth element,9.287645517164497e-05
film,0.049414844327386
film neuromancer,0.00022917296172147335
flamingos,0.0
flowers,0.002408659094329151
fluffy,0.00022739075797489298
footage,0.004470951792413714
forest,2.9331830340712586e-06
frazetta,0.0
frazetta fantasy,0.0
frazetta giger,0.00046170307986180515
futuristic,0.00019386586629739847
garden intricate,0.0003048141281542187
giant digital,0.0
girl clouds,0.0001530872948609086
glamorous sophisticated,0.0
glimpse universe,0.00010101141250007109
goddess,0.00019635148392035875
goddess creative,0.0
goddess wearing,0.00018838901061998483
gordon,0.0002030557822661933
goth,0.0001927020807899745
goth emo,0.00033278399751171154
goths,0.00021001715098950617
goths loitering,0.00019536999478991603
gundam,0.004270964739745351
gundam unreal,0.00021501027654858204
gustav klimt,0.0002460574309085016
hd,0.0001666846196508414
hd goth,0.006083085766798959
hd painting,0.0
hd unreal,4.175091691242375e-05
heavy detailed,6.190353555188682e-06
high quality,0.0019438188830725905
hills slavic,3.768100830949905e-05
himalayan,0.0
himalayan rocksalt,0.0
houses,0.0013621924409642804
houses built,3.2120999547803238e-06
hyper detailed,0.0003020940090995185
illustrated,3.845259981202848e-06
illustration,0.0009020319879199715
illustration art,0.00017883198940470992
imposing cyborg,2.3575889633001215e-06
intricate details,0.0035047539724150636
intricate hyper,1.127116610681974e-06
intricate royo,7.806769955911498e-07
intricate volumetric,0.00026161900404950833
josan,0.00023807544850217732
josan gonzalez,0.004179771609281955
knight,0.00023103913309624143
kylie,2.888159895728781e-06
kylie minogue,0.0
lamp,0.0
landscape,0.00018978269496751034
landscape colourful,0.00018251356048955484
lantern candle,0.00016410137919919577
length portrait,5.815129581355988e-06
lifelike photorealistic,0.00016950863790890231
lighting,0.00021364285083966305
lighting hd,2.028448214611838e-05
lightning intricate,0.00016640970128894896
log houses,7.448213334406534e-07
looking camera,0.0
low clouds,0.00037930572728647234
madeira faroe,8.278051741701918e-07
male dunmer,0.00017554624690205946
manga,0.0002397243364550947
manga illustration,0.0
marble hourglass,0.00020639063538453539
matte,0.003544130388216753
matte painting,0.000174242410481238
media collage,0.00021273771463045733
mid century,0.0017216314753515161
minogue,3.6868878637340795e-07
mixed media,0.0001734819963788412
modern,0.00022075116806198245
modern art,0.0035148294735420113
movie,0.0041783343573887225
movie poster,8.62817556497928e-07
natural scene,0.0001820398231092788
nerevarine,0.00017194003325721104
neuromancer,0.00019031470983418006
oblivion skyrim,0.00019677030113426322
octane render,0.0012427929283023403
oil painting,0.0003260117874552369
overcast thunder,0.001535966776989271
pablo picasso,0.00020379764956732647
painted,0.0
painted pablo,0.00017640791062857976
painting,0.0031323026295992993
painting aesthetic,0.0
painting artstation,0.0001851987038933738
painting beautiful,0.004538533858564105
painting character,0.00023289231351558055
painting chris,0.0
painting deviantart,1.3084134349312675e-06
painting lurid,0.00020224154669334227
painting lush,0.00028419740931668935
painting peter,0.00020565327109255797
painting ronny,2.2010955322215148e-05
painting sargent,0.0021733316944567713
painting stalenhag,0.00027839866835005137
painting unreal,0.00017381238870921862
peter,0.0003557572667709607
peter elson,0.0029554172879221194
photo,0.0005368921605843998
photo realistic,0.0
photograph,0.0004634794389167389
photograph divine,0.00020681549096839458
photography,0.0007345906079157287
photography awards,0.00018871978112228427
photorealistic,2.535179808970662e-05
photorealistic digital,0.00014624423481455074
phyics entries,0.00020097033320051177
picasso,0.0005168295673863447
picasso hair,0.00016503396999152311
pikachu hannah,0.0001386623134699698
pink bonsai,0.0002561212203230534
pink flamingos,0.0
pixar,0.000896604482340861
pixie cut,7.224476006239381e-05
portrait,0.003921344265888356
portrait extremely,0.00023646751065915867
