keyphrase,mean_abs_shap
abandoned,0.0016288814316091293
alchemical creatures,0.001211386508502599
alien,0.0009984872172078799
alien planet,0.000667585126238124
android cyborg,0.0013125052198557333
anime,0.006996028249942185
anime colors,0.0006575566051883654
anime epic,0.002594107563355025
art,0.016013808828104686
art artgerm,0.0017207604468463178
art hyperrealistic,0.001135706889606367
art josan,0.0014974127731797622
art lifelike,0.0018749719076996865
art punk,0.001898982021908489
art realistic,0.0015881769627659542
art sharp,0.0028368618627720027
art smooth,0.0025106214695529935
art style,0.002968068545261928
art thorough,0.002068183313421151
art trending,0.0006908333754220453
artistic,0.00074782012810933
artistic painting,0.0005486561578277362
artstation,0.008626847924829649
artstation cinematic,0.001017190445159571
artstation galaxy,0.00025702254253099065
artstation hyperrealism,0.0015299124335542054
artwork,0.003447130354088104
atmospheric lighting,0.0018110812813387758
azores,0.0003356012844556845
barbarella,0.0012541559080454074
beautiful,0.0004158492652620539
beautiful landscape,0.0025417237853217283
beneath cherry,0.002641020359641545
bernard simunovic,0.0035481270300594535
bjork,0.0018231659706696775
black,0.0011434161405721318
body manga,0.0019705835853441565
body portrait,0.0019321933446365467
body shot,0.0011216369417590586
bonsai,0.006101133309254427
bonsai tree,0.0010540368479776123
bull looking,0.0014512975226059312
bull modeled,0.0010882395885676423
butterfly volumetric,0.0016338544619754623
camera,0.001733485870516398
candle butterfly,0.0011217287858418655
candle volumetric,0.0006004778423323375
canvas,0.006088522862410183
castle,0.0019394242921584358
castle enclosed,0.00014427355259219742
cat,0.0010094811223576236
century modern,0.003026104928331812
character portrait,0.0022090880461950813
cinematic,0.003772863586018565
cinematic composition,0.007584208997762903
cinematic deviantart,0.0002585545970390724
city,0.0019200158403693158
clouds,0.009007473697596328
clouds madeira,0.00286235651209892
collage canvas,0.001148748975566214
colors,0.001904240631085625
colossal,0.0006194513228895782
colossal goddess,0.00014069511003083485
comic book,0.001985524821336097
comprehensive art,0.001857545861684617
concept art,0.006309169837697856
contemporary art,0.0029228425072265066
creatures surreal,0.0010664857611400954
cute fluffy,0.0021312508718085285
cyberpunk,0.0020865164703428246
cyberpunk art,0.0
cyborg,0.0057170954762170295
cyborg body,0.0013949594965622489
cyborg bull,0.0014287705510164473
daedric armor,0.001656238948955007
dark,0.004336468651441587
dark uncanny,0.0011988771580304408
design,0.0016936408702984752
detailed painting,0.002962701909843046
detailed portrait,0.002908331047810738
detailed ultra,0.005066214053307308
details intricate,0.000841240879130203
detective pikachu,0.00047470801899761474
deviantart,0.003712577785228686
deviantart cinematic,0.0002286466154035416
deviantart hyperrealistic,0.0030226981565545596
deviantart realistic,0.004251771315707206
digital art,0.007104433367067388
digital painting,0.007663784269634113
digital render,0.0006483417394446629
divine,0.0025031160259132088
divine pink,0.0003814870495871669
dog,0.0008602615105332552
donald,0.0032271721090183013
dragon,0.0033922287854170393
dramatic lighting,0.0023807219724386645
drawing,0.003053329438649457
dunmer nerevarine,0.0007833859368523856
einstein,0.0021485360663372082
elf,0.003586136874205509
elson,0.0024573890423129022
emo,0.000989432836616362
emo punk,0.005032396914455368
engine,0.001742067133195017
entries sony,0.00018866582916304231
fantasy art,0.003449181329074737
fantasy painting,0.0006755492080352637
fantasy style,0.0023769157564893367
faroe azores,0.0010601013507174901
fashion clouds,0.0001437022394318452
fiction,0.0006540341846997952
fiction film,0.00281861907825251
fiery alchemical,0.0013759273398277776
fifth element,0.0022499145871090463
film,0.021276599246270803
film neuromancer,0.00090581966226313
fine artistic,7.708862473861246e-05
flamingos,0.0005873025901345876
flowers,0.0018024081694335977
fluffy,0.000693274871350188
footage,0.00527922046975336
forest,0.0026586419871368785
frazetta,0.0009332949759003075
frazetta giger,0.001837755663710566
futuristic,0.0019704104063501477
garden,0.002109911492198325
garden intricate,0.00165463374930468
giant digital,0.00023687579766480237
glamorous sophisticated,0.0018219806551764226
goddess,0.002560985363255018
goddess creative,0.0005673999563405287
goddess wearing,0.0001047651095810871
gonzalez,0.003277581089654469
gordon,0.0005893554452902042
goth,0.0015189067215456127
goth emo,0.0024862655863579545
goths,0.001193943880914998
goths loitering,0.0008774877194166735
greek man,9.097610366857785e-05
gundam,0.006315455750163768
gundam unreal,0.0008106273355215167
hd,0.001958469574594967
hd goth,0.002552962517131879
hd painting,0.002349005021807795
hd unreal,0.0014020986755514699
heavy detailed,0.0034440933582462977
high quality,0.006461169907236554
himalayan,0.00010842097853806295
himalayan rocksalt,0.0004781149811805824
houses,0.0005784515764559274
houses built,0.0006463775484659724
hyper detailed,0.0018820850046763625
illustration art,0.0027740938199849624
imposing cyborg,0.0012765959060855234
intricate details,0.005946494483832961
intricate hyper,0.000315654926985815
intricate royo,0.0013998523395624281
intricate volumetric,0.0034351924742970206
jacket black,0.00033827782938915897
josan,0.0029725256588435736
josan gonzalez,0.0014073575008882705
kylie,0.001299634119676749
kylie minogue,0.0009028917814295801
lamp,7.89090740289011e-05
landscape,0.0053519431260007
landscape colourful,7.899402488047865e-05
lantern candle,0.0009888406489877743
length portrait,0.001384435432706281
lifelike photorealistic,0.0012252599131234556
lighting,0.002142069744004188
lightning intricate,0.0012203098503674843
log houses,0.0009460360716612549
looking camera,0.0008842376503007699
low clouds,0.0010581760991563117
madeira faroe,0.00019421635957228174
male dunmer,0.0008500925087909795
manga,0.0016096951203708892
manga illustration,0.0006749978601408734
marble hourglass,0.00020150595762148793
matte,0.006017299900796725
matte painting,0.0028628985652574997
media collage,0.001777605424201762
mid century,0.0041495202018274335
minogue,0.001790023529468577
minogue barbarella,0.0015882600237468031
mixed media,0.0012116469222463752
modern,0.0010705782642236811
modern art,0.0064738362861971755
movie,0.011836544453655218
movie poster,0.0019036879464836033
natural scene,0.0065721880382172875
nerevarine,0.0028270964459684344
neuromancer,0.00045512341810434215
octane render,0.0017036430526865185
oil painting,0.0035628224124890843
overcast thunder,0.0026847327512586816
pablo picasso,0.0038529440740027944
painted,0.0013781268216912206
painted pablo,0.0009182250134833704
painting,0.01360182442124151
painting aesthetic,0.001720447654284784
painting artstation,0.002178996451291096
painting beautiful,0.00363074700954554
painting character,0.0030944171715629335
painting deviantart,0.0015363768692970594
painting lurid,0.0016878417895636062
painting lush,0.003845057269834111
painting peter,0.0020470831157167768
painting ronny,0.002122242716141075
painting sargent,0.009144823170698422
painting stalenhag,0.0007985417243389671
painting unreal,0.001483689612588772
peter,0.007612082272308266
peter elson,0.012424405388733385
photo,0.004102415631733152
photo realistic,0.0031272660427736905
photograph,0.004477377702893819
photograph divine,0.00139321473020473
photography,0.005997057604407211
photography awards,0.0021149673234433894
photorealistic,0.00851222056629339
photorealistic digital,0.0046477648563822355
phyics entries,0.003444853996816042
picasso,0.006697745412354003
picasso hair,0.0045817512210211435
pikachu hannah,0.0007772473196586802
pink bonsai,0.0011644579706390503
pink flamingos,0.0005160091366632176
pixar,0.002402968858412745
pixie cut,0.00042166810299282053
portrait,0.017366787215400924
portrait ancient,0.00017400044401018317
portrait extremely,0.0008914700967862944
portrait intricate,0.002207006315802975
portrait male,0.002187312424564176
portrait painted,0.0015279622083213817
portrait painting,0.003958631432899594
portrait photograph,0.0013364828048482433
portrait sabouts,0.001009729991482451
portrait scifi,0.004941944874207998
punk,0.0006390660680420395
punk art,0.0016991346078101817
punk portrait,0.0012721078528551127
puppy,0.0007026378890974091
puppy sitting,0.00029005366788708567
render hyperrealist,0.001541969152397248
resolution wallpaper,0.0005744157567108208
robot,0.0026491277622341875
rocksalt lamp,2.0157547151103766e-05
room,0.0005487974664988821
rpg portrait,0.006129828900109097
ruins,0.0005686369615386168
runway,0.0025230191776353856
saitama,0.0015798214868751475
saitama anime,0.007642815877329805
scene,0.004345703308527998
scene science,0.00015658868125760676
science,0.00047461976680546994
science fiction,0.004589161210861556
screenshot,0.0017343696678451025
shade talking,0.0019263664981557026
sitting snowy,0.0004033706989326793
sky,0.0035306853463741667
skyrim elegant,0.0048454132482052435
snowy,0.0008348861305407189
sony,0.0010395093836841375
sony world,0.0016836242160979023
space,0.001632012586247406
starmaker,0.001025329674091525
starmaker matte,0.0005686061443966273
stars,0.002356701448263896
statue,0.000968647484920704
steampunk,0.006009209000752407
steampunk himalayan,0.0015616297837569514
studio ghibli,0.00018588341852035286
style contemporary,0.0024809731820124793
style portrait,0.001990059580123658
surreal,0.008289978178417633
surreal concept,0.004703047386154125
surreal dark,0.001018414681382987
surrealism,0.001786651795305072
surrealism surreal,0.0015274722248918022
tracing artstation,0.001062014375746187
traits painting,0.0013923499432311377
trending artstation,0.008140831380264592
ufo,0.0017900475963921474
ufo ignoring,0.002419452815402817
ultra realistic,0.0052378804149773965
uncanny painting,0.004448274196148597
unreal engine,0.005262011739316856
vallejo frazetta,0.005020310905163131
vegetation,0.0
vivec portrait,0.00016999455514481255
volumetric lighting,0.0012138161496754994
wallpaper,0.0031942739872175617
wallpaper illustration,0.0034270056023538724
wizard,0.0018845552024961193
woman,0.00153436692528513
world photography,0.002816247839073341
zdzislaw beksinski,0.001990568855971051
