keyphrase,mean_abs_shap
abandoned,0.001414073713257243
alien,0.0021352982266421797
alien planet,0.0004951268128786385
android cyborg,0.0005034857202344044
anime,0.013577010108936907
anime colors,0.00042239059653228616
anime epic,0.00011983086477557572
armor daedric,0.0008008278867975739
art,0.01725530976428063
art artgerm,0.0010208975679538675
art city,0.0009631434070417484
art hyperrealistic,0.0004872417523370207
art josan,4.3863796514918756e-05
art lifelike,0.00012130129653807748
art punk,0.0018629197431142396
art realistic,0.0016773682213881219
art sharp,0.0010682704418215646
art smooth,0.0026204595717624116
art style,0.001469423101112875
art thorough,0.0007247196177319864
art trending,0.001047678202624784
artistic,0.00021107097356547097
artistic painting,0.00011604596689826309
artstation,0.003991211599246516
artstation cinematic,0.0013184654248640539
artstation galaxy,7.152542669206264e-05
artstation hyperrealism,0.0009816805555629207
artwork,0.0012915486564084022
atmospheric lighting,0.000598899428390622
avant garde,0.000399535827769353
azores,7.92279438426933e-05
azores islands,3.1606189569382482e-06
beautiful landscape,0.0006257366040821552
beneath cherry,0.0006074381082356745
bjork,0.0007348673892681323
black,0.001145586035018825
body manga,0.0011171072215229796
body portrait,0.0034189362602709277
body shot,0.0005471498142468851
bonsai,0.010216581163833484
bonsai tree,0.0007394996580354188
bull looking,0.0004705110557478097
bull modeled,0.0005394264597958796
butterfly volumetric,0.00030919963525032914
camera,0.0013573711478557862
candle butterfly,0.0006011650833353893
candle volumetric,0.00023641126334979933
canvas,0.002994028403866969
castle,0.0016928920241960606
castle enclosed,4.942335869125075e-06
cat,0.0006864173778690823
century,0.0015093617401064367
century modern,0.0016011255805435643
character portrait,0.0011393101296060949
chris,0.00111743989965777
chris foss,0.0006374059697117761
churches domes,0.0
cinematic,0.0026628744177084242
cinematic composition,0.005334523373616387
cinematic deviantart,0.0007390851411910956
city,0.0007471716718413179
cloud fashion,0.0009403832392645086
clouds,0.0032569322581709813
clouds covered,0.0005368924234389483
clouds girl,0.00014480597184788878
clouds madeira,0.0005182174291309253
collage canvas,0.0021897415568847335
colors,0.0004692545791966169
colossal,0.0007306069203434615
colossal goddess,0.0005386922912506203
comprehensive art,0.0019661993887304103
concept art,0.005142374739029231
contemporary art,0.0019020175639717952
cute fluffy,0.0011167478059997296
cyberpunk,0.0012670253272408444
cyborg,0.002116196049124341
cyborg body,0.00039509536762916776
cyborg bull,22527693294.39926
daedric armor,0.0004295354582166994
dark,0.003668483027499513
dark uncanny,0.0004902506957784903
detailed painting,0.0032307349812139697
detailed portrait,0.0008566715637660741
detailed ultra,0.004538323334842371
details intricate,0.0010255561834944143
detective pikachu,3.51354642648407e-05
deviantart,0.0013438294488678738
deviantart hyperrealistic,0.00035933318393321847
deviantart realistic,0.002372675439307253
digital art,0.004595715822895237
digital painting,0.0024513078100739005
digital render,0.0005031597259097759
divine,0.0012975175470776106
divine pink,0.0011578757291262752
dog,0.0003750499567541066
donald,0.0027294021361826256
dragon,0.0006332530732811573
dramatic lighting,0.0002056218759253567
