keyphrase,mean_abs_shap
abandoned,0.0018473565967279898
alien,0.0035147993919462848
alien planet,0.000904817810981122
android cyborg,3.6812724393474695e-05
anime,0.005785950664937345
anime colors,0.0012025752380166043
anime epic,9.23800409414418e-05
armor daedric,0.0006295782983310598
art,0.013308030702446946
art artgerm,0.003028692555407546
art city,0.00018119860240876153
art hyperrealistic,0.0006753943916190389
art josan,0.0005923582522074275
art lifelike,0.0009958277604276986
art punk,0.0016679688881093802
art realistic,0.0014617352268086626
art sharp,0.0009389191617476319
art smooth,0.0024838816831323743
art style,0.0020925134306284594
art thorough,0.0020490828737786512
art trending,0.001592842325952532
artistic,0.0013846288432853248
artistic painting,0.0008690606149103072
artstation,0.00658971992039441
artstation cinematic,0.001407636542254449
artstation galaxy,0.0006961098318615788
artstation hyperrealism,0.0007098038812861314
artwork,0.003357737984999666
atmospheric lighting,1.2910997073772852e-05
avant garde,0.0010764267855298702
azores,0.00012127579538201052
azores islands,1.3855517961006566e-05
beautiful landscape,0.0006474450343152593
beneath cherry,0.0010701651247367197
bjork,0.00024621464028776527
black,0.0011273656163705347
body manga,0.0032179148513390115
body portrait,0.00017111458372284254
body shot,1.2444171792522734e-05
bonsai,0.0035357722493401878
bonsai tree,0.0006321023899528276
bull looking,1.1901985755989202e-05
bull modeled,1.8091211611521302e-05
butterfly volumetric,0.001846593339977018
camera,2.1986713328920793e-05
candle butterfly,0.0014350617694272594
candle volumetric,0.00021085010140475336
canvas,0.001012370318303952
castle,0.0016642539369123113
castle enclosed,0.00015195925257853617
cat,0.0017052354855861057
century,0.0013198276858660345
century modern,0.0012681668541485271
character portrait,0.0013194772368350933
chris,0.00019705773228927446
chris foss,0.0005142003853860599
churches domes,8.724730627748914e-05
cinematic,0.00253077517955964
cinematic composition,0.011934766686993156
cinematic deviantart,0.0008301652458871962
city,0.0019471065882132712
cloud fashion,0.0005597438796550456
clouds,0.002192393546635497
clouds covered,0.0005108203319198382
clouds girl,5.213723194843776e-05
clouds madeira,0.001009677717782661
collage canvas,0.0017054121147846173
colors,0.000513841226601824
colossal,0.0001890304843127346
colossal goddess,0.00022720051303113528
comprehensive art,0.0019049609382568253
concept art,0.005116557594337512
contemporary art,0.0016668344908387085
cute fluffy,0.0013556382452009179
cyberpunk,0.001981049525774682
cyborg,0.0020951903034548466
cyborg body,8.866455226883258e-06
cyborg bull,2.4748482702778208e-05
daedric armor,0.0005694821646963085
dark,0.002932739500021612
dark uncanny,0.001142401706904957
detailed painting,0.002462721750798448
detailed portrait,0.00011939853868702471
detailed ultra,0.0031132976348182146
details intricate,0.0015089022842967122
detective pikachu,5.502652187902702e-05
deviantart,0.0018695909054668846
deviantart hyperrealistic,0.0008598554808048539
deviantart realistic,0.003764003225126631
digital art,0.003773749699313697
digital painting,0.002633819068847768
digital render,0.0008222979175727305
divine,0.000500861609340929
divine pink,0.0008813702353602808
dog,0.0016379893884373021
donald,0.0027013065539986474
dragon,0.00205573563032186
dramatic lighting,0.0003474475968613802
drawing,0.0027201199407262447
dunmer nerevarine,0.00027901318312972617
einstein,0.00152410569348202
elf,0.003553979846783473
elson,0.0029193221831553275
emo,0.0008783648936965695
emo punk,0.0015331288006230365
engine,0.000382927226298823
entries sony,0.00020362421794964654
fantasy art,0.0010069571768904215
fantasy painting,0.0004115697786721583
fantasy style,0.0008283856801237206
faroe azores,0.0008611782618601795
fashion clouds,0.00010496090160414299
fiction,0.0002569412358509988
fiction film,0.003414110158071965
fifth element,0.001325847076811267
film,0.01587949358711677
film neuromancer,0.0005132268414328524
flamingos,13155836655.573824
flowers,0.0019714374121922703
fluffy,0.0009406821999627083
footage,0.003646005914925443
forest,0.00020245945116502704
frazetta,0.0015286096100099106
frazetta fantasy,0.00042361184826480275
frazetta giger,0.0015152047433901312
futuristic,0.0007703355471344013
garden intricate,0.002168292821754973
giant digital,6.90860949703413e-05
girl clouds,0.0
glamorous sophisticated,0.0010245844792832963
glimpse universe,0.0009291145709214739
goddess,0.0007044160822779964
goddess creative,5.92729331132401e-05
goddess wearing,9.672620588950208e-05
gordon,0.0006092751336236327
goth,0.0017029129158205604
goth emo,0.0018624669963107673
goths,0.0001396086592099846
goths loitering,0.0010775430480455318
gundam,0.00409789190405898
gundam unreal,0.0011562733292291814
gustav klimt,0.0011459928343810566
hd,0.001643866977405684
hd goth,0.0031508401055440906
hd painting,0.0009272010686493396
hd unreal,0.0018575828082516488
heavy detailed,0.0008957135720114622
high quality,0.004039318067789978
hills slavic,0.00014820338841722947
himalayan,0.0012646891314197974
himalayan rocksalt,0.0010455724123731016
houses,0.001378187149183183
houses built,0.0005139949395535472
hyper detailed,0.0013531396139445362
illustrated,0.0014206647534544183
illustration,0.003982748232794548
illustration art,0.0033874602771708775
imposing cyborg,1.0330260409574337e-05
intricate details,0.004800899851841008
intricate hyper,0.0008046719194325255
intricate royo,0.0005068365859167891
intricate volumetric,0.0010700874560290192
josan,0.001127447208732398
josan gonzalez,0.002118956419263739
knight,0.0015659695878572051
kylie,8.57838355740456e-05
kylie minogue,8.223016357082472e-05
lamp,0.0008161017929797687
landscape,13155836655.575052
landscape colourful,0.0007716062278469204
lantern candle,0.000734027150632803
length portrait,0.0004697579551131485
lifelike photorealistic,0.0008524980344430717
lighting,0.0006217313148230749
lighting hd,5.615806541016556e-05
lightning intricate,0.0010915594016742394
log houses,0.0005859743631380403
looking camera,3.6386648318026787e-05
low clouds,0.0006626261687992186
madeira faroe,3.3769601770316406e-05
male dunmer,0.0002928379128744754
manga,0.002528935634661732
manga illustration,0.0018330325489155609
marble hourglass,0.0011164687179954893
matte,0.001423692802685599
matte painting,0.0027090011832099086
media collage,0.0011194476111444714
mid century,0.002003376528592108
minogue,9.068446116977374e-05
mixed media,0.0006662921196054099
modern,0.0006644481320602386
modern art,0.0026417438709725252
movie,0.00541156892002355
movie poster,0.0015423888241300069
natural scene,0.0016060390689199022
nerevarine,0.0010112211015852498
neuromancer,0.0003062552972463692
oblivion skyrim,0.00015131041949397833
octane render,0.0020777745300108188
oil painting,0.0023922561240009594
overcast thunder,0.0010333683395515084
pablo picasso,0.0010805082105374449
painted,0.001319953837916784
painted pablo,0.0005517982940120281
painting,0.012643134546649618
painting aesthetic,4.573432459153294e-05
painting artstation,0.0006188606877624789
painting beautiful,0.005484883855841652
painting character,0.0016380799764277075
painting chris,0.0004111410191253533
painting deviantart,0.0013417639690055162
painting lurid,0.0011240847222110956
painting lush,0.0013380631063492552
painting peter,0.0011987809802899369
painting ronny,0.000647910200465637
painting sargent,0.00685786045773326
painting stalenhag,0.0017259452269996606
painting unreal,0.0010218425823846637
peter,0.003129796126413572
peter elson,0.0038674048253144575
photo,0.0034869199423319614
photo realistic,0.001078576242818021
photograph,0.0019494312300378938
photograph divine,0.0013113775247395537
photography,0.003979253557882869
photography awards,1.1084888738291081e-05
photorealistic,0.00316112141521875
photorealistic digital,0.00097794151029129
phyics entries,0.0006219146409930755
picasso,0.0014482345150552444
picasso hair,0.0010542721513914985
pikachu hannah,1.2459129731816719e-05
pink bonsai,0.0008523746115845731
pink flamingos,0.001042967213653489
pixar,0.003922486571980316
pixie cut,0.00012974101856376105
portrait,0.00980636594260947
portrait extremely,0.0006590759240264846
portrait intricate,0.0007109964613930709
portrait male,0.0011264327561788172
portrait painted,0.002983253175571695
portrait painting,0.0036446961356235695
portrait photograph,0.0008938320038941139
portrait sabouts,0.0013596382894006825
portrait scifi,0.00024456153180927096
punk art,0.0018879190589866197
punk portrait,0.0010907622265783625
puppy,0.0007555301985537333
render hyperrealist,0.0010093968024009474
robot,0.0017202639160886844
rocksalt lamp,0.001266039763315234
rpg portrait,0.0020112507537704376
runway,0.0007479329009353868
saitama,0.0009285722005661426
saitama anime,0.002433173430214778
scene,0.005615759944844858
scene science,0.003325304331800631
science,0.00015133638649572918
science fiction,0.0022821209873306195
screenshot,0.0009476831800995146
shade talking,0.001181934834258171
skyrim elegant,0.0017894832326032096
sony,0.0007166952592786263
sony world,0.0002608770653233694
space,0.000865512971115916
starmaker,0.002563778522005353
starmaker matte,0.0015570198107051772
stars,0.0013974909671604304
statue,0.000501164664139732
steampunk,0.003180404487193203
steampunk butterfly,0.001307247973972001
steampunk himalayan,0.0012614238149754934
studio ghibli,0.0017806754323030666
style contemporary,0.001429866723393877
style portrait,0.0027579989151951334
surreal,0.001163782540064777
surreal concept,0.0016185853742406175
surreal glimpse,0.000959472816641066
surrealism,0.002138053278449053
surrealism surreal,0.002140564610371119
tall castle,6.580827318946693e-05
tracing artstation,2.044993643498672e-05
traits painting,0.0016080213872984668
trending artstation,0.004286024867380887
ufo,0.00013932328676676139
ufo ignoring,0.0003596282509891494
ultra realistic,0.0022284203080646372
uncanny painting,0.001664058975229689
unreal engine,0.003267363349589829
vallejo frazetta,0.0033083457928971
vivec portrait,0.0
volumetric lighting,0.0005089128769982393
wallpaper,0.001835294244636073
wallpaper illustration,0.0012801520241309805
wearing cloud,0.0006100260859640154
wizard,0.0004905008699242989
woman,0.000741302219006125
wooden churches,7.428952778191634e-05
world photography,0.0003340216072099514
zdzislaw beksinski,0.0004304353550516605
