keyphrase,adjusted_mean_shap
fiction film,5631923323.602304
cyborg bull,5631923323.600179
landscape,3288959163.8955445
flamingos,3288959163.8938427
film,0.03132251507351993
art,0.0135291582405635
portrait,0.012244702884331849
painting,0.0112676385667087
anime,0.007933740786119525
cinematic composition,0.0071148155270578
movie,0.00705717847563425
bonsai,0.006421556682012775
painting sargent,0.006380341296827125
intricate details,0.006032978428632775
steampunk,0.0057090130389215
painting beautiful,0.005544796898504175
peter elson,0.005494507344561224
gundam,0.0049690376200852
artstation,0.004900472721332151
saitama anime,0.0046884163896615
modern art,0.004666412861004225
portrait painting,0.004557569558241325
skyrim elegant,0.004427759984435025
footage,0.0043458339012993254
detailed ultra,0.0043134473682003745
hd goth,0.0042257316346162
concept art,0.0041889717310662
high quality,0.004170455575924699
trending artstation,0.004081786145813875
digital art,0.004015133352203525
clouds,0.0039697332657183506
matte,0.0039396756653693
vallejo frazetta,0.0036953710211492
photography,0.0036870089605127
bernard simunovic,0.0035481270300594
sky,0.0035306853463741
photorealistic,0.0035133650736715013
peter,0.00332484752358275
dark,0.0033116047901596748
rpg portrait,0.0032968755818294244
gonzalez,0.0032775810896544
digital painting,0.00323057844331925
deviantart realistic,0.0031424914714485
josan gonzalez,0.003077671191959625
elf,0.0030051606262375746
photo,0.0029454320969412
scene,0.002938205646719175
surreal,0.002869398976162625
picasso,0.0028159494059538997
drawing,0.00277988818752815
mid century,0.0027206140381958
flowers,0.002708267342776025
donald,0.0026810836363408254
ultra realistic,0.0026578126367899253
canvas,0.0026018423151530252
unreal engine,0.002590700478365525
natural scene,0.0025624179012565247
cyborg,0.002530263162563975
detailed painting,0.002454968892263625
uncanny painting,0.002454901614952275
einstein,0.002371676107890875
style portrait,0.00236377897403845
photograph,0.0023546117023836998
pixar,0.0023349736026752254
cinematic,0.002318167492558125
illustration,0.0022252392454496666
science fiction,0.0022174481642441
surreal concept,0.002162517506144125
art smooth,0.002114425397388575
garden,0.0021099114921983
illustration art,0.00207897124091555
emo punk,0.0020726760274541
artwork,0.002069984610258675
body portrait,0.0020158637662360747
comic book,0.001985524821336
contemporary art,0.0019728089460226248
oil painting,0.00192477398630545
surrealism surreal,0.0019200763640212
octane render,0.0018664379223109
robot,0.0018640091179590499
wallpaper illustration,0.00184308067101225
elson,0.0018371878927621
wallpaper,0.00183471565644485
matte painting,0.001834664196971625
body manga,0.001799828810185725
fantasy art,0.0017784888935673002
art punk,0.001770137827911225
deviantart,0.0017328268260702008
design,0.0016936408702984
alien,0.001662146208949025
photorealistic digital,0.001637650303208025
art style,0.0016353550987747744
picasso hair,0.0016154579242775749
punk art,0.0016114161288786248
minogue barbarella,0.0015882600237468
dragon,0.0015646625023324249
overcast thunder,0.0015619368018554998
pablo picasso,0.001544225238358325
collage canvas,0.001541383431132775
goth emo,0.001499628039943525
art artgerm,0.0014980070823331
century modern,0.0014954814627963935
painting lush,0.0014917221047477999
comprehensive art,0.001489543920683575
houses,0.0014862072493632501
portrait scifi,0.0014688414001726969
cyberpunk,0.001390218024758025
art sharp,0.0013798531330273499
fiery alchemical,0.0013759273398277
painting character,0.001362741723061225
portrait painted,0.001358336731562975
manga,0.0013481181899126001
josan,0.001347046286472525
garden intricate,0.00134239251488345
castle,0.001324997056955731
stars,0.00131767789461975
art thorough,0.0013055074524165751
phyics entries,0.001304276537757425
details intricate,0.0012978277072115
surrealism,0.001291176116508175
intricate volumetric,0.001264652987297725
fantasy style,0.0012559673876118248
barbarella,0.0012541559080454
heavy detailed,0.0012453182834054972
abandoned,0.001222990045651867
style contemporary,0.0012198476110267251
cute fluffy,0.0012145863175385251
alchemical creatures,0.0012113865085025
character portrait,0.00121128787558505
goddess,0.0012104015763628
fifth element,0.0011977431608288362
hd,0.00118419145658815
art realistic,0.00118182010274065
clouds madeira,0.0011806479388336
frazetta giger,0.0011774898999407498
painting peter,0.0011709010939429001
city,0.0011539769111922247
photo realistic,0.0011535849014126499
goth,0.00114824343948235
nerevarine,0.001148099526145075
steampunk himalayan,0.0011443972421737
movie poster,0.0011439532081559496
hyper detailed,0.001137276885211475
divine,0.00112975673014945
butterfly volumetric,0.0011185844678036
beneath cherry,0.001115908978557375
runway,0.001115704840305437
painting artstation,0.001111736181057025
zdzislaw beksinski,0.001103109922310075
century,0.0010768484335777
creatures surreal,0.00106648576114
hd painting,0.0010610311012167
deviantart hyperrealistic,0.0010607503249977538
scene science,0.001059825951907475
forest,0.0010520437679355677
knight,0.0010451583092775333
space,0.001040610131867825
lighting,0.001031492077706525
surreal glimpse,0.0010235510428094332
surreal dark,0.0010184146813829
portrait male,0.001016766436962325
starmaker,0.0010147522719045584
beautiful landscape,0.000996407341006975
painting ronny,0.0009839384848377038
world photography,0.000983921635022625
artstation cinematic,0.0009820119681513252
detailed portrait,0.0009723011374974925
painted,0.00096530624233775
media collage,0.000964233512667825
ufo ignoring,0.000953543804655575
portrait intricate,0.000943809526934425
hd unreal,0.000935342044662306
screenshot,0.00093030816359735
