keyphrase,adjusted_scaled_mean_shap
painting,0.31318536737385855
portrait,0.2928948164196419
film,0.2587740908635946
matte painting,0.15068735659517762
art,0.14573191296045068
concept art,0.13430681340343045
digital painting,0.13420186994584415
artstation,0.12028271991075293
painting sargent,0.11919364360386345
unreal engine,0.09952144661751061
photorealistic,0.0977137620331383
digital art,0.08507394445012459
illustration art,0.08485298479502563
anime,0.08319542041315474
deviantart,0.0790163820515136
deviantart realistic,0.07705868295925794
cinematic composition,0.07698518221745361
photography,0.07046488214015584
oil painting,0.06986107830902874
mid century,0.06853773067719408
artwork,0.06778973602317968
cyberpunk,0.06503388981806105
clouds,0.06351399945819142
scene,0.06173294331289681
matte,0.05980131045466835
surrealism,0.059763900304265004
fantasy art,0.05931797786160731
steampunk,0.05923178221854083
high quality,0.05809741748839171
artstation hyperrealism,0.058077283466365245
painting beautiful,0.057300280834640976
surreal,0.05657849061558344
fiction film,0.056539877210903394
goddess,0.05631347312603981
movie,0.05449943555371195
comprehensive art,0.05303782559090469
character portrait,0.052593096572408085
peter,0.05248503077391619
picasso,0.0524368189419647
beksinski,0.0518725804758822
gordon,0.051834510940389586
cinematic,0.05162209641591268
earth,0.051131851291842244
painting artstation,0.0507063770396524
manga,0.04997527880708837
footage,0.04984865802918222
photograph,0.04968354124361852
fantasy painting,0.04890235871975576
intricate details,0.048348565946957724
castle,0.048206705857350596
trending artstation,0.048002457581573434
landscape,0.04741107358900057
detailed ultra,0.04653045020640966
saitama anime,0.046199576564655766
canvas,0.04587957415723804
art smooth,0.044876422960555114
portrait painting,0.04486738458961381
skyrim elegant,0.04455180225152339
photo,0.043803972385300365
art sharp,0.043575292445857325
black,0.043430821554000264
einstein portrait,0.04322261202445772
peter elson,0.04309287292480166
mila kunis,0.0425474880928257
elf,0.04223907158517477
einstein,0.041797932125935265
uncanny,0.041563465533303486
modern art,0.04122005918723871
elson,0.040980015793895826
dark,0.040959637257816234
bonsai,0.04073732906280495
portrait painted,0.040480823949590454
painting deviantart,0.040384956280932145
art artgerm,0.039916437886391515
gundam,0.03967833365845419
century modern,0.038862812585117174
octane render,0.03882177512829903
ultra realistic,0.03874512261186979
ufo,0.038478655957831
goth,0.038394845463007074
natural scene,0.037564749148954045
cinematic deviantart,0.0370846323445664
style portrait,0.03689926567840608
portrait scifi,0.03682408340735268
jacket black,0.0366219206807767
detailed painting,0.03657416457452893
surreal concept,0.03627575697424565
city,0.03594765988916321
beautiful landscape,0.03522990114905158
forest,0.03454022387807684
lighting,0.033310556393939435
photo realistic,0.0331163529791411
detailed portrait,0.03302081438752695
body portrait,0.03301924555109137
ruins,0.03299274424224471
garden intricate,0.0329811275443341
goth emo,0.03283656762473507
art style,0.032741045810916504
woman,0.032658112386826456
rpg portrait,0.0323970203267575
food photography,0.03155655387506768
frazetta,0.03152079551271375
madeira faroe,0.031453362395428265
donald,0.031447581365630375
hyper detailed,0.031398406056482996
realistic photo,0.03134687231911807
world photography,0.030466633866227937
cat,0.030251848828581035
abandoned,0.030111943477323273
painting peter,0.03006603974549496
gustav klimt,0.029896277797255073
drawing,0.029840459534234337
vallejo frazetta,0.02980090293658965
cute fluffy,0.029800453422113595
design,0.02972270417956747
digital,0.02927873844376826
flowers,0.029249482279098626
male dunmer,0.029219708261385827
frazetta giger,0.029114406489192137
body manga,0.029097537393200104
josan gonzalez,0.02879325905475805
photorealistic highly,0.028378941289642756
garden,0.028351509627615578
deviantart cinematic,0.028095296540979725
cyborg,0.02788237380024071
painting lush,0.027868097406324004
surrealism surreal,0.027850315438104564
realistic cinematic,0.02777220680423662
fifth element,0.027372248709290444
art trending,0.027151583363512116
sky,0.02706045840261056
photograph divine,0.026740901592500047
knight,0.026286528997452336
portrait male,0.02614264043631085
intricate volumetric,0.025967611344844745
art thorough,0.02542337305706655
clouds madeira,0.025378723300052676
salvador dali,0.025183528043462113
dragon,0.025171358267416618
portrait extremely,0.024874794278625538
dark uncanny,0.02473345549294215
space,0.024581153186399765
bernard simunovic,0.024521408064663852
scene science,0.024424389018163267
resolution wallpaper,0.024316766753503263
colossal goddess,0.024077893253027654
heavy detailed,0.023796423192828296
hd goth,0.02365549321888055
pablo picasso,0.02357990051963016
comic book,0.023561706667112575
photography awards,0.023451667060654453
uncanny painting,0.023446906215301194
punk art,0.02338589227084409
sony,0.0233750058458469
hd unreal,0.023260802196068894
length portrait,0.023092224906969588
camera,0.023084754510223324
lifelike photorealistic,0.02305796086994426
painting stalenhag,0.022946977174168322
houses,0.022708004191007186
photorealistic digital,0.022686608811255456
art lifelike,0.02261225733468158
oil,0.022402814252200316
intricate hyper,0.02231962228874337
gonzalez,0.02225896803274849
art realistic,0.021990876672327245
painted,0.021840907070531584
painting character,0.021756576554853153
fiction,0.021603820760798042
pikachu hannah,0.021587101718135764
runway,0.021515712727283635
zdzislaw beksinski,0.021370883937564086
artstation cinematic,0.0213506173337542
robot,0.021303109712158867
glamorous sophisticated,0.021279327175747507
movie poster,0.02121720251547124
lantern candle,0.021058926197673345
wallpaper illustration,0.020824893149008393
beautiful,0.020803920106772036
art punk,0.020645971437687857
azores,0.0206090878857114
pixar,0.02044118893672615
artstation concept,0.020220912061785314
puppy,0.019952241983822755
scariest looking,0.01986514995073726
dramatic lighting,0.019851083839794715
faroe azores,0.019780281394603326
nerevarine,0.019608233866537778
screenshot,0.019569238537342683
giant digital,0.019500323761529284
bosch,0.019213296691414927
goths loitering,0.019177972536752002
statue,0.019148582456862913
wizard,0.0191351846070467
stars,0.019094739706363183
armor daedric,0.019031896009058673
neuromancer,0.01893801530948337
collage canvas,0.018929689309566664
headshot edwardian,0.018888498160984996
dunmer nerevarine,0.018835439463888035
room,0.018800743003736832
futuristic,0.018731079579713625
phyics entries,0.018703222598430925
alien,0.018657261220294263
wallpaper,0.01858081283476916
portrait photograph,0.018471708480863713
low clouds,0.018359137705236842
artistic painting,0.018286232035537267
painting ronny,0.018194593401442236
lightning intricate,0.01813427191208793
puppy sitting,0.018101367301877593
illustration,0.017957684393210476
blinders photography,0.01790980505442068
spaceship,0.017879560492179227
sitting snowy,0.01783996006672855
studio ghibli,0.017787378949987633
hd,0.01774508590133791
manga illustration,0.017570774565923826
himalayan,0.01739854129524141
deviantart hyperrealistic,0.017364171709284188
saitama,0.017352530940266085
science fiction,0.01727539773491487
alien planet,0.017265935331127854
tracing artstation,0.017042982858545778
century,0.016840333413539854
punk,0.01659861144980587
overcast thunder,0.016519701382791692
barbarella,0.016427178985021818
minogue barbarella,0.016264577710181773
beneath cherry,0.016151045602474493
punk portrait,0.016150878153067098
snowy,0.0159852389397307
josan,0.015957141705910047
butterfly volumetric,0.015952256753378347
traits painting,0.01594675325872266
houses built,0.0159265111240969
fluffy,0.015646879396715437
starmaker,0.015563316753729947
candle volumetric,0.015446489912722133
fantasy style,0.015407144211246122
painted pablo,0.015403248511598798
sony world,0.015284676440729075
divine pink,0.015282542970749371
chris foss,0.015246312056582053
bjork,0.015229399138953312
detective pikachu,0.015042951028030771
engine,0.014930693702095975
klimt,0.014880529589119973
ufo ignoring,0.014809380017499223
steampunk himalayan,0.014687175975975145
edwardian photograph,0.014643104890670729
portrait sabouts,0.014581415201479543
volumetric lighting,0.01455033518524676
realistic render,0.014428693448607805
dog,0.014403950440085949
hd painting,0.014298096224288693
entries sony,0.014138115105993582
details intricate,0.0140820851711855
illustrated,0.013939484048028252
goddess wearing,0.013913247234411546
goths,0.013909432298548336
pink bonsai,0.0138871824802981
film neuromancer,0.013873790429400814
atmospheric lighting,0.01374963997295548
emo punk,0.013638630186003914
portrait intricate,0.013592404579029636
colors,0.01345146255830284
contemporary art,0.013409985397016098
anime colors,0.013341841518609841
pink flamingos,0.013304512612011066
fashion clouds,0.013281778942744396
flamingos,0.01324969110731009
picasso hair,0.013214728810825489
shade talking,0.013137783439304237
cyberpunk art,0.012899275119593179
cosmic,0.012842056857611922
anime epic,0.012777547290908573
modern,0.012659135723244494
artistic,0.012626300603356374
digital render,0.012246892432182844
painting lurid,0.012216946195672774
painting aesthetic,0.012193118972365797
landscape colourful,0.012191060605142218
cloud fashion,0.012133783022577243
divine,0.01206584945238157
clouds girl,0.01206252179955645
art hyperrealistic,0.012053612653396216
render hyperrealist,0.011851208223090772
style contemporary,0.011787080776604843
emo,0.011754995230052292
intricate royo,0.011664213029133516
glimpse universe,0.01147403876404451
goddess creative,0.011453846543745773
surreal glimpse,0.011367054096384027
castle enclosed,0.011366290967597314
lighting hd,0.011215388279861698
colossal,0.011163632716864824
starmaker matte,0.011132983996710463
log houses,0.011082588462808534
gundam unreal,0.011017318654562272
pixie cut,0.010986991468082933
candle butterfly,0.010856360207149668
marble hourglass,0.010738266786663918
tall castle,0.010708386446308917
alchemical creatures,0.01037010996173149
art city,0.010335534204023621
fiery alchemical,0.010160740800620335
cyborg body,0.010089623505677823
cyborg bull,0.010050489427808567
daedric armor,0.009918570951726319
art josan,0.00991840292976206
bonsai tree,0.009764384724144986
oblivion skyrim,0.009372870657907683
media collage,0.009314457718245437
mixed media,0.009069772342376036
creatures surreal,0.008864154976801784
avant garde,0.008671736741683467
chris,0.008608309387256454
himalayan rocksalt,0.00860222991744189
surreal dark,0.008364688418236541
lamp,0.008356792543415745
frazetta fantasy,0.008351836950354801
painting unreal,0.008159131576342925
kylie,0.008147922633343274
painting chris,0.00806778263641712
science,0.008066058637143072
rocksalt lamp,0.00789879764074045
azores islands,0.0077693191416791105
kylie minogue,0.00764422255364384
vegetation,0.0075926950710409925
minogue,0.007494860553055219
artstation galaxy,0.007402503583783183
steampunk butterfly,0.007366360320306588
thanos style,0.006813338285106144
vivec portrait,0.006752607863660394
clouds covered,0.006300725839079504
bull modeled,0.0060677017494643265
greek man,0.005805298601755145
imposing cyborg,0.005466951472802372
android cyborg,0.0051473574147373625
body shot,0.005097096708239713
wearing cloud,0.005096381107700834
girl clouds,0.005093056250403329
portrait ancient,0.004950190100312393
looking camera,0.004933319334209109
bull looking,0.0048169896412235185
giant,0.004644045647841585
fine artistic,0.004477845030242839
hills slavic,0.004422017293259115
wooden churches,0.003896210371120118
churches domes,0.0038372331217852457
mysterious ufo,0.003076538116669818
mysterious,0.0022886620927375944
