keyphrase,adjusted_mean_shap
painting,54043109007.18402
digital painting,54016621167.74423
artstation,51617797460.547585
goddess creative,51617797460.544
cinematic deviantart,36570317909.53594
oil painting,27690985253.733723
art smooth,24892045895.91929
butterfly volumetric,24892045895.91881
castle enclosed,9623469566.159904
matte painting,5847112261.113404
surreal,5712927146.310882
fiction,5712927146.30843
unreal engine,4029557548.311159
detailed portrait,2604918829.1876683
lantern candle,2576933109.6018357
low clouds,2576933109.60173
goths loitering,2445513218.121726
painting artstation,2398823707.194478
cat,2398823707.1937003
rpg portrait,2398823707.193679
beautiful landscape,2329037266.7162204
garden intricate,1978340566.2640622
portrait,1906789266.6678417
photorealistic,1565165733.339915
gundam,1517132202.1397126
art,1498115959.667507
hd goth,1456895515.6583753
deviantart realistic,1307089098.0926218
illustration art,1252274039.9956658
vallejo frazetta,1207650046.372681
peter,1124405333.4143565
punk art,1077794876.3896143
matte,1063755824.8271422
donald,1059955158.0505031
alien planet,1048172827.6056345
digital art,780403310.3735225
gustav klimt,627958505.3251421
hyper detailed,588084428.4282968
camera,560974946.4222388
concept art,457177044.0946165
cyberpunk,446970980.3586669
himalayan,375591994.9783585
film,359598851.70881504
elf,357515686.9649857
fiction film,333657966.0333482
painting lush,333168646.45342153
mixed media,333168646.45337754
male dunmer,261345127.64215216
city,211518635.89760846
footage,210029799.3697127
intricate volumetric,210029799.3685518
saitama anime,198354617.7250036
modern art,198354617.72362
colossal,182683764.6758408
manga illustration,169960493.50147825
art hyperrealistic,158829569.27453238
pablo picasso,115898668.68074493
digital render,103521320.57055767
hills slavic,103521320.5704307
natural scene,98253724.04904339
gordon,89845321.70632744
goddess wearing,89845321.70550367
steampunk,70305331.26325424
photograph divine,70305331.26212218
goth,69741466.05124898
flowers,69350263.39364776
collage canvas,69350263.39302471
art sharp,52689066.62360389
neuromancer,50733790.92444649
art lifelike,50733790.92425291
phyics entries,41220444.007377625
glamorous sophisticated,29968966.456196878
madeira faroe,27816372.633812446
futuristic,27816372.633708272
painting sargent,15582997.226666473
dark uncanny,15582997.221780673
uncanny painting,15582997.2212862
deviantart,0.004635301799121377
scene,0.0037345847693715795
artstation hyperrealism,0.003021516025845902
anime,0.0029978882355337047
cinematic composition,0.002711247986728129
surrealism,0.0026870507818856416
picasso,0.0020937134283018632
goddess,0.0020501108342149874
portrait painted,0.0019533336713388797
