keyphrase,adjusted_scaled_mean_shap
film,0.31332659533486545
painting,0.2516810332060426
matte painting,0.17912642825058073
portrait,0.1782689303670126
digital painting,0.1250157505191861
painting sargent,0.11213643277557299
deviantart,0.09501197833955478
illustration art,0.09485604000835479
deviantart realistic,0.08019227297603523
photorealistic,0.07891064700371409
artstation,0.07736247283726443
cinematic deviantart,0.07366104768551067
artstation hyperrealism,0.07290046123232145
concept art,0.06904546793733318
surreal,0.06595636649773015
saitama anime,0.06532551579504497
anime,0.0578969648453394
art,0.055152469830549694
castle,0.05274291416813251
fiction film,0.051534368014484286
oil painting,0.04996836342816246
mid century,0.049175261094694715
cyberpunk,0.04763213024968925
cinematic composition,0.0473320194918546
digital art,0.0456194658838202
art sharp,0.04523488626726879
garden intricate,0.044438728022871056
goths loitering,0.0439125308019967
gordon,0.04361782515777672
painting artstation,0.0433057324825812
artwork,0.04308467331754979
surrealism,0.0423925709537315
bonsai,0.0419000521508405
steampunk,0.04109900763967359
peter,0.04109506304564003
surreal concept,0.04097551490769153
footage,0.04033430033994223
ufo,0.040115816993186344
picasso,0.03839098790174724
photograph,0.03828518510826708
unreal engine,0.03798933392031525
matte,0.03761126501539665
scene,0.03731871373256982
elf,0.03701546983102117
modern art,0.036454348847923715
gundam,0.033657533039832994
black,0.03227302285775351
natural scene,0.03174045890259957
city,0.03142686759535285
donald,0.031173269688340992
art smooth,0.03020754038643183
lantern candle,0.02999097305856557
gustav klimt,0.029955538836551426
frazetta giger,0.02968537002795939
punk art,0.02883936719049029
detailed portrait,0.028398753876105885
goddess,0.028080963443870312
intricate volumetric,0.02790418694386365
hd goth,0.027887745912413935
photography,0.027838382790282477
houses,0.02775545633123122
manga,0.027388993433997783
male dunmer,0.027139786552087177
rpg portrait,0.02711110970223715
cat,0.02644778780691276
josan gonzalez,0.026433160114533876
dark,0.025858476140025156
madeira faroe,0.02576985561878734
low clouds,0.025613228044724157
portrait painted,0.025539950535946123
flowers,0.02542705171396216
beautiful landscape,0.02537205672517772
painting beautiful,0.024989762619688008
skyrim elegant,0.023791991507011105
pablo picasso,0.023728361757086498
goddess wearing,0.023654562013631263
futuristic,0.0236017594670945
detailed ultra,0.0232266863548551
fiction,0.02303917015655945
goddess creative,0.022828489028055732
alien planet,0.022799857652083443
clouds,0.022663994917218846
comprehensive art,0.022647741300336744
himalayan,0.02233867087554272
castle enclosed,0.022147984767808167
vallejo frazetta,0.021986715716990613
butterfly volumetric,0.02183709786209735
ultra realistic,0.02152467218137057
fantasy art,0.0210957557041775
photograph divine,0.019845664286820948
character portrait,0.019259294295758823
painting deviantart,0.01887935492639564
high quality,0.01869588826144579
einstein,0.01862411953806095
century modern,0.018111443870149423
drawing,0.017097910794475157
art style,0.01690580316483778
world photography,0.01649968850469878
goth,0.01630819367207306
forest,0.015499762097772974
peter elson,0.015299697890998942
wallpaper illustration,0.0150975544036177
canvas,0.01485006769933741
dark uncanny,0.014776182706360613
landscape,0.014463201915524117
frazetta,0.014319116622057456
photo,0.014267924936530898
clouds madeira,0.014083946135865135
camera,0.014002486307062802
phyics entries,0.013825485436816673
art artgerm,0.013007959968105293
octane render,0.012808661238221528
art realistic,0.012799506476435648
portrait painting,0.012438935210214825
lifelike photorealistic,0.012352201930658667
cinematic,0.012238776725775004
detailed painting,0.012007677202296035
portrait extremely,0.011996393878239026
movie,0.011909030659856077
fantasy painting,0.011272769936128114
intricate details,0.011265045710428185
zdzislaw beksinski,0.011237670482133186
space,0.011086487633801876
elson,0.011053559175256742
manga illustration,0.010800788020218256
neuromancer,0.01074929210838418
glamorous sophisticated,0.010615279051485656
hyper detailed,0.010399991334639992
knight,0.010300973210190587
fashion clouds,0.010084135104578545
collage canvas,0.0098551899781181
cute fluffy,0.009464249494571492
art punk,0.009214029205273738
painting stalenhag,0.00898430111243782
body manga,0.008899973046304676
fifth element,0.008845070881209213
overcast thunder,0.008635864398629
hd,0.008065403755885043
style portrait,0.008032772896145521
dragon,0.007959125986714412
body portrait,0.007941470585219074
dunmer nerevarine,0.007903487252078152
painting lush,0.007726386137279976
trending artstation,0.007692164222516594
photo realistic,0.00761720250629769
oblivion skyrim,0.007578495459326276
azores,0.007465560082263625
pikachu hannah,0.00736465927563907
sony world,0.007255006893907446
contemporary art,0.007064289591020426
entries sony,0.007012402688553635
science fiction,0.007011409227613582
abandoned,0.007010812760163868
hd painting,0.00675677898898538
uncanny painting,0.00654485656060086
art lifelike,0.006506444232329075
surrealism surreal,0.00648159249397574
portrait scifi,0.0063771911628267685
detective pikachu,0.00622632535383743
garden,0.00622218410021378
century,0.006142377982731592
robot,0.006124590425835899
lighting,0.005962728173265594
artstation cinematic,0.005947533989792905
film neuromancer,0.005905336327838391
lightning intricate,0.005836258617754751
heavy detailed,0.005744739775648337
art trending,0.005684433924800752
digital render,0.005517558473002697
atmospheric lighting,0.005473528693542517
scene science,0.005472983291359653
starmaker,0.005439813238003682
sony,0.005378068919459786
faroe azores,0.005321238411416187
art hyperrealistic,0.00526924872842344
screenshot,0.005253406570052096
mixed media,0.005220476195142825
nerevarine,0.005146338298079896
painting character,0.005109693341823311
hd unreal,0.00510431962132218
portrait sabouts,0.005052729093416306
starmaker matte,0.005010027674995109
colossal,0.004810250432321564
shade talking,0.004704439547285079
illustration,0.004632986415884709
stars,0.0045806828056934356
josan,0.004578994231132189
glimpse universe,0.004539279746566908
details intricate,0.004457005541774067
woman,0.0043737916934902315
length portrait,0.00431608968191166
art city,0.004238401799002857
fantasy style,0.0042105752306890055
divine,0.004208960665174439
studio ghibli,0.004122859704631773
wallpaper,0.004096042027116863
traits painting,0.004082801887893452
lighting hd,0.003940950333166321
painting aesthetic,0.003826432679323408
emo punk,0.003807447192557512
art josan,0.0037675820839599855
dramatic lighting,0.0037605498420592858
painting ronny,0.0037559047501654966
bjork,0.003719955380270797
cyborg,0.0036817079467262536
beneath cherry,0.003671046965544742
portrait photograph,0.0036702084554022813
modern,0.0036341810612913273
