keyphrase,adjusted_mean_shap
painting sargent,420583027567.73004
madeira faroe,418591539836.9628
trending artstation,129528689229.40497
beautiful landscape,129528689229.40233
goth,44125146704.5368
deviantart realistic,34458568364.60857
painting beautiful,32387635083.28063
artstation hyperrealism,32387635083.27976
style portrait,21966684100.657894
scene,17386140665.226257
divine pink,17386140665.22174
high quality,16554334282.08568
intricate details,13130889785.028156
digital art,11942135098.987305
kylie,10536614730.504469
painting,10515569875.287796
portrait male,9341338236.948109
male dunmer,9264787956.882936
portrait painted,8572226770.614384
nerevarine,8386285193.668804
art thorough,6303232513.757364
octane render,5579253022.718666
clouds madeira,5446088906.281424
art lifelike,5345306853.15488
film,5140369880.349221
goth emo,4583412687.2551565
portrait painting,4578460095.400361
beksinski,4349815715.846243
elson,4325498835.230595
drawing,4325498835.228055
painting peter,4207217058.525866
candle volumetric,4207217058.5235376
painting artstation,3637649397.177671
realistic cinematic,3555249213.665229
skyrim elegant,3423444497.059741
artwork,3063977896.696625
pink flamingos,3063977896.6932173
jacket black,2784979479.171727
pixie cut,2502125610.4450083
candle butterfly,2477217401.249952
uncanny,2330188193.4757605
woman,2176683192.0421147
cyberpunk,2134385297.4528944
houses built,2096063863.772466
photo realistic,1902194443.6549666
art smooth,1678630272.0667388
artstation cinematic,1678630272.064802
faroe azores,1592189858.7240145
divine,1592189858.7234633
character portrait,1564160335.8850136
giant digital,1238542721.6987178
intricate royo,1238542721.698318
render hyperrealist,1220228099.2928123
portrait extremely,1133007829.9387412
pink bonsai,1133007829.93773
art sharp,1094351569.3230298
artstation,812266213.6135702
painting lush,812266213.6076488
photorealistic digital,705407417.857083
lifelike photorealistic,705407417.8555988
dark,657266854.1187234
modern art,657266854.1182718
matte,420454908.0890841
garden,420454908.08544546
puppy,414565470.9484342
unreal engine,290116735.78125453
deviantart,290116735.7780368
art trending,290116735.77560073
painting character,290116735.77490544
einstein,233946169.56706914
hyper detailed,219148141.01186633
body manga,76550280.06654549
portrait,0.024099390329251253
art,0.013910313584207995
concept art,0.012888703294435687
digital painting,0.00915348737539769
photorealistic,0.008978703200573973
matte painting,0.0076848563426871064
clouds,0.006226488828222396
oil painting,0.006172801234328773
illustration art,0.00605876134726458
cinematic composition,0.00596720486464041
photography,0.005962697698881601
peter elson,0.005627325501041059
anime,0.005555727906920617
canvas,0.005555154929117061
fantasy art,0.00553704587885834
cinematic,0.0053906536282061395
fiction film,0.0049063599849901145
steampunk,0.004895187152052497
goddess,0.004825409709447832
surreal,0.004718399262619365
portrait scifi,0.004715331202381941
