keyphrase,adjusted_scaled_mean_shap
painting,0.3538124331912304
portrait,0.35355861281182444
art,0.21375955587507092
film,0.18603536692973366
concept art,0.18305395573567484
unreal engine,0.14741035969290125
photorealistic,0.13334354291510403
artstation,0.12773391946460555
painting sargent,0.12518125323166376
matte painting,0.1213728750327814
digital painting,0.11959353105488622
digital art,0.11637586780840235
painting beautiful,0.10189175136392199
high quality,0.1001139198631617
goth,0.0994413979696836
anime,0.09573835236563616
portrait painting,0.09537093381107203
fantasy art,0.08724761314118397
elson,0.08723252854525244
clouds,0.08680745858650425
matte,0.08652448692103919
style portrait,0.08573304885207296
trending artstation,0.08568425194151795
cinematic composition,0.0841322178772897
oil painting,0.0831824673217299
deviantart realistic,0.08282256558490605
scene,0.08216023533136715
illustration art,0.08003142780149741
art smooth,0.07962041824122604
deviantart,0.07836724075747645
artwork,0.07801811443362772
character portrait,0.07762468570676467
painting peter,0.07675294062929594
portrait painted,0.07599085239113565
canvas,0.07487524857763354
picasso,0.07414193282753495
cyberpunk,0.07395653165331137
photography,0.07349022088636774
intricate details,0.07339596349902186
comprehensive art,0.07316638379818467
painting artstation,0.0729011832284608
octane render,0.0728604319224489
steampunk,0.0723073075359627
cinematic,0.07144788018787639
surreal,0.07127031494294722
landscape,0.07027691979131245
footage,0.06968947491117954
portrait male,0.06874629721632362
art thorough,0.06785595135691931
goddess,0.06665715703294214
skyrim elegant,0.06642310635389831
modern art,0.06637914245561358
portrait scifi,0.06629451102373915
gordon,0.06608826944370695
fiction film,0.06589917512095463
movie,0.06507502980939163
century modern,0.06396826288161615
goth emo,0.06374124415670195
dark,0.06250195736897121
artstation hyperrealism,0.061952684189463765
mid century,0.06192434179054234
peter elson,0.05991391835555028
art lifelike,0.05948174076539423
peter,0.05925521028498145
art artgerm,0.05901148839850135
surrealism,0.05845831655510389
natural scene,0.05789475600119175
einstein,0.05706323752358351
art sharp,0.056340139460939555
detailed ultra,0.05582103737973326
photo,0.055256993119936315
ultra realistic,0.05471623128745542
detailed portrait,0.054441899785299876
art trending,0.053435935292708965
photorealistic digital,0.05276073752337276
photo realistic,0.051956469758134054
beksinski,0.05187258047588221
photograph,0.05159760725143945
earth,0.05113185129184224
world photography,0.05102508581763556
painting lush,0.050922705514875974
heavy detailed,0.05079695016931986
hyper detailed,0.0504533331935761
madeira faroe,0.050215808850561545
lighting,0.04992424523269516
castle,0.04987719766042498
elf,0.04961092075808959
painting character,0.04897291480990529
body manga,0.0484055118389519
artstation cinematic,0.04828524170544411
cyborg,0.04800359297746933
detailed painting,0.04789374841190318
manga,0.04788528351628821
clouds madeira,0.047715159988483025
runway,0.04722884823557441
fantasy painting,0.04705521865836866
woman,0.04688938355604511
surreal concept,0.04683382254716202
beautiful landscape,0.04661452051081165
painting deviantart,0.04415238915366032
art style,0.0440722576056477
gundam,0.04362280467925574
gustav klimt,0.043299897119427735
einstein portrait,0.04322261202445772
garden,0.04322120905076225
mila kunis,0.04254748809282569
saitama anime,0.04244150961380403
houses built,0.042387543820268284
portrait extremely,0.042352603239968804
dragon,0.0418146012730873
uncanny,0.04156346553330347
illustration,0.041177668685777005
nerevarine,0.04100631797252676
candle volumetric,0.04036476764175022
black,0.04033095102721819
josan gonzalez,0.039814035179944654
drawing,0.03882636943409581
city,0.038678759983502085
goths,0.03859011348425554
donald,0.03844254414058406
puppy,0.038265498089550244
cute fluffy,0.03798878849422709
fifth element,0.03797405638009544
ufo,0.03777003290828203
surrealism surreal,0.0375600676720862
forest,0.03747229632067303
length portrait,0.03711141492947189
cat,0.03696876268321243
