keyphrase,adjusted_mean_shap
artstation,465603128928.4125
clouds girl,465603128928.40393
concept art,220878054957.8344
body manga,219062190006.68216
giant digital,29478307622.496635
collage canvas,29434442014.994583
fantasy painting,16671115959.779158
character portrait,16671115959.779062
cloud fashion,14350313492.218569
tall castle,14350313492.218416
clouds,12829893780.040888
canvas,12330709205.573235
matte,7772003692.193
rpg portrait,7772003692.192529
colossal goddess,5331258619.624753
goddess,5242447992.582047
dark uncanny,4044914281.587354
portrait,3830211558.7365227
painting sargent,3321389358.7529488
film,2957307088.3142743
footage,2268805519.8090367
painting lush,2268805519.8065763
chris foss,2268805519.806428
skyrim elegant,1807766215.9545143
beneath cherry,1774392100.6067476
armor daedric,1774392100.606736
deviantart hyperrealistic,1561406038.899707
oil painting,1553893097.9363024
dunmer nerevarine,1553893097.9340909
octane render,1535976306.936766
painted pablo,1535976306.9355965
comprehensive art,1529211331.4471943
pixar,1252952277.9930232
fantasy style,1252952277.9926
azores,1197533710.9933403
peter,814540168.5967106
vallejo frazetta,814540168.5957587
painting deviantart,813107387.5623484
art punk,802327061.6866587
cyborg body,802327061.6860055
hd unreal,748665763.5018314
wizard,748665763.5016404
pikachu hannah,716103943.88516
intricate details,650356297.869886
abandoned,603084415.0846112
artistic painting,603084415.0835344
fiction film,459748842.7451011
cyborg bull,459748842.7431638
peter elson,445113963.9760332
punk portrait,445113963.97534174
surrealism,354155683.42114866
surrealism surreal,354155683.41808295
matte painting,347132557.4605859
goth emo,347132557.44988436
movie,290925335.1637378
scene science,252916467.32364988
black,194004309.74156508
cinematic composition,115825466.79221681
steampunk,115825466.79025304
nerevarine,43865607.50326271
painting,38008867.872911416
digital painting,0.012774730657255628
art,0.009869024885284194
photorealistic,0.006183365880086843
unreal engine,0.006040472919592241
photography,0.005430944432648565
digital art,0.005412996144721432
deviantart,0.005410932135402963
anime,0.005410223042056701
cyberpunk,0.004713323118699831
deviantart realistic,0.004662392172823463
high quality,0.004451772530330423
illustration art,0.004269516574118299
scene,0.004181120361391145
artstation hyperrealism,0.003923575738922964
picasso,0.003820772850849996
fantasy art,0.003621285244222006
surreal,0.003554571199775262
artwork,0.003448800395361841
castle,0.003405824915795682
photo,0.0033030562978561243
photograph,0.003220010108160729
saitama anime,0.0029951389095809917
manga,0.002974779864090706
mid century,0.0029146707924651797
dark,0.002793003862702735
detailed painting,0.002761891135418808
cinematic,0.002736445073998535
portrait painted,0.0026906854095457957
painting beautiful,0.0026695025334374286
trending artstation,0.0026611850282042084
gordon,0.0026527430297108266
bonsai,0.0026201772103071194
einstein,0.002552160003621123
detailed ultra,0.002528444035445849
elf,0.0025193504222392206
ufo,0.0024243335017534564
art artgerm,0.002368210553682341
ultra realistic,0.00235305011105821
landscape,0.0023486062332300837
painting artstation,0.0022879656783392514
donald,0.0022555403643315652
flowers,0.0022443440338665546
gundam,0.0021375317017596368
city,0.002117024400709859
lighting,0.002090789175369661
knight,0.002086109574614261
drawing,0.0020451713637588682
art style,0.002002063509127943
modern art,0.001981855225587612
gustav klimt,0.001948456721920806
hyper detailed,0.0019288928930940676
natural scene,0.0019114469265502864
portrait painting,0.001900062410445144
century modern,0.0018802646431490655
surreal concept,0.0018334250303925106
josan gonzalez,0.0018258568153185109
photograph divine,0.0017994168206892488
art smooth,0.0017939181354699003
forest,0.0017934105111972632
cute fluffy,0.0017894848544169819
camera,0.0017660522048578776
cyborg,0.0017293110076154654
art sharp,0.0017161561469900778
world photography,0.0017008930384158935
cat,0.0016645812297356572
woman,0.001664036554409413
space,0.0016028931817662752
wallpaper,0.0015844616676147438
elson,0.0015634641802271252
painting ronny,0.0015309919870604939
lifelike photorealistic,0.0015145793202646332
frazetta giger,0.0015071316580385918
screenshot,0.001491083062235968
frazetta,0.001483142697274242
photo realistic,0.0014785376894994409
garden intricate,0.001470557504138852
cinematic deviantart,0.0014510161204780185
uncanny painting,0.0014267391208016111
statue,0.0014221153210127986
style portrait,0.0014111126739073008
dragon,0.0013833164105118327
goth,0.0013669285531295546
alien,0.0013649011570428858
art realistic,0.0013617862907065407
illustration,0.001354006543121049
length portrait,0.0013526753304792432
robot,0.0013513484143982534
artstation cinematic,0.0013393814465506306
sony,0.0013352463843488021
himalayan,0.001312974602859036
detailed portrait,0.0012995351307446225
garden,0.0012961101911259185
portrait scifi,0.0012938283889883735
zdzislaw beksinski,0.001280405531555907
art trending,0.001252572826803845
glamorous sophisticated,0.0012309697480955904
runway,0.0012215490371191727
dramatic lighting,0.0012184312579294747
painted,0.0012114190575468714
fifth element,0.0012090715678309428
houses,0.00120659329394891
faroe azores,0.0012042504183277809
body portrait,0.0011951215920174732
intricate volumetric,0.0011801905016177129
studio ghibli,0.001177311746370268
dog,0.0011683794528122165
hd goth,0.0011630810864691492
movie poster,0.0011214567784298345
illustrated,0.0011055011860754103
puppy,0.001103374908415647
hd,0.001088612275602002
phyics entries,0.001068131022937081
lightning intricate,0.0010493660106370064
portrait extremely,0.0010485942623466359
century,0.0010476954806753857
heavy detailed,0.0010384784255173946
render hyperrealist,0.001029637569682858
details intricate,0.0010112245335010203
wallpaper illustration,0.0009974640344498596
steampunk himalayan,0.0009898248614026465
art thorough,0.0009753174351911587
stars,0.0009696678216446078
detective pikachu,0.0009551247880402249
fluffy,0.0009427978815539464
colors,0.0009419171643239816
engine,0.0009361578375360467
punk art,0.0009202394812851952
futuristic,0.0009092122075806317
male dunmer,0.0009022059261774619
saitama,0.0008964018560287366
contemporary art,0.0008955242940662734
josan,0.0008893933391567032
painting peter,0.0008848619397030141
portrait male,0.000884146056511695
manga illustration,0.0008708699804090544
atmospheric lighting,0.0008602921930507911
intricate hyper,0.0008571285890148962
entries sony,0.0008516616397129292
chris,0.0008466664680842448
pablo picasso,0.0008454756712717555
emo,0.0008394661070800188
clouds madeira,0.000833462004351669
sony world,0.0008273527679949914
portrait intricate,0.0008271010499891
fashion clouds,0.0008187585135187915
photorealistic digital,0.0008028598335507405
beautiful landscape,0.0007938960432936811
bonsai tree,0.0007686837949877585
hd painting,0.0007646528210171029
portrait photograph,0.0007506227493990205
painting stalenhag,0.0007419826746171075
lantern candle,0.0007378308598331325
science fiction,0.0007243979772663418
modern,0.0007116470539341526
emo punk,0.000701421883589683
photography awards,0.0006942044013454853
ufo ignoring,0.0006893775265864609
volumetric lighting,0.0006809648710856733
painting aesthetic,0.0006782439278732132
neuromancer,0.0006779435870471146
fiction,0.0006761817256885942
daedric armor,0.0006744044651147141
pixie cut,0.0006710432798654964
bjork,0.0006687131383980166
starmaker,0.0006652821412926811
painting character,0.0006594328003008037
shade talking,0.000658019195545926
intricate royo,0.0006424869590174243
oblivion skyrim,0.0006395830672754737
film neuromancer,0.0006384218634508668
art city,0.0006354162003565015
frazetta fantasy,0.0006289679289275858
art hyperrealistic,0.0006178971037495578
traits painting,0.000612536357747878
style contemporary,0.0006120638105315362
pink bonsai,0.0006108331606210478
lighting hd,0.0006037307100400634
overcast thunder,0.0006003844438717125
clouds covered,0.0005886771520808373
art lifelike,0.0005812633274283534
low clouds,0.0005761458000402804
divine,0.0005723794313159509
artistic,0.0005656039068030775
painting lurid,0.000558471427759554
madeira faroe,0.0005545313825663025
avant garde,0.0005516270769009181
portrait sabouts,0.0005505190869477763
goddess wearing,0.0005500709867664676
marble hourglass,0.0005463399989426326
tracing artstation,0.000544039741163565
candle volumetric,0.0005434610635412159
artstation galaxy,0.0005388067824890998
picasso hair,0.0005360108913430393
glimpse universe,0.0005335727809535826
anime colors,0.0005290759211868003
houses built,0.0005193435656008209
art josan,0.0005190969826078315
landscape colourful,0.0005190931949389114
goths loitering,0.0005072369604764117
surreal glimpse,0.0005062528364056443
log houses,0.0005049012958669946
anime epic,0.0004946574956162781
azores islands,0.0004846755812827587
colossal,0.0004603870059020875
painting unreal,0.0004486602917365341
himalayan rocksalt,0.00044526266438309046
giant,0.0004437249307373381
media collage,0.0004414063113442431
butterfly volumetric,0.00043916852409678776
rocksalt lamp,0.00043710537615969895
gundam unreal,0.0004354019462946242
digital render,0.00042637267210133564
lamp,0.0004256250032545618
wearing cloud,0.00042229702401662525
divine pink,0.0004221872065561889
steampunk butterfly,0.0004204564059829596
candle butterfly,0.00041424662953438665
alien planet,0.0004116956367867309
painting chris,0.00041129075895430053
goths,0.0004074083858961773
goddess creative,0.0004031406863298815
science,0.00038804707346055175
flamingos,0.00038436323176366407
kylie minogue,0.0003813771770366
minogue,0.0003767872987118074
pink flamingos,0.00037400616756500915
starmaker matte,0.00036916846922214607
kylie,0.0003598609046106962
bull modeled,0.0003584624024986704
looking camera,0.00035625154925887225
bull looking,0.00035582084752718886
mixed media,0.00034934416839579754
girl clouds,0.0003411961202105183
body shot,0.0003362835389353796
android cyborg,0.00033511238075533334
vivec portrait,0.0003317015481717867
imposing cyborg,0.00033033372273377217
castle enclosed,0.00026184706377210246
churches domes,0.00025733422985714743
wooden churches,0.00025540633135493987
hills slavic,0.00022715419387480925
