keyphrase,adjusted_scaled_mean_shap
film,0.28383800084401045
painting,0.28093078556200624
portrait,0.26439571806779694
matte painting,0.13939362003897796
concept art,0.1210584578744274
artstation,0.1133013209981291
painting sargent,0.10963856294145291
art,0.10422345411207691
digital painting,0.09543235787280799
cinematic composition,0.0799121458455878
clouds,0.07794364237328485
movie,0.0742750254337085
surrealism,0.0703860801138781
comprehensive art,0.06743186900253145
goddess,0.06335170525862248
photography,0.05834971439638533
deviantart,0.05780776415013496
anime,0.05686823527591419
steampunk,0.05518636193827045
unreal engine,0.0545896127944355
photorealistic,0.05425313133133388
cyberpunk,0.05262015367510119
illustration art,0.05102325248972631
digital art,0.04903964325454684
oil painting,0.04796852222819263
colossal goddess,0.04796597404620154
footage,0.046095464534677874
fantasy art,0.04587428855606084
surreal,0.045773444125941504
fiction film,0.04567612664134449
fantasy painting,0.045236402779745555
deviantart realistic,0.044849300422400935
artstation hyperrealism,0.04426060593163395
canvas,0.04374423502181953
character portrait,0.04359244583838041
black,0.041451507083298575
matte,0.04134997922258777
picasso,0.041190599196927385
castle,0.040761116678662355
scene,0.04040002369086797
abandoned,0.03998553577932574
high quality,0.03969370847332537
peter,0.03946933973035363
octane render,0.03861668233268214
mid century,0.03790417983399271
skyrim elegant,0.037852793172175735
photograph,0.03649900627037571
intricate details,0.035297165015526794
saitama anime,0.03495027112547271
gordon,0.03457973875105826
peter elson,0.03439330706075815
detailed ultra,0.03287441760455026
rpg portrait,0.032697850309942864
manga,0.032379512427056105
vallejo frazetta,0.03217880816254779
photo,0.032159499583033706
artwork,0.03211575582444759
dunmer nerevarine,0.03193833872917877
elf,0.031338253515214166
pikachu hannah,0.031077218017054136
painting deviantart,0.030797709269896188
dark uncanny,0.030158808355087163
collage canvas,0.029887479822529043
art punk,0.02964684859086978
body manga,0.029536579702887502
surrealism surreal,0.029161674546632457
painting beautiful,0.02879445565225806
painting lush,0.028732330890415585
bonsai,0.028651345286202185
azores,0.028094261170104884
punk portrait,0.02781233546550529
ufo,0.027777795679439762
ultra realistic,0.027500541885414866
cinematic,0.027457023374267548
goth emo,0.026898776204561978
hd unreal,0.02644508720531889
scene science,0.026282290728293026
giant digital,0.02585266734095744
trending artstation,0.025741229981452833
artistic painting,0.025328292876839128
beneath cherry,0.025231159076632828
painted pablo,0.02499835185073415
armor daedric,0.02475870636066551
portrait painted,0.02453624482599714
gundam,0.024515944584681766
flowers,0.024461536131909465
chris foss,0.024404501946130454
wizard,0.024278588029304615
clouds girl,0.02404990349241362
detailed painting,0.02387176892775735
cloud fashion,0.023809834410923495
dark,0.02370213374513169
tall castle,0.023622182497497594
pixar,0.023610727837095523
frazetta giger,0.023276588962917562
einstein,0.02319051331147842
frazetta,0.023115334356596063
deviantart hyperrealistic,0.023030560425034926
art style,0.02268017471324139
cyborg body,0.0226447888570735
cyborg bull,0.022580524108358726
painting artstation,0.022575265531789082
landscape,0.022103896691769778
art sharp,0.022086439182855452
surreal concept,0.021592728632248665
knight,0.021479420365988093
drawing,0.021415264945040015
art artgerm,0.02126497731473309
fantasy style,0.021139686127053903
city,0.020922991229895542
forest,0.020799553609036476
photograph divine,0.01921220873592723
portrait painting,0.019161549235215205
cute fluffy,0.019159150122728903
donald,0.01899842952381279
garden intricate,0.018820194784758843
art smooth,0.018694238317410444
modern art,0.018558028641424112
gustav klimt,0.017777908891461535
josan gonzalez,0.017314129830499347
lighting,0.01727028594261488
dragon,0.01715372392979627
art realistic,0.017136822369740505
photo realistic,0.01704860326402761
camera,0.016935901044632762
space,0.01635881820645922
hyper detailed,0.016180885972596058
century modern,0.016145380998881197
length portrait,0.01611265354833357
natural scene,0.016042792366291674
cat,0.015954271058357533
garden,0.014771166677796299
woman,0.014678790630096767
wallpaper,0.014596008113074023
portrait scifi,0.01435290743127138
cinematic deviantart,0.014318378613104038
elson,0.014289853171942148
world photography,0.014284329131765893
houses,0.014132880411137212
sony,0.013956712013686416
screenshot,0.01374854834984067
cyborg,0.013573205561709297
himalayan,0.013416905909178841
beautiful landscape,0.01320341406306938
intricate volumetric,0.013186189835459891
uncanny painting,0.013096721298294676
robot,0.012636257892182366
faroe azores,0.012350930216291396
glamorous sophisticated,0.012032751069858068
fifth element,0.012018305966482037
runway,0.011845643085617542
dramatic lighting,0.011705436619688035
goth,0.011659126868769007
intricate hyper,0.011547285501559984
painted,0.011455940584481744
zdzislaw beksinski,0.011402230102336324
portrait extremely,0.011347665476728762
detailed portrait,0.01131802318745862
male dunmer,0.01124989034127363
steampunk himalayan,0.011148658371025114
art trending,0.011103986589449326
statue,0.011055915171707795
art thorough,0.011050645339272474
alien,0.010959551971718287
detective pikachu,0.010886435049306583
style portrait,0.010839001883597557
dog,0.010775040078044494
movie poster,0.010742595028529776
illustration,0.01069387695660816
wallpaper illustration,0.010554415545869483
hd,0.010478719396484024
painting ronny,0.010378076816482262
studio ghibli,0.010323896037941578
artstation cinematic,0.010316828347571434
futuristic,0.010207526541940294
fluffy,0.010186763794215119
puppy,0.010083081971387678
lightning intricate,0.010021850305642796
stars,0.00999267188731055
illustrated,0.009701233654101103
lifelike photorealistic,0.009578115567636242
heavy detailed,0.009560849863909406
hd goth,0.009446932611872157
body portrait,0.009443102261546106
punk art,0.009265473588982045
portrait male,0.009104507556700513
saitama,0.008971209260901234
century,0.00886961601263828
shade talking,0.008853893472932318
phyics entries,0.008718956661758192
contemporary art,0.008640702215369828
clouds madeira,0.008292596077613132
manga illustration,0.00828125193555749
nerevarine,0.008264607531123097
josan,0.008137195966530763
art city,0.008131471435543974
details intricate,0.008084165071620493
lantern candle,0.007994599384099334
painting peter,0.007991865508037281
render hyperrealist,0.007955059233610916
pixie cut,0.007835853245131802
colors,0.007693323089737858
chris,0.007616660687551095
engine,0.0075386000079273
emo,0.007471708329852012
fashion clouds,0.0073744892800574275
portrait intricate,0.00704925255554589
emo punk,0.00696411447821336
entries sony,0.006955774502204365
modern,0.006933806984053969
lighting hd,0.006841118831710281
painting character,0.006827520460107808
atmospheric lighting,0.006810972371814182
oblivion skyrim,0.00680591565946967
photorealistic digital,0.006792986090637395
portrait photograph,0.0067350973906071705
science fiction,0.006684545909816206
overcast thunder,0.00660340997029531
hd painting,0.0065982856925822855
sony world,0.006593237077539426
painting stalenhag,0.006564763299330528
art hyperrealistic,0.006516137967039367
pablo picasso,0.00644064587841231
avant garde,0.006301659944745523
intricate royo,0.006128501051533027
fiction,0.006125172259418532
volumetric lighting,0.0061248229138636135
art lifelike,0.006071053631958102
neuromancer,0.006043549408760486
candle volumetric,0.006043401836418504
frazetta fantasy,0.0060293664595759975
traits painting,0.005990737281251946
low clouds,0.005986367502655576
tracing artstation,0.005959200159964098
art josan,0.005864929780739499
himalayan rocksalt,0.005820733794718417
digital render,0.005796260005013256
artstation galaxy,0.00577884341788512
lamp,0.005757123173387341
bonsai tree,0.0057372961301641835
painting aesthetic,0.005713607885982278
rocksalt lamp,0.005661042355993562
photography awards,0.005646434942312424
marble hourglass,0.005645973446241373
starmaker,0.005626623813776023
houses built,0.005570998779388872
daedric armor,0.0054257460093487
ufo ignoring,0.005424814372267043
glimpse universe,0.005267106124001841
landscape colourful,0.005225082553485271
alien planet,0.005219520378939627
goths loitering,0.00520815742261808
bjork,0.005146846858859696
steampunk butterfly,0.005133485274145413
picasso hair,0.005114131876338049
