keyphrase,adjusted_mean_shap
artstation,27640880005.317623
matte,27640880005.31218
manga,14718062468.565289
peter,14718062468.564428
painted,10553355563.397926
fantasy painting,9424145196.842232
painting,8602572270.556648
portrait,8242291751.946994
deviantart,8242291751.932252
digital art,7698392086.369972
frazetta,7509086959.79482
unreal engine,6124692917.225468
anime colors,6124692917.219922
intricate hyper,5209642813.186958
digital painting,5203261034.524841
beautiful landscape,4366890093.506634
body portrait,3435102898.888111
illustration art,3395815853.788647
mid century,3192874122.1559124
art,2678891836.985251
fiction,2657213482.183566
photography,2496101440.3586793
steampunk himalayan,2496101440.3549213
matte painting,2348297557.491882
bonsai,2338514767.5846214
fifth element,2338514767.584293
anime,1954386476.4336772
photo realistic,1934880611.9935808
pablo picasso,1934880611.992925
portrait scifi,1879875458.0005045
skyrim elegant,1467105479.2465658
male dunmer,1445261064.6393003
oil painting,1365168293.274871
goddess,1365168293.2732327
lighting hd,1328236822.4311373
photography awards,1322472043.9918904
detailed ultra,1242831031.2630649
character portrait,1218872465.2648826
colossal goddess,1096711714.271494
garden,1044119771.6236471
movie,1000351712.7392923
madeira faroe,1000351712.7376479
woman,995739336.0531976
goth emo,995739336.0519257
tracing artstation,971074239.7223711
forest,905887404.9495147
artwork,887680564.0810835
artstation hyperrealism,852342670.7139891
armor daedric,725166388.3819493
film,677391536.4025675
cinematic,677391536.3948747
detailed portrait,600749067.7620654
houses built,600749067.761259
intricate details,571253816.0319114
punk art,434791479.91457117
landscape,268486462.36153436
flamingos,268486462.35918766
painting character,190824309.32426864
fiction film,32610155.67136443
painted pablo,21678354.79496091
concept art,0.007463088132494477
painting sargent,0.0058169174459271325
photorealistic,0.005226818683165668
cinematic composition,0.0045801391530362326
scene,0.004518204624787319
deviantart realistic,0.004215995367872069
cyberpunk,0.004112403745777241
fantasy art,0.003821149962370908
high quality,0.003617822907976492
trending artstation,0.0031269924611298794
surrealism,0.0031209397328513856
painting beautiful,0.003116279782963806
steampunk,0.0031089213677321136
clouds,0.0030783979987043983
photograph,0.0030158242845845042
photo,0.002919440949839347
gordon,0.0028658162973627635
peter elson,0.00282788541590893
einstein,0.0027422416277665448
art artgerm,0.002726864518877426
detailed painting,0.002712023231323986
painting artstation,0.0026961868010712065
painting deviantart,0.0026449093444004227
lighting,0.0025637186949719446
art smooth,0.0025438993480561183
picasso,0.0025222997496120473
elson,0.002496937069162261
ultra realistic,0.0024940461246718776
castle,0.0024538197454610717
century modern,0.0024508842022715983
gundam,0.0024177807524872674
city,0.002393544116310463
footage,0.0023904569582960814
canvas,0.0023747455422848014
elf,0.0023720759351065655
dark,0.0023601931814701592
black,0.0023416299807459064
ufo,0.0022754024164362715
comprehensive art,0.002239609316235751
portrait painting,0.002165288740692806
cyborg,0.0021595019535219978
hyper detailed,0.0021448802748971103
cat,0.002043563996138845
knight,0.002037058608633396
art sharp,0.002031466093387255
saitama anime,0.0020011639359522964
space,0.001998993074026063
dragon,0.0019741366642565712
art trending,0.0019246695419417451
modern art,0.0019036328880715327
cute fluffy,0.0019013403829985078
surreal,0.0018989054448916123
style portrait,0.001877998181577802
portrait painted,0.001872355705465644
natural scene,0.0018715343481798532
drawing,0.0018646991934735593
art style,0.0018646856326850591
flowers,0.001837459581376492
abandoned,0.0018246698991645112
scene science,0.0017917526384309895
lifelike photorealistic,0.0017075362618947146
alien,0.0016837308617337935
world photography,0.0016820419648979667
science fiction,0.001672021898042844
uncanny painting,0.0016678144845882381
donald,0.001665485131854708
gustav klimt,0.0016317658287490029
surrealism surreal,0.0016260539844097422
