keyphrase,adjusted_scaled_mean_shap
portrait,0.3753560044319337
painting,0.366317217536155
film,0.25189640034576877
art,0.2097921720241052
digital painting,0.19676584033649636
concept art,0.16406937206628636
matte painting,0.16285650305837052
artstation,0.16273316634301266
unreal engine,0.15809648006239038
painting sargent,0.1298183254667641
digital art,0.12926080085372893
mid century,0.12514713998954655
photorealistic,0.12434772688240124
anime,0.12227812916572915
photography,0.12218121048758784
artwork,0.11794040051709366
illustration art,0.11350121888052407
deviantart realistic,0.10037059285368961
oil painting,0.09832496025802999
cinematic composition,0.0965643456550823
cinematic,0.09534470537573178
manga,0.09224732585101135
fantasy painting,0.09204504350478072
scene,0.08705280049678236
cyberpunk,0.08592674369414242
deviantart,0.08487854495888811
body portrait,0.08323346879198457
fantasy art,0.08305425404500695
landscape,0.08280027595739595
detailed ultra,0.07419965948650001
high quality,0.07388615335563395
matte,0.07371951065964978
photo,0.07353147190170058
painting beautiful,0.07352515370269587
intricate details,0.07343608956285408
trending artstation,0.07289218418080635
photograph,0.07235236634439182
peter,0.07012051003468968
character portrait,0.06989596044872845
steampunk,0.06833445176025663
einstein,0.06831385813061817
surrealism,0.06781863359434653
painting deviantart,0.06771037177377645
goddess,0.06716406676872431
movie,0.06673865631189159
clouds,0.06664090195575766
art artgerm,0.06638132586422629
woman,0.0646904836676737
forest,0.06438928348482488
painting artstation,0.06404332691577853
gordon,0.06305221040901643
fiction film,0.06304983906683016
peter elson,0.06276456839189926
detailed painting,0.06252346375615915
portrait scifi,0.0602717240115734
lighting,0.060084966227182096
black,0.05966780524773077
bonsai,0.05857241682126248
photography awards,0.05854139306848636
century modern,0.057226162589821924
gundam,0.056917052330046285
picasso,0.05602375584164921
photo realistic,0.055843136388105064
beautiful landscape,0.05572961329714759
frazetta,0.05534535118738489
artstation hyperrealism,0.05319538251204182
city,0.052762020747902344
cute fluffy,0.052589625576926896
portrait painting,0.052498120101953226
painted,0.0517920200360491
dark,0.051775981777136895
elson,0.051344122283131996
ultra realistic,0.05123904509323834
elf,0.05099164223637415
art smooth,0.05098349489715212
fifth element,0.05065156160937509
art sharp,0.05063970487236552
skyrim elegant,0.05013931797300837
canvas,0.05004874533016167
castle,0.04944559492218252
comprehensive art,0.04890530826256591
hyper detailed,0.048559413725119835
ufo,0.04825097825041589
footage,0.04732453863337769
art style,0.047305947759939154
knight,0.04707919341617833
cyborg,0.046270988715057935
garden,0.045845796311481966
madeira faroe,0.04482647215593858
natural scene,0.044580989325733185
intricate hyper,0.04349876003718179
modern art,0.043488716803993445
surreal,0.04331383689571488
style portrait,0.04299223908180829
