keyphrase,mean_abs_shap
abandoned,0.0014767699988467893
alchemical creatures,0.0011311157838542678
alien,0.0026492750001458373
alien planet,0.001993646412786946
android cyborg,2.7210692470056975e-05
anime,0.0038435678821088343
anime colors,0.001208565773984966
anime epic,0.0025984415279937836
armor daedric,0.002587808889617919
art,0.012729961826418775
art artgerm,0.0029467315492344693
art city,0.0019078317606667386
art hyperrealistic,7.360110358841664e-05
art josan,0.0013659705550068723
art lifelike,0.0022358485945658813
art punk,0.00031962139863264937
art realistic,0.0027591619969891206
art sharp,0.0013192727578523967
art smooth,0.004139954224985753
art style,0.0026154344233784237
art thorough,0.002830108920379029
art trending,0.0023074357591998107
artistic,0.000441610492763777
artistic painting,0.0005653347272437672
artstation,0.005565019738658531
artstation cinematic,0.004827959707380692
artstation galaxy,0.0023015247944753133
artstation hyperrealism,0.017215053902583374
artwork,0.010939881230570365
atmospheric lighting,0.001209276843875285
avant garde,0.0008973496216622338
azores,0.0021529816872152803
azores islands,0.0010659444730831567
beautiful landscape,0.0035295650438037247
beneath cherry,0.0006245134942413436
bjork,0.002964726385456577
black,0.004412372307744485
blinders photography,0.003934153530747746
body manga,0.003463171723904647
body portrait,0.0030900990749025067
body shot,3.631809449689621e-05
bonsai,0.0025371960984335177
bonsai tree,0.0012732348582239741
bosch,0.0011391357731465447
bull looking,3.3563797159542386e-05
bull modeled,0.0014937133158317215
butterfly volumetric,0.0014901825225813019
camera,0.00022290220432012568
candle butterfly,0.00270832746765199
candle volumetric,0.00016429442852033987
canvas,0.006603142265554393
castle,0.0038358948844530454
cat,0.0045373246411532
century modern,0.0014172963457706111
character portrait,0.011777322951758453
cinematic,0.00546136613765589
cinematic composition,0.008690657705816772
cinematic deviantart,0.0012127439430267587
city,0.004173617875415998
clouds,0.00848789166779298
clouds madeira,0.0017557429218080555
collage canvas,1.0718696930615984e-05
colossal,0.003494228655955009
colossal goddess,0.0011544572148552144
comic book,0.00030147488231140735
comprehensive art,0.004991595719397053
concept art,0.012250895930665254
contemporary art,0.0013470043741493983
cosmic,0.0028773427703509334
creatures surreal,0.002199718771463536
cute fluffy,0.0021100188552756493
cyberpunk,0.003378814187349106
cyberpunk art,0.0008482314075669815
cyborg,0.0002891667032458269
cyborg bull,0.0
daedric armor,0.0021990761866822485
dark,0.002791496001816288
dark uncanny,0.00044884190407643026
design,0.0020747095127455926
detailed painting,0.003801922367760656
detailed portrait,0.0028251172267734982
detailed ultra,0.003862206244531067
details intricate,0.00021102436890771682
detective pikachu,0.0021056180188372044
deviantart,0.0025344282905839866
deviantart hyperrealistic,6.82943567868133e-05
deviantart realistic,0.0033689749990357164
digital art,0.006550021860042716
digital painting,0.00579591330229264
digital render,0.0020315462639369612
divine,0.0016683223652855055
divine pink,0.0018900795678355856
donald,0.006194599591621829
dragon,0.0029193262723573414
dramatic lighting,0.009481451177515228
drawing,0.0001996790596774054
dunmer nerevarine,0.001376692806373615
earth,0.0026153203816423744
edwardian photograph,0.004241966357161346
einstein,0.003332676707906351
einstein portrait,0.006685402635080609
elf,0.0040032505194549815
elson,0.0032062487664793154
emo punk,0.0027899329726943506
engine,0.0013956349946789013
entries sony,0.0002129377236893934
fantasy art,0.0058901863174272585
fantasy painting,0.0024606481320425854
fantasy style,0.0017250855527291414
faroe azores,0.001406753744469785
fashion clouds,0.002111866975365067
fiction,0.0012225935349477136
fiction film,0.00533845607441136
fiery alchemical,0.000547471199659755
fifth element,0.0039358504207899735
film,0.02116179884182052
film neuromancer,0.0006301020368660807
fine artistic,0.0009958734503411682
flamingos,0.0018630836835603537
flowers,0.003265065514959458
fluffy,0.0028420236166755157
forest,0.0019355366496989297
frazetta,0.0005298051234811683
frazetta giger,0.00021487476234816275
futuristic,0.00045087452030155535
garden,0.0017839112097960703
garden intricate,0.001660241525308463
giant digital,0.0018282533632657646
glamorous sophisticated,0.0014877000779216739
goddess,0.001832426864478523
goddess wearing,0.002245230988007509
gonzalez,0.003332131009804096
gordon,0.003516998688171301
goth,0.0013137383345404033
goth emo,0.0011767349420480871
goths,0.000778043613295424
goths loitering,1.4121255720197134e-05
greek man,0.0
gundam,0.005312915958238126
gundam unreal,0.0014115609188887876
gustav klimt,0.0038682608823622467
hd,0.0019395915266607604
hd goth,0.009871328223276299
hd painting,0.0023139891823357774
hd unreal,0.0007993815896394112
heavy detailed,0.0025147448107705308
high quality,0.00445065119606471
himalayan,0.003664129359465752
himalayan rocksalt,0.000704489350206943
houses,0.0026889644858691603
houses built,0.0013757816455819455
hyper detailed,0.0032262441632789547
illustration,0.00821406303452627
illustration art,0.002571086489821565
imposing cyborg,0.0
intricate details,0.001943228520486375
intricate hyper,0.0011478050233483309
intricate royo,0.0013788744023097489
intricate volumetric,0.0001347491891047563
josan,0.0021784760624922535
josan gonzalez,0.0013710833286010207
klimt,0.0018433731509322198
lamp,0.0004766652807682893
landscape,0.005018193759450581
landscape colourful,0.0011980216232376753
lantern candle,0.0031405794742447894
length portrait,0.0009573678367634925
lifelike photorealistic,0.0022793301373266114
lighting,0.00201274871565119
lightning intricate,0.0018214629163942992
log houses,0.0017734485934949899
looking camera,0.00045538720502632206
low clouds,0.0013484408804102061
madeira faroe,0.002556759592362322
male dunmer,0.001296593407944856
manga,0.005619027671383529
manga illustration,0.001736902298891309
marble hourglass,0.000562896158105195
matte,0.006535559459724048
matte painting,0.002135234619867393
media collage,8.034690687812222e-05
mid century,0.0018993234762731417
modern,0.0007976562551593293
modern art,0.0015144947439882028
movie,0.003107903351688902
movie poster,0.0024688631234024484
mysterious,0.0009212234937170405
mysterious ufo,5.7481891086588266e-05
natural scene,0.005635767567870049
nerevarine,0.001508162882597559
neuromancer,0.001282759450351463
oblivion skyrim,0.0013141615391943516
octane render,0.0004063502709228742
oil,0.00014135072980434775
oil painting,0.006157596747286885
overcast thunder,0.0010398577144093129
pablo picasso,0.001709209706545459
painted pablo,0.0013470801696952239
painting,0.025764149127071256
painting aesthetic,0.0013467667941877773
painting artstation,0.004279646087121752
painting beautiful,0.000786039335128859
painting character,1.3767961844489703e-05
painting deviantart,0.0017610348140088437
painting lurid,0.0008699428783749377
painting lush,0.003888277316904103
painting peter,0.008530507552496793
painting ronny,0.0011359728842697595
painting sargent,0.011234497886147233
painting stalenhag,0.002594230114671622
painting unreal,0.0016010316104284256
peter,0.004043017080190887
peter elson,0.007211933388240359
photo,0.004602349648680534
photo realistic,0.003106387873548947
photograph,0.004602239134040468
photograph divine,0.0022853462782626258
photography,0.007818508708142088
photography awards,0.00010828972690296698
photorealistic,0.009961750038858103
photorealistic digital,0.0037671626225223125
photorealistic highly,0.0037968502391601843
phyics entries,0.0020186391600665516
picasso,0.004641710442829652
picasso hair,0.0014780692886186162
pikachu hannah,0.0008457364341015236
pink bonsai,0.001234309171845832
pink flamingos,0.0015311678279788174
pixar,0.002369707051122237
pixie cut,0.002319533572766461
portrait,0.012928153327639814
portrait ancient,0.000344012540849468
portrait extremely,0.0004942880113641782
portrait intricate,0.004017851410454799
portrait male,0.005397140836043475
portrait painted,0.011849859923973433
portrait painting,0.004501156381416821
portrait photograph,0.001704230911088454
portrait sabouts,0.0018057594161170535
portrait scifi,0.005700314121549631
punk art,0.0002665600728879041
punk portrait,0.0010921141575052343
puppy,0.0027385486497943667
puppy sitting,0.0022787223645028124
realistic photo,0.0014452694318950782
realistic render,0.0012790427275504283
render hyperrealist,6.868828216578767e-05
robot,0.0038532906908836646
rocksalt lamp,0.0011270025750882541
room,0.0028607609079334346
rpg portrait,0.001987072409098087
runway,0.0058742678769820025
saitama,0.002495148425605853
saitama anime,0.002909198624652906
salvador dali,0.001992702723925975
scariest looking,0.004053893759178186
scene,0.009071630141186103
scene science,0.0013798116918407625
science,0.00021281902307682246
science fiction,0.0029499955566722807
screenshot,0.0010036670541971352
shade talking,0.0007331334192738959
sitting snowy,0.0008296713188915638
sky,0.004659755714622431
skyrim elegant,0.003714874390495547
snowy,0.0014199367602421905
sony,0.0010820064644249665
sony world,2.2449468485688734e-05
space,0.0028067427375349082
starmaker,0.0029860617745451168
starmaker matte,0.001632707411142655
stars,0.0023686102155529285
statue,0.001936396795003356
steampunk,0.005297263385676882
studio ghibli,0.0018303903275624378
style contemporary,0.0020157094360178005
style portrait,0.002054652893845874
surreal,0.0024927191838632116
surreal concept,0.001914360342533438
surrealism,0.007348831709152858
surrealism surreal,0.0039477518186410475
thanos style,0.0004457500327144591
tracing artstation,0.0002857216296741566
traits painting,0.0016775069490067294
trending artstation,0.004967350199163583
ufo,0.0013424734657851247
ufo ignoring,0.0008595492276591431
ultra realistic,0.004607004448287806
uncanny,0.0030330016430438565
uncanny painting,0.0017020680462372115
unreal engine,0.0066043495774148345
vallejo frazetta,0.0012357301300112377
vivec portrait,0.0014860211326869258
volumetric lighting,0.0006586178790633632
wallpaper,0.002430652007019307
wallpaper illustration,0.0018026879277617562
wizard,0.0019226132180327187
woman,0.0026616682996501062
world photography,0.002337027987948621
zdzislaw beksinski,0.0013706709235596047
