keyphrase,mean_abs_shap
abandoned,0.00015962543567605363
alien,0.0006661794215791113
alien planet,0.00022661849417071172
android cyborg,0.00016829685340524514
anime,0.003050678668303546
anime colors,2.4731441327685396e-05
anime epic,0.001157346329257226
armor daedric,0.00010718312102639318
art,0.004205969221146244
art artgerm,0.0010312671470484164
art city,0.000519279871390723
art hyperrealistic,3.467883184556399e-05
art josan,0.0015891467321823482
art lifelike,0.0004958509427879517
art punk,3.117046008068349e-05
art realistic,0.0019384921414268381
art sharp,0.0011663766482149873
art smooth,0.001818278775225155
art style,0.004059919885405972
art thorough,0.00045973585991395993
art trending,0.0008799843850300334
artistic,0.0009132249307759278
artistic painting,0.0009476803649855855
artstation,0.0042136137633693935
artstation cinematic,0.0025861326264084252
artstation galaxy,2.470464809772621e-05
artstation hyperrealism,0.0024993059037833583
artwork,0.03005482294366917
atmospheric lighting,0.0008173949361799328
avant garde,9.847868368445114e-05
azores,0.00013485275497001988
azores islands,0.0007846199772017982
beautiful landscape,0.0004685527751892095
beneath cherry,0.0009645561971990318
bjork,0.0016550363084277702
black,0.001652415214356985
body manga,0.0009415605469338434
body portrait,0.001388156456814559
body shot,0.00041091845998830176
bonsai,0.0012110206537143228
bonsai tree,0.000661235574783481
bull looking,0.0001427897038656099
bull modeled,0.0002650583302558291
butterfly volumetric,0.0010755759948365882
camera,0.00031066677512521095
candle butterfly,0.0006729827765440766
candle volumetric,0.0012825184224629022
canvas,0.0039493749807951156
castle,0.001871227396468287
castle enclosed,1.2152425201900648e-05
cat,0.0012551529760043301
century,0.0015364616042557397
century modern,0.005302274476621014
character portrait,0.002263163694433778
chris,0.0005186936403555226
chris foss,5.109786998123341e-05
churches domes,9.517257384481714e-06
cinematic,0.0028083294254009714
cinematic composition,0.007147528569065976
cinematic deviantart,0.0003382212434495175
city,0.0018321874629845972
cloud fashion,8.754725100972664e-05
clouds,0.0015342465447929063
clouds covered,0.00047425569859243583
clouds girl,5.788313872238295e-05
clouds madeira,0.0010604270993814855
collage canvas,3.1180254750143015e-05
colors,0.0007638245404529402
colossal,0.0004593238080533559
colossal goddess,0.00014298269227868777
comprehensive art,0.0006877804831765177
concept art,0.0034185436447195937
contemporary art,8.682661651378015e-06
cute fluffy,0.001433142075903612
cyberpunk,0.004583420343893626
cyborg,0.0005533101801514031
cyborg body,0.00023488474729291514
cyborg bull,0.00022405810232315696
daedric armor,0.0009864296845170132
dark,0.00477854714994605
dark uncanny,0.001980568594793771
detailed painting,0.002043023584520026
detailed portrait,0.0003808654753086473
detailed ultra,0.002091939657154422
details intricate,0.0005726041183638406
detective pikachu,0.0008774143281678065
deviantart,0.0021910721842946417
deviantart hyperrealistic,0.0011432928599795192
deviantart realistic,0.003222253909867517
digital art,0.00483106808003396
digital painting,0.001825385729313551
digital render,0.00023159859880797815
divine,0.0007229957522692351
divine pink,0.0006973541965382912
dog,0.002223324417190482
donald,0.0018411198288579955
dragon,0.002567980223727928
dramatic lighting,0.0020054992773403833
drawing,0.0012740540006716062
dunmer nerevarine,0.0008881905893530945
einstein,0.008617292588521055
elf,0.003461807445676369
elson,0.000754738218702178
emo,0.0009001515495319951
emo punk,0.0013496754687765278
engine,0.00010401771481397734
entries sony,5.021567283437985e-05
fantasy art,0.0042086982226534776
fantasy painting,0.0005473816029079461
fantasy style,0.0002748879672889002
faroe azores,6.285374587373482e-05
fashion clouds,0.0007908502649977771
fiction,0.0010643687864881552
fiction film,0.00461731546138855
fifth element,0.0025880909141505833
film,0.023032321961788758
film neuromancer,0.0009351308294603607
flamingos,0.0008674002387463846
flowers,0.003337427995419922
fluffy,0.000903965211750591
footage,0.001566062241374308
forest,0.0009670661616498321
frazetta,0.0009387084777894825
frazetta fantasy,0.0012480524141673217
frazetta giger,0.00014559302364057565
futuristic,0.0007458973535697809
garden,0.0012096143103326048
garden intricate,0.0017914956321952097
giant,0.0001541006010194431
giant digital,0.00027811758568449887
girl clouds,6.519861628675628e-05
glamorous sophisticated,0.0017291014974001998
glimpse universe,0.00045669540467184027
goddess,0.0019000783270967817
goddess creative,4.023247021993074e-05
goddess wearing,0.0009921255020402368
gordon,0.0037809335690662804
goth,0.0011826177374663152
goth emo,0.0009597615764420552
goths,0.0007917626921127598
goths loitering,0.0010698303572677678
gundam,0.002848210876894635
gundam unreal,0.00014597894632935318
gustav klimt,0.0017636759184872371
hd,0.0007473602431318205
hd goth,0.001873194635473958
hd painting,0.0020888443169163047
hd unreal,0.00015821192905905227
heavy detailed,0.0005775364804886984
high quality,0.0043938051687418605
hills slavic,0.0
himalayan,0.0015108952202336782
himalayan rocksalt,0.0007269359380727616
houses,0.00010742509693835548
houses built,8.383478106600453e-05
hyper detailed,0.0009736975808405687
illustrated,0.0021438419262397516
illustration,0.0010940163608651424
illustration art,0.005082714068725239
imposing cyborg,0.0001642659374971065
intricate details,0.0024826631422563772
intricate hyper,0.000384589754364605
intricate royo,0.0007187323436276796
intricate volumetric,0.000984563561422649
josan,0.0010311160086236744
josan gonzalez,0.002027068343952322
knight,0.0023862028860756144
kylie,0.0015223603307189704
kylie minogue,0.0008854369186564471
lamp,0.0010071825665711116
landscape,0.0018415041993871408
landscape colourful,7.452702294598757e-05
lantern candle,0.0013725918211907487
length portrait,0.0007612841745339631
lifelike photorealistic,2.2754181266078586e-05
lighting,0.0020871536511865006
lighting hd,0.0017296107565670411
lightning intricate,0.002078306980193855
log houses,5.7071644867052535e-05
looking camera,0.0001608013414690313
low clouds,2.5616999597067886e-05
madeira faroe,0.0007396214941207325
male dunmer,0.0006698006399452412
manga,0.005220431651252632
manga illustration,0.0009611023145293272
marble hourglass,0.0010708925666995666
matte,0.0021139554126688755
matte painting,0.0035863647764880426
media collage,2.842226679026318e-05
mid century,0.003463710660808358
minogue,0.0009632447936665042
mixed media,0.0
modern,0.0010877784904766586
modern art,0.0013269747309914207
movie,0.0024665101647606776
movie poster,0.0006947187350851078
natural scene,0.0015633926710767673
nerevarine,0.0009585845346896307
neuromancer,0.0024471271724134233
oblivion skyrim,0.0009820901965669436
octane render,0.0003977106931197931
oil painting,0.0038408538233952296
pablo picasso,0.001384915914924025
painted,0.0018512546865478024
painted pablo,0.0007621638037959884
painting,0.020232791036738328
painting aesthetic,0.0004262226387119984
painting artstation,0.0036751404563415543
painting beautiful,0.0015357734164249761
painting character,0.0007948567420944103
painting chris,0.00014988721741414482
painting deviantart,0.002711424656452396
painting lurid,0.0008526029633255254
painting lush,0.0001516155778510746
painting peter,0.0016992230693626065
painting ronny,0.003168905487472454
painting sargent,0.003868382746363679
painting stalenhag,0.001380125143926193
painting unreal,8.857738831324872e-05
peter,0.0018414738358612144
peter elson,0.0034253656571222664
photo,0.0035990792205701787
photo realistic,0.0018236575867683217
photograph,0.002640337306752509
photograph divine,0.0009568140659164925
photography,0.002448232562621878
photography awards,0.0006190601241218278
photorealistic,0.005098920585165838
photorealistic digital,0.00013762006027860177
phyics entries,9.852947709861926e-05
picasso,0.0037028912457301288
picasso hair,0.0006416708893083897
pikachu hannah,0.0009530788802424864
pink bonsai,0.0008084711077875965
pink flamingos,0.000917128823248312
pixar,0.0015781972512365911
pixie cut,0.0001959034220541484
portrait,0.00762789536912882
portrait extremely,4.6364148678057535e-05
portrait intricate,0.001266689936017026
portrait male,0.0026773448123189564
portrait painted,0.0034434382587050436
portrait painting,0.0009214790998016357
portrait photograph,0.0017107016352578164
portrait sabouts,0.0006979820939529328
portrait scifi,0.002152504440449285
punk art,1.0512880804867509e-05
punk portrait,0.0009786670975773686
puppy,0.002010879996735559
render hyperrealist,4.618960783070648e-05
robot,0.0013316380058762498
rocksalt lamp,0.0009840926450568337
rpg portrait,0.002203803712711366
runway,0.0020198181030333354
saitama,0.0011758051112521852
saitama anime,0.003165954863608872
scene,0.005163585562232562
scene science,0.0021665268057175498
science,0.001262022408949209
science fiction,0.004253130203783298
screenshot,0.0010621276009674934
shade talking,0.0016248283237504798
skyrim elegant,0.001287063828772964
sony,0.0005468409256379282
sony world,5.844651713452513e-05
space,0.002629203439867561
starmaker,0.001785868726971222
starmaker matte,0.0007193934397314889
stars,0.0020941302926534987
statue,0.001460419319717128
steampunk,0.004535204982849562
steampunk butterfly,0.0007742746487350069
steampunk himalayan,0.0013642952518379855
studio ghibli,0.0012240563827520207
style contemporary,0.0007598279436076546
style portrait,0.001015130054396972
surreal,0.000732065737979153
surreal concept,0.0001277136127862617
surreal glimpse,0.0004639802462081674
surrealism,0.003378857639436643
surrealism surreal,0.001668874583128196
tall castle,0.0
tracing artstation,0.001198649410996359
traits painting,0.0007037293093013711
trending artstation,0.0010169849733006524
ufo,0.00034531237389290087
ufo ignoring,0.00015123224883601893
ultra realistic,0.003849521495294504
uncanny painting,0.00024686602672621195
unreal engine,0.0030777931199127877
vallejo frazetta,0.0010075603313366036
vivec portrait,0.0
volumetric lighting,0.0005814668050774438
wallpaper,0.0008147474930336286
wallpaper illustration,0.0008831747638648922
wearing cloud,6.443474957694263e-05
