keyphrase,mean_abs_shap
abandoned,1.9322308403651753e-06
alien,0.00023278408666903207
alien planet,0.000225436520753183
android cyborg,0.0002979427501507417
anime,0.0002732877698378314
anime colors,0.00023957769854792907
anime epic,4.696111346839018e-06
armor daedric,0.0
art,0.0038778711203597987
art artgerm,0.002312479347623676
art city,0.0018214465322449614
art hyperrealistic,4.801773354053334e-06
art josan,0.0
art lifelike,0.00020799374516904231
art punk,0.0
art realistic,0.0002901803171120259
art sharp,0.003735253642213053
art smooth,0.004358595357091766
art style,0.0015890240941040207
art thorough,0.0006745965162084991
art trending,0.001283743636587562
artistic,0.00020910148469626926
artistic painting,0.00020429281134743551
artstation,0.0019371660878903596
artstation cinematic,0.0002394577575527787
artstation galaxy,0.00019653485826619127
artstation hyperrealism,0.0
artwork,0.000220025148315491
atmospheric lighting,0.0002652079566307622
avant garde,0.0002110108875057814
azores,0.00024756647532496695
azores islands,0.0002270174367557972
beautiful landscape,0.00024698192916035354
beneath cherry,0.00040823782228367294
bjork,0.0002256656573004523
black,0.0020015378502935876
body manga,0.003047174022412979
body portrait,0.00033246052622367057
body shot,0.00023291973397935624
bonsai,0.0
bonsai tree,0.000495175676951922
bull looking,0.00025513279876196725
bull modeled,0.0002260237372286418
butterfly volumetric,7.637902033951319e-05
camera,0.0005310656019282462
candle butterfly,1.8663604562983756e-06
candle volumetric,0.00022929060622692114
canvas,7.595622124994812e-05
castle,0.0015160491744257401
castle enclosed,3.99253765170716e-06
cat,0.00023037614659279023
century,2.4538648286775385e-06
century modern,1.8761144731886516e-06
character portrait,0.0002465130103896138
chris,0.0
chris foss,0.0
churches domes,2.6879789626858045e-06
cinematic,0.00025300832297347456
cinematic composition,0.00028054219895836123
cinematic deviantart,0.00021439265874608678
city,0.0008888268601964033
cloud fashion,0.0
clouds,0.00023463363199721564
clouds covered,0.0
clouds girl,0.0
clouds madeira,0.00024068584228506264
collage canvas,0.0
colors,4.178157300293373e-06
colossal,2.7387850230387788e-06
colossal goddess,7.062132697996118e-06
comprehensive art,0.00340694050177069
concept art,0.00028402474357589196
contemporary art,2.854823563234926e-06
cute fluffy,0.00018419278341375334
cyberpunk,0.0002447484494532376
cyborg,0.0006841487242770033
cyborg body,0.00020239460704934344
cyborg bull,0.00019607210386274598
daedric armor,0.0
dark,0.00012005178391461686
dark uncanny,2.7533806099618447e-07
detailed painting,0.00022633414163120342
detailed portrait,0.0001364793546449567
detailed ultra,0.0030214563268331192
details intricate,0.00022456333894981385
detective pikachu,0.00016353556494750392
deviantart,0.0015547285622315716
deviantart hyperrealistic,0.0004693660265197664
deviantart realistic,0.00020793063942256472
digital art,0.0007213769207473496
digital painting,0.0006837635505707977
digital render,0.00022949830107028707
divine,1.92746173297364e-06
divine pink,1.3837376328605708e-06
dog,1.314013459733917e-06
donald,0.00023370146232345662
dragon,0.003303603275201634
dramatic lighting,0.00024332933922999826
drawing,0.0
dunmer nerevarine,0.00023985304664525395
einstein,3.210045031466125e-06
elf,0.0042179816319057265
elson,2.731681497125016e-06
emo,0.0
emo punk,0.00021477965215770936
engine,0.00023472693686140303
entries sony,0.00028792398696748846
fantasy art,0.0017788176030988203
fantasy painting,0.00024386750104293448
fantasy style,0.00019335736588758226
faroe azores,0.00017428187253466803
fashion clouds,0.0
fiction,0.00027216058283154504
fiction film,0.0003065002274992917
fifth element,0.00022857198857743834
film,0.00034985550710045895
film neuromancer,4.025060531593165e-06
flamingos,0.0
flowers,0.0
fluffy,0.0017681119029960143
footage,0.001658700740735255
forest,0.0
frazetta,0.005549729926137648
frazetta fantasy,0.000157124470649271
frazetta giger,0.00032144170019258176
futuristic,0.00013007762045344698
garden,3.7277627028268436e-06
garden intricate,0.0
giant,0.0
giant digital,0.002578076298827851
girl clouds,0.0
glamorous sophisticated,0.0
glimpse universe,2.34561435522441e-07
goddess,1.6896997479737282e-05
goddess creative,0.0006467326293630682
goddess wearing,1.0268611284142149e-06
gordon,0.0023556470800451075
goth,0.006437847370682437
goth emo,0.0002488558494228122
goths,0.00043617339199288546
goths loitering,0.00046785012294550216
gundam,0.0002101599241486852
gundam unreal,0.00018780793312760986
gustav klimt,0.0015171077777976817
hd,0.00026336760001067957
hd goth,0.00022829031100591086
hd painting,0.0002206595413673039
hd unreal,0.0002420072784113908
